,id,comment,author,likecount,publishedAt
0,Ugzd1omwXVGNjbvFyKp4AaABAg,"https://youtu.be/s3HfK2JgjJ4

Watch Florence Pugh’s Funny Moments Here:

https://youtu.be/s3HfK2JgjJ4",The Celebrity Expert - FilMonger,4,2021-07-16T14:17:23Z
1,UgyeOHdbMJxZux43PJB4AaABAg,"Actually Amber didn’t write the article for the Washington Post, that was written for her as part of the false narrative",Shannon T,0,2021-08-01T17:01:39Z
2,UgyRQNvegaKLhPXJ7HV4AaABAg,She should be behind bars,Pranjal raut,8,2021-07-26T09:14:07Z
3,UgwT0Awiep85B4CXjV14AaABAg,I LOVE THAT ACTION FIGURE BEHIND THERE 👏🏼👏🏼👏🏼 I HAVE THE HULK & BLACK PANTHER ONE 👏🏼👏🏼👏🏼,Sony Pictures,2,2021-07-26T06:41:02Z
4,UgwYyKa_w0CmAKgKTz94AaABAg,"The turd is a despicable lying, very abusive, toxic narcissist!  She should be in prison!",Christine Lloyd,0,2021-07-20T13:29:17Z
5,Ugy3CfSCFpDh36r-NSV4AaABAg,She’s a total see you next Tuesday.,Fi,11,2021-07-19T14:57:38Z
6,Ugw50_Ft86WhkbmU6tF4AaABAg,They still haven't put this women in jail yet,Raven Morales,23,2021-07-18T15:43:27Z
7,Ugz6k-Uk5KfOyF2PkkN4AaABAg,I can't help but hate her,Vishal Mishra,0,2021-07-18T12:28:33Z
8,Ugwo3CZHBWQFxesMwLh4AaABAg,I despise this woman.,Hazel Levesque,12,2021-07-17T04:50:29Z
9,UgyFfcZLz5z4S9WWA0d4AaABAg,She makes me 🤮,khfan,0,2021-07-16T22:58:33Z
10,UgxlJugVyvCa7sx6uzd4AaABAg,"As someone who had been in an abusive relationship, she disgusts me.... I can't believe there are people out there who pretend to be in something so horrible.",Amanda Heinen,33,2021-07-16T22:35:55Z
