,id,comment,author,likecount,publishedAt
0,UgxNPTUTURkWQjR5kRF4AaABAg,35:41 I don’t know if anyone else has this happen but my cheeks tend to get a similar pink mark after I’ve cried a lot. In a lot of audio footage amber seems to cry a lot when frustrated or angry also.,NightOwl 10203,0,2021-11-18T16:49:05Z
1,Ugy4oLM762rGk6A8qlx4AaABAg,The same fake Johnny Depp that is friends with psychopath Marilyn Manson.,Activism of Care,0,2021-11-07T07:55:47Z
2,UgwbQY79jDuUhOmcBQp4AaABAg,That so called injury on her cheek is a pimple that’s been rubbed to look worse or Botox injection maybe 🤔 mmmm,Jill taylor,1,2021-11-03T23:11:41Z
3,UgyVvfnY7fXsGZx3Z_p4AaABAg,Gotta say your videos are brilliant and very informative thanks 😊 binge watching all the videos now lol,Jill taylor,3,2021-11-03T23:08:44Z
4,UgzJO3ZFsGsd1mwpfsl4AaABAg,I've always believed Johnny was innocent. He's such a caring person that I don't think he has a bad bone in his body. I can't wait for all this information to come out in court in April. She's going to be seen for the liar we all know she is. I will look forward to seeing how she's going to try to wriggle out of it. Thank you for a wonderful video.,Cindy Stephens-Law,3,2021-10-28T14:57:47Z
5,UgyT8bXy5Ra9yIOQiLR4AaABAg,The longest soap opera/drama with only one good actor.,Jamie Chaney,6,2021-10-28T03:22:05Z
6,Ugw4GUxztG-0GBkoYLR4AaABAg,"For the dirty cheating bitch,  my darling husband to be Johnny Depp should have annulled the marriage and sued both 💩face with double Adultry",Lindsey Depp,1,2021-10-19T23:16:36Z
7,UgwGO4xoQaxpbGK9PVJ4AaABAg,Very truthful reached brian!!! thank you,Cindee paul,3,2021-10-05T20:11:22Z
8,Ugy8uIJBaW9QtogTNVR4AaABAg,Thank you for your work.,Rocio Pazos Martinez,6,2021-10-03T13:37:55Z
9,UgyMhaeljYKWB7o36-54AaABAg,"Brian, I could Listen to you all day, great Job! 😍❤️",Jana Kirchhoff,4,2021-10-01T17:18:35Z
10,Ugzrr-FDYaAo2C2vTZt4AaABAg,Excellent!,Kym Thompson,3,2021-09-27T05:15:04Z
11,UgxaBBaQ3z_PvuWNmeN4AaABAg,Amber seems to tick all the boxes for a malignant narcissist.  She totally played him and has no remorse or empathy.,Sundance,6,2021-09-26T00:25:49Z
12,UgzgODmzYw3FHI84vvx4AaABAg,Not only does she need to be exposed - she and all of her cohorts need to face jail time.  This is criminal.  Nice Work Brian... (Just recently found your channel. Very impressed by your investigative & presentation skills.),✞🕊GOD-Family-Country,4,2021-09-25T22:18:25Z
13,UgygSeSkgzeCQd1H1ft4AaABAg,The most disturbing thing is hearing Johnny Depp  calling her the love of his life. With a better statement recordedlater  that she was a made up in his mind. I hope and wish to him that he already understood that he was stuck in an abusive relationship. And love was never there.,Sofia Sum.,4,2021-09-24T10:22:29Z
14,UgzB2aBHHCcpVAlwS4R4AaABAg,". .the most unkempt, unwashed band of backwoods grifters one could try to imagine ..
I actually began to feel unclean watching their exchange unfold in the elevator, it was a de elevating moment for me as it happened .",J Lee,3,2021-09-12T21:02:55Z
15,UgyRcI8j6uVRO8g7lDp4AaABAg,"I guess when you worship the devil, you end up marrying the devil",Becky Dennis,1,2021-09-11T22:11:19Z
16,UgwJQQFynqdS80EXQAd4AaABAg,I think that “injury” looks like pimple 😂,Tereza Čáslavská,3,2021-09-09T19:45:44Z
17,UgyPRfT0QwewyH_fDch4AaABAg,"They have PROOF that she was the one being violent, PROOF that she got makeup done to make it look like bruises, PROOF that JD was the ONLY one who had physical abuse, and PROOF that JD is completely calm while she’s trying to get a rise out of him because she wants to fight and he doesn’t, and PROOF that she was actively trying to ruin his career because she’s a psychotic person who can’t stand being dumped by a man!!! How is this still a question on who’s the abuser?! How has this case not been solved? How is her career thriving while his is ending? ALL of his ex’s came forward to tell everyone that JD was NEVER abusive to them and always kind! HOW with ALL of this proof, is she still the victim?! How has she not LOST the case yet?! I’m completely baffled! This is the most ridiculous thing I’ve ever heard and seen! She is nothing but a complete and total psychopath who gets off on ruining the lives of anyone who dare try to get her out of their lives! She not only gets off on it, but absolutely loves watching her lies destroy innocent people! She has no regard for anyone’s life but her own! If it were possible for her to get away with, she would have killed him and even then with the way this BS case is going she might have gotten away with that too!!! She’s absolutely loving this! I can’t believe that someone can be soooo damn twisted, disgusting, psychotic towards someone who gave them nothing but love! She deserves to have the exact same done to her! She deserves to lose everything and more! Someone needs to beat her a$$! She is an absolute disgusting, waste of flesh, oxygen, and space who needs to be taken down! She cannot just do this to a beloved, innocent, kind man! Johnny’s only fault was marrying this POS! She is a truly horrifying psychopath who now knows she can get away with something this disturbing so this makes her even more dangerous! FUTURE VICTIMS BEWARE because there are absolutely going to be more victims! Please for the love of god someone take her down and give her a taste of her own psychotic medicine!!! Take her down before she can do this to anyone else! She has been proven to be a big fat liar many times! She says herself how she got the bruises painted on her face to screw him over! She’s disgustingly toxic and manipulates him into thinking he’s at fault too! #freejohnnydepp",Ashely Holmes,3,2021-09-09T15:42:49Z
18,UgyTGjz6bYZVboSx5xd4AaABAg,43:30 🥺🥺🥺,Nikki Linscott,0,2021-08-31T12:53:07Z
19,UgwMoHDbaxpx2hn6T514AaABAg,“Clutching Raquel closely as they laughed maniacally down the sidewalk 😌“ 🤣🤣🤣,Nikki Linscott,4,2021-08-31T12:50:17Z
20,UgwZcFZu4R2SLGEWSQJ4AaABAg,The elevator music 😆,Nikki Linscott,3,2021-08-31T12:30:39Z
