,id,comment,author,likecount,publishedAt
0,Ugzx3lUrg9iJOUVA-m94AaABAg,Me more for now and a video on Meghan and Harry for Thursday evening! Thanks for the support! Apologies to my members old outro in this one!,eHacker,28,2020-11-05T15:19:46Z
1,Ugx2Ia5hOuCTSG3burx4AaABAg,1 Million Alreadu,სტალკერი,0,2020-11-12T12:50:39Z
2,UgwaF90wrwQ47Oi8n7p4AaABAg,800 000,სტალკერი,1,2020-11-11T13:25:06Z
3,UgzkSHBeOmQSV13-4O54AaABAg,Over 800 thousand now,Maury Johnson,1,2020-11-10T16:15:48Z
4,Ugyg80c-0EYKiwfefep4AaABAg,Now it's like 650K!,Nomadjeff,0,2020-11-08T15:24:31Z
5,Ugy71KVM3hlYn_kaFrN4AaABAg,The public has spoken. Apparently some users even signed the petition as Amber Heard 😂,Karen,0,2020-11-08T12:54:26Z
6,Ugy2UYY97kbX1RYRKRJ4AaABAg,"I don't care for Amber Heard either, but anyone who thinks Hollywood gives a damn about any petition is fooling themselves. So a few hundred thousand people don't see the next Aquaman flick. *And?* The last movie hit a billion with most of it's money being made overseas. See how many fucks WB gives under those circumstances.",MrSFblack,0,2020-11-08T08:22:54Z
7,Ugw4aH2DKDjKSeMRHEF4AaABAg,"That's way too little when the studios' main markets nowadays is China etc, lol. They don't really care about losing even 1 million potential filmwatchers.",EP,0,2020-11-07T13:29:37Z
8,Ugw3gczkea9h2dxBVKx4AaABAg,Doing a catch up on all your videos  thank you,pippen cat,0,2020-11-06T22:32:31Z
9,Ugw6II7JQ-DF-mA1hEt4AaABAg,JD is force to resign from Warner bros beast 3 as of now . This is really bad.,Pascal Filion,0,2020-11-06T17:42:01Z
10,UgyxKnbSyJj2xR9DRHB4AaABAg,"I get uncomfortable if I think I’ve upset or offended just one person if I’ve said or done something stupid, but imagine having at least 500000 people who hate you!",linzi94,0,2020-11-06T12:42:56Z
11,UgwFK6xu87OIzSu1Rf14AaABAg,"Now I think we need another petition asking WB NOT to remove Johnny Deep from ""Fantastic Beast and Where to find them"" franchise. I've been hearing rumors about it (since he lost the UK case) and I don't like that. WB needs to know we support Johnny. I will gladly sign that too",aoweyn saintport,0,2020-11-06T10:42:06Z
12,UgzzWIdcAATu1L1zDQJ4AaABAg,"Hi eHacked,Exactly couldn't say it more clearer,the power of Voice 🗣can really work!👍More people now know the TRUTH!🤔😲and it is only getting SRONGER!",Kaz D,0,2020-11-06T08:28:31Z
13,UgxYx1ODgWEbnBUuIth4AaABAg,It’s so nice hearing your voice in the middle of the night. I’m looking forward to your comments about Meghan and Harry. She rivals Amber Heard fir being the most despicable person ever. Good night. :),Jomel,0,2020-11-06T06:36:11Z
14,UgxgaKFNGeCGUC1dshV4AaABAg,And me too. Nothing with her in allowed in my home.,Annetjie Pocock,0,2020-11-06T04:56:04Z
15,Ugw-4rKoI4MEowkxH394AaABAg,"Great message... you are correct I don't think Warner will or would cancel her with just 500K ... but every person who signs makes a statement to Amber ... you know she is pissed with all the hurtful things we say and do.. now who's the baby.  If you don't get the pun, please check out Incredibly averages videos",DARLENE B,0,2020-11-06T04:09:45Z
16,UgyZrdc9pOBvSq2m7Y14AaABAg,Where sing??,Darkrai359,0,2020-11-06T02:37:39Z
17,UgzoUlIELJK17rYYnvJ4AaABAg,Amber have to pay. Justice for johnny depp,Carla Castillo,0,2020-11-06T02:09:06Z
18,UgwDTLnWa2pbBfVU92t4AaABAg,Y es amber,Carla Castillo,0,2020-11-06T02:08:30Z
19,UgwthUG2fDmZuERBOvJ4AaABAg,"Ahaha GOLDEN 🌟
I never thought about it like that before. Great point, makes this petition way more relevant.  👍",Deb,0,2020-11-06T01:03:25Z
20,UgwlbDAKBxV2t9BGUM14AaABAg,I see a lot of the public turning against AH.,Musey's Modern Dreadfuls; &Tales Of Terror,0,2020-11-06T00:36:50Z
21,Ugw2jvAVDTqH61jQ0CV4AaABAg,"HAHA the “if you don’t subscribe... i’ll get over it”

That’s quite sad HAHAHAH",caekie shook,0,2020-11-06T00:21:38Z
22,Ugx7MTLNsZ_UPq6YhBd4AaABAg,"The media will never reveal the truth, they only care about money and their agenda. There are not many journalists with any integrity anymore. I believe the evidence, the evidence shows Johnny Depp is no abuser. I signed the petition once I listened to the first lot of Audio being released. I’m so glad I did, the evidence against AH has only got worse. If I only paid attention to the media, I wouldn’t have learnt what an awful human she is. 
Regardless of the outcome of the petition, I can’t morally watch anything with her in it. So just like cancelling my Netflix subscription due to Cuties, I will never watch anything with that woman in it.",Lost in Time,0,2020-11-06T00:04:56Z
23,UgxSrELEskxiciEX47V4AaABAg,"Yeah! I hope we can get awareness about Heard the Turd out there. 
#Justice for Johnny Depp ♥️",BarbaraSue Waldrip,0,2020-11-05T23:50:56Z
24,Ugw8C0Ajr-Fef4BBkNN4AaABAg,How could she show up at a movie set when the whole world knows such dirty details about her life?,Alo S.H,1,2020-11-05T23:34:58Z
25,UgxoScbzabUfvqOi5Vx4AaABAg,"I dont know if petition do anything. I do know johnnie has 7 5 million followers on Instagram  warners brothers is aware of this and that is why she is not in any promo material for aquaman. If she is in it Warner Bros will not promote that she is in Aquaman 2 they will keep it quiet. 

I hope their is a way to let Warner  bros know that even if Amber is only 5 minutes in the film at least 7.5 million will not watch. So please subscribe to Johnnie Instagram page and bring his followers to 10 million  studios cant ignore the fact of Johnnie big fan base. I think this insures Johnnie will have work",Steve Kass,0,2020-11-05T23:13:12Z
26,Ugwem0PtDspznvWpPbV4AaABAg,Even Keith Richard is wondering wtf is wrong with the judge. 😎,Pam Burkey,0,2020-11-05T22:57:15Z
27,UgzmuStoCY5A3zjFFcN4AaABAg,The verdict will only cause her more trouble and more supporters for Johnny. It's a blessing in disguise for Johnny. I myself will support Johnny with his movies MORE and will boycott anything that that Garbage Scamber will touch.,JustCallMeElle,1,2020-11-05T22:48:05Z
28,UgwcZM9MKcUiqb3WSJ14AaABAg,HE SMASH A PHONE ON HER FACE FOR CHRIST SAKE  IF SHE HIT HIM ONCE OR TWICE IN SELF DEFENSE HE HIT HER AT LEAST 9 TIMES MAYBE 12  WORST CASE THEY WERE ABUSIVE TO EACH OTHER  ALL OF YOU WHO DO YOU THINK YOU ARE  SHE IS INNOCENT UNTIL SHE IS PROVEN GUILTY.,MG DONNER,1,2020-11-05T22:16:10Z
29,UgzOu6xuxkR-vzk81kJ4AaABAg,"The Public Has Spoken!! 

It's the principal of the matter, imo",H. Borter,1,2020-11-05T21:14:45Z
30,Ugy7FJfkiaCblXPijVl4AaABAg,It made my morning to find out that 500K people have signed this petition. It's a LOT of people!!,Zoë Way,3,2020-11-05T20:50:31Z
31,UgwvtePUl4_CKaN-pQV4AaABAg,Lets hope word of what she did spreads across the internet like a virus.,James Stewart,1,2020-11-05T20:40:49Z
32,UgxGFuaNxJFcDC46m-t4AaABAg,"Yay! Hey Jon Paul, karma gonna get you amber!! Thanks 👍🇬🇧",Donna Poskitt,0,2020-11-05T20:36:14Z
33,UgxV_p4_2WnpXN35RxN4AaABAg,Remove her from Earth! Let her try out Mars,missdimples1982,0,2020-11-05T20:36:05Z
34,UgzGcU22CXOaoJKMBbJ4AaABAg,I'm so glad to hear that need to remove Amber heard from anything she does I of course will not see Aquaman 2 I did not see Aquaman and any other thing she's in I will not watch of course because of what she did to Johnny Depp and lie through this whole thing,Megan O'Shea,1,2020-11-05T20:28:58Z
35,UgymydhMKzuBBxTDAMh4AaABAg,This world is unfair.  Good guys finish last,Neha Chand,0,2020-11-05T20:20:19Z
36,UgyPw717XuYdfHWolwJ4AaABAg,US Netflix took down all Johnny's movies except for the Rum Diary..🤬🤬🤬,Sabrina Art Is Therapy,1,2020-11-05T19:59:58Z
37,UgwHnSHoPMidtGKe-u94AaABAg,"Yes, this is creating awareness.  I recently watched some videos on different Madam Tussauds museums.  In almost every one there was a figure of JD in the movie stars section (looking pretty cool).  If JD was indeed a wife beater, then does it not follow that people would be demanding that his figure be removed?  Also, there would be a petition asking him to be removed from his movie roles, stating the evidence.  There isn't and the reason is because there is no evidence.  Just another point illustrating the fact that JD is innocent.  Men who beat women follow the same pattern - they don't just single one woman and beat her, they beat all women.",Susan Gavaghan,3,2020-11-05T19:56:50Z
38,UgxUY-de-RZzzgvwPB94AaABAg,FINALLY!,whiteheart68,1,2020-11-05T19:40:12Z
39,UgysHfOqDLx0IAb4EOR4AaABAg,He is appealing! So there's still hope! Dont write it of just yet!,Welcome to the Rebellion,1,2020-11-05T19:13:30Z
40,UgwhCZpkV9KZW_bivhZ4AaABAg,Good to see more people are seeing this injustice n want to help. Really hope this will change how men r treated when it comes to dv n more places open up to help. Have a good day  also fuck turd she cant act,NEMXA Riddle,0,2020-11-05T19:02:19Z
41,Ugz1kOkJCJvC2eksATN4AaABAg,"While a petition may not mean a thing in reality as far as actually getting her removed from A2, it does represent a LOT of lost revenue if those half million potential ticket-buyers refuse to watch. And that's just the ones who took the time to sign. How many millions more will NOT be seeing A2 if she's in it? It's all about money, so studios should take that into consideration.",Deb Anderson,0,2020-11-05T18:39:03Z
42,UgzsWSihbyYEVBNswp94AaABAg,THANK YOU for educating the masses regarding this petition! I signed months ago...,Wendy Marcum,2,2020-11-05T18:32:43Z
43,UgzRn65UDKva1fGUO_R4AaABAg,"She honestly shouldn't be removed, HEAR ME OUT:

Aquaman 2 is filming is Australia yes? And Heard basically has a warrant out for her arrest in Australia correct? Well wouldn't it be crueler to let her go for filming, only to get arrested and subsequently fired from the set OF HER OWN ACCORD? Personally I think this petition should be cancelled, because it would borderline guarantee Amber a 1 way ticket to the big house.

EDIT: Forgot to mention if Amber remains in the movie and refuses to go to Australia, then odds are she'll be hit with a lawsuit from WB themselves, and that would be damning to her career, in all honesty this petition helps Heard more than it hurts her.",megaman37456,0,2020-11-05T18:12:30Z
44,Ugxo6ENh83nDLWLNe-94AaABAg,"I found you because of AH and JD coverage, I cannot remember whether I found you or the petition first, be either way works, I've enjoyed listening to you.  I share, I doubt many see it but I share.  Thanks and please keep sharing the real happening in the world.",Momma O,2,2020-11-05T18:03:41Z
45,UgxTC9WGgMmvv7LbiuN4AaABAg,"The amount of people who see the truth now is amazing! Some petitions when reached a high goal, will go to the courts (it happens with animal petitions so we can have someone locked up for abuse) and the goal stretched to 1mil so thats a good thing! It will go unnoticed and that's what we want! She ruined his life and career, now it's time for her to suffer the consequences and deal with where her lies got her in the publics eyes",Tigerlily,1,2020-11-05T17:57:03Z
46,UgywnTFpxhQeZ0VpaBJ4AaABAg,Boycott Amber Heard.,MrGhostBoxer,2,2020-11-05T17:42:04Z
47,UgzQc9GH6CYezbP5vzB4AaABAg,I believe that number is being repressed and is way higher.,MrGhostBoxer,4,2020-11-05T17:38:06Z
48,Ugyh1gtkRIfDq47qqw14AaABAg,Siiiiiigned,JuSt SaRaH,1,2020-11-05T17:07:28Z
