,id,comment,author,likecount,publishedAt
0,UgwFHmTEYX3ftWr6Dh94AaABAg,she needs help and time to prove she can change first she can say shes wrong and sorry to Johnny and her fans like ME!  but she must be black listed first till this blows over. but she must say sorry and that she was wrong to make a start of a new good and strong women,REV,0,2020-03-30T10:24:37Z
1,UgwPvQ0a-wo0urTS19R4AaABAg,I think she should be removed.,Jordzyi1,0,2020-03-18T14:33:25Z
2,UgyDEF_t5RxzIwEEsgd4AaABAg,"I knew right off, intuitively, something was WAY OFF in her allegations...Especially since every woman he ever dated came out on his behalf...Folks weren't obligated to do that...She should be charged criminally, as well as losing everything she took from him, by way of his life...He, I am quite sure, has learned ""all that glitters is not gold""...HOW HAS THIS LIAR SLEPT EVERY NIGHT SINCE THIS INTRICATE WEB OF LIES....??????",Donna B,0,2020-03-09T02:20:45Z
3,Ugw8vOxUniIleGVxpZh4AaABAg,Just do it like James Bond,elitepanda3000,0,2020-02-29T02:07:15Z
4,UgzJte1mPhGWvZkWkaJ4AaABAg,I signed the petition lol I tried many times too hahaha.,Micky Dale,0,2020-02-28T18:19:18Z
5,UgymCyWuMmOXg0KpwtZ4AaABAg,I hope this is true!! Johnny is irreplaceable...amber is very replaceable..period.💁🏻,Micky Dale,1,2020-02-28T18:10:20Z
6,UgxbOnvRSbrq_mqWt0l4AaABAg,A petition to have Amber Heard fired from Aquaman 2 won't solve anything and why should Johnny Depp and Amber Heard's dispute and personal lives affect Aquaman 2?,Daniel Williamson,0,2020-02-26T19:15:37Z
7,Ugx24Ams9Qf6WT7I2Q54AaABAg,She'd better be removed,Gabriel Reichert,0,2020-02-25T17:59:45Z
8,UgwlyTmVoHLKWru9Hht4AaABAg,"Hi Tristen, do you think Aquaman 2 will be less Female-Gazey ?  (Shouts of put a shirt on, if not !!)
As I have seen your later video that I still have to reach yet.  I`ll just ask this question :- Will the Ladies who rushed to see Jason in the first film, resist the temptation, in order to support Johnny, if Amber keeps her role ??  Now that poses a conundrum, does it not ? It`s Chocolate shoes all over again !! :)",Long-time Sci-Fi Enthusiast,0,2020-02-25T13:26:15Z
9,UgwRf2QFrBuErsmyqEB4AaABAg,Hmm ...i fell asleep on aquaman....,gabriel fierro,0,2020-02-25T10:59:56Z
10,UgwTg1xSPlVnMwQqJSl4AaABAg,"Do I feel sorry for her? NO! Many people did this to Johnny Depp.... She did this all to herself. Maybe she felt like she was owed something? I wish she wouldn't have done this, but she did. She smeared that man's name, abused him and slaughtered his career!",Tired of it All 👀,0,2020-02-25T02:05:41Z
11,UgymZUKP4HsqlzpZI554AaABAg,"If she is replaced its not good enough ,she deserves jail ,falsely claiming a crime as terrible  as this and putting Depp  and his family threw  hell,should be straight to hell I mean jail.",Billy Gillan,0,2020-02-25T01:57:48Z
12,UgxtYn-aM4lBfwV2BSZ4AaABAg,Everything about that woman is evil,Rumble Terrier,0,2020-02-24T22:03:35Z
13,Ugzqz8yhMD0_UvKwoaR4AaABAg,Yes remove her out of Aquaman 2,Zenaida Castro,0,2020-02-24T20:40:24Z
14,UgxNXCp-xdbBhxsQaeF4AaABAg,"I prefer they recast Mera, just dont pick an ""Uggo"", I heard rumors people want her to be trans... Its BS, Mera is one of the HOTTEST wives in the entire DC Universe !! 

If they use Dolphin, they better bring Garth with her, I never liked the Arthur/Dolphin pairing... it seemed like Arthur robbing the cradle with it, and that poor Garth just got his sloppy seconds...",Throgdar The Brute,0,2020-02-24T18:19:11Z
15,UgwFMlZ236kJQhAvqLN4AaABAg,"She didnt steal the show, she was okay. But I think she should be removed. No less than what happened to the male in this case.",DarkSamuel,0,2020-02-24T18:10:00Z
