,id,comment,author,likecount,publishedAt
0,Ugy8iufRG8sIugj9Pgt4AaABAg,Im with Emilia Clark. Most of them are too young. She has amazing chemistry with Jason . Who does he want for Mera. He should have some say in that I think.,mary.g Carpenter,0,2021-08-29T04:01:28Z
1,UgxU3vnBgnz8StL3dql4AaABAg,Emily Blunt should be Mera. She kind of looks like Amber heard and their both the same height so she can easily replace her.,Supernova X,0,2021-07-18T04:33:52Z
2,UgzcIKjZCE8bPmuN_bh4AaABAg,I think Aishwarya Rai can be a gr8 choice in mera character..,Kart ik,0,2021-07-17T15:06:33Z
3,UgxIjSEfbiqyNmiu-Vd4AaABAg,She wasn’t fired in Aquaman 2. All actors still the same. They will change her if Jason doesn’t like Amber. But seems like they have a good friendship.,Sofia Biatch,0,2021-05-24T17:00:10Z
4,UgyBvYP0NWFfAVKLd1p4AaABAg,I subscibed ❤ greetings from Vienna/Austria 🇦🇹 😊,Angelique Alessandra 🇦🇹,0,2021-05-22T10:32:51Z
5,UgzbBngkTCcEQFkaFe94AaABAg,yes as she should get replace💯 The queen Emilia Clark should play Mira 💯❤️❤️❤️❤️ yes!!! do mean to be!,Country Dingess,0,2021-03-01T22:14:44Z
6,Ugxa-V85Ecnh4iM4JQt4AaABAg,"Here's my list of potential actresses to replace AH.
1) Emilia Clarke 
2) Blake Lively 
3) Ashley Greene 
4) Jessica Alba
5) Bridget Reagan
6) Christina Hendricks 
7) Alex McKenna 
8) Deborah Ann Woll
9) Taylor Swift 
10) John Cena
If they get Kristen Stewart I'll kill 'em.",Cytron1515,0,2021-02-27T02:02:31Z
7,UgxdxSmAYmKf_j1iksJ4AaABAg,Is it only me or does Bridget Regan look like Abigail Spenser,Mahiyat Safiyullah,0,2021-02-12T18:41:29Z
8,Ugxp5XAhfdc6SEikFmp4AaABAg,I subscribed!!!,Carrie King,0,2021-02-06T21:36:40Z
9,Ugyvqj12-a-WNNXMGVB4AaABAg,I SUBSCRIBED! ONLY EMILIA CLARK COULD REPLACE HEARD FOR ME...LIGHT THE NIGHT...GLOW BRIGHT THE DAY...^-^...'IS IT JUST?ME THAT ALWAYS!USES ALL CAPS'...^-^...STAY SAFE AND WELL...,KATHRYNE JONES,0,2021-02-02T03:34:35Z
10,UgwwU3yeIo4zMcK0k4F4AaABAg,No la remplasen,Ariel Ortiz Lorenzo,0,2021-01-28T20:59:53Z
11,Ugzzp1NhydlD0iozMNt4AaABAg,*Petition to give Amber’s role to Johnny Depp*,Jaeger Mann,6,2021-01-23T23:27:08Z
12,Ugyw7LcMRxVZYDfXh4p4AaABAg,"Must be many actors that probably are pretty and nice. AH is not one of those. AH is just not a good person and guess what? around 2,000,000 +
will black list anything she is in, because she is an abuser, liar, and so much more. Scary.",Linda Douglass,0,2021-01-06T00:14:17Z
13,UgwbPt1ByAHxTyQ10kN4AaABAg,Daisy ridley would be great to replace her,Joanne,1,2020-12-18T16:26:59Z
14,UgypPN8jJ3X8a9T9jpF4AaABAg,Emilia Clarke ❤️,Iron Man,1,2020-12-06T09:50:20Z
15,UgxmHbiCyIUBeV7j3t94AaABAg,Emilia Clarke is my Mera:),RealLiamGamerYT,0,2020-12-06T08:46:27Z
16,UgwgSgVHXBC-lledR7x4AaABAg,Blake Lively,G,0,2020-12-05T04:58:54Z
17,UgyVc2fdVUI948wLCY54AaABAg,Get lost jhonny deep😃😃😃😃😃😃😃😃😃😃😃😃😃😡😡😡,Ronalisha Mohanty,1,2020-12-04T05:56:57Z
18,Ugz_7OW4DKmz1gMsBZB4AaABAg,Id love to See Lily Collins as Mera!,Fantastic Leia,0,2020-11-29T13:58:47Z
19,Ugy2xXOlIurSg8hkn894AaABAg,I think Emilia Clark would be great to take A.H. ROLE,Jake Chapman,0,2020-11-27T07:57:23Z
20,UgyVsK9KxS1Yp1u_X0t4AaABAg,"i voted sophie turner, who's agreed with me?",Damar Ardianto,0,2020-11-22T08:24:59Z
21,Ugxhh-vXzX1gsIfyC114AaABAg,"1. Alexandra Daddario
2. Blake Lively
3. Teresa Palmer",Sorana S,0,2020-11-15T23:45:35Z
22,Ugy735MN3yz95cUDmHx4AaABAg,Sophie turner really ?,Lauren ruyol - cuevas,0,2020-11-03T03:30:57Z
23,UgyP1CDg7Qc0e0Nxd0l4AaABAg,"Here are 7 actresses who can replace Amber Heard as Mera.








Here is the fact that nobody can replace Johnny Depp as Jack Sparrow.",Lina Pulatova,1,2020-10-25T21:09:47Z
24,UgySut0EV3jBOYbLYUF4AaABAg,I am not familiar with these actresses but my vibe went towards the last woman shown. Not sure what is was but I could visually see her in this part.,Rhonda Cain,1,2020-10-23T21:50:52Z
25,UgxcWZvkmBNh0XHrhxJ4AaABAg,sophie turner will be good,Sundari Sukoco,1,2020-10-21T20:46:46Z
26,UgymoN5SFfmevXB6FtR4AaABAg,Emilia Clarke yes,Kira Brut,0,2020-10-15T13:13:08Z
27,UgxQYPW-DmCaw_szsdt4AaABAg,"Blake lively 
Dakota fanning or her sister Elle fanning 
They would be better",Maha Mm,0,2020-10-03T20:50:40Z
28,UgxdiQhsDss8faNUodp4AaABAg,Sophie Turner!!!,Juniper Labor,0,2020-09-28T23:38:34Z
29,UgyY_fEnYSy1szJrnw54AaABAg,Sophie Turner.,Susana Maddox,0,2020-09-28T21:25:13Z
