,id,comment,author,likecount,publishedAt
0,UgwRDf1jkXG6AMyfrE94AaABAg,As another commenter said EM - click bait title.,FlippingBunny,0,2021-05-31T16:15:33Z
1,UgwaIBEOMXoqK7nMSjZ4AaABAg,"Both individuals have lead very corrupt lives, but one is clearly the aggressor here.
Strange, I used to think that Elon and Amber made a great couple together :-Z",Jeffrey314159,0,2021-05-16T19:57:16Z
2,UgwxFOqVI-N-VOWOy9l4AaABAg,THEY NEED TO GET HER OUT OF EVERYTHING,EVA LEE,1,2021-05-16T01:23:31Z
3,UgzKP8XGnREBGu7Q79F4AaABAg,still wonder wht they found  good to like  about her,wolf eyed girl,0,2021-05-15T13:26:46Z
4,Ugwpq68-nZSB93SS8614AaABAg,She should do time in prison for perjury and defamation of character.,Shifting Drifter,14,2021-05-13T15:50:33Z
5,UgwWI91etkRI-MtYqyd4AaABAg,ummm... so how exactly does EM defend JP?! This title is clickbait.,Freya Vajra,18,2021-05-13T09:37:16Z
6,Ugyf3USFOQh5RC9DfE94AaABAg,50 million doesnt take trauma away..... Money doesnt remove drama,Fire Flies,0,2021-05-12T03:39:40Z
7,UgwrPpzYEYerPoHuIbl4AaABAg,It's not over until the skinny lady sings. Make it good note Amber.,Katherine Lange,0,2021-05-09T19:05:16Z
8,UgyCwAqmamgUB6o9_e14AaABAg,Amber heard 🤮🤮🤮😒😒😠,ECEM AYGÜN,4,2021-05-08T18:20:37Z
9,UgzWDKRmhIDAB32VXSx4AaABAg,Elon Musk was having a n affair with AH while she was married to Johnny Depp. #JusticeForthejusticeDepp,Kay K,6,2021-05-06T06:24:57Z
10,Ugy2k90A-mq6ZLOhnKB4AaABAg,Elon Musk had an affair with AH so...,Emily Walker,5,2021-05-05T05:56:19Z
11,UgxfNw-MQ16XuNKmHzp4AaABAg,The mainstream media and the WORLD will know the TRUTH. All of us Johnny Depp Soldiers already know the FACTS. #JusticeForJohnnyDepp...#LockHerUp,stealth women,5,2021-05-05T01:15:00Z
12,UgxZ72LJE8E5Y-m2WIR4AaABAg,For an intelligent man Elon was fooled just as easy as Johnny was.. 🙄,My self,29,2021-05-04T18:40:54Z
13,UgzdYNtKEml80vZIkBt4AaABAg,I cant stand either one of them.,Lorri Holder,2,2021-05-04T16:17:35Z
14,UgygGxnAzs3O0fM3cUl4AaABAg,Maybe Elon wants to buy the judge with money. That is why he lied so that people would not think about it,jack sparrow,0,2021-05-04T12:06:11Z
15,UgyGr9djsQrtMZWnSiJ4AaABAg,"she has more proof of AH being abusive inother relationships to prove at least a ""pattern of behavior"". i think if JD loses roles then the same should be done to AH too cause its only fair since most women want equality take way her jobs too. personally i think AH is a trash human being cause of using her ""friends"" r*pe story as her own (yes she accused JD of s*xually assaulting/r*ping her behind closed doors at the UK trial and the judge called her out on her BS)
i 100% believe JD was the innocent party in this or at worst he was fighting back to stop being hurt worse (oh yeah and AH and her ""friends"" bought knives to hurt JD if stuff got out of hand)",darkmistress1980,0,2021-05-03T06:59:43Z
16,UgxAMCJYFn6RO1oVh-R4AaABAg,"No! The rocketman, influenced  Dorsey so That johnny couln't not have twitter account",guia,13,2021-05-02T05:14:16Z
17,UgyAhd5vNYkZUjKaHGB4AaABAg,She's a liar and gold digger.,Stephen Fair,0,2021-05-01T23:28:50Z
18,UgwU5H_LUTuP7xDwoJl4AaABAg,"Amber in no particular order- 1. illegally imported her dogs into Australia (forging paperwork & NOT quarantining the dogs), 2. Has previously been charged with domestic violence against her partner before JD, 3. Lied about donating the 7million in divorce money, 4. Asked other people to lie for her about illegally importing her dogs, 5. Threw glass bottles at JD severing his finger, 6. Is heard on recordings goading JD & admitting to hitting him, 6. Putting out old pictures of herself training from 2017 & falsely claiming they are new pics of her training for Aquaman 2, 7. Stole the story of a DV victim & tried to claim it as her story. 8. Withheld documents/information she was supposed to hand over for her court proceedings. 
WHY does anyone believe a person like this? Add in all the statements from people saying JD is a good person I don’t understand why the newspapers are still believing Amber.",emily cheetham,0,2021-05-01T21:37:06Z
19,UgxEfuCdmgzITeg0O7F4AaABAg,"The more I hear the less and less I believe Johnny is capable of ANY harm and the more and more I believe AH to be a lying, manipulative, self centred, perjuring, gold digger.",emily cheetham,2,2021-05-01T21:25:09Z
20,UgwfdjYgEymlherHyNx4AaABAg,I believe Johnny. Her conversation that we're tapes convinced me she is setting Johnny up. He is no saint but she has given him a challenge of who is worse.,Ella Mae Loftus,4,2021-05-01T16:45:56Z
21,UgyPRzu5wluKtVvreMd4AaABAg,"vidéo fake 
he never defended Johnny",Valo Michela,7,2021-05-01T15:02:44Z
22,UgzkntyafXmBRlEhOOJ4AaABAg,"Yes, it’s questionable that Elon supports Johnny. I mean, he has been avoiding a deposition.... and there was some meeting he recently had with Amber in Mexico so...",shisagirl,5,2021-05-01T14:29:47Z
23,Ugz45ybqiqWtO7uVmT94AaABAg,"Not enough is being made of how the British justice system is clearing CORRUPT and failed Johnny Depp. EVERY British subject should be up in arms about this. If JD cant get justice, what chance do the rest of us stand???? Justice Nicols son works for RUPERT MURDOCH and therefore Nichol should NOT have been presiding over this case at all...and why was JD not allowed an appeal????",Lola Twinkle,13,2021-05-01T12:32:32Z
24,Ugy5k-NWKHlLWl20q4x4AaABAg,Elon was a Simp. I hope Amber Heard 💩 gets a Karma,Venom Neff,0,2021-05-01T12:32:00Z
25,UgyPjyNonsz5fCyiGdl4AaABAg,"After the latest bodycam footage from the police at JD apartment the night, she said he broke everything... I came to the conclusion Amber Heard and friends are so good in cleaning up a mess... gluing back broken bottles of wine and furniture, fixing a hole in the wall, painting, cleaning all the puddles of wine in the carpet and wall... All this in a couple of minutes from the time the police video cam was made of Johnny Depp apartment... God there are so good.  I would pay good money just to see the face of British Judge Nicol hum... I hope being a crooked judge was worth the money you made from RM",Guy Mercier,12,2021-05-01T03:53:44Z
26,Ugxlkfy2CBWZyieIXI54AaABAg,SO MANY holes in this STORY.... PLEASE... SEEK and SHARE TRUTH.,Kim Orris,5,2021-04-30T21:01:51Z
27,Ugwy8wjTioIRU9qKW414AaABAg,Amber has Elon's balls in her purse 🤣😂,kenna stout,3,2021-04-30T20:41:26Z
28,UgxghDZTxIVEAu9tiMZ4AaABAg,#JusticeforJohnnyDepp,𝕿𝖍𝖔𝖗 𝕺𝖉𝖎𝖓𝖘𝖔𝖓,11,2021-04-30T20:10:36Z
29,UgyEjJKWQ2EOp0j-5Rh4AaABAg,Elon will save amber just you watch,Sebastian,16,2021-04-30T19:59:24Z
30,UgzHcVTiJX1c4LMJU-54AaABAg,I think you got the court facts incorrect.,laurels heart,4,2021-04-30T19:53:30Z
31,Ugw3d-8TjZoQVZsw5P54AaABAg,"Finally exposing facts. You  missed to mention the body cam footage from the LAPD. Looking forward for Truth and Justice
#JusticeForJohnnyDeep
👍❤️🇵🇹",Carmen Castro,18,2021-04-30T15:46:18Z
