,id,comment,author,likecount,publishedAt
0,UgwF_yuXdkJ0swpH3KR4AaABAg,"Эксклюзивное заявление Адама Вальдмана немецкому каналу RTL касательно вердикта британского суда и записей с нагрудных видеорегистраторов офицеров полиции:
“Вопиющее решение судьи Никола было основано на одном простом правиле: если Эмбер Херд сказала это - значит это правда, несмотря на всю абсурдность ее слов и целые горы доказательств, изобличающих ее ложь. На своем пути к несправедливости судья закрыл глаза на показания офицеров полиции и десятков свидетелей, 87 видеозаписей с камер наблюдения, видео- и фото-доказательства в высоком разрешении, датированные следующим днем после, как она заявила, жестокого избиения. Он также оставил без внимания доказательства того, что мисс Херд годами лгала правительственным инстанциям, судам и благотворительным организациям, чтобы получить то, что она хочет. Он проигнорировал путаницу в непоследовательных и постоянно меняющихся историях мисс Херд, когда под давлением доказательств она переписала 6 версий своих свидетельских показаний. Судья даже закрыл глаза на многочасовые аудиозаписи, на которых мисс Херд недвусмысленно призналась в целом ряде актов насилия в отношении мистера Деппа, который просто уходил из дома, чтобы избежать ее нападений, а также ее слова, что ”ему никто не поверит, потому что он мужчина”.",Зоя Бельская,0,2021-07-19T12:03:08Z
1,Ugy32e8hTv4FJTAMfn94AaABAg,Amber Heard is an Abuser. No Thanks Hollywoke.,LockDown,0,2021-03-31T04:23:02Z
2,UgwU6_pVyBbTwVopRnl4AaABAg,Gross,Elaine Hocker,0,2021-03-24T16:49:54Z
3,UgwnBs54bNvZacFIHcV4AaABAg,"The costume is flawless, so is the actor in it....but she is a terrible person...it’s really sad that  amber plays mera instead of an actor young girls could actually look up to. Hopefully she gets replaced",Rose Margie,1,2021-03-19T03:07:03Z
4,Ugz28ob49-SK5phdXNF4AaABAg,Justice for Johnny Depp,Miseo,1,2020-11-06T18:38:14Z
5,Ugzmwon7Dcv9tQvuT4J4AaABAg,Let's hope we don't see her on screen again 🤮,Brian McKenna,3,2020-09-28T18:39:45Z
6,UgxtyZoWDUpmM9xd8V54AaABAg,Hate her,Wendy Bryant,1,2020-09-10T10:07:28Z
7,Ugw-S5mXQLZmQkieH6t4AaABAg,Amber Heard absolutely slays as Mera!,Rodney Ives Collen,0,2019-05-31T22:34:54Z
8,UgwrtWXAFsr9OPsRPLJ4AaABAg,Saw aquaman already and I’m in love,Angelo Bartolome,0,2019-01-28T06:39:21Z
9,UgysW9Xc7FgOOdQBHq14AaABAg,She's hotter in the Aquaman film. damn,fightnight14,0,2019-01-10T07:04:30Z
10,Ugwu1hJz2Dg7uofT9GR4AaABAg,wow... this justice league costume compared to the Aquaman costume and the character is just too bland,Aman,0,2018-12-27T20:30:45Z
11,UgwV5h3_X_hqrSYH7St4AaABAg,hell yes i loved and love all dc comic,joyce majercik,0,2018-12-16T23:19:13Z
12,UgwTfgT4gw5vHR7OfJh4AaABAg,Im a Marvel fan and I always will be but  Mera’s STUNNING,Scarlet O’Hara,2,2018-07-29T20:14:17Z
13,Ugwu0cwC_W6_FN_0mjB4AaABAg,🌹 Amber Heard,"Hey, Wanna Play?",0,2018-07-16T06:14:00Z
14,UgyCKvDDLZ4W5P-nGKp4AaABAg,thicc,Noob Frame,0,2018-07-16T03:55:38Z
15,UgwZtPAWTruGwEZRSmt4AaABAg,She's not bad to say she has hit the wall at 32,dinoworld112,1,2018-07-13T19:12:54Z
16,UgxyArM3ReqdNPRi1LF4AaABAg,Amber Heard is a very beautiful woman ❤,Jamie Maclean,0,2018-06-10T23:14:17Z
17,Ugw6Bi_Zqv7c92tocvZ4AaABAg,tretroll retro,Nicholas Vincent,0,2018-05-04T02:21:30Z
18,Ugz-Evf5NryQm29UHqx4AaABAg,"Well done, 406!",ShadowGT91,0,2018-04-06T14:57:47Z
19,Ugyr7iFT49bwxj5TEHx4AaABAg,Why they made her a doll in this movie?,Miss Depp,0,2018-03-30T19:37:09Z
20,UgxaT7NIL8Gh-Oq3xmt4AaABAg,I didn't even recognize Amber Heard as Mera lol..,SuuzieQ,0,2018-02-24T16:16:13Z
21,Ugw43mvmh7wjvAVsRfp4AaABAg,Whoa aquaman!,Riku Seman,0,2018-01-10T22:35:29Z
22,UgzW83KLzsiIP5L7tGl4AaABAg,they could have done better,Chris Zid,2,2017-12-07T04:43:17Z
23,Ugx7QJsqFbL-Pf79_0R4AaABAg,She is a terrible actress and person. Ugh I hate that she is in this movie,ashton anne,2,2017-11-29T23:49:41Z
24,Ugz0eeMA0S5JJZQFe2p4AaABAg,Amber heard is perfect as being mera,Jeffrey Williams,0,2017-11-28T21:34:48Z
25,UgwjH4DnJKRoV4Q-8xJ4AaABAg,Lol wont watch this the biatch portray MeRa will be chop the head off lol by WW,mazikin,0,2017-11-26T21:00:35Z
26,Ugwi6PfKIWogKeTqYzp4AaABAg,Will Wonderwoman decapitate her in this version?,Gigi Hadid,4,2017-11-26T03:55:56Z
27,Ugyxryd8IJZfFf_2PCx4AaABAg,She was only in the movie for 5 minutes I’m screaming she didn’t do shit,El,1,2017-11-26T02:29:47Z
28,UgwZsVrricHDBRlOBOB4AaABAg,Guys I’m trying to reach 200subs by the end of the year can u help I post really creative content.,Gonightnightson,0,2017-11-25T03:41:09Z
29,Ugx8KCvcEDKEdezNJaN4AaABAg,Who watching when the movie already out?,Lemonade Spill,0,2017-11-24T18:15:34Z
30,UgwmHqfv_2VqgbFw9aZ4AaABAg,Anyhow wonder woman will kill her.,Vijay diwaakar,2,2017-11-23T14:47:23Z
31,UgyofuL-Uyv9Oxg-d_R4AaABAg,She would make a good Mera,Lachlan Anderson,0,2017-11-21T05:53:35Z
32,UgzUDlZfZyWNwF-ZwJh4AaABAg,Who else is watching in November 2017,L Alvarez,1,2017-11-05T15:39:59Z
33,UgzYSgFmm9WRilgXJ5h4AaABAg,How does Aquaman win fights when he's not standing directly next to or in an ocean?,saltyninja,0,2017-11-01T16:59:17Z
34,UgwfBgbwBzU0YdnZRu54AaABAg,Pineapple Express,Marvin Rodriguez,0,2017-10-28T15:26:18Z
35,UghYazZYH8RbKngCoAEC,She looks so good holy shit,dramatic virghoe,2,2017-07-14T22:39:32Z
36,Ugg1yOUKct9nb3gCoAEC,ZACK SNYDER ISN'T DIRECTING AQUAMAN JAMES WAN IS,Mezak Zambono24,0,2017-06-28T14:52:05Z
37,Ugj-IUuvLBVU73gCoAEC,whats this gold digger doing dc movies,Sam Sung,9,2017-04-28T06:12:55Z
38,UghYnpuIUXj3_XgCoAEC,She looks perfect as Mera. I'm so gonna watch this movie. I mean its by Jack Snyder (300; Sucker Punch). Probably violent but the images are not going to disappoint.,AngelGirl,0,2017-04-05T16:08:40Z
39,UgjUopL87SvZSngCoAEC,I wish Amber Heard was casted as Captain Marvel and Brie Larson as Mera,Xniper 27,1,2017-04-03T12:32:44Z
40,Ugid4aMBgqnJiXgCoAEC,The hype has been dead for me for awhile. The recent trailer kinda has me hoping but I know its gonna suck.,Dyllan Rodriguez,0,2017-03-30T17:03:22Z
41,Ugguulzia2Zb2HgCoAEC,She took Wonder Woman's place,Criselda Bautista,0,2017-03-30T04:34:32Z
