,id,comment,author,likecount,publishedAt
0,UgxZXc99mACV7aOdhYp4AaABAg,"What really makes me angry about this is that WB is just dismissing all of us calling for AH's removal as nothing more then angry ""Johnny Depp fans/stans"" when that is not the case at all. I have seen thousands & thousands of comments on other channels from the people who are supporting Johnny Depp, & what WB doesn't seem to be willing to acknowledge is that many of these people are not even ""fans"" of his movies. Many of these people are supporting him because they were dv victims themselves who, having been through abuse, know a real abuser when they see one, & they all say the same thing, that the abuser in that relationship was not Johnny Depp, it was AH. Yet WB still continues to push this narrative that the backlash is all because of ""Depp fans"" & dismissing the thousands of real dv victims who are being retraumatised from seeing AH held up as a fellow victim & advocate for abuse victims when she's a proven lier & abuser, it's sickening.",Kirsty Fairly,2,2021-08-02T21:37:57Z
1,UgzEUjDN2xGbcs-doPl4AaABAg,"Wb: we dont care what fans think 

Film released: where's our audience?",Azriel Conception,4,2021-07-31T19:53:52Z
2,UgyE9_UPh91auY4bl4l4AaABAg,"It's always ""believe victims"" until the victim is a man.",Mikey Jamieson,5,2021-07-31T15:04:24Z
3,UgwhCJzAcqDhm0N3ofl4AaABAg,"When the film comes out and all people are talking about is her being an abuser and not the film… he will, care.",Patrick FF,4,2021-07-31T12:55:18Z
4,Ugzo9tni7wQfmV7MIst4AaABAg,"Don’t forget aswell as assaulting two of her ex partners she also lied about donating millions to sick children, exploiting them to make herself look good. What a disgrace she is.",linzi94,0,2021-07-31T07:39:32Z
5,UgxltX_Tx7Sr_ORWqaB4AaABAg,"I can't watch her. She is on tape saying to Johnny Depp that no one will believe him, mocking him after beating him up. And she was right, she beat him and cut off his finger and he was the one to suffered media hit pieces and job loss. I cant support someone like that, male or female, it doesn't matter. I'm not spending what little money I have for extras on Amber Heard.",Amanda,6,2021-07-31T05:32:58Z
6,UgycrKEvLHoiryoiXSx4AaABAg,I Won't Support Aquaman 2 Because Of Amber Turd Sorry Jason Momoa,"Terrell Austin""",8,2021-07-31T04:42:50Z
7,UgxX7dxcAkwlkDF6-Mt4AaABAg,Than just separate the art from the artist,Yousef AL-Dulaijan,2,2021-07-31T03:07:02Z
8,UgyiksWuTI7QDPiXDrF4AaABAg,"Domestic abuse is cool, just let the man be the victim and let the victimizer be female or an Ezra Miller type.

This is why I give zero fucks about any women of Hollyweird claiming to be abused, I don't care since they don't care about men or even children in Hollyweird being abused.",What About,0,2021-07-31T02:49:34Z
9,Ugw6VfbC9DXiI3tvsDh4AaABAg,"Well, then the producer will have to learn the obvious and painful lesson.",Donte Morgan,10,2021-07-31T02:49:29Z
