,id,comment,author,likecount,publishedAt
0,UgzoVXyDOuYqo2N8o8t4AaABAg,"¿Cual te parecio la data mas epicamente suculenta de todo el video?
No te olvides de darle DUUURO a like.",DELCARAJO TV,177,2020-10-06T01:27:14Z
1,UgwdxWqLPpDFgdetb5N4AaABAg,"Amber merece estar fuera porque ella le hizo lo mismo o peor a Johnny, a ver si así aprende la lección🤷‍♀️",Brisa Hdz Lomas,0,2021-05-10T23:36:36Z
2,UgwbLeXnwEo9TNr51wZ4AaABAg,Diosss que rrriiiica noticia,Alex game,0,2021-04-23T12:13:44Z
3,UgyYHWqep3tVqSQiI2F4AaABAg,El mundo espera por Jhonny Depp ❤️,Rozii Reznor,0,2021-02-23T18:51:54Z
4,UgwHz5j2rvyvxixAq4V4AaABAg,"No será que echaron a donalsio para que no hable y arruine la plandemia, la q desconoció siempre ??",Shopping Pinguin,0,2021-01-18T16:35:42Z
5,UgwSZs__VFF6JUWYClh4AaABAg,#JusticeForJohnnyDepp,INVESTIGACIÓN HORO,0,2020-11-19T21:16:07Z
6,Ugxhn6e8IRCnsP3qx1h4AaABAg,"El experimento de la rata es parcial, su comportamiento es idéntico al humano, por eso las estudian.",Caín,0,2020-11-18T17:48:03Z
7,Ugyfm1TZPg62UTa8ngJ4AaABAg,TP Resurrection le rompió el Q-lo al algorítmo de youtube.,Caín,0,2020-11-18T17:43:57Z
8,UgwiIPxvGyQljNVrEax4AaABAg,Bro tenes que ser objetivo  con el tema que vas a comunicar.. le das mucha vuelta a la noticia que quiere ver uno. Y al final  quitamos el video a los dos minutos.  Al grano una sola noticia o chisme.,Eddy Ayala,0,2020-11-18T04:03:27Z
9,UgySlfSNK3kUKjDVx7R4AaABAg,https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2 los que quieran apoyar la causa,ElTigre86,0,2020-11-15T21:22:15Z
10,UgwTTbgDqbTIelxJH3Z4AaABAg,"Que pague por mala, se hizo justicia",Samirdavid Solisrayo,0,2020-11-14T14:44:15Z
11,UgxFnGV_6CCA95Cs5MV4AaABAg,"Lo de Amber no es totalmente cierto, ya que como tu dijiste eran rumores que Warner no había confirmado, pero ahora que ya pasó lo del juicio en The Sun y Johnny, pues se puede decir que Amber seguía para Aquaman 2, pero los fans de Wizarding World y de Johnny ya estamos llegando a la meta de firmas para que saquen a esa desgraciada.",Dehixa,0,2020-11-12T22:59:32Z
12,UgxDy9jmj66veP-GXvh4AaABAg,"Como me llega a la punta del nepe que en el título pongan ""100% confirmado"", y después dentro del video ""supuestamente, nada es seguro""",Veraneitor,0,2020-10-27T14:07:00Z
13,UgxTavCf4kekSbHXiox4AaABAg,Estas equivocado sobre la dexametasona es un corticoide que tiene acción analgesica antiflamatoria y descogestiva,Néstor Rubén Marás,0,2020-10-24T03:45:23Z
14,Ugx-fC0ZISwf-GPW5LN4AaABAg,"No la van a echar ni festejen, primero son los negocios y marquetin , no hay nada
 Oficial por Warner , Aquaman 2 no funcionará bien sin Amber es triste pero cierto un personaje importante no va a pasar desaperbido así nada más es más mejor sería para Warner olvidarse de filmar Aquaman 2 y pasar página",dante rp,0,2020-10-23T23:48:29Z
15,UgxYviEHY5mm1QGFO0Z4AaABAg,"EL PRESIDENTE PATRIOTA DONALD TRUMP HA MANEJADO PERFECTAMENTE EL PAÍS, EN LA MEDIDA EN QUE los del pantano  le han permitido, PUES HA SIDO BOMBARDEADO CON MULTIPLES ATAQUES INJUSTOS, POR EL PARTIDO  pedócrata y sus esbirros !",Ofelia Meza León,0,2020-10-23T19:47:19Z
16,UgwYr75B8aYWMhALmup4AaABAg,Gracias,Juanylucia Lucia,0,2020-10-23T16:54:23Z
17,UgwjA624vTe2zS0sZX14AaABAg,"Me gusta tu contenido, me suscribo 😀",Xander04,0,2020-10-23T13:51:30Z
18,UgzyTMZVf2bTus62IVN4AaABAg,esto ha alegrado mi dia <3 te lo mereces amber,PAMELA JUSTINIANO CAPCHA,0,2020-10-22T00:51:58Z
19,Ugy-IZqVH8O_S0lewAh4AaABAg,si es justo q la saquen de la película x delincuente x falsa   mala gente x desgraciada y x muchas cosas más no debe de seguir en Hollywood es una falsa y debe de ir ala cárcel digo d lo q se visto y oído,Magaly Montes Cruz,0,2020-10-21T19:12:38Z
20,UgzfD3Fkm-2TL-8AeFJ4AaABAg,"Ahora va a querer demandar a Jhony Deep por mil millones de dólares, por contratarnos para sacarla de la película jajajajaa....
Veremos por cuál otro motivo va a querer demandar a Jhony jajajaaa..",Centella Ndoki,0,2020-10-21T17:43:22Z
21,Ugwjb0VsLUuZoCLohgt4AaABAg,"no entiendo como sigue habiendo gente que no sabe discernir entre un actor y sus personajes, que se alegre alguien porque la actriz en este caso amber heard no saldrá más me parece triste, si te cae mal, no la invites a comer a casa simplemente pero si es buena actriz debería poder seguir ejerciendo su trabajo bien.",Alex Roig,0,2020-10-21T08:34:34Z
22,UgwM_u3EV8NRLoVe3BF4AaABAg,"Lo cómonico de cuando ví la peli Acquaman es que todo el tiempo cteí que era Emily Blunt en vez de la embustera Head... Cuando le pregunté a mi hermana si había visto la peli y que le pareció ésta, me dijo: "" No entiendo por qué directamente no contrataron a Emily Blunt para el papel en lugar de buscar una mina que se parezca a ella y con tan mala reputación de colgarse de famosos y millonaruos para llegar a ser alguién..."" Y es cierto, ya que antes de que ande con Johnny Depp nadie la conocía. ¿Alguién más le ve el parecido, además de nosotras dos?",Carina Stucki,0,2020-10-20T19:23:21Z
23,Ugyhh4pxUW_ebACzDeJ4AaABAg,"Ambar Heard a la carcel y no por Lesbiana si no por lo mentirosa y maquiavélica que fue contra una persona inocente que solo se quiso aprovechar de su fama y su dinero, por eso mismo tambien se agarro a Elon Musk, típico de Gold Digger, se merece la carcel y mas, a lo mejor ahi conoce a otra prisionera para aprovecharse tambien.",Caesar Mattus,0,2020-10-20T15:52:17Z
24,UgxyxH8Hpzm11_AtB-l4AaABAg,la dexametasona es un corticoides ..en argentina se vende como DECADRON...TODOS LOS ASMATICOS LO USAN..NADA EXTRAÑO,Ivan moreyra,0,2020-10-20T06:11:03Z
25,UgyVvOw2m7v0opZI-d14AaABAg,"Que lastima lo de tu abuelito, mi más sincero pésame, a mí me pasó algo muy parecido con el mío, hay gente demasiado mala en el mundo, pero también hay gente buena, yo ayudo cada vez que veo a alguien en mal estado, incluso he intentado dar primeros auxilios a personas que se desmayaron frente a mis ojos",Jazmin Rojas Campos,0,2020-10-19T16:44:19Z
