,id,comment,author,likecount,publishedAt
0,UgzdLfzOaV4iolHlYxJ4AaABAg,"(Hee-throw) Airport
I gotta start looking up how to pronounce these places I've never heard of before. 

While I have you here. Let me know if you're liking the new 3D graphics as a change up from the 2D drawings. Also keep staying safe. Protect yourselves and others. Smile often. Cherish life and those you love. Take care!
-IA",Incredibly Average,730,2020-04-08T07:11:07Z
1,UgyPihLYooV9SCSxL3R4AaABAg,Bingo re Amber’s scars.,catlaw1997,0,2021-11-18T18:24:51Z
2,Ugxhj6A7h1q5lnANeLV4AaABAg,I'M TOTALLY A HUGE FAN Of Johnny Depp So Very Much. I LOVE U JOHNNY. JOHNNY DEPP U Have Me as Ur 4EVER FAN. I Believe in U N I Stand With U JOHNNY DEPP. ❤💜💋🥰,Rachel Soule,0,2021-11-17T10:07:53Z
3,UgzmldtkKHU9LSKVf6x4AaABAg,"Lets also not forget the fact that Johnny is right-handed as well and yet all of the injuries to her face apply to her right side, which is easy for her to manipulate with makeup but it's really hard to explain how a person who's right-handed and facing you head-on would only pertain the left side of your face.. a huge portion of any facial injuries she suffered should have been on her left side",Jessica no,0,2021-11-09T16:53:57Z
4,UgzgBNX3Gc3DIl33Hqd4AaABAg,i cant imagine the intense pain of getting your finger tip cut off. that had to be extremely painful.,jennifer cole,0,2021-11-05T03:17:12Z
5,UgzNr1zM9o3DNHKp_Td4AaABAg,25:40 Age: 114 yrs,carrot hi-pi,0,2021-11-04T19:42:11Z
6,UgxBVrllH-_kkeslvVV4AaABAg,She’s the fuckin vain one,Lindsey Depp,0,2021-10-20T00:01:06Z
7,UgyU2_DkaE-uKuUVm1R4AaABAg,"I would anything to be loved as much as amber was loved by Jonny.  I was abused for years in my marriage, cheated one told I was worthless etc.  not once did I ever “fight” back.  Never raised my hand to him or called
Him names.  Never took pictures etc.  I loved him with every ounce of my being, but I wasn’t good enough.  It came to a point that I just couldn’t do it anymore.  I am a person who doesn’t believe in yelling at each other, talking is the best way to keep situations calmer.  My ex never once said he loved me in court, and I would have given anything just to hear that from him.",Kayla Klein,0,2021-10-16T12:44:38Z
8,Ugzcq60NBHNKOi5FDIB4AaABAg,And clearly.. the Sun magazine .. $$,Ashley Belair,0,2021-10-16T07:48:22Z
9,Ugz0xfp9-9DJtA0gFKx4AaABAg,The friends facial expression at the end when asked about cutting Johnny she looks somewhat shocked like she had no idea. I'm sure Amber just lied to all her friends of course,Ashley Belair,0,2021-10-16T07:46:39Z
10,Ugy0GopEBw5mBnVl_Dd4AaABAg,Also you can absolutely hurt yourself as the attacker. Going by the ways she's said to react its absolutely very very likely she scratched herself by her own actions of her own doing in acting out,Ashley Belair,1,2021-10-16T07:31:56Z
11,Ugx89JKQ8eJwbO0Qlhl4AaABAg,Your average normal person if accidentally harmed someone in a manner with the injury to his finger that person would react like omg I'm so sorry an be sad that they hurt someone they love you know cuz I have been there where I threw something in anger at my sister in a sibling rivalry spat as a teen.. not intentially to harm her she walked into where I threw it but it just happened to hit her and my immediate response was sheer despair and sadness that my loved one was harmed by my act of anger yet it this instance she continues to go as to harm him even farther... it's just crazy an I just had to relate and point out how a normal loved one should act if you truly care,Ashley Belair,0,2021-10-16T07:25:47Z
12,UgyBAqPpqe_nnxa5JPl4AaABAg,From listening to a previous recording Amber offered Johnny a valum telling me she participated in a fair amount of drug abuse herself. She is not innocent by any means and it's a hypocritical crying shame that she berate him with that,Ashley Belair,0,2021-10-16T07:19:45Z
13,UgznMi3-9oDO6nZh-Id4AaABAg,She had to be put behind borderlines and get drugs for her sickness...Instead of coke from musk....,Jm Van De Ven,0,2021-10-06T18:43:29Z
14,Ugw6e_b5UCRUp5c-qal4AaABAg,"You're wrong about 37:18, but it's still over acted in order to convey a feeling of disgust that the question was absurd. People guilty of murder behave the exact same way when it is ""revealed"" to them the person they murdered is dead. 😱",Ugly Petty,0,2021-10-02T00:54:14Z
