,id,comment,author,likecount,publishedAt
0,Ugya9XtmdayoM7VANtd4AaABAg,YES YES YESSSSSSS,EVA LEE,0,2021-05-22T02:10:06Z
1,Ugx6XLG0PUcQHPnpNWF4AaABAg,"We all know what amber Heard, did,, but when it comes to role,, the best plays,,,,, even the worst people can do best,,,",Knowledge Study,0,2021-04-06T22:27:45Z
2,UgyU8rVkQ8ASLGWc2tJ4AaABAg,"I hate to say,, but amber Heard is way better in aquaman,,,,, it suits her,,",Knowledge Study,0,2021-04-06T22:25:22Z
3,Ugyt5XiBmJ1sIN2mqdh4AaABAg,F u Disney and Warner Bros.,ronoel,0,2021-03-26T13:05:46Z
4,Ugyp2DgO6qovia1wtbd4AaABAg,why do people post this shit? IMDB is still showing Amber Heard is still playing Mera.,James Collins,0,2021-03-21T21:20:54Z
5,UgwYluCiqN0DFI3l5Jp4AaABAg,I hope they do a GOT scene like before. LOL.,Walang Kwentang Trader,0,2021-03-21T12:43:27Z
6,Ugyxb4hz6BAiVTVvrJl4AaABAg,Amelia's  way more attractive than ah we already know she is a better actress I dont want to not see the next aquaman sorry to Temuera Nicole Jason but if the basher is in I'll refuse to watch go justice for Johnny,Carmellita Le-Man,1,2021-03-09T10:27:02Z
7,Ugy-GCbsCCzCWRRYSyN4AaABAg,"It would be better because:

1. Amber Heard is a manipulative lying piece of shit, and Clarke is not
2. Amber's performance was bland and disposable.
3. Clarke has great chemistry with Momoa.
4. The majority of fans want this.

It's a no brainer. Hire her!",Nebula Rain,0,2021-02-28T13:11:36Z
8,UgyAgO2J99gMNIhv0Lh4AaABAg,👍,Hei Chan,0,2021-02-22T20:43:23Z
9,Ugz6tiKg8bx_4qbiMRV4AaABAg,EC would perfect in the role as Mera. I never liked AH as Mera. JD is a good man that has been badly used by a gold digger.,Barbara Rothwell,0,2021-02-20T02:24:41Z
10,UgwoJEZnCTWeF7DzhIB4AaABAg,Emilia! She is far prettier than what’s her name.,Patti Jo Sinerius,0,2021-02-17T07:04:21Z
11,Ugym5Y3dqtMKRYfWhWd4AaABAg,"Hmmm...Emilia Clarke is a charismatic, kind, witty and is an incredible actress- Amber was tolerable as long as she didn't open her mouth (well, till like 3 years ago)- tough choice!",ondkami,0,2021-02-12T21:43:48Z
12,Ugy-MrJKfT7jSj6PNwB4AaABAg,Please give her the role ! I would soooo watch that !,Olaf Kersten,0,2021-02-10T14:01:18Z
13,UgzyeyZYC8cXDrX0-Bx4AaABAg,part 2 going really trash movies,VietDragon,0,2021-02-10T13:17:15Z
14,UgwXStImX7RF3MW2IDl4AaABAg,not you're business not you're life stop bring this crap up if  you dont like movies dont watch it replacd her not  going do anything good,VietDragon,0,2021-02-10T13:16:14Z
15,UgyUMZfdGwBADVmYBGN4AaABAg,LOser,VietDragon,0,2021-02-10T13:14:52Z
16,UgzGeVzMeKF3MjYcfFx4AaABAg,"Emilia Sizzling fantastically with Jason All So Beautiful 
Great! Very Good 👏👏👏👏🌊💖💚💕🔱💕💚💖🌊",Susifae Lemarr,0,2021-02-08T07:14:06Z
17,Ugy4mm58LU51Uxl9NcN4AaABAg,"100% Amber should be removed in the light of the recordings and facts recently surfacing. The problem is that WB cannot just break the contract without fully paying her. But they totally should. the film really risks flopping big due to Amber. Internet power is not to be taken lightly. Besides, Emilia is a world class sweetie that everybody would like seeing in that role, specially with Jason. Big change from the bitchy Amber girl. And huge role for her career indeed.",David,0,2021-01-31T20:29:56Z
18,UgylCLElPn_YFrKJOZ54AaABAg,Literally ANY WARM BODY but the PSYCH0PATH AMBER 💩... ANY ONE!!!!,My self,1,2021-01-31T10:47:07Z
19,UgwJvsgqks16PAETfzZ4AaABAg,#JusticeForJohnny. Justice will prevail.,Jomel,1,2021-01-24T23:20:40Z
20,Ugz-RUbFtHGu-qbLk714AaABAg,Emilia clark has better chemistry with jason momoa anyway. Amber heard needs to be fined a shit ton of money or jail time #🐍,davidpha official,1,2021-01-24T06:24:59Z
21,UgwTD1yBH6soi32MsFx4AaABAg,Who wants to see 💩 next to Momoa??? Emilia would be classy choice 💪👌🤞,Kate Vernile,0,2021-01-23T22:09:24Z
