,id,comment,author,likecount,publishedAt
0,Ugw8eRa8J0Nyt61nMfN4AaABAg,For those that support Johnny Depp and I know that there is a lot because I've never ever in my life believed what they said in the beginning I told my daughter's wait a couple of months and you will see the truth that will come out because Johnny Depp is a loving person I don't know the man personally but I've watched the movies growing up and I've never seen an evil hair his Aura is wonderful it's beautiful it's loving you can see it on his face the way he speaks oh my gosh I can't believe what they have done to this man they tarnished his name they took him out of movies and this monster is able to still be in Aquaman 2 I don't have Twitter but I so want twittered cuz I'm so angry I cannot believe I will not watch Aquaman 2 I am sorry Jason Momoa I will say it again and again but it's disgusting how this woman is able to do movies and Johnny Depp was taken away from Pirates of the Caribbean will Disney I am not watching Pirates of the Caribbean either you are a bunch of idiots how dare you do this to Johnny Depp he is a legend are you serious it is disgusting Johnny Depp I love you so freaking much I've watched you growing up and I've never believed what was said about you from the very beginning God bless you and I hope that everything goes in your favor that you have your angels on your side God bless you,Raeofsun69,0,2021-11-05T16:09:41Z
1,Ugw4kIQKpLSqP8VhFFV4AaABAg,"Ungratefulness, for one thing... 🙄I will never say she's a bad actress.. Why should I?  I don't even know much about acting. It's her character and obsessive greed.",Rocío Palacios,2,2021-10-04T22:16:49Z
2,UgwU4FaIwrxWHxEjdTR4AaABAg,"Amber never  give up, you quit , they
Anti fans wins, Texas girls don,t quit
Please  honey bunny  hang on, be
Strong baby,  you are an artist, there
Is pain in art,  lm  with you, l still
Believe in you,  l will stand with
You  let them hate both of us,
I would love it,  hulk smash  .
A woman can do things, a man
Can do alot more,  if you need
A Bodyguard,  ecort, l work
Cheap.  I love you amber
For what you have been
Though l give you the
Ultimate. Respect.


Binge cen,
This woman has put through  hell
Nobody in Holly wood wants to work
With her,  she is in alot of Pain. I'm
Just comforting her in her darkest
Hour,  words of support are very
Powerful,  let's  be kind not blind.",Peter Gonzales,0,2021-09-20T12:21:01Z
3,UgwQxSS4JGlzmgBIef94AaABAg,KARMA,Annie Anh Do,0,2021-08-31T12:55:02Z
4,UgzYQMRVb5LW_rwl0Nl4AaABAg,Uh... What a lovely lil girl,Salvatore Maniscalco,1,2021-08-14T08:11:03Z
5,UgzT8fF6nOKaPzy_6Il4AaABAg,Do you destroy a man because with Amber said I think she’s a drama queen hate for psychopath angry woman I don’t know why Johnny Depp he saw on here I hope the judge do the writing and the people had a word I hope they see this because you’re the famous of editing go bad so he can take it on John tab give him the job back and just destroyed disembark because she’s a liar,Doris Goodyear,1,2021-08-11T13:59:17Z
6,Ugx_R1wQuknbyUblPUV4AaABAg,I wont see any movie of Amber.,Salimah Abd Rahman,0,2021-08-06T11:03:54Z
7,UgxWisEBGlEmv3NpzFB4AaABAg,JD fan since forever! Amber Turd is toxic! It's so obvious she is lying or at least embellished! She is so rude!,Princess Jodana Banana,0,2021-07-27T11:42:54Z
8,UgzEcCY5wUY9X1dRexV4AaABAg,Sad,iCeleb,0,2021-07-18T13:57:09Z
9,UgyTUUYy4pVEnfoaOux4AaABAg,"Men aren't always wrong
Typical Girl thing she is doing 🥺",Haroon paul,1,2021-07-14T04:56:36Z
10,UgxWirRJqWEXxJNTqdF4AaABAg,"The public are finally coming to their senses that Jonny is such a gorgeous human being he truly cares about people  and he's shown that through his many years in public life whereas Amber is a twisted ice queen and she dosent seem to give a stuff about anyone. She will potentially stand on Amy body to get where she wants thats how I see her, even saying that she would donate money to charities and backing out on her word. Jonny is always donating money to great causes because he's a family man and he has a conscience.",Naomi Orbach,1,2021-07-12T17:06:02Z
11,UgxEpOwX-czCBXQBMMB4AaABAg,AH is batshit crazy .....Ill be boycotting Aqua Man 2 as well,Lee Van,0,2021-07-10T10:14:06Z
12,Ugz3o2b7we3N1ptshud4AaABAg,After all you can't dump brightness.,Wallflower,0,2021-07-06T09:17:56Z
13,UgyIVx9r7SQUz22LGaR4AaABAg,If they won’t fire Amber then we hit them where it hurts with boycotting the new Aquaman movie so that the revenue is bad and Warner Bros. realizes they should have fired her since they made a flop of a movie,Brian Wolf,0,2021-07-06T01:18:17Z
14,UgwzorYSW6f2BPEbjcB4AaABAg,Its really unfair that men like Harvey Weinstein get treated like royalty in Hollywood despite their proven proclivities. But some unsubstantiated accusations from a crazy woman like Amber Heard can cause an innocent man to lose everything. AH is a disgrace to the me too movement and abused women everywhere.,dreamhobbiz,0,2021-07-05T14:19:44Z
15,Ugw0Xr1cBVqTi2qii0Z4AaABAg,I hope that thet too can return to they roles because we don't have to private the world frol Johnny Depp talent's,poplucie,1,2021-07-05T13:38:09Z
16,Ugy79fXtS-ZW2foZTxt4AaABAg,Whats the use . . . Amber is still doing movies . . . Still is in aquaman series . . . And still is not behind the bars . . . Where as the good man Johnny is loosing cases !!!,RAZIA MONDAL,0,2021-07-04T11:04:04Z
17,UgyblDwi4wKZ6PXqxpt4AaABAg,Poor JOHNNY   Sounds like another markle debacle nut case  🦹‍♀️ hope he can win this and restore his dignity.,Da finker,0,2021-07-04T08:39:37Z
18,UgwpRF8fbleI4Fkv7pd4AaABAg,JOHNNY IS THE BEST IN MANY WAYS AND HE DESERVED THE BEST WOMAN....JOHNNY IS THE WINNER,HRISTINA DIMITROV,2,2021-07-03T20:53:44Z
19,UgziUStct1tHwlV7Kup4AaABAg,We have got to stop this victimhood,Kym Dagnall,0,2021-07-03T17:03:58Z
20,UgwK89KvHx2CbJQ1Ssx4AaABAg,Sad that that a production company employ someone who has lied and caused some much hurt but why does it appear to be ok for the woman to hit a man but not vice verse Its not right to hit anyone but she gets support from the industry but Depp is through under the bus,Kym Dagnall,2,2021-07-03T17:02:38Z
21,Ugztmn3ttnTgE3uu5bJ4AaABAg,Yea I won’t be seei aquaman as well in support of Johnny,o costa,2,2021-07-02T10:47:48Z
22,UgzPr36f11j66ucXWbl4AaABAg,One word  Latuda,Susan Jimenez,0,2021-06-30T20:14:21Z
23,Ugzi-5sgIZ4pOOxRqbh4AaABAg,"I can't imagine the pain and trauma he must be going through every single day!😭
Truth shall always prevail 💪
#JusticeforJohnny",Angie Benisha,4,2021-06-30T18:44:46Z
24,Ugwc0pxSwoVTrPngJ7h4AaABAg,That b*tch still has supporters? Wow people are dumb,l.xtasy,0,2021-06-28T20:26:16Z
25,UgwF1dk8p-hsjMF8tzR4AaABAg,Go sparrow,Maxililian Adam Alex Dyhr,0,2021-06-28T12:58:30Z
26,UgxdKg8QQHKUDM1bOuB4AaABAg,Finally shes exposed 😳,Maxililian Adam Alex Dyhr,2,2021-06-28T12:57:04Z
27,UgyD4qMgqtVuqpsJt614AaABAg,kick AH out of hollywood for good and bring johnny depp back to our screens asap. #justiceforjohnny,Tracy Tabb,0,2021-06-28T12:32:53Z
28,UgySqh-70hTnm63Fglh4AaABAg,"That is what happens when you slander people,,the truth will always be known,",Vern Wilson,2,2021-06-27T08:28:39Z
29,UgxZ2nPIO3utZ-909z94AaABAg,I think this is a similar situation as Paul McCartney and Heather Mills. These women are very calculating.,Randomuser,5,2021-06-27T01:16:28Z
30,UgyyI6mHeUWgNNj4BIF4AaABAg,"Who will play Amber Heard In the movie, ""THE DEPP'S OF HEARD'S DECEPTION""?",charlotte nots,0,2021-06-24T20:48:34Z
31,UgyaL5TkljbhR7SKXqt4AaABAg,Boycott all her movies,Colin Bagel,0,2021-06-23T07:51:22Z
32,Ugz6Yw1DV3NDXsi1q5t4AaABAg,This is madness I cannot rap my head around this either!!,Ruaridh Oneil,2,2021-06-22T21:33:06Z
33,Ugy-3FGPoGAPN-mMKiV4AaABAg,I hope people mean it when they say they won’t pay for the movie.,Mastiff Mom,2,2021-06-22T14:38:58Z
34,Ugxw9iXNi50eysB_Tgx4AaABAg,"I won't be seeing any movie with that lying tw*t in it, nor will I see any movie that fired johnny. #istanjohnnydepp",WickedTess,0,2021-06-22T01:14:29Z
35,Ugwzz9eF77n1TPLM9rN4AaABAg,Dumb amber. Someone should care about her sad situation,masterv03,0,2021-06-21T18:16:58Z
36,Ugy9eggWXRkU-riXtAp4AaABAg,That’s crazy Im not even gonna watch aquaman 2 for free,Jose Gonzalez,0,2021-06-21T18:07:39Z
37,UgzMP4tZDIcoLaufxap4AaABAg,I will always stand with and for johnny depp she is a liar and a user,Wendy Mudkins,0,2021-06-21T10:52:05Z
38,Ugy9ne56KvabtPHhCwR4AaABAg,"I've stood with Johnny from the start , anger turd should be made to pay him back every penny  back that she took from him , then lock her up 🤑🤑🤑🤑🤬🤬🤬👹💩💩💩💩",Jayne Conlon,5,2021-06-20T21:35:45Z
39,Ugy73AabwoZk398tjHV4AaABAg,Never doubted Johnny for a second!!,Captainz_ captain,7,2021-06-20T14:52:50Z
40,UgwbYxXDJ9bGoxbILf54AaABAg,I will not be seeing this movie along with my family and friends. As a victim of severe abuse by my ex I find her lies reprehensible. Real women of abuse need to be vindicated not ridiculed because of one nasty woman. Good luck Johnny!,Denise Lavache,11,2021-06-19T19:59:16Z
41,Ugw2-OuiqyjXA76_LQR4AaABAg,"Amber the worm will turn
My love I stand with you how do I
Love thee let me count the ways
I believe in you my love , your
Biggest fan peter",Peter Gonzales,0,2021-06-19T13:22:13Z
42,UgwOICdVANSQZOjazpp4AaABAg,"Never ""Heard"" of her before JD!!  Her fame is owed to him, then, EM.  They say there is no bad press??",jane braun,3,2021-06-19T08:22:06Z
43,Ugyx1s-DV43n8eERaqp4AaABAg,"Never lose hope JD your pirate crew is here. 
*""He's a pirate"" music playing*",Lee Yang,13,2021-06-18T20:17:48Z
44,UgyMqctUbLxeBWGK3a94AaABAg,"I empathize with him.  He deserves a lot of support right now.  He's been traumatized over and over by an over-indulged, giant infant.  He needs a rest from all the stress, which I'm sure he's feeling.  She, however, is pure poison and should come with a giant warning label.",Marta Womack,6,2021-06-18T00:39:16Z
45,UgzoIAp9A4g0MlJCY594AaABAg,"Johnny depp is a wonderful man who always has honesty respect and integrity towards everyone. He derserves justice and vindication.  WE NO JOHNNY IS INNOCENT AND DERSERVES OUR SUPPORT. I BOYCOTT AMBERS ENTIRE CAREER. I WILL NOT SUPPORT A WOMEN WHO ADMITTED ON TAPE TO BEATING HER HUSBAND SHE'S AN ABUSER THEIRS NO COMING BACK FROM THAT.. Amber Said I quote ""tell everybody I beat you no one will believe you Johnny"" then she laughed and acted like a victim. Wtf.. she lied ON TAPE acting like a victim I was done theos tapes prove that she beat him multi times and JOHNNY IS AN INNOCENT MAN. Hour of tape he accused her of physical volient that she admitted to and not once did she accused him of volience.. lady's if a man confronts you for being volience physically and he's been volient too wouldent you confront him? Not once did she confront him about volients. She said the opposite I quote her words. ""YOU DO THE HONEROLBLE THING AND WALK AWAY FROM A FIGHT"" she also said i quote her words ""HE'S A GREAT HUSBAND""..  amber is an lieing evil mulitive narcissistic goldigger.. straight trash and belongs in jail and or a mental hospital.. we scream justice for Johnny and the truth PERIOD............",angela Bender,2,2021-06-17T09:39:04Z
46,Ugww_7BkRgN7GdOrsQl4AaABAg,Well she’ll be available for therapy from now on.,tumbah antoine,2,2021-06-17T06:36:45Z
47,UgwZQ_1H0N3GaRvONA54AaABAg,Justice for Johnny ❤️,Wendy Bryant,2,2021-06-16T17:11:30Z
48,UgzwQIYkPentAFkk4zt4AaABAg,it’s weird to find out that James Franco actually looks like young Jonny Depp…..,Xavier Liu,1,2021-06-16T05:47:47Z
