,id,comment,author,likecount,publishedAt
0,UgwzrgwWiANOcGWRcCF4AaABAg,"Happy Monday to ya you beautiful bastard! Random note: I'm getting 2 MRIs this week.  Any advice? I've never had one.
Timecodes: Depp (00:13), TIA (7:16), Caucus (9:41), Coronavirus (12:38)",Philip DeFranco,1616,2020-02-03T22:41:21Z
1,Ugx2huOJwzk9g1rpd894AaABAg,And yet Johnny Depp lost his role as Grindelwald and Heard swans on with Aquaman. Where’s the justice?,Joker,0,2021-10-31T13:49:26Z
2,UgzJ7wZTj8GuNr_KNRB4AaABAg,Like bill Burr said a hall of fame of gold digger. If she was true then her Twitter and Instagram comments sanctions wouldn't be off.,Pema Tobgay,0,2021-09-17T06:03:37Z
3,UgxefEPcbJkVlVHLtGB4AaABAg,Ridiculous .  This needs to just go away,janzegersm,0,2021-08-11T20:46:09Z
4,UgwohQQ0FMvYsq5wU7F4AaABAg,These videos are interesting to watch a year after our two week stay at home in the US,Jovani Vega,0,2021-03-25T23:45:17Z
5,UgxsGhkrh0I4qnrv0td4AaABAg,I can’t believe anyone who listened to the full recording of Johnny and Amber’s conversation would ever side with Amber.  The first 5 minutes in already had me crawling in my skin because of how manipulative she was being.,Izstrella,1,2021-03-25T09:19:29Z
6,UgwlGb7hf-MpE7jMF9x4AaABAg,Amber managed to ruin her own image so much it’s funny.. like she’s so dumb to have kept obviously lying thinking she’s too smart for anyone else. It’s so embarrassing,Ella May,0,2021-02-07T20:12:01Z
7,UgzEhDO2EthllULzzuZ4AaABAg,Didn’t she hook up with two other dudes during the relationship too? It was Elon musk and someone else..,Ella May,2,2021-02-07T20:03:07Z
8,UgwdlCX5BZBpxwQQQKh4AaABAg,#Justiceforjohnny,Josh Jackzone,1,2021-02-05T08:18:24Z
9,Ugyaj4-yn7hcEsr-ah54AaABAg,She is so crazy I really feel bad for Mr depp she is the abuser and is crazy and she was banking on the fact the world is in a me too movement so she tho if she lied about Johny that  the world would stand behind her and never question her lies so I'm very happy Johny never gave up even tho it's easier but the truth is so close don't give up it will be good again soon Johny ur the best much love always,Launa NISBETT,1,2021-01-14T06:55:53Z
10,Ugz0GKG_GyNqquOua0V4AaABAg,"This woman shat on Depp's bed, faked bruises, and ""hit"" him with a closed fist. But she continues to get job offers. Pretty fair world we live in.",Frank,1,2020-12-29T01:25:30Z
11,UgwfZFgklZL90xfvmAR4AaABAg,OMFG. I got this recommended and I thought. Oh. News of Jonny and amber. Watch and think... This... Came out months ago. This ain't news... Then I realize it was posted ten months ago. I got so confused for a while,Calle Montelius,0,2020-12-22T16:21:41Z
12,Ugzo-4xJGrQ294sytAN4AaABAg,She divorced described how she's was so scared and such of Johnny like he was so dangerous then on audio she's mad going off and being physical. Mad he always leave when they fight while he's trying to calm her down. Yeah it shows that she lied which she does a lot even in court for the sun case with Johnny. Her sister caught lying too. Like how they framed Johnny by staging a photo of a table with some of Johnny's belongings and a coke line on the table. And a tube part from a tampon. Then comes out it was her sisters coke and she uses tampon applicator to snort coke. They staged that picture and framed him many other ways too. Like the chipped bed frame. Too much evidence show she's guilty,Insomniacs PillowFort Army,2,2020-12-19T03:48:10Z
13,UgzxiXaN3tWXpZpVwaZ4AaABAg,"This is the reaction the world should have had to the “me too” movement. A cautious reporting of the known facts, taking efforts to avoid speculation, and an acknowledgment that we don’t know the whole story. 
I find this story disgusting because I remember the way things moved during me too.",Ian Albert,1,2020-12-09T06:52:45Z
14,Ugwrrx0Nc2ZESvu0T3l4AaABAg,#justiceforjohnnydepp,Hannah F,0,2020-11-30T05:37:45Z
15,UgyzNfOWpkY6z1VTUC14AaABAg,"""One need only look at the physical evidence to draw the proper conclusion."" Yeah, Heard is a bitch and abuses Johnny. There's proof. Even legit proof like Heard admitting she ""punches"" Johnny.",Nik Novak,2,2020-11-21T04:38:53Z
16,UgznpMj9R-CAgRnLkY54AaABAg,"There's no such thing as ""mutual abuse"" that would mean that both parties have equal power in the relationship and that's just not it.",KayKay2513,0,2020-11-18T23:37:03Z
17,UgwKyG4AgPRmWXMlpJt4AaABAg,Dude make a new video about the recent news about fantastic beasts 3 and that the domestic abuser amber heard gets to keep her jobs... The world needs your news,Nick Verkoyen,0,2020-11-13T23:13:37Z
18,UgzqwRGBwniC8tCY7ZF4AaABAg,I genuinely don’t understand how so many people take Depp’s side here. There are a dozen confirmed instances of Depp being extremely violent towards Heard.,Zeta Zimmer,0,2020-11-13T20:51:00Z
19,Ugx0HfBVvsF5k51Es6l4AaABAg,I am saddened you haven't done an update to this since the verdict and him being asked to leave Fantastic Beasts,Hen.,1,2020-11-10T10:40:02Z
20,Ugzd1DxhZ9YXDsQ062x4AaABAg,"Objective analysis I have found; Live Abuse Free, Lost Beyond Pluto, Debi Doom, ThatUmbrellaGuy, Stevie J. Raw, IncrediblyAverage, Yellow Flash, Spiritually Empowered Coaching, eHacker, Come Geek Some, Entertainment and Star Wars.",Gunnar Freyr Valdimarsson,0,2020-10-02T16:12:29Z
21,UgxsbyzZznewhs4vPzJ4AaABAg,She’s a lair she abuse him,Marlene Delorme,1,2020-09-22T14:18:40Z
22,UgzajiWxQsRmbaE7_bB4AaABAg,"One who digs well for others falls in the well himself - apt for you Miss Amber Heard. And you know what people are not fools, we have seen Johnny since you were not even in the picture. Just so you know..... Johnny Depp is not alone.",Fire Phoenix,1,2020-09-22T10:54:06Z
23,UgwB9j6AkMs-gpr-hhh4AaABAg,At least Disney is willing to work with him and give him his role back,nik g,0,2020-08-22T16:24:16Z
24,UgylvI6ZuloydQ9pc014AaABAg,"If Amber Heard was a guy, she’d be in jail.",HEXtheRIPPER,0,2020-08-08T19:23:12Z
