,id,comment,author,likecount,publishedAt
0,UgyE7rm275ZYY7TP3yp4AaABAg,Had sone internet issues so couldn’t get a video out until now but two on the way for tomorrow. Appreciate the support and will get to comments as I can!,eHacker,38,2021-06-16T12:02:16Z
1,Ugwcb0p_ALLh4ZceMeV4AaABAg,"🍃🦋I DO NOT HATE AMBER HEARD, JUST PISSED OFF AT HER FOR LYING TO OUR FINEST LAPD, COURT SYSTEM, LAWYERS, HER FAMILY AND THE REAL VICTIMS OF DOMESTIC VIOLENCE.  MAY GOD HAVE MERCY ON HER, FOR DESTROYING 40 YEARS OF JOHNNY DEPP'S AMAZING ACTING CAREER.🦋🍃
🦋JUSTICE FOR JOHNNY DEPP🦋",Elizabeth Torres,1,2021-06-24T02:27:46Z
2,Ugwj12tmyKVIg9GBacJ4AaABAg,"THESE ARE VERY OLD PHOTOS OF HERSELF... SHE HAS MENTAL ISDUES.. NARCISSIS.. I DOUBT SHE WILL BE IN AQUAMAN 2, SINCE SHE WILL BE IN JAIL. PROBABLY ELON MUSKRAT WILL PAY HER FINES!
I AIN'T WATCHING IT... KEEP IN MIND WU THE DIRECTOR HAS BEEN SEEN WITH ELON MUSKRAT, SO MAYBE HE INVESTED 2M WITH DISNEY INC. FOR AMBER'S RETURN.
ALSO KERP YOUR EYE ON VIN DIESEL, WORD ON THE STREET, IS THIS BALD FOOL WANT AMBER HEARD IN THE NEXT FAST AND THE FURIOUS MOVIE!   HECK NO!
SCRATCH THIS MOVIE OFF AS WELL.",Elizabeth Torres,1,2021-06-24T02:22:01Z
3,Ugw5y47G9AQfMxfrDgF4AaABAg,"Honestly no one really knows......that's the problem.....like we have a bunch of teasers such as her own written note! ( Benefit of a doubt maybe a female flower delivery person I dunno but alot of the lettering actually matches up to her 2016's police report for a car accident? Or some document I saw on Twitter, fact or not no clue! 
IF AMBER NUT TURD AIN'T IN IT!  hell yah I'm down! I'd probably murder for a premiere ticket if Amelia Clark is in it and that's FACT! ( PLZ COME BAIL ME OUT OF JAIL...... if she's in it and I kill someone for a premiere ticket JK JK JK ) but uh then again I'm kinda spilt; like whoever is actually in the movie I don't honestly am 100% confident if I'd even really see it because I want WB to actually realize like oh damn.....like maybe everyone was right while johnny lost all his roles she didn't....talk about UNJUST! Like they all jumped the frickin gun; he wasn't sueing Amber Turd that's in VA.....that case he lost was against the newspaper......the sun amber turd was only a witness and nothing more!
So I'm honestly split!!! Like to see it if Amelia Clark is in it or still force WB to suffer from the hit because you can't ALWAYS believe a woman! Men can get ABUSED too.
So that's where I stand like I'm confuzzled and I'm angry because I really do like Jason and Amelia's chemistry they have; they worked together they know each other and yah know I would like that but I also don't wanna give WB the satisfaction that they can kick innocent people off before hearing all of the truth! Like damn man JD really needed those movies to keep himself busy and frankly SAFE from insane psycho AMBER NUT TURD! 
since he's been booted he's gone like radio quite...not a peep on IG no Twitter obviously....but uh yeah poor guy is just hiding until this all over and his name's is rightfully CLEARED! 
I guess that's where I stand....I'm 50-50 Amelia Clark...or stuck to my guns and teach WB a lesson! I'm actually shockingly am leaning towards teaching WB a lesson!",Trinity Haasenritter,0,2021-06-23T18:16:35Z
4,UgxFrKYOjiyonBU6N2p4AaABAg,"Look!, she probably will be in it....Seems she gets away with EVERYTHING!.",Corrinne Hale,0,2021-06-22T05:19:41Z
5,UgyHlzSCMN03Xa-NQQV4AaABAg,I wont see it!?. I boycott aquaman 2.,Stormer the misfits,0,2021-06-22T05:11:10Z
6,UgxyIKKDWDuCx6BSJEx4AaABAg,I not watching it. Or anything she is in for that matter.,Josh Jackzone,0,2021-06-21T22:53:52Z
7,UgyTdzjQ-PTW3tzcX4V4AaABAg,"I ""ain't"" either JP! She can't win here though, if she is in the film she can't prove loss of earnings in the court case. .much less 100 mill worth the 🤣! If she's not in it she'll look really stupid because of all these AQ2 posts 🤣",webb662,0,2021-06-20T12:00:44Z
8,Ugzne3L-acQUKqTpO094AaABAg,I ain't watching it 🤮 🏴‍☠️⚖️👊👊,SheDevil,0,2021-06-19T21:02:43Z
9,UgyUOX03X8DHUrKNord4AaABAg,"I'll tell you something ,, it doesn't matter much that she keeps that paper, just like ah Warner doesn't care what people think and that shows how stupid they are because that could harm Aquaman 2, but what really matters is cleaning the name from jonny deep, right oh fake.",link sirias,0,2021-06-19T17:00:06Z
10,UgzgsLCGtLVn_X-iwdt4AaABAg,She deserves be out of the movie,Rocio Pazos Martinez,1,2021-06-18T08:42:10Z
11,Ugy_S8plrnq4JYZe08l4AaABAg,"My guess is she is struggling to get back into shape and dosent want any photos of her out there that arnt as up to scratch  as her old ones. She's pretty vain.
If she wasn't in it. I'd be there with bells on. They ain't getting my money as long as she is.",Deb,1,2021-06-18T01:56:34Z
12,UgymYaABWnCEob6myoV4AaABAg,"Hi Jon Paul,
No matter what 💩 is in. I will not see it. I wish they would use Amilia Clarke. Thank you for keeping everyone up to date. Sending love ❤️ & light 💡 xoxo - England",sallyann perkins,1,2021-06-18T01:46:57Z
13,UgxKpBjpwCC59nDRNPl4AaABAg,I hope Aquaman 2 is gonna be Huge Flop Because for Amber Heard.,Orhan Amin,1,2021-06-17T15:19:24Z
14,UgyXc_grnFdxilqRu2t4AaABAg,"I read somewhere that Warner Brothers asked her to step down like they did Johnny, but she refuses to go.",Judy Alexander,2,2021-06-17T14:05:15Z
15,Ugz8NmjzfR3UvAWoM6h4AaABAg,"You know what's horrible, you look at mainstream media outlets and all they post is her working out and what she's wearing, claiming people love her etcetera... and they completely ignore how she's been physically violent to multiple people (her Ex, her sister, Johnny) lied about donations, committed multiple acts of perjury. It's disgusting. My hope is that the authorities are just waiting for her to get a payday from Aquaman 2 so when the time comes she'll actually have the money to pay for her crimes. 💍💁‍♀️🐕🇦🇺💩🚽🕵️‍♂️🤷‍♀️🤨⏳🧜‍♂️$💰🙆‍♀️🔨🔗🗝🤦‍♀️",ENK,1,2021-06-17T11:32:15Z
16,Ugw8bMJIC2UTtER3Feh4AaABAg,I fell sorry for the dog in the picture.,R W,2,2021-06-17T08:05:21Z
17,UgyDIzKeopg_ZWnE9ER4AaABAg,Hahaha!  Some of it's been filmed in UK supposedly (we're just trying to find out where) 😂😂 She'll have to go into Australia illegally AGAIN which as we know NO Dog's allowed unless you've been through kennels. 😁 Great video Jon Blessings from Scotland. 🙏🏴󠁧󠁢󠁳󠁣󠁴󠁿🌹,Eve,1,2021-06-17T08:05:20Z
18,UgwAgwOPhWSxssQvxgB4AaABAg,I refuse to watch anything she’s in! I’ve never seen the first one and I love Jason,Marie Clarke,2,2021-06-17T06:26:36Z
19,UgzjBCQUL3Ok1N_TlgR4AaABAg,"As much as I love 💕 Jason Mámoa, (since his time in GOT), I have NOT watched Aquaman and I’ll definitely won’t watch the sequel if AH is in it🤷🏼‍♀️🤷🏼‍♀️🤷🏼‍♀️",DuchessNanciAnn,1,2021-06-17T06:12:51Z
20,UgwcYzrrDN_f8a413Zl4AaABAg,More than likely I'm not watching with her lying sneaky bad acting self needs to go to jail ✌👍👏,Ken Conner,1,2021-06-17T05:31:08Z
21,Ugyn4OzzkwEkhw9EpXV4AaABAg,"I hope so, but I won't be suprised if she still in it because they let it pass in first place when she Abused JD.",ALI SUPRA,2,2021-06-17T02:52:21Z
22,UgzMcIXSSRJ28QlRmi94AaABAg,"Damn Jon, how much longer until 14k? I'm thinking you'll hit it tomorrow! 😀",Pam Burkey,2,2021-06-17T02:06:47Z
23,Ugwpo5MmY-GDFMneF814AaABAg,Unfortunately I believe she is still in Aquaman 2.  I really hope I'm wrong though.,Patti_C,2,2021-06-17T01:34:46Z
24,UgxeK3mK9A9KrtFGfa94AaABAg,Aquaman 2... it's a pass from me,Rock Candy,1,2021-06-17T01:02:48Z
25,Ugz3_Fy-WYNKZS6P8B94AaABAg,I’d like her to get the Aquaman job.    Go to Australia.    Picked up by the authorities as soon as she lands.    And thrown in the Aussie slammer for the long term.     💩,J K,1,2021-06-17T00:30:47Z
26,UgzZJawILTq-Xbd2c-F4AaABAg,She changed her profile picture on IG since the old one was from that photoshoot on the beach where she was clearly unharmed... PR genius.,Anton.,2,2021-06-17T00:28:55Z
