,id,comment,author,likecount,publishedAt
0,UgyKdQBzfHkh1EhtPLx4AaABAg,Giọng đọc chán thật sự. K tròn vành rõ chữ nữa@@,Phương Phan Thị Thanh,0,2021-09-29T18:36:20Z
1,UgzdcWtju_mEXaFLRi94AaABAg,Đọc khó nghe quá bạn,Thái Bình Dương,2,2021-07-25T11:58:03Z
2,Ugy5-LKG_eGTRzCy6vp4AaABAg,"Amber k nên đóng vai trong Aquaman, đào mỏ vkl 👍",𝑺𝒖𝒏𝒏𝒚 𝒄𝒉𝒊𝒑𝒑𝒊,1,2021-07-19T00:13:39Z
3,UgxzZEWtTCds_M9tSGJ4AaABAg,"Nói thật, Disney mà ""đá"" Johnny Depp ra khỏi Pirate of the Caribbean thì tôi đảm bảo rằng loạt phim này sẽ dần mất chỗ đứng trong những loạt phim hay nhất, và người xem chắc chắn sẽ giảm và từ từ vào bế tắt, còn amber heard thì tôi chờ ngày bị quật.",Minh Art,22,2021-03-17T12:11:22Z
4,Ugy7E4xCA92iibpNzjB4AaABAg,Giọng đọc khó nghe quá ==',Xetaihino Trường Long,3,2020-12-29T18:21:23Z
5,UgzxJ0BuC3Sq0SXNaXF4AaABAg,Đọc khó nghe mà nhạc nền cứ nhéo nhéo,Thỏ Trương Huỳnh Xuân,1,2020-11-25T11:40:05Z
6,UgzCK9SWrlGOPnyxr6F4AaABAg,Đâu thấy gì nữa đâu có gì đó nó sai sai ở đây,bảo Nguyễn,1,2020-11-20T03:12:00Z
7,UgwfjlXkB357cSzosEJ4AaABAg,Amber heard đang phá hủy sự nghiệp của Johnny Depp cũng bởi vì người phụ nữ này mà Depp đã mất đi 2 vai diễn ấn tượng nhất trong đời 😡😡😡😡😡😡😡😡😡😡,bảo Nguyễn,9,2020-11-20T03:10:47Z
8,UgzrWNA3vie6Zrc8Y1h4AaABAg,Chờ tới ngày bà này đứng sau song sắt :)))),Chi Tran,8,2020-05-27T04:10:35Z
9,Ugw4J6zeuhgakmjAwJt4AaABAg,Giọng khó nghe vl,Khải,3,2020-05-17T12:09:54Z
10,UgzCMtNKto3_x7lnFzl4AaABAg,Amber không nên xuất hiện trong Aquaman 2,Another day What am i doing again,13,2020-05-01T04:56:34Z
11,UgxHTVAntVh_mAbbXRp4AaABAg,gióng bé quá @@,Tuấn Kỳ Diệu,2,2020-04-04T13:52:33Z
12,UgwIwl5JohZUo61sKNJ4AaABAg,amber xih vl,zxz ahihih,0,2020-04-04T10:03:21Z
13,Ugy5Fwu0i5SJwpvzT8J4AaABAg,"Amber Heard, vẻ đẹp thiên thần và tâm hồn quỷ dữ. Thật thất vọng! Chia buồn với anh Jack, vợ anh quỷ kế đa đoan, nhưng chúc mừng anh vì đã giành được công lí.",ngoc anh nguyen ho,26,2020-04-03T09:40:13Z
14,Ugyb17B8xx35QVozUCV4AaABAg,"má con mụ Amber, nhìn mặt đã không ưa....chả hiểu sao.......đào mỏ xong còn ra vẻ bị hại....đhs, làm người thứ 3 xong rồi lại ngoại tình xong h lại tiếp tục đào mỏ....còn ông bố lại cố tình chen vào vụ này nữa chứ.....vkđ kẹo đồng.....làm như JD hiền lắm á....đậu má.....đhs!",Huyen Nguyen,0,2020-03-29T15:42:00Z
15,UgxPmxjY3wFAwYe7-fp4AaABAg,Con bitch amber,PhongCAAE,0,2020-03-23T08:55:53Z
16,UgySNcudBafc9wNWWYx4AaABAg,"Theo dõi vụ này lâu rồi, chờ ngày mụ Amber bị nghiệp quật",Hà Trần,32,2020-03-15T14:04:18Z
17,UgyqJtTAdsZYWzrqNqF4AaABAg,Bà này thik đào mỏ thật,15 - Nguyễn Huỳnh Phương Trúc,7,2020-03-11T18:42:43Z
18,UgzI3RKPN3lrmb_lAkd4AaABAg,Thuyền trưởng jack sparrow =)),Ngọc Anh Vương,2,2020-02-24T10:45:19Z
19,UgzIS7E-sl4n-RigYh54AaABAg,Chắc sau vụ này là kết thúc rồi,Nguyệt Mino,0,2020-02-05T06:04:14Z
20,Ugz3l1OgTMABF4M-j0l4AaABAg,công nhận cà khịa nhau cũng 10 năm r còn gì =)),Phat Thai,2,2020-02-04T15:44:26Z
21,UgxpoS3X9IyiqGsrBvt4AaABAg,Ko chấm dứt sớm để lâu mệt vl,Thành Long Mai,1,2020-02-04T13:24:35Z
22,Ugw3vphUlRczZrDRYnR4AaABAg,hahaa quá mệt mỏi cặp đôi này,phong ngô,1,2020-02-04T13:10:37Z
