,id,comment,author,likecount,publishedAt
0,UgyN2uEkDm6Ksajcb_x4AaABAg,FOURTEEEN YEARSSSSS. Sing it with me!,ThatUmbrellaGuy,2095,2020-10-23T17:36:25Z
1,UgyofomgVNlzgbiEG0l4AaABAg,Umbrella Guy luv it,Daniella Mantia,0,2021-10-06T23:34:03Z
2,UgxuRYrItD28HKQNkW14AaABAg,No she should get 20 years hahaha,Daniella Mantia,0,2021-10-06T23:33:22Z
3,Ugx-Zi5aPwz3VGb8qmF4AaABAg,I have said it before. Put her in cuffs and lock her up. Kinda wonder what will happen if she is in a prison fight...will she blame them? Australia 🇦🇺 is not going to play well with her. They couldn't film their either because she fears them,Nancy Gibson,0,2021-09-10T16:05:21Z
4,UgytQh-4D6lLny7MAFZ4AaABAg,"Hope it true 

I hope this is all over for 

I hope johnny depp can get on with his life with out this drama 

That amber has Caz him 

I hope amber heard get a long time in jail",Stacey Bakken,0,2021-07-21T04:21:53Z
5,UgzjUcVkjImucvajv9F4AaABAg,14 years Haha lol LET'S GO BABY,mark hokianga,0,2021-07-10T11:10:21Z
6,UgzW1zlYnFjKKGcBret4AaABAg,14 years ! Yeah! More like it. Because 3 years is a slap in the hand but 14 years woooooo!  Bye.falisha,Yolanda Castro,0,2021-07-04T13:57:23Z
7,UgwoOA_c6Gk5Tz-8qkh4AaABAg,"Justice for Johnny,yay she deserves to be put away for all the lies and public destruction she has caused JD the false claims against him ,the courts should put her away to prove to people around the world that are going through this and afraid to speak up,Johnny is helping these people to keep fighting for your rights and get your life back and have your name cleared from the public and media talk ,Go Johnny,keep up your fight,and know the people around the world Love you,and believe you and will forever stand behind you and others that need us to stand up for them,so much love sent to Johnny",bobbie wall,0,2021-05-29T20:39:11Z
8,UgxBl3A1oocKjxHIHUV4AaABAg,Feeding that algorithm for TUG. Fun times indeed 🥳,Maria A.,0,2021-05-10T05:56:45Z
9,UgzLaTVIIqnadssaotR4AaABAg,This is the day you will remember that you don't lie about Captain Jack Sparrow the theme song should play live outside the court when he wins,Lindane Mnguni,2,2021-05-05T03:50:35Z
10,UgxS4j6-FTM0zd0KZ2J4AaABAg,SHE WILL NOT GO TO JAIL I HOPE SHE GOES TO JAIL,EVA LEE,0,2021-05-02T02:39:01Z
11,UgwrxgejWAnaKkax5CN4AaABAg,"That is some heavy WOW! Hope they do it, she deserves it!!!",Violet,0,2021-04-26T21:55:05Z
12,Ugw1c_P3-oafgJNNfuJ4AaABAg,"I'm just totally relieved that no kids came out of this union, I'm now 50. and I have memories still up 'till the age of 6 laying listening to my parents screaming at eh other   for what seems like every night and it affected every relationship I had during my own adult hood",brokenbrain goth,0,2021-04-05T19:55:49Z
13,Ugw2SP6g3oNii3q4Gl54AaABAg,\lmao11,brokenbrain goth,0,2021-04-05T19:37:07Z
14,Ugym026s2gQMyP2XUXp4AaABAg,she a women she will get  a pass from the queensland goverment .,Scott Martin,0,2021-03-12T11:22:05Z
15,UgyQWVa9poAzjjW5vIV4AaABAg,do you actually think she will do even 10 yrs tho lol? shell pay her way out,MissHekate,0,2021-03-12T05:27:35Z
16,Ugwh9vUzg429zcCCDb94AaABAg,The thought of her going to jail for harming a Legend such as Jonny...makes me happy,Angie Jo,2,2021-03-10T10:02:58Z
17,Ugy40ze9g8wW62k-CYR4AaABAg,If she doesn’t get convicted then welcome to the new era where people will just laugh at the perjury offence and commit it all the time lol,Surinder Singh,0,2021-03-09T13:53:54Z
18,UgwS8Yf7JONlCxQlH3l4AaABAg,"Bringing in the dogs was a minor offense, lying to federal inspectors on a federal document is a federal felony in almost all countries, that's what is so serious about this, she lied on federal permit application.",Brian V,0,2021-03-08T22:42:03Z
19,UgyLLpmLLKQXsgH6tx94AaABAg,Prepare the ring of FIRE!,Tim T,0,2021-03-08T04:07:59Z
20,UgwvbXcQS3_KrNcE5mJ4AaABAg,Happy birthday mussa,Melany Baxinela,0,2021-03-07T02:07:55Z
21,UgyYr-pobDRDTy0tyi14AaABAg,"Hey TUG, I truly hope all this spins around to bite her in the ass in regards to her lies about JD. I hope they throw the book at her, though personally I'd drop the whole damn law library on her.",Dark Mombie Nova,0,2021-03-06T07:38:40Z
22,UgziEEfAPwfK-UG7M2d4AaABAg,It is the least that someone that repeatedly breaks the laws and uses them to hurt other people deserves. The very least.,Dawn Martin,0,2021-03-05T19:57:36Z
23,UgxuUYPLOzJoCIQu3UR4AaABAg,Fam your southern accent just makes the new sweeter than 🍯,noel whyte,0,2021-03-04T02:16:18Z
24,UgxSQz4ksqhJ5-3YOI54AaABAg,Its all a show,Nelson Da Silva,0,2021-03-03T12:48:27Z
25,UgyMidx6N2CSFOQFPIN4AaABAg,Probably be out in 6 months,Nelson Da Silva,0,2021-03-03T12:48:17Z
