,id,comment,author,likecount,publishedAt
0,Ugw1HFfj2JKSYwjJmJl4AaABAg,She is guilty,Debbie Dolli,0,2021-02-27T05:45:19Z
1,UgxDTsTJ5wiS1FF49tZ4AaABAg,People will do anything to get ahead this days no matter if anyone gets hurt it’s sed .,Miguel Ángel 📸🚴,1,2021-02-24T23:22:19Z
2,Ugy-3E4fHEuNaVEh-hh4AaABAg,"Amber speaks up for women of abuse and against domestic v, but fails to understand what being a victim is... abuse comes in many forms and it affects both women and men. 

With men you almost never find out as they we have little reason to come forward as society condemns weak men...",Evan Wetzel,2,2021-02-24T10:51:28Z
3,UgzPqVmhOS-qFaZi9jN4AaABAg,"You all can't see the crazy anger in her eyes? I have disliked her for years, my reasons for why have now become valid!",Evan Wetzel,3,2021-02-24T10:48:05Z
4,UgwuyMYykGZxf9zyHwp4AaABAg,She sure thinks she's something,Lorri Holder,1,2021-02-23T00:59:23Z
5,UgzBx0aCWPuFDaPNdGl4AaABAg,He was married to a bisexual narcissist. Oh johnny.. hope u learned your lessons. Looks & jovial character arent everything. Kind soul & virtues are.,Ruzain Raif,1,2021-02-21T09:36:23Z
6,Ugz9RzSb1rdUjgcBTIB4AaABAg,"No, l think that it is more about the truth. They worked for her on UK Sun case l think. The donations were supposed to be paid right away. She told people that she had made the donations,not was making them
There have been no allegations regarding Johnny, but yes Amber had been charged with DV in the past.",Linda Douglass,0,2021-02-21T08:59:55Z
7,Ugym2-pii75qXc2BYrt4AaABAg,the order of the footages is clearly manipulative though.,remora exocet,0,2021-02-21T03:34:42Z
8,UgyPapmITwv0oAZvYz94AaABAg,subscribe and like button at the end of the video not at the beginning.,remora exocet,0,2021-02-21T03:26:47Z
9,UgzGpR7Hmg2CYNYvMXB4AaABAg,"I started following Johnny Depp's career since 2004 I was only 10 years old at the time. Now I am 26 and this is the first bad thing I have heard of him, yes it is true we don't know what goes on behind closed doors but if this was remotely true it would have happened in the pass. Once an abuser always one, so many people defend Johnny Depp due to us as fans and his friends following his life story and have never heard bad things about our TV legend, Look at facts she has been reported for abuse he has never been. He is innocent in my eyes.",Laura-Anne Human,1,2021-02-20T20:46:17Z
10,UgxIEn9sBz58rIRiVnd4AaABAg,There is a lot of evidence proving Amber is a liar.,Humble Bee,1,2021-02-20T18:57:59Z
