,id,comment,author,likecount,publishedAt
0,Ugw0viG6zTJMbIp4awh4AaABAg,"What a smart judge! Get ready for the hot, steamy Court Special served with a nice, tall glass of cool accountability",Cody Wisegarver,1407,2021-05-22T17:33:06Z
1,Ugw83iX-4FTHJofgqDh4AaABAg,All this is the result of marrying crazy! Just because it looks pretty and nice on the outside Doesn't mean it's the same on the inside. This really adds credence to the term buyer beware.,Patrick Hughes,0,2021-07-11T17:09:00Z
2,UgxjSwsWPy2Ca9ck7AF4AaABAg,"I hope no more big  actors eats her bait! Spoilers alert 🚨 she will ruin you ,and ur reputation! 
She’s a piece of crap that is a whole lot to swallow 🤮🤮🤮",Sky Simmons,0,2021-07-04T16:18:09Z
3,Ugz6zM6vsUx6JCivIFd4AaABAg,Bat amber to try destroy a men? She is out!,lollipupke,0,2021-07-01T21:54:09Z
4,UgykYsDClMSSGIArZWV4AaABAg,Please STOP talking please,Crypto B,0,2021-06-28T08:44:00Z
5,Ugxpmxjms-wMPJ7gagl4AaABAg,"This woman has snakes in her head. She was sided with unconditionally, even with evidence that showed there was more to the story than what was presented by her side. Those that pointed out inconsistencies were labeled deranged Depp fans. Now that she's being called on her BS, hopefully some (though not all as this has severely damaged his career) of the damage to Depp's reputation can be cleared up. I feel badly for him not only b/c of the slander but the hit to this man's pride. Approaching his golden years and he allowed a pretty face and flattery to invite a callous and conniving partner into his life. Reminds me of what happened with Paul McCartney and his second wife. Her claims of donating to charity did much to make people believe in her lies - probably a suggestion from her lawyers. However, her greedy little heart didn't allow her to complete the lie. One would think that she'd quickly donate and call it a day, but I doubt she has enough left to make the donation...designer clothes and nights out on the town being vastly more appealing than buying medical equipment. SMH...I got no problems with people not giving to others, but don't use charity as a legal maneuver unless you're literally willing to put your money where your mouth is. PETA and HSUS learned this lesson the hard way too.",Sandy Prater,0,2021-06-25T20:53:42Z
6,UgyqciCkrbUx6CN34Td4AaABAg,Can you guys imagine if judge judy heard this case?..... oof,Chris Code,0,2021-06-24T14:58:41Z
7,Ugz8Fx3Ss-pY8I8BUWh4AaABAg,The children’s hospital is still waiting for the donations.  Mind you I reckon they are not holding their breath!,Roses,0,2021-06-21T22:06:42Z
8,UgxvPU_PwqZEvPd-ckx4AaABAg,Sometimes two laws collide. In my profession we had to resist a subpoena for records at least until we were court-ordered to release them (as opposed to a one-sided subpoena). Some therapists were so faithful to their ethical guidelines (which are also coded into law) that they were willing to go to jail for non-compliance with a subpoena. (It was only later that a court order was deemed a sufficient basis for release - before that we were actually mandated to suffer some jail time). So possibly the UCLA is also under a similar restriction.,fairlind,0,2021-06-21T20:32:44Z
9,UgzUemmiLxrQb74ITtR4AaABAg,"Never try to destroy someone’s life with a lie, when yours can be destroyed by the truth

Must be a first that an alleged victim of abuse complained that their “abuser” walked out of the house, she’s a nut job and should be put into an asylum",Spud Renagade,0,2021-06-20T22:20:24Z
10,Ugzn4M1zL-qztmnEzgV4AaABAg,This voice is inexplicably great to listen to ^^,Darian Franzsen,0,2021-06-20T06:18:38Z
11,Ugz7QRas3CNBvmza7wN4AaABAg,Good people were always be tested but will prevail in the End.  Captain Jack sparrow will never fall without a fight,Dave Raj,0,2021-06-14T17:37:45Z
12,UgzNS9ntNenOOp7K3UR4AaABAg,"The faded hope acceptably entertain because thunderstorm postsurgically suppose despite a snotty timbale. vigorous, wasteful rectangle",Сергей Земницкий,0,2021-06-14T11:59:22Z
13,Ugw9t9Tu7NWJ-4QYvrl4AaABAg,Cheers to Johnny -,mark scarboro,0,2021-06-12T20:00:07Z
14,Ugw0kUyktZyKlq1wFMl4AaABAg,Hey is that you Eminem?,Spooky Spoon,0,2021-06-12T19:22:18Z
15,UgzbC-jd6GDXkaI8EDJ4AaABAg,I thought his appeal was rejected?,Red Lady,0,2021-06-11T22:12:34Z
16,UgxFbICIdaOeA7DfXxV4AaABAg,Desperate of Fame by using a Famous Guy Johnny Deep by trying to bake her cake and eat it too! Now  boomeranged to herself! Greediness! Divorce for money!,Julius Maristela,0,2021-06-09T09:53:07Z
17,Ugxu6mPuTpNvyRT6tAN4AaABAg,Where can we read such 70 page document?,Konstantyne Crowley,0,2021-06-08T03:59:15Z
18,UgyM8UovJCDTzpqxHHV4AaABAg,"""When was the last time an actor assassinated a president"" - Johnny The Coward Depp.

Heard is still a better person than this loser.",Sharkbaitoohhaha,0,2021-06-07T18:50:42Z
19,UgwRb0kImGOUOHhXhXl4AaABAg,"I'm just going to say this once. Amber Heard is wrong in her dealings with the male species. She seems to actually use men for their money. If that's the case, that's low. I Kno the pay difference between male and female is different in favor of the male, but that gap is becoming narrower and narrower each year. Amber Heard and people like her will no longer rely on the opposite gender for money, they will have to rely on their talent and looks. Looks fade, it's easy to be beautiful when your a teenager or 20s, but they fade, and then you have your talent, I'm thinking Jodi Foster, an extremely attractive, talented, slightly older lady. In Amber's case, that talent is mediocre at best. Mediocre talent and fading looks, I have a feeling Amber's days are numbered. She attacked an incredibly loved and respected actor. He lost contracts because of her actions. She united the different people around the globe in the revulsion felt towards her attitude in using Johnny and we will probably find more about if she treated Elon Musk any differently.
I still have no desire to see Amber in Aquaman or any movie she is in.",D Delaney,0,2021-06-06T06:23:06Z
20,Ugxj1bH6X8KPHie98Pl4AaABAg,Why doesn't Amber just give up the ghost? Not only is her case is falling apart but,Linda Douglass,0,2021-06-06T04:20:21Z
21,UgxqcD_GBwhvoWWKdAJ4AaABAg,Finally some justice for him...,Susan Ray,0,2021-06-04T16:56:01Z
