,id,comment,author,likecount,publishedAt
0,UgyPDtHDAIHKIy8cwP14AaABAg,Intro bgm download link pettu please,Jaswanth Reddy gaming channel,1,2021-07-26T06:04:03Z
1,UgxkjMMXzlYUobPzQxR4AaABAg,Amber Heard ni aquaman 2 lo vunchali why means the character was suted,Marikanti nazeer,0,2021-07-19T18:29:36Z
2,UgxXmgBMM-QN0gH162R4AaABAg,Batman 🔥,darling Naresh,0,2021-06-23T02:14:12Z
3,UgxRkVDx0mgtL5ArQ6F4AaABAg,Jack sparrow no no no captain jack sparrow ...one and only,Vinnu Vinnu,0,2021-06-07T03:43:38Z
4,UgyHIpo3UvfHYXb6LXV4AaABAg,amber heard is nice to that carrecter,RockMk Tech Tips,0,2021-05-08T17:11:17Z
5,UgyWloGAbLdu8zKqR094AaABAg,Alexandra Daddario better option Aquawoman replacement,Gani bhai,0,2021-02-12T19:20:23Z
6,Ugw9TOmM8DtahYHsmDJ4AaABAg,i dont see without johny depp,TECHNICAL STUDY IN TELUGU,0,2021-01-20T11:26:39Z
7,UgyVuH1PN-w8OkK8rxV4AaABAg,6:24 baaga natinchindhi🤣,Sunitha Vudatha,2,2020-12-31T05:48:37Z
8,UgyC2Uzsqc8d25lTz694AaABAg,No Jhonny depp no jack sparrow,Sruthi Palamarthi,0,2020-12-30T03:59:46Z
9,UgxGLifvXjifJ0tMhiB4AaABAg,Justice for Johny depp,Swamy Swamy,0,2020-12-19T13:19:09Z
10,UgwVZMo9H4zZM7tYGzh4AaABAg,Johnny deep  లేక movie boring 😪😪😪😪,Y Eliya,1,2020-12-16T02:03:16Z
11,Ugw1MGTOSSbUUDCXIWt4AaABAg,Kristen Stewart is better,Space Lover,1,2020-12-07T08:23:29Z
12,UgzjZfOTmOs8Ha_uHmB4AaABAg,Jhonny depp lekapotey nenu pirates of carebbiean 6 chudanu 😭😡😡😡,Shahid,4,2020-12-01T09:21:32Z
13,UgwmPCoSxwlUuyQscYR4AaABAg,Justice for depp,Thilak Raj,4,2020-11-08T03:35:24Z
