,id,comment,author,likecount,publishedAt
0,UgxtnUYD48P6E7iKhfd4AaABAg,This'll be amazing!!,I am a bear,0,2018-10-26T14:42:55Z
1,UgxMrk75BuMKmPHnsvJ4AaABAg,"Amber Heard will play Mera spot on, she is an experienced actress. But Jason Momoa can‘t act at all ...",Jim Tolstoi,0,2018-09-24T17:16:50Z
2,Ugyn9QWx6LxXRZEkB-x4AaABAg,Amber Herd should play Ariel the little mermaid she even looks like Ariel too and she has the features the Red hair the little button nose she's a perfect Ariel 👌💗💗,char xoxo,1,2018-09-09T19:45:32Z
3,UgwvnBVOsWkkfoQU0Rl4AaABAg,That fucking amber shit! Hate that bitch,João Filipe Ferreira,0,2018-08-26T03:11:16Z
4,UgxwwC4kZmI9sIEuwYx4AaABAg,Nothing new u r lier and fake I just want to report u,Ved Patel,0,2018-08-18T18:16:21Z
5,Ugy3Pj9TOK0Gh9qtEnR4AaABAg,"It looks amazing, but I don't believe that it will actually be good. It has too many stories for just one movie. Hope I'm wrong.",Ευάγγελος Κοκκινάς,0,2018-08-17T16:03:17Z
6,UgyBN89S6CDORxC7VOJ4AaABAg,This looks like trash. How desperate are they? This was a running joke on entourage for 2 years and now it's reality. So many characters and this is the one they pick.,Dirg Ramsey,0,2018-08-17T01:53:37Z
7,UgzMIrDOPi3IhTFhgS14AaABAg,Still the same trailer,Black Widow,0,2018-08-16T18:00:59Z
8,UgyYBOv4_VKNrf8iyjh4AaABAg,UGH! Another movie that's essentially one giant orgy of not-quite-good-enough CG. When will DC/WB learn?!,The Galvan Agency,0,2018-08-16T11:50:59Z
9,UgwBkgUvPEJB_6s6f0V4AaABAg,This is going to suck,RedLeader,4,2018-08-16T09:54:48Z
10,Ugx9sm-liy07BN7pCOh4AaABAg,"0:51  ""Uncharted 5: Aquaman's Fortune""",Frogbridge Gaming,0,2018-08-15T23:05:16Z
11,UgyC5FZ0bgZZIbl2v914AaABAg,"The only reaction I ever have when I see any footage of this version of Aquaman is a giant shrug. Hell, I'd rather see the Brave and the Bold aquaman.",Frogbridge Gaming,0,2018-08-15T23:03:30Z
12,Ugx-ijnZgN_MoG-Ret14AaABAg,DC sucks,Brenton Insert name,0,2018-08-15T18:26:35Z
13,UgyvzyaHMbRb-a1t6H14AaABAg,Mah man!,Stick Grabber,1,2018-08-15T17:20:58Z
14,Ugx8y9uUQ7vMQ70D9H94AaABAg,Too much of vfx.... learn how to make from mcu,mr 470195,0,2018-08-15T17:03:58Z
15,UgyitNrBwC6_cuu2feJ4AaABAg,Warner bros are making DC look like Marvel rip offs! :-(,Rich Castle,0,2018-08-15T16:46:21Z
16,UgwnXEeYxgDk2MPN6mZ4AaABAg,cool voice of Jason.,jacuzzi 90,0,2018-08-15T15:35:36Z
17,UgyRebMlfWAbrSjUrq54AaABAg,"A combination of Black Panther, Jurassic Park and King Arthur. I hope it works.",Abhinaya Mary Koshy,1,2018-08-15T14:25:06Z
18,Ugzj5uf5sr_aP71-rX54AaABAg,Aquatic thor,L.A.G,0,2018-08-15T14:17:01Z
19,Ugw92FDjoKm3_FvjDjN4AaABAg,that plot sounds familiar I don't know where.,Jacque Cortez,2,2018-08-15T11:31:47Z
20,UgymluUrsrY6xKqnZmp4AaABAg,El es impresionante... Lo adoro me alegra el día verlo..,- Nefertiti Tomoe -,0,2018-08-15T10:19:55Z
21,UgwjtsSTa9uPta1gbdF4AaABAg,Little mermaid live action,Tony Parkin,0,2018-08-15T07:18:17Z
22,Ugzmb5MZ2E-F-ocKVS54AaABAg,this december we will witness another bad cgi movie,A. D,0,2018-08-15T07:17:50Z
23,UgyQEMgi6AUNtoba3_t4AaABAg,"Was there anything new in this trailer besides the line ""Are you guys hungry ?""",merlin1964,1,2018-08-15T05:00:29Z
24,Ugy-2Csqrvwogh3CSHx4AaABAg,its black panther with white family drama and made by dc,Cactus Pants,0,2018-08-15T04:29:04Z
25,UgytpombuXccE7RDfTZ4AaABAg,Should've gotten someone better for this movie than Amber Heard! From what I hear (& the rest of America) is that she's a really nasty ho!! Just ask Johnny Depp!,D.Anthony Franco Jr.,0,2018-08-15T03:58:29Z
26,UgxjI6Akdlj0G8F8XhJ4AaABAg,"I predicted Aquaman will receive mixed to positive reviews, but the film will not likely do well at the box office. It's gonna face stiff competition against Bumblebee, and Battle Angel Alita, which those films are releasing in the same week as Aquaman.",Mr. Asshole,8,2018-08-15T03:52:19Z
27,UgwhibE8mtH98OTiBQZ4AaABAg,"Everything looks accurate...except that’s NOT Aquaman...looks and acts nothing like him, actually.  Disappointing",Matthew Beck,1,2018-08-14T23:52:33Z
28,UgzPBkTAlQTLdIGFTg94AaABAg,does this movie take place before or after Justice League ?,Fat Cat,0,2018-08-14T23:09:55Z
29,UgwO04p5b9Q_DWHdd2p4AaABAg,0:31 What is he wearing ? Can anyone please tell me ?,Vishnu V R,0,2018-08-14T22:39:28Z
30,Ugw9g1i30au0ufi6DAB4AaABAg,ATLANTIS FOREVER!!!!,Demar Taylor,1,2018-08-14T22:01:17Z
31,Ugxqp2IPCUMYqPC2IKV4AaABAg,guess which scene was inspired by Captain America The Winter Soldier!,We Play At Night,2,2018-08-14T18:21:40Z
32,UgzJap6OT76A2xYtFAl4AaABAg,I can't wait yes,Florient Calliste-Leonard,1,2018-08-14T17:51:32Z
33,UgynQFahQODVa9G852F4AaABAg,man I cant wait to see it! :D,Mark Davenport Jr,3,2018-08-14T15:33:39Z
34,Ugxl6QgA1B4OG1kau7N4AaABAg,Jason Momoa as Jason Momoa.,ishnookie,0,2018-08-14T14:19:57Z
35,Ugzigk12sYb1RTmq8wJ4AaABAg,Is the soundtrack Two Steps from Hell  - None Shall Live,Maxime Adeline,0,2018-08-14T12:09:24Z
36,UgzGFc-yKQ1phBrbvsJ4AaABAg,Fake,Varun Kumar R,0,2018-08-14T11:02:11Z
37,Ugw5JtYugh59_llJypR4AaABAg,"Good luck DC


Got a feeling your going to need it",The Erotic Movie Review,2,2018-08-14T07:43:01Z
38,Ugz0tq4G1aEvbcQ9kZN4AaABAg,Amber is so beautiful,Scarlet O’Hara,2,2018-08-14T07:09:08Z
39,UgyzFIVfFQf6gsY1gjd4AaABAg,This movie is going to surprise us all i think its going to be amazing,Ricky Thompson,7,2018-08-14T06:27:00Z
40,UgwEG3MFPm8zgTQ_wRF4AaABAg,Trust me I dont care with this movie,DERA • 9 years ago,0,2018-08-14T04:50:15Z
41,Ugyrpe9GRax63D0l9D94AaABAg,Superheros always seem to have a wicked step brother or sister.,Mark Keith,7,2018-08-14T03:37:55Z
42,UgwcqcXUmg33axYJkrx4AaABAg,"The Aquatic “Black Panther”
I’m Here For it💦💦💦🙃",stacy jaxx,2,2018-08-14T03:27:29Z
43,UgzWMw06wYjlMEqnxUB4AaABAg,James Woods better get his tickets to the premiere.,Grendelnz,1,2018-08-14T00:59:56Z
44,UgxDkYeNC8Azy6BC52d4AaABAg,I am like :O,cartoon guy,0,2018-08-13T23:59:26Z
45,UgzpafjTtqi3JK4hOKx4AaABAg,"I was expecting it to be a lot more darker to fin in with the other movies in th DC world. Also, Amber Heard can't act",Marianita Bustos,13,2018-08-13T15:05:32Z
46,UgwCfLJ7OwHoRphjjgB4AaABAg,Thor vs Loki but underwater,Danny K,3,2018-08-13T10:00:34Z
