,id,comment,author,likecount,publishedAt
0,UgwfekC0J8bg02AKPY94AaABAg,Thanks for umm the umm support! Consider subscribing if you haven’t!,eHacker,152,2020-10-10T16:22:56Z
1,UgwFTNnMBoAk4KuhGM54AaABAg,absolutely hilarious!,Sabitanath Krishna-Biswas,0,2021-11-10T10:03:45Z
2,UgzL6Z7wd2Ij2xtWcBZ4AaABAg,I've never seen not ONE interview where she doesn't look like a childish idiot.,Flor Delgado,0,2021-10-21T00:32:01Z
3,UgzrG7cMWGVkxgvpcWR4AaABAg,stoned or drunk,kezzy kez,0,2021-10-18T01:51:43Z
4,Ugx-B3AcbmdlTqmb6Zp4AaABAg,She makes no sense what so ever,Janet Howarth,0,2021-08-19T22:49:10Z
5,UgxXDtlp2ok278K0Cw54AaABAg,that was painful to watch,Natacha Misticfreak,0,2021-06-12T15:20:18Z
6,UgyB9O8mCsSkbF5ncCd4AaABAg,HahahahahahA ha... what a wreck!,Eric Garcia,0,2021-04-22T14:20:51Z
7,UgyyYlk6IuYfWUQKw5R4AaABAg,UGH YOU CAN ALMOST HEAR THE CRINGE THOUGHTS OF THE OTHER ACTORS !!,My self,0,2021-04-08T15:57:08Z
8,UgxHF_NYvhOV1c24kfh4AaABAg,What the hell she gives me a headache umm,Rosemary Howard,0,2021-04-02T23:02:34Z
9,Ugzz_yUK8qiweYaw_kV4AaABAg,Umm Umm Umm Umm.. Dumm Dumm Dumm Dumm..,Mina.R,0,2021-04-02T07:27:36Z
10,Ugx7ZfZpIcECjoky5El4AaABAg,"Evil Amber Turd, um",Izumianne,0,2021-03-11T17:52:13Z
11,Ugzyb8ZmZ-n-dVoOutl4AaABAg,Omg! Wtf is she talking about?????? She lost me at ummmm lmao,Cynthia Fonseca,0,2021-03-05T01:53:12Z
12,Ugx4vzi1xtROKU11kip4AaABAg,If Whoopi wasn't bad enough this series has Amber Turd in it as well? No way I'm watching this....,jnyfumare,1,2021-02-28T00:34:51Z
13,UgxTs0Vy5lJOQIpV6DR4AaABAg,"She is like this in interviews about EVERY CHARACTER SHE PLAYS. I remember seeing a video of her describing Mera. She literally was incapable of just giving a succinct description of the character or anything that occurs with the character at all! It drove me crazy. I tried to go ahead and watch The Stand, just because I thought I'd see how she is in it. I could not get through the 2nd episode - there was too much Amber in it. I only got through the 1st episode because she isn't in it. lol Or, if she is, she's easy to forget. What a waste of an actual acting career.",TrueBliu Nineleven,0,2021-02-17T04:07:23Z
14,UgwlkBGTp0vFrbNmi7t4AaABAg,I hate her.,Babzee,0,2021-02-15T02:23:25Z
15,UgxHTP7PbX86cUldrSt4AaABAg,I cant stand listening to her she gives me a headache,Lorri Holder,0,2021-02-10T17:42:04Z
