,id,comment,author,likecount,publishedAt
0,UgxSEWA1rz5kSLwfj314AaABAg,I just went to change.org and petition for amber to be slashed from aqua man 2 if it even gets ever made...,jhonnymichaelcharlie,0,2020-11-14T10:40:05Z
1,UgxwUHpuBAZCnRJ_OS54AaABAg,"Give this survivor of domestic abuse, legendary actor and  humanitarian the justice he deserves. his Instagram is overwhelmed with new member s at 8.2 million, keep joining let him know we care.  Boycotts , sign petitions, buy Hollywood Vampires ( his band). Two albums available on Amazon.",Jeanne Cihla,0,2020-11-14T08:58:38Z
2,UgxceRy-GFeESLuGe4t4AaABAg,"""Running away at the time of violence"", that's his crime. Not being a thug!",Glen Risk,0,2020-11-14T05:25:03Z
3,Ugxfn_DHWPAIpJ8mUUh4AaABAg,Ambi poo.ambi poo the.cops.are com'n  for you,Kim Ryan,0,2020-11-13T15:05:29Z
4,UgzUiFIm7CsEX8RV1cF4AaABAg,Hmm...If Amber ends up being in Aquaman 2 does that mean she’d have to go to Australia for filming? Doesn’t Australia want to charge her for intentionally lying about the dogs? Would she face prison?,Claire Jones,0,2020-11-13T14:26:02Z
5,Ugx-9mDY2ZNaplVBHBV4AaABAg,"Truth will always prevail! Everyone needs to be sharing the truth with as many people as possible! I apologize for being missing lately 😕 😔 😞 I have a new schedule that is making it virtually impossible for me to make it 😔 I am always with you in spirit ❤ I just have to say to anyone who thinks that Johnny has ever been abusive to turd or anyone for that matter; I am a survivor of abuse and I have listened to the tapes,  I have read the court records and I have researched this and I promise you that he NEVER abused her! Johnny is the victim and ALL victims deserve justice! Their sex doesn't matter,  the only thing that matters is if someone is abused, they deserve justice and that is why #JusticeForJohnnyDepp is so important! This movement is for all of us who have ever been abused and either did or didn't see justice! Make no mistake,  this is not about being a fan,  it's about seeing a man get his life and his reputation back after suffering abuse from the person who is saying that she was the victim 😡 #JusticeForJohnnyDepp  love you and your channel!",Tammy Lockley,0,2020-11-13T14:12:37Z
6,UgwDU4zxfH50xh5kPx94AaABAg,The Bots r back.,Maria Wright,0,2020-11-13T11:33:35Z
7,UgxmdeN55l79HoQl6zt4AaABAg,"This woman is everything the women’s movement does not need, a proven liar & gold digger does the cause no good, in she will set things back years",Able Rides,0,2020-11-13T09:11:30Z
8,UgxzfKpQDix7YiuDjcl4AaABAg,"I have followed Johnny Depp's career since childhood. He is one of my favorite actors. After everything I saw and heard (testimony, audio, photos, etc.), I got so angry with Amber Heard. She married one of the most wonderful people on the planet and treated him so cruelly. In my eyes, she is NOT a woman and NOT a person. She is not stable and mentally unhealthy. Justice must be restored.",Dean Winchester,0,2020-11-13T08:17:00Z
9,UgzBbnn-8EqOZ_IAAO14AaABAg,"Amber wants a larger role in AQ2... I THINK SHE BELIEVES 
THAT 1 MILLION PEOPLE ARE SUPPORTING HER? 😄  BUT SERIOUSLY, she thinks she has the same amount of fame as Johnny.  
The best way to get under Ah skin is to ignore her and send loving caring messages to Johnny..whatever you do don't leave nasty messages for AH OR HER friends. The VA judge is already angry and we don't want him to put a gag order on the information coming from that trial",DARLENE B,2,2020-11-13T06:24:38Z
