,id,comment,author,likecount,publishedAt
0,UgzGpqU5GiUlOqHiv9t4AaABAg,Amber hablando español...🧡,Asesor Juan Manuel,0,2021-10-23T04:56:29Z
1,UgzNKpjEPKTCsjf9RoR4AaABAg,Gaby nunca había visto este video y debo decirte que es de mis favoritos desde ya. Ver a Amber Heard hablando español fue muy lindo 🥰 y tu cómo siempre genial con los entrevistados. He visto pocos casos de periodistas o conductores que logran entrevistas tan amenas como las tuyas. 💖,Tamara Perez,0,2021-07-24T01:49:32Z
2,UgxxCCQ9r6P8b_CZ5EB4AaABAg,Si Gaby aparece en el casting y sonrrie 2 veces... le quita el papel.,daniel b.c,0,2021-07-22T05:35:43Z
3,UgzXwZCwchT7BwmA1Wh4AaABAg,Amber me caga,Juan Gómez,1,2021-07-16T09:03:36Z
4,Ugw_3oREuFdmNVWYmLh4AaABAg,"Excelente entrevista, grrandes detalles que hablan de la personalidad de las 2 hermosas mujeres, Amber hablando en español y el detalle de Gaby de la muñeca y la reaccion de Amber, espectacular.",Alberto Muñoz,0,2021-06-22T15:03:31Z
5,Ugxk-biqHXrIHxKO8rp4AaABAg,Increíble cómo Amber hablo español ella trasmite esa importancia que nos tiene a los fans y es como un privilegio que ese tipo de personas existan que educado de su parte prefirió hablar español que lo habla muy bien,Francisco,0,2021-05-20T09:18:27Z
6,UgzcDBAhTENxu3jKjNx4AaABAg,Esta sección de comentarios envejio muy mal xddddddddd,Esteban Toro,5,2021-04-01T19:32:48Z
7,Ugzglko2Tr0gQGRZYxF4AaABAg,"""Gaby Meza ve a Jason Momoa""
Tranquila Gaby piensa en la biblia",Walter Guzmán Barahona C-28,1,2021-04-01T03:44:39Z
8,Ugz99cabjI03BmiFO5d4AaABAg,"Que loco ver a Amber tan amable y todo despues de saber en todo lo que ha estado envuelta durante este tiempo con Johnny Depp, hasta me cayo bien :(",sandraglove10,2,2021-03-23T18:36:30Z
9,UgzrPGgQLlhN0oNQh-N4AaABAg,"Amber Heard no puede ser más perfecta, cada día la amo más 💕",A. Escalante,2,2021-03-19T14:00:20Z
10,Ugw1US4k3zNgeYqIju54AaABAg,Yo en 2021 viendo a Amber Heard y recordando como la veía hace 2 años....😲😲😲😲,Claudia Galar,2,2021-03-08T13:38:49Z
11,UgxN5MCQaBuON5fHl094AaABAg,A amber todavía le falta hablar español fluido,Adonis Madrigal Ureña,0,2021-03-04T20:41:30Z
12,UgyBDQYZ5Hvo-SOXDWR4AaABAg,Like si estás viendo este video después de la polémica que pasó con el caso de Amber Heard y Jhonny Deep,mapi 2904,2,2021-01-04T17:43:46Z
13,Ugz-PqVHVhDmUMrCLyt4AaABAg,Yo en el 2030 odiando pero amando en esta entrevista a Amber,Mariana Terrazas,2,2020-12-30T22:04:08Z
14,Ugw4GJGXlYqCee9r_jB4AaABAg,#JusticeForJohnnyDepp,Sheny,1,2020-12-17T06:05:49Z
15,UgyoYjg3fEQ71CKY8R94AaABAg,"Vengo del futuro para decirles que medio mundo odia a Amber porque culpo injustamente a Johnny Deep de ser violento cuando ella fue la que maltrataba, y tambien porque hizo que despidieran a Johnny de Animales Fantasticos. Fuera de eso amo este canal",Marissa Bencomo,8,2020-11-20T18:57:27Z
16,UgwL_jZOholhySV3lkx4AaABAg,I loved what Jason said about Nicole Kidman 😍,Hector Mendoza,0,2020-11-11T07:33:04Z
17,Ugw-sQTA4tQq_FpmhZx4AaABAg,Que pena ambber y Depp se destrozaron en su imagen,Alis Cast,1,2020-11-09T22:40:23Z
18,UgwbTEv1vM8dnbSg1_x4AaABAg,"Si no supiera que Amber es una desgraciada, estaría enamoradisima de ella",Breen M,6,2020-11-09T01:47:03Z
19,UgzgGtziCYnsHCSjT3d4AaABAg,"Ay esta tan linda y simpática jaja 
Como cuando hizo chistes racistas de que cuiden a sus sirvientas de la migra.
Se nota que nos aprecia mucho 💖💖😂",Iridian Ramirez,1,2020-11-07T20:42:47Z
