,id,comment,author,likecount,publishedAt
0,UgwHlbqI71yYreHhu9V4AaABAg,"Original Article:
https://poptopic.com.au/news/photo-discrepancies-prove-that-heards-friends-staged-penthouse-rampage/

Check Out My Podcast on ALL Major Platforms! 
https://redcircle.com/shows/nerdettetiquette

Need Some FUN Merch? Check out Mine!
https://my-store-11154593.creator-spring.com/

Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

☆Other Platforms☆

Tik Tok:
https://vm.tiktok.com/ZMdFFd5fo/

•Odyssey:
https://odysee.com/@Nerdettesnewsstand:4

•Live Channel:
https://youtube.com/NerdettesNewsStand2

•Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

☆Support The Channel☆

•Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

•If you want to support my Channel, please check out my patreon And subscribe star below:

•Patreon:
https://www.patreon.com/user?u=21542407

•Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",Nerdette's NewsStand,20,2021-07-21T21:28:40Z
1,UgzvtCr3fwO1dtp1RJV4AaABAg,When has ah ever showed to be truthful we see all her groups of people go far away and play in your abuser party,Cindee paul,0,2021-09-23T21:38:03Z
2,UgwogowgS9e__XrcWaB4AaABAg,so far what I  don't need hear more of heard's false rumors or her lies hasn't said enough while Depp and his team look into what ever she says to prove her wrong like he will find the truth and real evidence against her  I am not fan of heard complete chaos man please put her in jail blacklisted from social media cite and acting for ever she really knows how to lie and how to screw anyones life or anyones career as long she  doesn't get accountable who in the world will finally stop heard and her amazing lying team,Jake Chapman,0,2021-08-20T19:14:59Z
3,UgzLdqtV0J7yY2RDHc14AaABAg,"Her credibility is gone. 

Shes a complete fraud. 
I can't STAND this chick!",monica soler,1,2021-07-25T04:59:25Z
4,Ugwxi3Imic6ar6lD6Dp4AaABAg,She's the sort of women who'd fake an orgasm then tell ya she'd faked it.,DJ RMX,0,2021-07-24T03:21:55Z
5,Ugwh8QxetD43EZMI4YF4AaABAg,This case keeps getting better and better for Johnny and worse and worse for Amber. Keep digging Amber keep digging,Lauren Rhoads,2,2021-07-23T07:31:07Z
6,UgwLbygphOYWMoZ2Jx54AaABAg,"Her stupidity just intensifies daily. Wow, just wow! Thanks Tristan!! Can’t wait for the deep diving into the rest of this👍🏻👍🏻",Mary-Lynne,2,2021-07-23T05:11:20Z
7,UgwqGSuG0bnJLqw2GfV4AaABAg,"Judge Nicol and the entire UK justice system involved in this corrupted trial should face higher European courts.

Judge Nicols retirement pension should be revocated.

UK tax payers should not support his public retirement pension",Carmen Castro,3,2021-07-22T22:51:46Z
8,UgzILKrPQPKBpNb3NKd4AaABAg,"She is a mirror of how weak and corrupt the entertainment industry are.
And the woke movement growing cancer splash and contaminate everything.
Do the justice will survive to our sad dark time ?",Luc Loubat,0,2021-07-22T22:43:57Z
9,Ugzqeqw7FWF0RIPjLZJ4AaABAg,The Sun picked the wrong side.. They would have had PLENTY of front page news if they had half a brain.. Then again that bs magazine has never been interested in the truth anyways.,My self,3,2021-07-22T20:35:05Z
10,Ugyy7pvY8gE1A9ufhqp4AaABAg,#justiceforJohnnyDepp  The truth will prevail,Teresa Sinor,4,2021-07-22T19:33:38Z
11,UgyGZmZXfW-ThJ87RtV4AaABAg,As soon as I heard about this whole thing I've been watching closely because I how big the b******* lie is this man was married to Winona Ryder who's mentally unstable and even she still thinks he's the sweetest man in the world,Robert Ruiz,0,2021-07-22T19:07:00Z
12,UgwGxxOIwYvzX7TUN0R4AaABAg,"If she doesn't get 50-100 years, we gonna riot/be pissed.",Drakenpage,2,2021-07-22T16:51:51Z
13,UgyPed9ZWioJPkEc8F14AaABAg,Some of her fans got my Twitter suspended 🙄🙄,JuSt SaRaH,0,2021-07-22T16:43:03Z
14,Ugw6YZVBOb16iNmxneF4AaABAg,Love your voice  and showing the stuff that she a liar and showing she's the 1 that duz df  against jd and all the stuff coming out she fa cked it all damage bruises ect can't wait for her to go to jail jd is the kindest man in this world she just a fame Hungary gold digger liar and a total bitch got alot more wore to call her bt wouldnt like to get band or time out lol,Lee Vincent,0,2021-07-22T16:19:50Z
15,UgzJVru-6lVYdUNcHmx4AaABAg,"I wish Judge Nicol could be held accountable in someway for his blatant poor character and lack of integrity. Every time I remember his comment about how he believed Josh Drew was a credible witness, I feel disgusted. It is wrong this judge suffers no consequences. The disgust I feel is because it reminds me of the probability that his whole verdict was already decided before they ever went to court.",Michelle T.,2,2021-07-22T15:39:55Z
16,UgwnDqhLQzwuNoAk3hR4AaABAg,This Is A Massive Win For Johnny Depp.,Karl Evans,3,2021-07-22T15:22:00Z
