,id,comment,author,likecount,publishedAt
0,UgybjI_1tUkAxcSN7C94AaABAg,"¿Que opinas de toda esta locura?
No te olvides de darle DUUURO a like.",DELCARAJO TV,443,2021-04-17T02:38:31Z
1,UgxYTunO8ljIlKPjlEF4AaABAg,Johnny Depp es el contraparte masculino de Tina Turner.,123456RaulMorales,0,2021-11-15T21:06:06Z
2,Ugw2oHjd5JGXGOdIZel4AaABAg,Mi amor platónico,jer fer,0,2021-11-15T17:23:26Z
3,UgwuVZF2xIxyXzzk19F4AaABAg,Jhonny es mi héroe,ViveElRock Oficial,1,2021-11-15T13:44:46Z
4,UgxnuBag9xUWyvtHCHd4AaABAg,.,Fungi,0,2021-11-14T17:19:34Z
5,UgzWw4Z3drON7U_Ubvx4AaABAg,Amber heard perdió lo que le que daba de credibilidad apenas dijo que era feminazi,jahir alberto De la hoz Ortega,0,2021-11-09T05:00:38Z
6,UgwcecbPGC58uCun6zt4AaABAg,"El arma de la mujer mala es la calumnia en estos tiempo y la ley se presta a darle credito por el solo hecho de ser mujer. nunca lo debemos permitir, pena de carcel para las mujeres calumniadoras.",Miguel Angel FX,0,2021-11-03T17:46:57Z
7,Ugz1-k_hIRmTgNrddLJ4AaABAg,"Parece ser que da igual lo que demuestre, el simple hecho de que Amber sea mujer ya da ventajas para que la mayoría se pongan de su lado... asco de sociedad.",Despierta Tu Mente,0,2021-10-28T15:42:23Z
8,UgybD7WzcbjDPeXzY-F4AaABAg,Es un crimen que lo culpen a johnny de algo que no es cierto,ivana hassan,0,2021-10-22T04:47:06Z
9,UgwrFpNVqCTeKfNfV4x4AaABAg,Da muchísimo coraje que siga perdiendo  uando todo mundo vé la verdad. Es simplemente stpdo,Yaki,1,2021-10-04T20:29:40Z
10,UgyRhDT60M2Z5lJb5DN4AaABAg,THE GREEN ANONYMOUS,Bruce Alexander Wayne 🕋,1,2021-10-04T11:07:19Z
