,id,comment,author,likecount,publishedAt
0,UgzFjabWHInsVpt3k554AaABAg,"Johnny Deep o zonie Amber: ,,Zerzne jej trupa"". Smutne walki malzenskie i przepychanki miedzy Johnym Deepem a jego zona. Deep oskarzal zone o odciecie mu malego kawalka palca, zona oskarza go o bicie po twarzy. Sms Deep nt. zony dzialaja na niego obciazajaco: „Spalmy Amber. Utopmy ją, zanim ją spalimy! Potem zer**ę jej trupa, żeby mieć pewność, że faktycznie nie żyje” – miał napisać Depp w listopadzie 2013 roku.",Dobrawa ciekawostki dla ciekawych,0,2021-05-07T09:29:04Z
1,UgzeDcr08xQuWYp-jVl4AaABAg,kto team johhny depp to kom,reti9 y,1,2020-12-11T07:32:49Z
2,Ugzuo3I90kjwcv2Vj6J4AaABAg,Nie licz na miłość tam gdzie liczy się pieniądze.,Grzegorz38,2,2020-07-08T02:50:53Z
3,UgyTa_R30vjT1Uuwayt4AaABAg,"Johny to typ osobowości pozbawionej możliwości uderzenia kogoś, będzie rzucał przedmiotami w dal, trzaskał drzwiami, żeby pokazać że jest wściekły, ale nie uderzy, w momencie jakiejkolwiek przemocy, krzyków on ucieka. O to się kłócili, ona się darła, on był spokojny, ona mu zarzucała, że nic nie wyjaśniają, bo on ucieka, on że nie chce kłótni i walki, że to do niczego nie prowadzi. Ona mu zarzuciła nieumiejętność rozmów i stąd ucieczki, ignorowanie jej, nie odzywanie się, odchodzenie bez słowa co ją doprowadzało do furii. Kto tu ni e umie rozmawiać?
Przyznawała że go uderzyła, lub wiele razy się to stało i miała wytłumaczenie, bo on ucieka, bo ją zostawia bez słowa, nawet uczyła jak ma do niej mówić  kiedy wychodzi.
JD pije, ćpa, jara, słychać jak bełkocze, choć mówi z sensem, bije od niego spokój. On decyduje o separacji, gdy ona znów się nakręca gdy ją nazwał kłamczuchą. oskarża go, że ją straszy rozstaniem i ona nie czuje sie bezpiecznie, dlatego go uderza, nie bije go, bo musiałaby to zrobić kilka razy. 
Jedyną osobą, która stosuje przemoc jest ona. TO że JD ma wyrąbane, leży na kanapie i nie interesuje sie nią nie jest powodem do awantur, do prowokacji żeby rozładować swoje napięcie i do wyżywania sie na nim. Rączki jej same lecą.
Młoda, chce mieć dobrze. On mówi coraz częściej o rozstaniu, przyznaje, że jest chorobliwie zazdrosny, ze nie chce rozwodu, ale rozłąka da im dystans. Ona deklaruje ze nie będzie wyciągać łap do niego. nauczy się panować nad sobą, ona deklaruje do taśmy, on wie o niej, oboje maja do tego wrócić jak ochłoną. 
Ona do niego mówi o swoich potrzebach, on tego nie łapie. Klasyka kwalifikująca sie na terapie, żeby poznac swoje potrzeby, i naucyzc sie rozmawiac.
On wycofany, nieco olewajacy, kohca, ale nie umie sie nia zajac, ale nie jest w stanie jej uderzyc. Zawsze ucieka, co oznacza, ze musial przemocy doswiadczac w dziecinstwie i po przesłuchaniu nagran z ich udziałm, nie sadzilam ze jest tak tępy w zwiazkach damskomeskich, ze nei wie minimum, ale jestem pewna ze nie uderzy kobiety i chyba facetow tez nie.",Aneta Wewiór,1,2020-02-26T05:27:02Z
4,UgxPvn22wXIO-A1qREh4AaABAg,Typowa narcyzka. Żyje by się bić i zwyciężać po grupach. Jedno wielkie g...,MsJewka,1,2020-02-20T12:43:29Z
5,Ugyybdr2PivdHCj3a894AaABAg,Fajne,SANDRA I LOVE TRAINS MUSIC,0,2020-02-15T22:01:02Z
6,UgyE6Ef7hD7-B9NYBPZ4AaABAg,"Tak to już jest jak jest się już starym dziadem i bierze się za młode kobiety. No chyba jasne, że nie była z nim z miłości.",Maria,1,2020-02-02T17:27:45Z
7,UgxgBBph6E-7jBaayuh4AaABAg,ona kłamie podła szuja,Jackie Sparrow,2,2019-11-11T19:19:43Z
8,UgzUEeLQ5U9B4Ln_Qe54AaABAg,"Nie wyobrażam sobie żeby ktoś inny grał Jacka Sparrowa ... przepraszam KAPITANA JACKA SPARROWA
niech Dep to wygra bo Piraci z Karaibów umrą",MEGDESqq,10,2019-06-09T23:15:49Z
9,UgzLWYBrQpzOc5ZYIFV4AaABAg,"Kocham Deepa i nigdy nie przestanę, a ta baba niech się odwwli, a tak serio to my#le że ona wymy#la bo wiem jak jest z baba i bo sama nią jestem",ABC D,2,2019-05-09T19:03:46Z
