,id,comment,author,likecount,publishedAt
0,UgwJxu4yQhmbjJzjZWR4AaABAg,Justice for Johnny depp,Makayla Jones,0,2021-11-21T03:03:41Z
1,Ugyfm2Ie42wWe_G8Up94AaABAg,"But of course she can handle hot peppers!, she is from Texas. 🌻😻📸",Victor H Garcia,0,2021-11-15T18:50:59Z
2,Ugx-DejR5Ti1LJJO8ax4AaABAg,"Justice for Johnny 
She is not a victim",alma vazquez,0,2021-11-14T06:00:06Z
3,Ugx3zJEwIuPB7-1JZ6B4AaABAg,Justice for Amber Heard .,Calvin LIM,1,2021-10-04T11:32:56Z
4,UgwKIZ6brtR1KuwbtBJ4AaABAg,this woman is the spawn of the devil,Jenna Berseis,0,2021-09-21T10:10:37Z
5,Ugwlg1vM7bpZ1i9QW4N4AaABAg,She should be on Hot Ones..  So We Can Watch Her Suffer. If I were on set I would have grabbed the milk and ran lol,Felicia Pearce,0,2021-09-05T16:29:36Z
6,UgxKZZ6anVadOGg6gtR4AaABAg,You can tell by her mannerism that she's clearly a lesbian,Lia P,0,2021-07-19T16:57:54Z
7,UgxiLqgBWYGK8R6hHTF4AaABAg,"........ Amber...... Είσαι μια θεά είσαι πανέμορφη, εισαι η ωραιοτερη θεά στον Πλανήτη...... 😘😘😘😘💟💟...... 🇬🇷...... Είσαι η θέα Αφροδίτη της Αρχαίας Ελλάδας του πλανήτη τού Σύμπαντος Είσαι η θεα των θεών...... 😘😘😘😘😘🌺🌺",Μανωλης Σταυριανος,0,2021-07-18T19:31:24Z
8,UgyuFJhIXNg4KlqxivV4AaABAg,Justice for johnny depp,Thor Roshan,1,2021-06-09T14:26:07Z
9,UgxqbsRL0dI8WNppOdt4AaABAg,hate her,trnm sfvi,0,2021-06-07T05:50:37Z
10,Ugx-ojHkJXZi9rqnUnB4AaABAg,hate her,trnm sfvi,0,2021-06-07T05:50:35Z
11,UgyG0BWFLiuBxrrNNqF4AaABAg,"#JUSTICEFORJOHNNYDEPP
#AMBERHEARDISANABUSER",Debbie Dolli,0,2021-06-02T08:15:49Z
12,UgyLnFW-Q4cCnx772gR4AaABAg,And now unsubsidized,Rachel Olson,0,2021-05-31T23:03:50Z
13,Ugyu-H99RKkggzzPCwx4AaABAg,"This is the interview she had to get to as stated in her emails to ACLU,  well isn't that special 🤮🤮",Rachel Olson,0,2021-05-31T23:02:47Z
14,Ugwnr2AKUseIErpNSY14AaABAg,JUSTICE FOR JOHNNY DEPP ❤️❤️,Sadie-Mary Guy,1,2021-05-31T10:27:23Z
15,UgyXTd4xXTndZH3B2et4AaABAg,Amber Heard is so cringe lol,August,0,2021-05-24T20:27:42Z
16,Ugz-UOGDHkkvHTdcP_l4AaABAg,Dislike.👎,One Day,0,2021-05-23T14:38:19Z
17,UgxgvmOU-l8nK2RGWe14AaABAg,BOOOOO 💩,Rachel Olson,1,2021-05-17T07:49:34Z
18,UgyRuRWbw533ErazFn14AaABAg,"Guys, stop sending hate to Amber. I'm tired of liking all the comments lol
Edit: Sorry if I had you in the first half lol",Kareem Al Saleh,1,2021-05-09T12:02:16Z
19,UgyYauDukw2kljcY0PZ4AaABAg,JUSTICE FOR JOHNNNNY!!!!,23v0lv32,0,2021-05-09T08:54:37Z
20,UgxTxBDW55MbDJ3dVg14AaABAg,JUSTICE FOR JOHNNY,Saliyaah Marie,0,2021-05-06T00:26:44Z
21,UgxQ80z5zwq3_8ycRuZ4AaABAg,justice for Johnny Depp,BlackDragon_gxf,0,2021-04-30T20:59:58Z
22,UgzN_pHL0cNIGC63cRN4AaABAg,Justice for Johnny Depp!,Jeffany Joralemon,0,2021-04-30T03:32:34Z
23,Ugxs-1dzxRQdOiyxMeF4AaABAg,I’d much rather see Johnny Depp with Jimmy Fallon....,shisagirl,1,2021-04-22T13:25:29Z
24,UgyPIHWoVkDwbnQsUAh4AaABAg,Don't worry I'm just here to dislike the video 😉 bye👋,Y/N,1,2021-04-13T15:43:22Z
25,UgwXaTWHuA3oeegfpF94AaABAg,she's not a victim...,Rock Candy,0,2021-04-10T17:35:33Z
26,UgyCaYoWfvfDqZt7LHZ4AaABAg,jimmy fallon youre punk,adel ba,0,2021-04-03T01:48:28Z
27,UgxxFLOzTI90RCZfwUZ4AaABAg,Ashian be like nice sweet dish 😂,prateek tiwari,0,2021-04-02T09:06:30Z
28,UgzaROCnafoZbQyX_ph4AaABAg,she is a perfect Mera. the character only.,SaLEh Al BluShi,0,2021-03-29T17:55:06Z
29,UgwDKR4TblVqRJzMgmZ4AaABAg,She looks old,H. zia,0,2021-03-28T21:18:42Z
30,Ugw5uvJivhF5XfNbkJB4AaABAg,"i'm sorry jimmy, it's not your fault but   i have to dislike the video",Vader Darth,1,2021-03-24T02:57:20Z
31,Ugx4CxfSpov-yuO6zEl4AaABAg,Amber's so beautiful,Soujanya chowdhury,0,2021-03-23T17:04:58Z
32,UgwjR-epmxkLNojxyzF4AaABAg,I just watch these videos with amber heard to read the hate comments and like them,Marija Kreišmonaitė,2,2021-03-09T18:25:44Z
33,UgyaJ_6GtMOQH_NN7s94AaABAg,"She don't have JD money, but she's got bad habits that will ruin her looks.",Matilda Project's,0,2021-02-23T17:52:29Z
34,UgwjM_jxRtOAIAzlOhR4AaABAg,I found this pretty awkward.,NinjaOutfitInTheWash,1,2021-02-21T11:07:46Z
