,id,comment,author,likecount,publishedAt
0,Ugyjtdf4-6tbICJ1fXx4AaABAg,"ACLU should have just gave up the donation information.
The TANGLED WEB being destroyed by the CLIMATE CHANGES.
You know it's BAD when the lawyers can't protect themselves. ACLU has thoroughly TRASHED their reputation.",Van A. Johnson,0,2021-08-06T17:52:06Z
1,Ugw72SKJblFZUPwUL_d4AaABAg,😎😷😎,The Guest,0,2021-08-06T02:53:27Z
2,UgyYYwI2LJivK6nTnIR4AaABAg,"YO HO!! All together....




If you know the lyrics, sound off in the comments.",Nicholas DiRienzo,0,2021-08-03T03:19:05Z
3,UgwbwLKjAmk3ZwhazQN4AaABAg,Just catching up on everything. ACLU got no words 😶 Thanks TUG,Kay K,0,2021-08-02T14:52:05Z
4,UgyITarWBIeOT1uyFvV4AaABAg,Love it love it....LOVE IT!!!!,Corrinne Hale,1,2021-08-02T06:44:42Z
5,UgyLrkyHP40Iu4eq1-14AaABAg,"she already said publicly she ""donated"" all the money so when the proof comes to light she's done for!!",AvatarTTfan,1,2021-08-02T02:59:05Z
6,UgziZau_inlG0Hg1StB4AaABAg,"feeding: if there will be a book on what's behind the curtain in this case, i'll buy it :-)
justice for johnny",Ophelia Elesse,0,2021-08-01T21:25:34Z
7,UgyltzL8hKiavslWpP54AaABAg,"I will believe the ""win"" if ever that nameless party pay consequences for their actions. I see myself winning the lottery before that happens.",jjchmiel78,0,2021-08-01T18:48:07Z
8,UgyWJG1_yfrjCWZ_fSx4AaABAg,"“A toast, to all me mates lost at sea! Drink up me hearties, yo-ho!” **leans back in chair while enjoying the treasure room**",Princess Marlena,0,2021-08-01T13:27:47Z
9,UgwVTGVAV9HBu6CjZgx4AaABAg,"Just a short word that is not part of this latest ACLU thing but relevant in regards to Amber Heard...
Growing up on comic books both by DC and Marvel, it's a must for me to see all those super hero's movies, even if they have bad reviews before I go see them. But when it comes down to ""Aquaman 2"" and as much I enjoy Jason Momoa as Aquaman, this will be the first super hero movie that I will deliberately pass on due to Amber Heard being in it. Warner Bro, not listening to your fan base will cost you a lot. (Bad Move/Bad Gamble WB/DC)",S. Knight,0,2021-08-01T08:00:21Z
10,Ugzc1LxRRPt4WE1bN354AaABAg,You sounds like Johnny Knoxville lol,BMX SICKNESS,0,2021-08-01T02:42:16Z
11,Ugz0Nc-7LrOpn8AIwgR4AaABAg,Keep them coming TUG!  Want to watch that nameless party squirm. Watching the parties protecting her is great fun as well!!?,Siri Keller,0,2021-07-31T23:50:18Z
12,UgzM9A2CSlye7tWfTnp4AaABAg,The truth is out. We know who was wronged and who was wrong. Looks like Justice For Johnny at long last could be finally on the way  .,colin ewan,1,2021-07-31T16:50:02Z
13,Ugz3sP_ZmuN6BRPdaqB4AaABAg,Aclu and that nameless 1 has become such a joke that we're all laughing... .,Karen O Leary,0,2021-07-31T16:07:17Z
14,UgyATnJqV6S8805R7CV4AaABAg,Oh this is GOING TO BE GOOD!!! 🤣🤣,Florena Snowden,0,2021-07-31T14:41:28Z
15,UgxCoEX7jQlUhwL7D8d4AaABAg,"Take the ACLU down, let them take accountability for their actions. Keep it up Depp we all rooting for your justice.",bevin robertiello,0,2021-07-31T13:14:53Z
16,Ugwlt2QyboZKwQJj8ft4AaABAg,I'm really getting excited about this!,Sheri bitton,0,2021-07-31T11:20:31Z
17,UgzKQMcjuPnr-UPDyfZ4AaABAg,Justice for jonny depp,Charlotte Hale,0,2021-07-31T08:16:28Z
18,UgzX-_2WNhcj06HBWxp4AaABAg,Finally,Ewa Bo,0,2021-07-31T07:50:11Z
19,UgxL9rznwdHBpuQeRfp4AaABAg,Finally!!,MrZee,0,2021-07-31T04:31:05Z
20,UgydRFbWxRsTNKgpI-14AaABAg,🍇🥝🥭🍉🍊🍍🍌🌮🌮🌮🥪,costenita soi,0,2021-07-31T02:32:12Z
21,Ugyv3_dQ1l0KkN5eEBN4AaABAg,Feeding that pesky algorithm,Fire Dad,0,2021-07-31T01:03:06Z
22,Ugy-kXn7x3KCnMy5DAZ4AaABAg,I'm so happy for him god got her back what she did to Johnny Depp I really happy to see a smile on he's face,Deborah Thurston,0,2021-07-31T00:19:15Z
23,UgxilT1BFtnydITiagB4AaABAg,Loreal needs to be boycotted also.,TRV,0,2021-07-30T22:30:28Z
24,Ugxa5nFDTmYsfPGCmQV4AaABAg,He got a win! Now bring him that horizon,Freddie 32,0,2021-07-30T22:27:14Z
