,id,comment,author,likecount,publishedAt
0,UgyxvE3qIXoHAgLDeE14AaABAg,Jhonny depp : watch me put an end to her acting career.,Brown Lad,0,2021-11-20T12:09:11Z
1,UgxUaB7vSzE_Da4oEuJ4AaABAg,She is extremly beautiful.,Sadi Mohammed,0,2021-10-21T20:28:50Z
2,UgwcQ_Gr_eP91ZqErF54AaABAg,Say whatever you want against Amber. She's still hot and I'll watch her films.,Michael Neil Valencia,0,2021-10-12T16:47:46Z
3,UgzYIlHc8zQFdh0XHvJ4AaABAg,"HHMMMM....Favorite in the comments....NEVER seeing her disgusting presence again, for ANY reason....EVER.",JustMissy,0,2021-10-08T01:52:45Z
4,UgwNDIHvZOoKYGC-4Sd4AaABAg,So your a supporter of a abuser lier nice to no add you to my stay far away from you and your fake news to help cover a abuser the 🌎 no who you side with,Cindee paul,0,2021-10-05T18:57:44Z
5,Ugwg-zQrLJmrHFW7jCB4AaABAg,I like her,SHREYAS,0,2021-09-17T05:29:41Z
6,UgwbGc-S83ajYOQw9PZ4AaABAg,When an actress is so hated that the recommendation vid gets more dislikes than likes,Lee Cha,0,2021-09-15T07:23:01Z
7,UgxB8eh6BjiSs7xP-lR4AaABAg,Has anyone ever thought that every time there’s evidence that she hit him that there’s a possibility that it’s self defence and she’s fighting for her life,Storm Lupa,0,2021-09-01T23:13:16Z
8,UgwZlmm9s1wEiAbLfgl4AaABAg,I always admired her beauty before her [true] colors were shown.. it’s interesting to see how she lost that beauty and glow; as if her inner self rotted from the inside-out. Such a disappointment to women and all [real] victims of abuse.,Kayla H,1,2021-08-30T19:05:46Z
9,Ugx6oVpeSN61HQvvJ_l4AaABAg,devil woman,Zion Gardener,0,2021-08-25T09:44:08Z
10,Ugx7yQ1ckmpznf39Qxh4AaABAg,"Amber Heard 👎, ➡️🐔!",Saken NNN,0,2021-08-22T18:33:55Z
11,Ugw8IJ0CG-1PzZs10214AaABAg,Who is demanding this? Amber is a weak actress.,RexLexus,0,2021-08-18T11:48:31Z
12,UgzclqHtlyzZQnzVcSJ4AaABAg,I used to think she was so pretty and loved her roles! Now I can't stand her and what she did to Johnny Depp! I won't be seeing any more of her movies!,Jessica Weaver(Pike),0,2021-08-13T21:26:43Z
13,UgwD6Xo6JN2RDJMmaft4AaABAg,2:40 Tortuga breaking bad badly😂,SØULTÀKËR,0,2021-07-29T20:08:29Z
14,UgzBDEvS6hJx_tZO1214AaABAg,"Never heard of her, just was curious who J.D. was abused by .. Maybe I'm glad I was under a rock..I haven't seen any of her movies & NEVER will!",Eileen Ortiz,0,2021-07-25T18:35:33Z
15,UgzuFA9nSkvgzwZIFXF4AaABAg,"she is so  hot, thanks for the list. I'll surely watch'em all",Dan By,3,2021-07-15T09:22:21Z
