,id,comment,author,likecount,publishedAt
0,UgwCAxuwJ3ip4APXicV4AaABAg,I don't think there's ever been another woman more full of shit than Amber,Phoebe the one and only,0,2021-05-30T23:03:57Z
1,UgySyb_ffPHAJWxrZlZ4AaABAg,"This me too movement should be shut down right down for ruining JD life and career. They didn, t bother to see any evidence and just think so narrowerly like Amber heard is a woman so Johnny deep is the abuser",Emad Emad,0,2021-05-30T09:06:00Z
2,UgyoUh-5ufGLWVzx0I14AaABAg,"Before people would gently support you and listen if you said you were going to court for DV

Now after anyone hears about what scamber turd has done, they’re gonna suppress an eyeroll next time someone needs help with DV

This is her _real_ legacy and her “acting” at its finest.",Oh my god Becky,0,2021-05-27T13:18:08Z
3,UgyxoUmi7JJ-xkL77Ft4AaABAg,"a prominent face of MeToo & ex best friend of Amber is Amanda DeCadenet, & last year she came out publically against Heard after she listened to all of the tapes, & then her attorney R Kaplan dumped her because she will lose big time in VA, not just financially but the lies that will be exposed will completly destroy her already tattered reputation",Marge lane T.,0,2021-05-25T16:02:49Z
4,Ugzq2onrw-tBnCdUVOd4AaABAg,It was #metoo..... Only she was part of group that includes ALL villains,Crystal Kellim,0,2021-05-24T12:50:28Z
5,UgxMOasFyKjgSeWloAp4AaABAg,"Como yo nunca he sido fan de ese movimiento debido a la destrucción de bienes de propiedad privada ,nunca le creí a esta señora",Aurora Soto,0,2021-05-23T16:20:42Z
6,UgwsLEn3zeQd7x1suNx4AaABAg,"One petition to remove Jonny Depp got 20,000 signatures, okay what about the 2,000,000 signatures to remove Amber Hurd !!!!!",Throttlesnap,1,2021-05-23T05:46:43Z
7,UgwjyUqOcaZXH8RdHu14AaABAg,"Well said...karma, the golden rule ...whatever you want to call it is real...sometimes slow in coming but real",lynn b,0,2021-05-23T00:13:49Z
8,UgwXAVBOQ1_SXwjph6d4AaABAg,In the Cctv he leaves holding a travel mug.,linzi94,0,2021-05-22T20:21:56Z
9,UgyM1EPxBhIhpVn0B5V4AaABAg,"Why is Noone looking into the marks on elon? And her constant cuts on her arms for years, even before Johnny. Self harm?",Elizabth Harris,1,2021-05-22T11:15:42Z
10,UgyGJsgO9mEOkagryHB4AaABAg,Feeding the algorithm,AVJ,0,2021-05-22T09:56:27Z
11,Ugwp1-LAxMECXYhJ2Ex4AaABAg,"The #MeToo movement was great but it has it's vultures just like every movement; BLM founder buying multiple million dollar homes, IN WHITE NEIGHBORHOODS... 🤔🤔🙄🙄🧐🧐",Sadie Cakes22,0,2021-05-21T23:54:35Z
12,UgzCxVanJzAXRuXW4kV4AaABAg,I want to  see AH get her karma and get caught in all her lies!!,Victoria Scholl,1,2021-05-21T23:27:50Z
13,UgwUi3FRRtTSaK1qbop4AaABAg,"She and ACLU have made a mockery of the male and female victims/survivors of SA/DV.
Abusers know no gender. She is an admitted abuser.",Starr-Monkey Surfer,1,2021-05-21T13:29:03Z
14,UgwCF0hpbPrV4TLm4Vl4AaABAg,JUSTICE FOR JOHNNY DEPP,350_Shashant Pawar,1,2021-05-21T09:14:17Z
15,UgzyBDrmlyC23sSbI214AaABAg,"Frustrating theme that keeps repeating itsself: 

""She/he must be telling the truth!,"" 
""Why?""
""Because she/he is good looking!""

And so it is, that the Amber Heards (& Meghan Markles) of this world with crocodile tears, cleavage and calculated flattery will continue to leave trails of narcissistic deceit, manipulation, seduction, abuse and destruction in their paths for fame, money, power and greed and get away with it over and over again..groan😒...

But wouldnt it be nice if just for once justice prevails and the true bad guy gets what SHE deserves?..",Anna Hart,0,2021-05-21T00:46:32Z
16,UgxJt_f17AY5cQufdC14AaABAg,"I can't stand this wom...monster! She's insulting all the real DV victims. Yes,most of the victims are women but men can be assaulted to! 
Johnny has so many evidence against her and I can't believe that no one is paying attention to them!",Anna M.,0,2021-05-20T15:29:09Z
17,Ugw3coHAAXAJ2aqiI3l4AaABAg,Apoyo total #juticeforJohnnyDepp ✊✊✊✊💯💯💯💯🙏🙏🙏🙏,Maribel Frescas,2,2021-05-19T23:04:57Z
18,Ugyo0HySYbi8LrzCP7F4AaABAg,"A temporary restraining order, she was denied a restraining order and told she could not apply again.",Wendy Whitter,6,2021-05-19T21:14:28Z
19,UgyEhxGCEQAVsoS0Obd4AaABAg,"why have those body cameras not been shared before, they could have really helped him before.",dennis33191,4,2021-05-19T16:49:36Z
20,UgzRVU5mi2OFzdglmcR4AaABAg,"Lock her up She is the abuser not Johnny Depp 
She makes my blood boil  #JusticeForJohnnyDepp",Kay K,8,2021-05-19T16:03:06Z
21,UgyqgHy6EsSugNIZG-d4AaABAg,"He litarelly ask ""Do you believe you ABUSED me physically""?

Ans she classic go for the laying/abuser tatic of ""reapeating the question""  -_-",Peu Oliver,8,2021-05-19T15:44:05Z
22,UgyNOr1G3e5RDXdOCBx4AaABAg,"From back then to now....JK Rowling is looking like a genius, and an excellent judge of character.",Rick Gallo,14,2021-05-19T14:16:00Z
23,UgxWNEUXYsBT-dcNaxp4AaABAg,Amber is a liar..  JUSTICEFORJOHNNYDEPP,Vin Vincenzo Evan,0,2021-05-19T12:15:44Z
24,UgyxXMu36F0RmG2oYS54AaABAg,"Jonhny depp :innocent 
Amber Heard:shit",Jonhnydepp edit,12,2021-05-19T11:27:05Z
25,UgwF4ABXimS6J2_cnj54AaABAg,It's Robert Kelly.,Jimmy James,0,2021-05-19T10:52:03Z
26,UgxD66D4gpMt1YpQOfR4AaABAg,There’s a surprise NOT,Red riding hood,1,2021-05-19T09:00:45Z
27,UgyB-ORhnCPImqHvYQN4AaABAg,Believe all women huh....,Emoryn Sixx,3,2021-05-19T08:54:27Z
28,UgydrK2M9Ud4pNr6bZZ4AaABAg,"Amber Heard is the worst thing to happen to the cause of the victims of Domestic Abuse.  I am horrified as survivor myself, and disgusted as a counsellor of Abuse Victims.  As a counsellor, I am terrified that some young person will think attempting to surreptitiously film their abuser during an attack is the correct thing to do.  It is not.  It will result in physical violence.  If Mr. Depp HAD been abusive, Ms. Heard wouldn't have walked away laughing when Mr. Depp discovered her filming him, she would have ended up in the hospital, and her phone would have been destroyed.  

Originally, Ms. Heard sold the illegally made and edited ""abuse"" video to TMZ, alleging that when the video ended was when Mr. Depp began to physically assault her -- but when the unedited video was uncovered, Mr. Depp does exactly what Ms. Heard berates him for repeatedly on the tapes... he leaves, and she turns the phone off with a laugh.  

Ms. Heard's supporters like to minimize the importance of her previous arrest for the domestic assault of her wife, Tasya van Ree, at the Seattle/Tacoma International Airport, in 2009.  Ms. Heard, as a narcissist, attempted to have her former wife explain it away by releasing a statement ""In 2009, Amber was wrongfully accused for an incident that was misinterpreted and over-sensationalized by two individuals in a powerful position.  I recount hints of misogynistic attitudes towards us, which later appeared to be homophobic when they found out we were domestic partners and not just friends.  Charges were quickly dropped and she was released moments later.  It's disheartening that Amber's integrity and story are being questioned once again.  Amber is a brilliant, honest and beautiful woman, and I have the utmost respect for her.  We shared five wonderful years together, and remain close to this day.""  (June 8, 2016, eonline, ""Amber Heard's ex-girlfriend Tasya van Ree speaks out"")

The women thought that this explanation would suffice, because Ms. Heard had successfully applied to have the record destroyed.  Unfortunately for them, Airports must retain a record of arrests occurring on site.  Arresting Officer Beverly Leonard, an openly gay woman who works to support gay rights, and volunteers at Domestic Violence Shelters, was quoted ""I am not so homophobic or misogynistic!  An arrest was made because an assault occurred (I witnessed it) and the parties were in a domestic relationship.""  As a survivor, I find Ms. Heard's tendency to minimalize and marginalize the community of women working to support survivors, simply because their expertise doesn't fit her agenda, *very disturbing.*  Ms. van Ree not *only* lied about the severity of the crime, ""Police documents show there was actual property damage"" as a valuable necklace was torn from Ms. Van Ree's neck during the assault -- she also lied about how upset she was.  The arrest was made at *HER* request. (6/9/2016,TMZ, Amber Heard: Homophobic, Misogynistic Cop... A Gay Woman) 

Charges *WERE NOT* ""quickly dropped... and Amber Heard *WAS NOT* released moments later.  She was arrested, taken for her mug shot, and spent the night in jail, as Ms. van Ree did not make her bail.  Ms. Heard was arraigned the following day, where she did *NOT* protest her innocence, although the Judge was severe with her (a recording of the arraignment exists).  Because both women lived out of State, the Judge and the Prosecutor agreed to leave the case open for the next two years, on the chance that Ms. Heard would re-offend.  After the period had expired, and Ms. Heard was now dating Johnny Depp, she had her lawyer, Michele Shaw, request deletion of her criminal history. (9 June, 2016, Daily Mail: Police Officer Who Was Accused of Homophobia...)

If ""Amber's story and integrity are being questioned once again"", it is because she is a compulsive liar.  She certainly has proved that she is *NOT* ""honest""!  She did *NOT* donate her divorce settlement money to charity, she kept it herself, although she has given interviews where she claimed ""she wanted nothing"" and *had* divided the money between the charities, as well as sent out press releases that her donations were complete. She pled ""Guilty"" to falsifying legal documents in the Australian Dog Smuggling Case, and now Australia has re-opened the Case for further investigation, and is working with the American F.B.I. because it was revealed in the U.K. ""Sun"" Defamation Trial that Ms. Heard had suborned perjury of Kevin Murphy, under threat of having him fired, to lessen the severity of her sentence in Australia. 

 The L.A.P.D. have also opened a perjury investigation against Ms. Heard, for stating under oath in the ""Sun"" Defamation Trial that Mr. Depp had assaulted her, causing injury, and destroying their penthouse Apartment, and that the two sets of two Officers who responded to the two 911 calls lied when all four of them stated that there was no evidence of any crime.  Body-cam footage that Ms. Heard was unaware existed, shows the apartment in perfect order, no damage to the door, and no damage to her person.  This means that Ms. Heard and her co-conspirators fabricated evidence and a crime scene with the purpose of extorting Mr. Depp. (2016, Samantha Spector ""extortion"" Letter of demands)

Even the finding of the Judges in the ""Application for Appeal"" noted that Ms. Heard had committed perjury during the trial... but the extremely gullible ""Justice"" Nicol believed her stories, and took her word over the L.A.P.D. Officers.  Now that the Police Body-cam footage has surfaced, ""Justice"" Nicol is proven a fool, and his final Trial has been exposed as a joke, as well as a miscarriage of justice (or perhaps he was personal friends with Rupert Murdoch, owner of ""the Sun"", and his son worked for another of Murdoch's companies TALKradio.)",NIBS,19,2021-05-19T08:11:14Z
29,Ugx3ytKmhiFNt27A3iF4AaABAg,"She's so horrible and toxic! She used this heart breaking trend as a joke for her narcissistic use! How could she do this to a kind, sweet also to a guy who's older, senior, legend in opposite to her!? The day she regrets doing all this and her existence should be soon! Just let me see her pass by me....",Nero Flower,25,2021-05-19T07:35:51Z
30,UgxPxUNfk2R8vpJZvs54AaABAg,"She's so horrible and toxic! She used this heart breaking trend as a joke for her narcissistic use! How could she do this to a kind, sweet also to a guy who's older, senior, legend in opposite to her!? The day she regrets doing all this and her existence should be soon! Just let me see her pass by me....",Nero Flower,10,2021-05-19T07:34:45Z
31,UgzxbU8vM0XbRBAHymt4AaABAg,"First we had Amberr Heard and then we had her close friends Evan Rachel Wood and Esme Bianco making allegations against Marilyn Manson, one of Johnny Depps best friends.  The problem is that Evan contacted and GROOMED ALL of the accusers.  Many of the women have serious crediblity issues - it does not help that we discovered ALL of the accusers are friends and have already been caught falsifying the little ""proof"" that they have.  People published photo's of Ashley Morgans scars but it has been discovered  it is not even her body AND the photo's came from pinterest.  The main stream media is not making any effort to determine if their is ANY truth in their claims.  They have already approached Manson and have said they will stop making the allegations in exchange for CASH.   I am glad that Manson said no and plans on fighting.  From the new evidence I have seen it will not be hard to prove that ALL of the women have ulterior motives, but absolutely NO EVIDENCE.",tammy koble,14,2021-05-19T06:40:59Z
