kind,etag,id,snippet.title,snippet.description,snippet.publishedAt,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.localized.title,snippet.localized.description,contentDetails.relatedPlaylists.likes,contentDetails.relatedPlaylists.uploads,statistics.viewCount,statistics.subscriberCount,statistics.hiddenSubscriberCount,statistics.videoCount,status.privacyStatus,status.isLinked,status.longUploadsStatus,brandingSettings.channel.title,snippet.customUrl,snippet.defaultLanguage,snippet.country,topicDetails.topicIds,topicDetails.topicCategories,status.madeForKids,brandingSettings.channel.description,brandingSettings.channel.keywords,brandingSettings.channel.moderateComments,brandingSettings.channel.unsubscribedTrailer,brandingSettings.channel.defaultLanguage,brandingSettings.channel.country,brandingSettings.image.bannerExternalUrl,brandingSettings.channel.trackingAnalyticsAccountId
youtube#channel,kUl7QwJhBXKHl0195LiF5bTPICo,UC--9lnKpL5mTmrqsbGkvEBg,Navarro A.,,2012-11-27T20:54:58Z,https://yt3.ggpht.com/ytc/AKedOLRQ1jVE9O8lCaK0SBVJsbuDp3NL50NB6utXBHmtEg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRQ1jVE9O8lCaK0SBVJsbuDp3NL50NB6utXBHmtEg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRQ1jVE9O8lCaK0SBVJsbuDp3NL50NB6utXBHmtEg=s800-c-k-c0x00ffffff-no-rj,800,800,Navarro A.,,,UU--9lnKpL5mTmrqsbGkvEBg,348,64,False,1,public,True,longUploadsUnspecified,Navarro A.,,,,,,,,,,,,,,
youtube#channel,l1JTTfhG3gI8IOu79SR3kisZv1s,UC--qLAvI7PpoP2Cj3KLXTcQ,Gurn Blanstein,,2014-01-27T09:41:34Z,https://yt3.ggpht.com/ytc/AKedOLTq0GNS448OODCLV16o-sb0opOVBLbDSv1ieg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLTq0GNS448OODCLV16o-sb0opOVBLbDSv1ieg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLTq0GNS448OODCLV16o-sb0opOVBLbDSv1ieg=s800-c-k-c0x00ffffff-no-rj,800,800,Gurn Blanstein,,,UU--qLAvI7PpoP2Cj3KLXTcQ,0,2,False,0,public,True,longUploadsUnspecified,Gurn Blanstein,,,,,,,,,,,,,,
youtube#channel,-ds_vxEAmSxzQoRREXWTFpYaFl0,UC--sEstiDmitQkn3gQ4tVNQ,Critical Eats Japan,"Channel Link: www.youtube.com/c/CriticalEatsJapan
Subscribe for a weekly dose of Japanese burger and snack videos.
Regular content features Japanese burgers, vending machines, snacks, unboxings, tokidoki vlogs, and giveaways...
As well as ongoing series such as:
Konbini Quest (Japanese convenience stores) 🍛 https://bit.ly/3IZ8275
Vending Machines 🍜 https://bit.ly/3EaItML
School Lunches 🍎 https://bit.ly/3H1cQHn
Burger Brothers 🍔 https://bit.ly/3IVsS7n
Halloweek 🎃 https://bit.ly/32e8SMg
Thanks!
",2011-05-15T00:36:30Z,https://yt3.ggpht.com/hMBuodKwdeKJ4TuaEiNIsyMdOFDDD3knSVmUe_p7F0yafGqC5OZjtVEJ17NCfspXBfZiTdljZg=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/hMBuodKwdeKJ4TuaEiNIsyMdOFDDD3knSVmUe_p7F0yafGqC5OZjtVEJ17NCfspXBfZiTdljZg=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/hMBuodKwdeKJ4TuaEiNIsyMdOFDDD3knSVmUe_p7F0yafGqC5OZjtVEJ17NCfspXBfZiTdljZg=s800-c-k-c0x00ffffff-no-rj,800,800,Critical Eats Japan,"Channel Link: www.youtube.com/c/CriticalEatsJapan
Subscribe for a weekly dose of Japanese burger and snack videos.
Regular content features Japanese burgers, vending machines, snacks, unboxings, tokidoki vlogs, and giveaways...
As well as ongoing series such as:
Konbini Quest (Japanese convenience stores) 🍛 https://bit.ly/3IZ8275
Vending Machines 🍜 https://bit.ly/3EaItML
School Lunches 🍎 https://bit.ly/3H1cQHn
Burger Brothers 🍔 https://bit.ly/3IVsS7n
Halloweek 🎃 https://bit.ly/32e8SMg
Thanks!
",,UU--sEstiDmitQkn3gQ4tVNQ,2340240,23500,False,798,public,True,longUploadsUnspecified,Critical Eats Japan,criticaleatsjapan,en,JP,"['/m/02wbm', '/m/019_rr']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",False,"Channel Link: www.youtube.com/c/CriticalEatsJapan
Subscribe for a weekly dose of Japanese burger and snack videos.
Regular content features Japanese burgers, vending machines, snacks, unboxings, tokidoki vlogs, and giveaways...
As well as ongoing series such as:
Konbini Quest (Japanese convenience stores) 🍛 https://bit.ly/3IZ8275
Vending Machines 🍜 https://bit.ly/3EaItML
School Lunches 🍎 https://bit.ly/3H1cQHn
Burger Brothers 🍔 https://bit.ly/3IVsS7n
Halloweek 🎃 https://bit.ly/32e8SMg
Thanks!
","Japan ""Food Review"" ""Critical Eats Japan"" McDonald's Pepsi ""Burger King"" ""Kit Kat"" ""Japanese convenience store"" ""Konbini Quest"" ""vending machine"" Lotteria ""Mos Burger"" ""Coca Cola"" Domino's KFC pizza ""fried chicken"" burger ""Mount Fuji"" vlog ""Burger Brothers"" 711 ""Family Mart"" Lawson ""Daily Yamazaki"" ""Daily Store"" ""Burger Brothers""",True,NNzs_n7Ntew,en,JP,https://yt3.ggpht.com/Xr9_aba8rwOGejP0BQujTe29RbvKILBSsDKcJYYtiq8mGpUuUP05vydGOC5Xdwx5bVgO7RYltDA,
youtube#channel,IZ676ukIp3frTqB9joxSPftPDDc,UC-0MHyHnsY43kIOTYvEFYqw,Joyo,Been here since 2006.......Do I get a cookie?,2006-12-26T18:57:47Z,https://yt3.ggpht.com/ytc/AKedOLRTNHNGojc0F4v9DcmVfQ6WYfvoPKOQwRWQ5aw9=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLRTNHNGojc0F4v9DcmVfQ6WYfvoPKOQwRWQ5aw9=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLRTNHNGojc0F4v9DcmVfQ6WYfvoPKOQwRWQ5aw9=s800-c-k-c0x00ffffff-no-rj,800,800,Joyo,Been here since 2006.......Do I get a cookie?,,UU-0MHyHnsY43kIOTYvEFYqw,451,29,False,2,public,True,longUploadsUnspecified,Joyo,baja30,,,,,,Been here since 2006.......Do I get a cookie?,,True,,,,https://lh3.googleusercontent.com/LgzOar5QWysvu7x-lZDyOUVUrYdCnI0ak8iz58xeLrGF-Kwiu9ut0CP7kxmsbQ2u8APQYPZ0n0A,
youtube#channel,a3sv_pn6JD93_08duoOU0UVH_TM,UC-0pkGJ0It-gUZM9mWeD2tg,Sumedh Tayade,,2012-02-14T13:01:09Z,https://yt3.ggpht.com/ytc/AKedOLQDdkYnTirgjrTMC5cEggVlt_LFXEDqOPZhgff_w4U=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQDdkYnTirgjrTMC5cEggVlt_LFXEDqOPZhgff_w4U=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQDdkYnTirgjrTMC5cEggVlt_LFXEDqOPZhgff_w4U=s800-c-k-c0x00ffffff-no-rj,800,800,Sumedh Tayade,,,UU-0pkGJ0It-gUZM9mWeD2tg,3322,54,False,9,public,True,longUploadsUnspecified,Sumedh Tayade,,,IN,"['/m/04rlf', '/m/02vxn', '/m/098wr', '/m/02jjt']","['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Entertainment']",,,,,BvTAtKpo8nQ,,IN,https://yt3.ggpht.com/MwB-V1BUgwa6246c0jTkxyIW_92NJnpIZu6lQrmJqnXz5ViVsUr4zsd8EZDdi_vFpnfhwrGRkQ,
youtube#channel,fw7OoCN7Rw-ekhla6BVcDihrOCk,UC-1mK2sCMTy7FjvodlAjDSQ,Frank Caruso,,2009-01-30T13:40:25Z,https://yt3.ggpht.com/ytc/AKedOLSWi_oLGpLjTFgrGjEVrh--6daFEu5FAoHM2FgaaA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLSWi_oLGpLjTFgrGjEVrh--6daFEu5FAoHM2FgaaA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLSWi_oLGpLjTFgrGjEVrh--6daFEu5FAoHM2FgaaA=s800-c-k-c0x00ffffff-no-rj,800,800,Frank Caruso,,,UU-1mK2sCMTy7FjvodlAjDSQ,227,3,False,5,public,True,longUploadsUnspecified,Frank Caruso,,,,"['/m/019_rr', '/m/04rlf', '/m/06by7']","['https://en.wikipedia.org/wiki/Lifestyle_(sociology)', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",,,,,,,,,
youtube#channel,pZXllUZqDMaDVUOpvR_YQqVQb_A,UC-1x3DESmGOjsk1PrXyZuzQ,Kirsty Cass,"ANIMATION MOVIE CHANNEL

This channel is all about past, present and future animated and CG movies. We show all official trailers so you can view what movies you would like to see before release.

Follow any of Mitchell's social media accounts and blogs to get more information on his work and future projects.

https://twitter.com/mitchellgibbens
https://uk.pinterest.com/Mitchgibbens/
https://www.tumblr.com/blog/mitchellgibbens-blog
https://www.instagram.com/mitchellgibbens/?hl=en
https://www.linkedin.com/in/mitchell-gibbens-9ab64794?trk=nav_responsive_tab_profile
http://moviescripts.weebly.com/
https://www.amazon.com/Doctor-Dippel-Mr-Mitchell-Gibbens/dp/1514844583",2015-01-19T11:52:14Z,https://yt3.ggpht.com/ytc/AKedOLQr9KbIZkv0mI7p3ExuM0ojIxepV-alFuGf5jAldw=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQr9KbIZkv0mI7p3ExuM0ojIxepV-alFuGf5jAldw=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQr9KbIZkv0mI7p3ExuM0ojIxepV-alFuGf5jAldw=s800-c-k-c0x00ffffff-no-rj,800,800,Kirsty Cass,"ANIMATION MOVIE CHANNEL

This channel is all about past, present and future animated and CG movies. We show all official trailers so you can view what movies you would like to see before release.

Follow any of Mitchell's social media accounts and blogs to get more information on his work and future projects.

https://twitter.com/mitchellgibbens
https://uk.pinterest.com/Mitchgibbens/
https://www.tumblr.com/blog/mitchellgibbens-blog
https://www.instagram.com/mitchellgibbens/?hl=en
https://www.linkedin.com/in/mitchell-gibbens-9ab64794?trk=nav_responsive_tab_profile
http://moviescripts.weebly.com/
https://www.amazon.com/Doctor-Dippel-Mr-Mitchell-Gibbens/dp/1514844583",,UU-1x3DESmGOjsk1PrXyZuzQ,15552,19,False,33,public,True,longUploadsUnspecified,Kirsty Cass,,,,"['/m/02jjt', '/m/02vxn']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,"ANIMATION MOVIE CHANNEL

This channel is all about past, present and future animated and CG movies. We show all official trailers so you can view what movies you would like to see before release.

Follow any of Mitchell's social media accounts and blogs to get more information on his work and future projects.

https://twitter.com/mitchellgibbens
https://uk.pinterest.com/Mitchgibbens/
https://www.tumblr.com/blog/mitchellgibbens-blog
https://www.instagram.com/mitchellgibbens/?hl=en
https://www.linkedin.com/in/mitchell-gibbens-9ab64794?trk=nav_responsive_tab_profile
http://moviescripts.weebly.com/
https://www.amazon.com/Doctor-Dippel-Mr-Mitchell-Gibbens/dp/1514844583",,,YKAS8j0TJkk,,,https://lh3.googleusercontent.com/PG54PvrdMvEjdZixVxHxB4mBuHly9N6GyWgbL-X-OZ6qOKq6NngL7y57jqftzvhQUwa7kcFEQRk,
youtube#channel,umnJ9XYuhfGyibt36nywWD2zNOo,UC-3gDmtF1xEghrEgiLFtSNg,slippy toad,i have a feeling that you and I are going to become VERY close...,2012-04-26T22:47:32Z,https://yt3.ggpht.com/ytc/AKedOLSIGg_hHRVnaFNHeBqR5OTkr2oP7WP3EoViLDsZ6A=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLSIGg_hHRVnaFNHeBqR5OTkr2oP7WP3EoViLDsZ6A=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLSIGg_hHRVnaFNHeBqR5OTkr2oP7WP3EoViLDsZ6A=s800-c-k-c0x00ffffff-no-rj,800,800,slippy toad,i have a feeling that you and I are going to become VERY close...,,UU-3gDmtF1xEghrEgiLFtSNg,37,26,False,1,public,True,longUploadsUnspecified,slippy toad,,,,,,,i have a feeling that you and I are going to become VERY close...,,,,,,,
youtube#channel,e15zFwJxU8PhBAdMRuOExRP85Mw,UC-3QrLX_SEC1w5uRZuK99rg,Vinus Mars,,2016-01-01T15:42:45Z,https://yt3.ggpht.com/ytc/AKedOLQevuUEuwa8M_KSvuU8Xm3aUIKRIE7MgXbM4A=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLQevuUEuwa8M_KSvuU8Xm3aUIKRIE7MgXbM4A=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLQevuUEuwa8M_KSvuU8Xm3aUIKRIE7MgXbM4A=s800-c-k-c0x00ffffff-no-rj,800,800,Vinus Mars,,,UU-3QrLX_SEC1w5uRZuK99rg,0,0,False,0,public,True,longUploadsUnspecified,Vinus Mars,,,,,,,,,,,,,,
youtube#channel,IXUxaN3a1Pk29iXo7WyenhSRcVw,UC-62ePSr8Y25cjh4iVFqZCg,The Phantazm,,2014-07-13T21:51:43Z,https://yt3.ggpht.com/ytc/AKedOLS2GCGCK-0MIdxVhvgXP_kuQKC8rl9O_hv5idkDAA=s88-c-k-c0x00ffffff-no-rj,88,88,https://yt3.ggpht.com/ytc/AKedOLS2GCGCK-0MIdxVhvgXP_kuQKC8rl9O_hv5idkDAA=s240-c-k-c0x00ffffff-no-rj,240,240,https://yt3.ggpht.com/ytc/AKedOLS2GCGCK-0MIdxVhvgXP_kuQKC8rl9O_hv5idkDAA=s800-c-k-c0x00ffffff-no-rj,800,800,The Phantazm,,,UU-62ePSr8Y25cjh4iVFqZCg,685,14,False,71,public,True,longUploadsUnspecified,The Phantazm,,,,"['/m/02ntfj', '/m/0403l3g', '/m/0bzvm2', '/m/025zzc']","['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game']",,,,,,,,,
