kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.favoriteCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,statistics.likeCount,statistics.commentCount,snippet.tags,snippet.defaultLanguage,contentDetails.regionRestriction.blocked
youtube#video,tnCVrFFiS0wnr62h9VWcIs4EMVk,0BgTbzBNKLM,2021-11-19T21:26:00Z,UCOYvKExtd9jGI1fJvHa32tg,What If Amber Heard KILLED Johnny Depp?  (Amber Heard Playlist!!),"https://youtu.be/qTZZCMpBKGg
https://www.legalmatch.com/law-library/article/defenses-to-a-homicide-charge.html
https://www.mirror.co.uk/3am/celebrity-news/johnny-depp-told-amber-heard-22383696",https://i.ytimg.com/vi/0BgTbzBNKLM/default.jpg,120,90,https://i.ytimg.com/vi/0BgTbzBNKLM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/0BgTbzBNKLM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/0BgTbzBNKLM/sddefault.jpg,640.0,480.0,#JohnnyDeppIsARapist!! #JohnnyDeppesracista,22,none,What If Amber Heard KILLED Johnny Depp?  (Amber Heard Playlist!!),"https://youtu.be/qTZZCMpBKGg
https://www.legalmatch.com/law-library/article/defenses-to-a-homicide-charge.html
https://www.mirror.co.uk/3am/celebrity-news/johnny-depp-told-amber-heard-22383696",PT7M44S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,378,0,,,,,,,,,
youtube#video,2ywFAdp9ymU9e8T0ozKT6B9ohWI,8WqI8935Fko,2021-06-13T22:13:16Z,UCG2QYlhnYYxksvv6ve11ijw,🚨🚨 Livestream Johnny Depp vs Amber Heard Case,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",https://i.ytimg.com/vi/8WqI8935Fko/default.jpg,120,90,https://i.ytimg.com/vi/8WqI8935Fko/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8WqI8935Fko/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8WqI8935Fko/sddefault.jpg,640.0,480.0,Rob's Rules,24,none,🚨🚨 Livestream Johnny Depp vs Amber Heard Case,"Join this channel to get access to perks:
https://www.youtube.com/channel/UCG2QYlhnYYxksvv6ve11ijw/join",PT1H59M7S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1467,0,https://i.ytimg.com/vi/8WqI8935Fko/maxresdefault.jpg,1280.0,720.0,en,148,13,,,
youtube#video,qEkF_SnJR_ApE_SSGoPFSzkOofU,8_RDqOCfCOg,2020-02-23T01:16:09Z,UCmJf6_W7W-Q7rTd5skVEgqA,The 10 Most Amazing Fossils Preserved in Amber,"Thanks for watching the video!!!!!
I hope you subscribe to join the Squad!
Make sure to comment new video ideas below!
LIKE, SHARE, COMMENT & SUBSCRIBE!!!!!

**********************************

Music I used:
(May not post it here just comment and tell me!)

***********************************

Contact me! If you have something to tell me comment below or hit up my social media!

Instagram: Haven't made one yet sry

Email: North02bank@gmail.com

***********************************
Credits: Just me, one guy, it is hard to make a lot of content!

Now you will see a spam of random words that help promote my videos
***********************************

evolution, game evolution ,human evolution, evolution (idea), korn evolution, evolution clip, do the evolution, evolution of man, games evolution, the evolution of, what is evolution, dexter evolution, scream evolution, evolution of xbox, proof of evolution, evolution of human, evolution of dance, graphic evolution, evolution of baldi, mongraal evolution, evolution of humans, fortnite evolution, evolution of beauty, evolution we can see. documentary, full documentary, music documentary, hd documentary, bbc documentary, showtime documentary, documentary movies - topic, documentaries, dw documentary, kg documentary, documentary bbc, espn documentary, documentary 2020, free documentary, arte documentary, 2017 documentary, pedal documentary, reverb documentary, amazon documentary, netflix documentary, sailing documentary, documentary history, history documentary, civil war documentary, dinosaur, dinosaurs, dinosaur toys, dinosaurs for kids, dinosaur toy, dinosaur game, dinosaur abcd, dinosaur eggs, dinosaur games, jurassic world dinosaurs, dinosaurus, dinosaurio, dinosaur fossils, new dinosaurs, toy dinosaurs, abc dinosaurs, dino, dinos, pet dinosaur, dinosaur a b c, dinosaur abc, dinosaur egg, toy dinosaur, new dinosaur, baby dinosaur, dinosaur hunt, dinosaur tube, dinosaur park, real dinosaur, dinosaur song, dinosoar, dinosaur bones",https://i.ytimg.com/vi/8_RDqOCfCOg/default.jpg,120,90,https://i.ytimg.com/vi/8_RDqOCfCOg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8_RDqOCfCOg/hqdefault.jpg,480,360,,,,NORTH 02,27,none,The 10 Most Amazing Fossils Preserved in Amber,"Thanks for watching the video!!!!!
I hope you subscribe to join the Squad!
Make sure to comment new video ideas below!
LIKE, SHARE, COMMENT & SUBSCRIBE!!!!!

**********************************

Music I used:
(May not post it here just comment and tell me!)

***********************************

Contact me! If you have something to tell me comment below or hit up my social media!

Instagram: Haven't made one yet sry

Email: North02bank@gmail.com

***********************************
Credits: Just me, one guy, it is hard to make a lot of content!

Now you will see a spam of random words that help promote my videos
***********************************

evolution, game evolution ,human evolution, evolution (idea), korn evolution, evolution clip, do the evolution, evolution of man, games evolution, the evolution of, what is evolution, dexter evolution, scream evolution, evolution of xbox, proof of evolution, evolution of human, evolution of dance, graphic evolution, evolution of baldi, mongraal evolution, evolution of humans, fortnite evolution, evolution of beauty, evolution we can see. documentary, full documentary, music documentary, hd documentary, bbc documentary, showtime documentary, documentary movies - topic, documentaries, dw documentary, kg documentary, documentary bbc, espn documentary, documentary 2020, free documentary, arte documentary, 2017 documentary, pedal documentary, reverb documentary, amazon documentary, netflix documentary, sailing documentary, documentary history, history documentary, civil war documentary, dinosaur, dinosaurs, dinosaur toys, dinosaurs for kids, dinosaur toy, dinosaur game, dinosaur abcd, dinosaur eggs, dinosaur games, jurassic world dinosaurs, dinosaurus, dinosaurio, dinosaur fossils, new dinosaurs, toy dinosaurs, abc dinosaurs, dino, dinos, pet dinosaur, dinosaur a b c, dinosaur abc, dinosaur egg, toy dinosaur, new dinosaur, baby dinosaur, dinosaur hunt, dinosaur tube, dinosaur park, real dinosaur, dinosaur song, dinosoar, dinosaur bones",PT10M20S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,40676,0,,,,,1517,159,"['dinosaur', 'ancient animal', 'documentary', 'north 02', 'trey the explainer', 'paleo profile', 'animal', 'fossil', 'evolution', 'amber', 'fossilization', 'fossilized amber', 'fossilized tree resin', 'jurassic park', 'game', 'dino', 'bird']",,
youtube#video,4jqVapJzE1h0U1uVB5vx6l8LWbU,BNQqnSYaVSA,2021-06-08T21:32:51Z,UCs5aTnqCZunCSZ7nxBBtXCQ,ANTI JOHNNY Depp Documentary Scouts Youtubers !!!! #JusticeForJohnnyDepp #johnnydepp #amberheard,"My social media accounts 👇

Instagram 📷
https://instagram.com/keeleytalks?igshid=jupp6g7y24ck

Twitter 🐦
https://twitter.com/KeeleyTalks?s=09

Facebook 📘
https://m.facebook.com/106164141467069

Discord 💬

https://discord.gg/QyN6cr7X

Email 📧
keeleytalksenquiry@gmail.com

if you would like to help the channel out, you can do so here 💕👇
https://www.paypal.me/KeeleyTalks",https://i.ytimg.com/vi/BNQqnSYaVSA/default.jpg,120,90,https://i.ytimg.com/vi/BNQqnSYaVSA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BNQqnSYaVSA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BNQqnSYaVSA/sddefault.jpg,640.0,480.0,Keeley Talks,24,none,ANTI JOHNNY Depp Documentary Scouts Youtubers !!!! #JusticeForJohnnyDepp #johnnydepp #amberheard,"My social media accounts 👇

Instagram 📷
https://instagram.com/keeleytalks?igshid=jupp6g7y24ck

Twitter 🐦
https://twitter.com/KeeleyTalks?s=09

Facebook 📘
https://m.facebook.com/106164141467069

Discord 💬

https://discord.gg/QyN6cr7X

Email 📧
keeleytalksenquiry@gmail.com

if you would like to help the channel out, you can do so here 💕👇
https://www.paypal.me/KeeleyTalks",PT15M33S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,225,0,,,,,64,54,,,
youtube#video,OPiBcgXzek0-SxjpD5aNt2sm7tw,CnyFUhYdzds,2021-08-18T21:01:09Z,UCeooMl4PFAM9kLPHvavt2KQ,Amber Heard’s Dismissal Attempts DISMISSED Once and for All!,Amber Heard’s Dismissal Attempts DISMISSED Once and for All!,https://i.ytimg.com/vi/CnyFUhYdzds/default.jpg,120,90,https://i.ytimg.com/vi/CnyFUhYdzds/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CnyFUhYdzds/hqdefault.jpg,480,360,https://i.ytimg.com/vi/CnyFUhYdzds/sddefault.jpg,640.0,480.0,eHacker,24,none,Amber Heard’s Dismissal Attempts DISMISSED Once and for All!,Amber Heard’s Dismissal Attempts DISMISSED Once and for All!,PT5M56S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1283,0,https://i.ytimg.com/vi/CnyFUhYdzds/maxresdefault.jpg,1280.0,720.0,,322,143,"['Amber heard', 'Amber Heard Twitter', 'Amber Heard Instagram', 'Defamation', 'Celebrity news', 'Celebrity cringe', 'Celebrity news twitter', 'Amber heard Aquaman 2', 'Johnny Depp', 'Johnny Depp Instagram']",,
youtube#video,ci72-OiyiZlib9Xg7ifRVrfx9P0,G1_Ix-Fv3sE,2020-07-25T19:28:53Z,UCF-aAw_E3PtlbYi3s-VBCBA,Amber Heard Depp I wrote a movie for you this is the moment to make movies  you perfect for my movie,write me to tonyzecchinelli@gmail.com here is the script with actors's  pilot just to have an idea .,https://i.ytimg.com/vi/G1_Ix-Fv3sE/default.jpg,120,90,https://i.ytimg.com/vi/G1_Ix-Fv3sE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/G1_Ix-Fv3sE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/G1_Ix-Fv3sE/sddefault.jpg,640.0,480.0,"Tony Zecchinelli - about ufos, actors and singers ",24,none,Amber Heard Depp I wrote a movie for you this is the moment to make movies  you perfect for my movie,write me to tonyzecchinelli@gmail.com here is the script with actors's  pilot just to have an idea .,PT26M20S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,13,0,https://i.ytimg.com/vi/G1_Ix-Fv3sE/maxresdefault.jpg,1280.0,720.0,en-US,0,0,,it,
youtube#video,50xsl1GdaJkWyObAWdllRjbthKo,gseXc1yK1Po,2016-06-28T08:16:48Z,UCxF5Elrt7G-cFVWD_S-wBEA,The Journey of Baltic Amber - A Documentary by Gemporia,"A look into natures incredible Baltic Amber.

Subscribe: https://www.youtube.com/subscription_center?add_user=Gemporia

Gemporia.com - https://www.gemporia.com 
Facebook -  https://www.facebook.com/Gemporia/
Instagram - https://www.instagram.com/gemporia/
Twitter -  https://twitter.com/GEMPORIA",https://i.ytimg.com/vi/gseXc1yK1Po/default.jpg,120,90,https://i.ytimg.com/vi/gseXc1yK1Po/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gseXc1yK1Po/hqdefault.jpg,480,360,https://i.ytimg.com/vi/gseXc1yK1Po/sddefault.jpg,640.0,480.0,Gemporia,26,none,The Journey of Baltic Amber - A Documentary by Gemporia,"A look into natures incredible Baltic Amber.

Subscribe: https://www.youtube.com/subscription_center?add_user=Gemporia

Gemporia.com - https://www.gemporia.com 
Facebook -  https://www.facebook.com/Gemporia/
Instagram - https://www.instagram.com/gemporia/
Twitter -  https://twitter.com/GEMPORIA",PT13M35S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,22639,0,https://i.ytimg.com/vi/gseXc1yK1Po/maxresdefault.jpg,1280.0,720.0,en,366,19,"['Jewellery', 'Steve Bennett', 'Tom Bennett', 'Genuine Gemstones', 'The 101', '101', 'Steve and Tom', 'Gems TV', 'Diamond', 'Ruby', 'Emerald', 'Sapphire', 'Tanzanite', 'Birthstones', 'Gemstone knowledge', 'Gemology', 'Geology', 'Mineralogy', 'Fake Nothing', 'Angeline Davies', 'Jewelry', 'Jeweller', 'GIA', 'edjucation', 'Amber', 'Gdansk', 'Baltic Amber', 'Documentary']",,
youtube#video,4JGjaYxstTFBojI3uwX3NpiZqmg,i3YovX7iRh0,2021-11-20T15:00:15Z,UCHwbbXsx1-sYWzK3MFOPPMQ,"Johnny Depp, Amber Heard's legal battle to be showcased in new documentary","Johnny Depp, Amber Heard's legal battle to be showcased in new documentary



Disclaimer:

video is for educational purposes

Note: Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair",https://i.ytimg.com/vi/i3YovX7iRh0/default.jpg,120,90,https://i.ytimg.com/vi/i3YovX7iRh0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/i3YovX7iRh0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/i3YovX7iRh0/sddefault.jpg,640.0,480.0,Farman Ali TV,24,none,"Johnny Depp, Amber Heard's legal battle to be showcased in new documentary","Johnny Depp, Amber Heard's legal battle to be showcased in new documentary



Disclaimer:

video is for educational purposes

Note: Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair",PT1M39S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,18,0,,,,ur,0,0,,,
youtube#video,rUec6ZtMLjASQea4HUF0vk0_S6U,iVdtc8umDK0,2016-06-27T18:57:29Z,UCzKZgRqCZ_jeDYY79cuwrzg,"The Joneses (2009) - Demi Moore ,  Amber Heard ,  David Duchovny.","The Joneses (2009) - Demi Moore ,  Amber Heard ,  David Duchovny.
__________________***___________________
Steve and Kate Jones is a perfect couple, along with two wonderful children, you move to the suburbs, they are family wealth and happiness that all envy. The only problem is they do not really have one family - they are employees of an advertising company secrets, and know how to make everyone also wants their things there!

Thanks for watching!!",https://i.ytimg.com/vi/iVdtc8umDK0/default.jpg,120,90,https://i.ytimg.com/vi/iVdtc8umDK0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/iVdtc8umDK0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/iVdtc8umDK0/sddefault.jpg,640.0,480.0,Lite Hiji,22,none,"The Joneses (2009) - Demi Moore ,  Amber Heard ,  David Duchovny.","The Joneses (2009) - Demi Moore ,  Amber Heard ,  David Duchovny.
__________________***___________________
Steve and Kate Jones is a perfect couple, along with two wonderful children, you move to the suburbs, they are family wealth and happiness that all envy. The only problem is they do not really have one family - they are employees of an advertising company secrets, and know how to make everyone also wants their things there!

Thanks for watching!!",PT1H32M29S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,56118,0,https://i.ytimg.com/vi/iVdtc8umDK0/maxresdefault.jpg,1280.0,720.0,en,104,14,"['The Joneses', '2009', 'Demi Moore', 'Amber Heard', 'David Duchovny']",,['US']
youtube#video,_Sisj8m5Z57YUTB_3kH6iFMo_wQ,j0mta9TsLSU,2021-03-29T14:30:08Z,UC9Luu8UOg1lbrOnLWoizdAQ,100 Million Year Old Treasures Unearthed | AMBER - Documentary Trailer | DocuBay,"In forests when a tree is damaged or attacked, it defends itself by secreting a viscous, sticky substance called resin. This protects the tree from infection or infestation. Over millennia, as forests fell & began to form peat, with time, pressure & heat, their organic material turned to coal. Trapped within the coal are the remnants of tree resin which turn to copal and then fossilize into amber. Discover how things caught in the resin- remains of plants, animals like insects, spiders, frogs & lizards - help the amber to preserve creatures entombed within, giving paleontologists a window to a far-off time.

Watch Amber: https://bit.ly/39lxTpz

#forests #forest #wildlife #woods #wild #earth #explore #tree #resin #organic #material #amber #insects #spiders #frogs #plants #species #treasure #treasure #treasures #antiques #animals #palaeontologists #discover #history #documentary #film #scientists

Get behind-the-scenes of the world you know with DocuBay, a members-only international documentary-streaming platform. Explore new perspectives on old issues, hidden corners in familiar places, and differences that are eclipsed by the similarities that make us #OneTribe. Watch documentaries from over 100 countries, about everything from ritual killings and dog-powered sports to global warming and digital heroes, all on #Docubay.#StreamingDocumentaries  

Get the Android app from Play Store: https://bit.ly/3cpGM29
Get the iOS app from App Store: https://apple.co/3cw2txm
Visit www.docubay.com

Follow @onetribedocubay on Twitter, Instagram, and Facebook to get updates on upcoming documentary films and offers.",https://i.ytimg.com/vi/j0mta9TsLSU/default.jpg,120,90,https://i.ytimg.com/vi/j0mta9TsLSU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/j0mta9TsLSU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/j0mta9TsLSU/sddefault.jpg,640.0,480.0,DocuBay Documentaries,28,none,100 Million Year Old Treasures Unearthed | AMBER - Documentary Trailer | DocuBay,"In forests when a tree is damaged or attacked, it defends itself by secreting a viscous, sticky substance called resin. This protects the tree from infection or infestation. Over millennia, as forests fell & began to form peat, with time, pressure & heat, their organic material turned to coal. Trapped within the coal are the remnants of tree resin which turn to copal and then fossilize into amber. Discover how things caught in the resin- remains of plants, animals like insects, spiders, frogs & lizards - help the amber to preserve creatures entombed within, giving paleontologists a window to a far-off time.

Watch Amber: https://bit.ly/39lxTpz

#forests #forest #wildlife #woods #wild #earth #explore #tree #resin #organic #material #amber #insects #spiders #frogs #plants #species #treasure #treasure #treasures #antiques #animals #palaeontologists #discover #history #documentary #film #scientists

Get behind-the-scenes of the world you know with DocuBay, a members-only international documentary-streaming platform. Explore new perspectives on old issues, hidden corners in familiar places, and differences that are eclipsed by the similarities that make us #OneTribe. Watch documentaries from over 100 countries, about everything from ritual killings and dog-powered sports to global warming and digital heroes, all on #Docubay.#StreamingDocumentaries  

Get the Android app from Play Store: https://bit.ly/3cpGM29
Get the iOS app from App Store: https://apple.co/3cw2txm
Visit www.docubay.com

Follow @onetribedocubay on Twitter, Instagram, and Facebook to get updates on upcoming documentary films and offers.",PT1M23S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1550,0,https://i.ytimg.com/vi/j0mta9TsLSU/maxresdefault.jpg,1280.0,720.0,en,7,0,"['docubay', 'docubay onetribe', 'documentary', 'documentaries', 'resin', 'amber resin', 'amber', 'amber from resin', 'mosquito in amber', 'amber resin india', 'amber fossil', 'realistic amber', 'yellow amber', 'fossils', 'flower fossil', 'fossilized amber', 'true amber', 'real amber', 'fossil bird', 'fossil wolf', 'dinosaur fossil', 'amber stone', 'snake fossil', 'bird in fossil', 'dominican flower fossil', 'treasure', 'treasure hunt', 'hidden treasure found', 'real treasure', 'forrest fenn treasure found', 'multimillion-dollar treasure']",,
