kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.tags,snippet.defaultAudioLanguage
youtube#video,27kaZvQNR4FngvxL7nR_5ZeaoLE,-2MmejUbAhE,2019-08-08T17:04:57Z,UCnLamKscQtT8wqdmRJlxUkw,"Behind The Scenes of 3 Days To Kill Movie with Kevin Costner, Hailee Steinfeld & Amber Heard",,https://i.ytimg.com/vi/-2MmejUbAhE/default.jpg,120,90,https://i.ytimg.com/vi/-2MmejUbAhE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-2MmejUbAhE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-2MmejUbAhE/sddefault.jpg,640,480,https://i.ytimg.com/vi/-2MmejUbAhE/maxresdefault.jpg,1280.0,720.0,Hailee Steinfeld Vietnam,22,none,"Behind The Scenes of 3 Days To Kill Movie with Kevin Costner, Hailee Steinfeld & Amber Heard",,PT5M35S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,633,27,0,2,,
youtube#video,bkc6PP3nqQfz7FVSrdjY1Pmlrj8,dNV1k-kfP-w,2020-04-27T09:58:05Z,UCMrpRnyBJhgVBy3rm0K4P5w,They won't stop smearing Johnny Depp! This media site is desperate to save Amber Heard!,"They won't stop smearing Johnny Depp!

Another lame smear on Johnny Depp is published, and it's being used to prop up Amber Heard.

Upgrade to a Ridge Wallet and get 10% off with free worldwide shipping by using this link. Remember to use the code FLASH
Here is the link: https://www.ridgewallet.com/?utm_source=referral&utm_medium=FLASH

Check out my store! 
https://teespring.com/stores/yellowflash-merch

Check out my Patreon! 
https://www.patreon.com/yellowflashcomics
Check out my Twitch! 
https://www.twitch.tv/yellowflashcomics
Follow me on Twitter!
@yellowflashguy
#justiceforjohnny #johnnydepp #amberheard",https://i.ytimg.com/vi/dNV1k-kfP-w/default.jpg,120,90,https://i.ytimg.com/vi/dNV1k-kfP-w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/dNV1k-kfP-w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/dNV1k-kfP-w/sddefault.jpg,640,480,https://i.ytimg.com/vi/dNV1k-kfP-w/maxresdefault.jpg,1280.0,720.0,YellowFlash 2,24,none,They won't stop smearing Johnny Depp! This media site is desperate to save Amber Heard!,"They won't stop smearing Johnny Depp!

Another lame smear on Johnny Depp is published, and it's being used to prop up Amber Heard.

Upgrade to a Ridge Wallet and get 10% off with free worldwide shipping by using this link. Remember to use the code FLASH
Here is the link: https://www.ridgewallet.com/?utm_source=referral&utm_medium=FLASH

Check out my store! 
https://teespring.com/stores/yellowflash-merch

Check out my Patreon! 
https://www.patreon.com/yellowflashcomics
Check out my Twitch! 
https://www.twitch.tv/yellowflashcomics
Follow me on Twitter!
@yellowflashguy
#justiceforjohnny #johnnydepp #amberheard",PT11M34S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,65365,3329,0,695,"['YellowFlash', 'Yellow Flash', 'YellowFlash 2', 'YellowFlash2', 'Yellow Flash 2', 'Amber Heard Johnny Depp', 'Johnny Depp Amber Heard', 'Amber Heard', 'Johnny Depp', 'Amber Heard Johnny Depp fight audio', 'Johnny Depp Amber Heard fight audio', 'Aquaman', 'Aquaman 2', 'Amber Heard Aquaman', 'Amber Heard Aquaman 2', 'amber heard audio', 'amber heard johnny depp audio', 'amber heard johnny depp finger', 'johnny depp amber heard interview', 'johnny depp deposition', 'amber heard deposition', 'dceu', 'the yellowflash', 'dc comics']",
youtube#video,Gla4794NOEo8mK72J7J9CZdVrus,eoU-LXRs6_g,2020-12-03T19:30:02Z,UC4zpedqFPmi5BkHekQ_zp2w,Revenge Advent Calendar 3: Revenge target Lydia Davis,"In the third video of my Revenge Advent Calendar you can see defining moments of Lydia Davis (Amber Valletta). Videoclips from the tvshow Revenge; NO COPYRIGHT INFRINGEMENT INTENDED!
#Revenge #RevengeTargets #LydiaDavis",https://i.ytimg.com/vi/eoU-LXRs6_g/default.jpg,120,90,https://i.ytimg.com/vi/eoU-LXRs6_g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/eoU-LXRs6_g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/eoU-LXRs6_g/sddefault.jpg,640,480,https://i.ytimg.com/vi/eoU-LXRs6_g/maxresdefault.jpg,1280.0,720.0,Emily Clarke-Porter,22,none,Revenge Advent Calendar 3: Revenge target Lydia Davis,"In the third video of my Revenge Advent Calendar you can see defining moments of Lydia Davis (Amber Valletta). Videoclips from the tvshow Revenge; NO COPYRIGHT INFRINGEMENT INTENDED!
#Revenge #RevengeTargets #LydiaDavis",PT13M22S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,47,2,0,0,"['Revenge', 'Lydia Davis', 'Amber Valletta']",
youtube#video,kHepgF53Stk4JLRjwbH8foaSlC8,HXA-EDASd_Q,2019-05-12T17:24:19Z,UCjabEK6USxuBFDOAZ-fBiCA,Burnout Revenge Asphalt 9 Legends,"@saraswhn Driving : Porshe 911 GTS Coupe 🇲🇨

@odetteannable Driving : SCG 003S 🇺🇸

@amberheard Driving : Ferrari F12TDF 🇺🇸

@dinar_candy Driving : Lamborghini Huracan Evo Spyder 🇮🇩

@meganfox Driving : Sin R1 550 🇺🇸

@maharetha__ Driving : Mercedes Benz SLR McLaren 🇮🇩

@elizabethangelalorenza Driving : Apollo N 🇲🇨

@naomisachie Driving : Chevrolet Corvette Grand Sport 🇮🇩

#asphalt9legends
#asphalt9
#saraswhn
#dinarcandy
#maharetha",https://i.ytimg.com/vi/HXA-EDASd_Q/default.jpg,120,90,https://i.ytimg.com/vi/HXA-EDASd_Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HXA-EDASd_Q/hqdefault.jpg,480,360,https://i.ytimg.com/vi/HXA-EDASd_Q/sddefault.jpg,640,480,https://i.ytimg.com/vi/HXA-EDASd_Q/maxresdefault.jpg,1280.0,720.0,Adam Yaris GR Sport,22,none,Burnout Revenge Asphalt 9 Legends,"@saraswhn Driving : Porshe 911 GTS Coupe 🇲🇨

@odetteannable Driving : SCG 003S 🇺🇸

@amberheard Driving : Ferrari F12TDF 🇺🇸

@dinar_candy Driving : Lamborghini Huracan Evo Spyder 🇮🇩

@meganfox Driving : Sin R1 550 🇺🇸

@maharetha__ Driving : Mercedes Benz SLR McLaren 🇮🇩

@elizabethangelalorenza Driving : Apollo N 🇲🇨

@naomisachie Driving : Chevrolet Corvette Grand Sport 🇮🇩

#asphalt9legends
#asphalt9
#saraswhn
#dinarcandy
#maharetha",PT2M57S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,16,0,0,0,,
youtube#video,KPOgPcSgSAbLjmiO1Df7nTpOfEY,LCfDM9KJH9U,2014-07-19T14:31:29Z,UCHdl2OGavle2vW54Id4pVCg,"3 Days to Kill - V.M. 16 trailer (ita) - Kevin Costner, Amber Heard","Eagle Pictures uscita giovedì 5 giugno 
Un film di McG. Con Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis.
Azione, - USA 2014. 
scheda del film 
http://www.mymovies.it/film/2014/threedaystokill/
- - - - - - - -
Video HD",https://i.ytimg.com/vi/LCfDM9KJH9U/default.jpg,120,90,https://i.ytimg.com/vi/LCfDM9KJH9U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/LCfDM9KJH9U/hqdefault.jpg,480,360,https://i.ytimg.com/vi/LCfDM9KJH9U/sddefault.jpg,640,480,https://i.ytimg.com/vi/LCfDM9KJH9U/maxresdefault.jpg,1280.0,720.0,FunnyFilm66,1,none,"3 Days to Kill - V.M. 16 trailer (ita) - Kevin Costner, Amber Heard","Eagle Pictures uscita giovedì 5 giugno 
Un film di McG. Con Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis.
Azione, - USA 2014. 
scheda del film 
http://www.mymovies.it/film/2014/threedaystokill/
- - - - - - - -
Video HD",PT1M30S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,813,3,0,0,['trailer film'],
youtube#video,cDNhPluKqPhLX0IXLGstrd-jYZI,N4MvsGPQo5w,2020-04-16T19:54:37Z,UCMrpRnyBJhgVBy3rm0K4P5w,Johnny Depp gets revenge?! Disney BEGGING for Pirates of the Caribbean 6 return?!,"The Johnny Depp Vs Amber Heard situation takes another interesting turn, as more rumors surface that Disney wants Depp back! Will Johnny Depp return as Captain Jack Sparrow?!

Upgrade to a Ridge Wallet and get 10% off with free worldwide shipping by using this link. Remember to use the code FLASH
Here is the link: https://www.ridgewallet.com/?utm_source=referral&utm_medium=FLASH

Check out my store! 
https://teespring.com/stores/yellowflash-merch

Check out my Patreon! 
https://www.patreon.com/yellowflashcomics
Check out my Twitch! 
https://www.twitch.tv/yellowflashcomics
Follow me on Twitter!
@yellowflashguy
#justiceforjohnny #johnnydepp #amberheard",https://i.ytimg.com/vi/N4MvsGPQo5w/default.jpg,120,90,https://i.ytimg.com/vi/N4MvsGPQo5w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/N4MvsGPQo5w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/N4MvsGPQo5w/sddefault.jpg,640,480,https://i.ytimg.com/vi/N4MvsGPQo5w/maxresdefault.jpg,1280.0,720.0,YellowFlash 2,24,none,Johnny Depp gets revenge?! Disney BEGGING for Pirates of the Caribbean 6 return?!,"The Johnny Depp Vs Amber Heard situation takes another interesting turn, as more rumors surface that Disney wants Depp back! Will Johnny Depp return as Captain Jack Sparrow?!

Upgrade to a Ridge Wallet and get 10% off with free worldwide shipping by using this link. Remember to use the code FLASH
Here is the link: https://www.ridgewallet.com/?utm_source=referral&utm_medium=FLASH

Check out my store! 
https://teespring.com/stores/yellowflash-merch

Check out my Patreon! 
https://www.patreon.com/yellowflashcomics
Check out my Twitch! 
https://www.twitch.tv/yellowflashcomics
Follow me on Twitter!
@yellowflashguy
#justiceforjohnny #johnnydepp #amberheard",PT10M59S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,267760,8295,0,1703,"['YellowFlash', 'Yellow Flash', 'Yellow Flash 2', 'YellowFlash 2', 'YellowFlash2', 'Marvel New Warriors', 'Gotham High', 'New Warriors', 'New Wariors trailer', 'Johnny Depp Joker', 'Johnny Depp Amber Heard', 'Amber Heard Johnny Depp', 'Johnny Depp Captain Jack Sparrow', 'Pirates of the Caribbean 6', 'Johnny Depp Pirates of the Caribbean 6', 'johnny depp amber heard audio', 'johnny depp amber heard fight', 'amber heard deposition', 'amber heard aquaman', 'aquaman 2', 'Amber Heard Aquaman 2', 'Johnny Depp', 'Amber Heard']",
youtube#video,ihhT51OXxTzZQtHTVvnwYttZNTg,nkqSIyTMmI8,2015-09-14T16:12:41Z,UCmiSXn2DLoOL9ojrlCbDLZg,"Dangerous Attraction (2015) Wattpad-  Jensen Ackles , Amber Heard , Paul Wesley , Claire Holt ...","Interpreteaza rolurile : Joseph Morgan as Aaron Baker , Leah Pipes as Beatrix Baker , Claire Holt as Emma Baker , Jensen Ackles as Nick Baker  , Amber Heard as Kyra Thalia Styles , Paul Wesley as Alan Styles , Jared Padalecki as Max Smith, Sophia Bush as KaraRodriguez , Jessica Alba as Alexandra Smith Styles , Harry Styles as Harry Styles , Misha Collins as Jason Parker. Povestea acestui trailer o gasiti pe Wattpad si va spun merita citita '",https://i.ytimg.com/vi/nkqSIyTMmI8/default.jpg,120,90,https://i.ytimg.com/vi/nkqSIyTMmI8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nkqSIyTMmI8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/nkqSIyTMmI8/sddefault.jpg,640,480,,,,Olivia Andreea B.,22,none,"Dangerous Attraction (2015) Wattpad-  Jensen Ackles , Amber Heard , Paul Wesley , Claire Holt ...","Interpreteaza rolurile : Joseph Morgan as Aaron Baker , Leah Pipes as Beatrix Baker , Claire Holt as Emma Baker , Jensen Ackles as Nick Baker  , Amber Heard as Kyra Thalia Styles , Paul Wesley as Alan Styles , Jared Padalecki as Max Smith, Sophia Bush as KaraRodriguez , Jessica Alba as Alexandra Smith Styles , Harry Styles as Harry Styles , Misha Collins as Jason Parker. Povestea acestui trailer o gasiti pe Wattpad si va spun merita citita '",PT12M54S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,2574,28,0,2,"['Joseph Morgan', 'Leah Pipes', 'Claire Holt', 'Jensen Ackles', 'Amber Heard', 'Paul Wesley', 'Jared Padalecki', 'Sophia Bush', 'Jessica Alba', 'Harry Styles', 'Misha Collins', 'Wattpad']",
youtube#video,_QIpjBeAt9X3EUt0yZvfGTK4ZpA,oz6ers1LyXE,2020-04-04T23:24:23Z,UC8AGq7bm-x4teGcvQonvnPw,Amber Heard Goes Straight SJW Over Revenge P0 *N | #JusticeForJohnnyDepp Being CENSORED!,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

Entertainment Hackers Video:
https://www.youtube.com/watch?v=lgo2FhD2kVY&feature=share

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand

#JusticeForJohnnyDepp #AmberHeard #JohnnyDepp #WithMe",https://i.ytimg.com/vi/oz6ers1LyXE/default.jpg,120,90,https://i.ytimg.com/vi/oz6ers1LyXE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/oz6ers1LyXE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/oz6ers1LyXE/sddefault.jpg,640,480,,,,Nerdette's NewsStand,24,none,Amber Heard Goes Straight SJW Over Revenge P0 *N | #JusticeForJohnnyDepp Being CENSORED!,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

Entertainment Hackers Video:
https://www.youtube.com/watch?v=lgo2FhD2kVY&feature=share

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand

#JusticeForJohnnyDepp #AmberHeard #JohnnyDepp #WithMe",PT11M7S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,4333,742,0,240,"['nerdette', ""nerdette's newsstand"", 'entertainment', 'entertainment hacker', 'tristen', 'Amber Heard', 'Johnny Depp', 'Johnny Depp video', 'Johnny Depp defamation', 'Johnny Depp lawsuit', 'Amber Heard lawsuit', 'Amber Heard leaks', 'Amber Heard audio', 'Johnny Depp deposition', 'Amber Heard news', 'Johnny Depp news', 'Aquaman', 'Aquaman 2']",en
youtube#video,gg2NYFBqHsMATmaRzFWlbBFCIFA,RHWGXRnM5qM,2020-04-17T18:29:41Z,UCBitAIgo_qj1H7Hv7UbIxig,Amber Heard estaba mintiendo (Johnny Depp ES INOCENTE),"Fragmentos del juIcio contra Johnny Depp, donde Amber lo acusa de violencia domestica. Durante todo el juicio se le ve contenta, mirando hacia abajo y comiendo snack.

#JohnnyDepp #AmberHeard #MeToo #RealJustice #JohnnyDeppIsInnocent",https://i.ytimg.com/vi/RHWGXRnM5qM/default.jpg,120,90,https://i.ytimg.com/vi/RHWGXRnM5qM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RHWGXRnM5qM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/RHWGXRnM5qM/sddefault.jpg,640,480,https://i.ytimg.com/vi/RHWGXRnM5qM/maxresdefault.jpg,1280.0,720.0,El Patriarca Dice,22,none,Amber Heard estaba mintiendo (Johnny Depp ES INOCENTE),"Fragmentos del juIcio contra Johnny Depp, donde Amber lo acusa de violencia domestica. Durante todo el juicio se le ve contenta, mirando hacia abajo y comiendo snack.

#JohnnyDepp #AmberHeard #MeToo #RealJustice #JohnnyDeppIsInnocent",PT9M17S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1021,15,0,5,,
youtube#video,P734sy58kz6EV341b7jVcjK_mmk,T4vVNq_PAAs,2019-05-24T16:16:48Z,UCKcqR5p8jw0Tq9tJLhWm3LA,Amber Heard Calls iCloud Hack 'Devastating' While Discussing Revenge Porn,"Amber Heard Calls iCloud Hack 'Devastating' While Discussing Revenge Porn 
Amber Heard has spoken out in a bid to encourage lawmakers to push for revenge porn perpetrators to ... 
Thanks for watching! 
Subscribe to get more videos: https://bit.ly/2DWdVSx 
 
#Amber #Heard #Calls #iCloud #Hack #Devastating #While #Discussing #Revenge #Porn",https://i.ytimg.com/vi/T4vVNq_PAAs/default.jpg,120,90,https://i.ytimg.com/vi/T4vVNq_PAAs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/T4vVNq_PAAs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/T4vVNq_PAAs/sddefault.jpg,640,480,https://i.ytimg.com/vi/T4vVNq_PAAs/maxresdefault.jpg,1280.0,720.0,DVM NEWS,25,none,Amber Heard Calls iCloud Hack 'Devastating' While Discussing Revenge Porn,"Amber Heard Calls iCloud Hack 'Devastating' While Discussing Revenge Porn 
Amber Heard has spoken out in a bid to encourage lawmakers to push for revenge porn perpetrators to ... 
Thanks for watching! 
Subscribe to get more videos: https://bit.ly/2DWdVSx 
 
#Amber #Heard #Calls #iCloud #Hack #Devastating #While #Discussing #Revenge #Porn",PT3M30S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,108,0,0,0,"['Amber Heard', 'Celebrity', 'Jennifer Lawrence', 'News']",en-GB
