kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount,snippet.defaultAudioLanguage,snippet.defaultLanguage,contentDetails.regionRestriction.blocked,contentDetails.contentRating.ytRating
youtube#video,Q42O334JWziWD2y1N24VdRpkDaA,-ON6Vvn1Rm4,2021-07-05T14:36:25Z,UCZ7lfeRlqy4yW1wcuLzsbxQ,Elizabeth Olsen vs Amber Heard OR Wanda vs Mera,Marvel VS DC,https://i.ytimg.com/vi/-ON6Vvn1Rm4/default.jpg,120,90,https://i.ytimg.com/vi/-ON6Vvn1Rm4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-ON6Vvn1Rm4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-ON6Vvn1Rm4/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/-ON6Vvn1Rm4/maxresdefault.jpg,1280.0,720.0,GameSmack,"['Elizabeth Olsen', 'Amber Heard', 'Wanda', 'Mera', 'Elizabeth Olsen Wanda', 'Amber Heard Mera', 'Marvel', 'DC', 'Marven Universe', 'DC Universe', 'Wanda Vs Mera', 'Marvel vs DC', 'Marvel Comics', 'DC Comics', 'WWE', 'WWE2k', 'WWE 2K20', 'WWE 2K22', 'WWE Universe', 'Scarlet Witch', 'One on One', 'Fight', 'Wrestling', 'Pro Wrestling', 'Pro-Wrestling', 'Elizabeth Olsen Fight', 'Amber Heard Fight', 'WWE RAW', 'WWE SMACKDOWN', 'Monday night RAW', 'RAW', 'WWE Games', 'Gaming', 'Custom Character', 'Wrestling game', 'Brawl', 'WWE Brawl', 'Wandavision', 'Aquaman']",20,none,Elizabeth Olsen vs Amber Heard OR Wanda vs Mera,Marvel VS DC,PT6M53S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,50,0,0,0,,,,
youtube#video,1iJFdVcHjQVw052Q1eq0kWD7YQw,-o_0ZPCBM1o,2016-03-31T22:38:37Z,UCpqiQ8q14kT1sdlZ0gD0bGg,"The Adderall Diaries - Hudson Valley - Clip (Amber Heard, James Franco)","www.facebook.com/AmberHeardItalia
www.twitter.com/AmberHeardIT
www.instagram.com/AmberHeardItalia",https://i.ytimg.com/vi/-o_0ZPCBM1o/default.jpg,120,90,https://i.ytimg.com/vi/-o_0ZPCBM1o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-o_0ZPCBM1o/hqdefault.jpg,480,360,https://i.ytimg.com/vi/-o_0ZPCBM1o/sddefault.jpg,640.0,480.0,,,,Amber Heard Italia,"['amber heard', 'james franco']",1,none,"The Adderall Diaries - Hudson Valley - Clip (Amber Heard, James Franco)","www.facebook.com/AmberHeardItalia
www.twitter.com/AmberHeardIT
www.instagram.com/AmberHeardItalia",PT1M5S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,434,2,0,0,,,,
youtube#video,5pGrVsTrXM38tGOP2oU05Y28IPw,1D23EQaoR3A,2021-03-17T10:28:04Z,UCPTWcG99ion86j8PbFWdgnA,"AQUAMAN 2 2021 Teaser Trailer   Jason Momoa, Amber Heard Fan Made","Aquaman has been blinded in a mysterious event. Years have passed and soon he regains his sight. However, damage to his land has been done. Its up to him and Mera to find out what happened. 

Hey guys I would like to make it clear that this trailer is fan made. That means it contains clips from other movies, put together with special effects using Wondershare Filmora video editor and Photopea (Photopea.com) photo editor.

►What is fan made movie trailer?

In a nutshell fan made trailers are created for extreme movie fans. That's why its not for everybody because just like Pro-Wrestling, some hate it some love it. If you are into fan made trailers which means you appreciate bringing new ideas to your favorite movies. But my trailers, are not like any other, one word to describe it, REALISTIC.

►MacamTV's Purpose

If you are new here my name is Jr Macam, I'm the man behind your realistic dream trailers. The purpose of the channel is simple (not to trick people haha) , to create a community that is passionate to bring dream movies to life. If that sounds like you want to become a part of, SUBSCRIBE!!!!

►Support MacamTV

Creating this video take days to produce and publish. I do lots of research and takes a lot of time. Help MacamTV make more dream trailers by supporting in Patreon.
Link here: https://www.patreon.com/macamtv​

►Thanks to my Patrons!
Danielle Moore
Nazzaria Grendanin
Jazmyn
Lynn Queen
James Johnson
----------------------------------
Editing Details:

Creating Aquaman 2 was challenging because I was not into this franchsie. But my DC lover side made me appreciate this film more. I watched this film once and I thought it was decent. The fresh clips are not too hard to find since there are plenty of cosplay to chose from. To avoid making this dream trailer feel low budget I chose clips from the Aquaman movie it self. Such as the Atlantic City.

The music was great, despite the lack of humor the soundtrack by THE EQUALIZER 2 trailer #2 was great because it had lots of trailer fling to it. The main actor himself had lots of movies to chose from since this is the first time I made a project about him. Not the first Aquaman project though, I did one back in 2020 for one of the trailer style of the infinity saga.

The line ""is only a myth"" is great connection to how Aquaman is a mystical character. The film SEE had great lines talking about ""gods"" that perfectly fits this dream trailer. Speaking of perfectly fits, the clip with Aquaman attacks the bad guy we get a transition to a guy getting attacked in the water.

VIDEO CREDITS | AQUAMAN | SEE (2019) | 3 DAYS TO KILL | THE HOLLOW | THE UNDOING | TOGO (2019) | CANDYMAN (2020) | CREATING AQUAMAN'S SUIT | IKON COLLECTIBLES 1:1 BY COSPLAY CHRIS | AQUAMAN COSPLAY BY MIKE KIRTS | AQUAMAN'S MERA COSTUME | DIY AQUAMAN COSPLAY TATTOOS BY THE WOODLAND ELF | MULHER MARAVHILHA VS AQUAMAN BY FRANKLIN FERNANDES
MUSIC CREDITS | THE EQUALIZER 2 TRAILER #2 SOUNDTRACK
---------------------------------------
►Music Credit: YouTube Audio Library and thanks to Feature Presentation YouTube Channel for providing the trailer soundtracks. 

-------------------------------------

If you like this video feel free to hit that NOTIFICATION ICON to become part of the MacamTVFAM. 


►►Subscribe to my Youtube Channel:
youtube.com/c/MacamTV​


►►Twitter @Macamtvofficial

Why you should follow me on TWITTER?

I will be posting what I'm currently working on. This is the ONLY way for you to get an idea of what is coming weeks before! 


►►Instagram @Macamtvofficial 

Why you should follow me on INSTAGRAM?

If you like pictures then this is for you. Basically I will be posting the most recent video's cool posters and FAN ART created by me!


►►Facebook @Macamtvofficial 

Why you should follow me on FACEBOOK?
I will be posting DELETED VIDEOS that never made it to the channel!
------------------------------------------------------------------------

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.
License
Creative Commons Attribution license (reuse allowed)",https://i.ytimg.com/vi/1D23EQaoR3A/default.jpg,120,90,https://i.ytimg.com/vi/1D23EQaoR3A/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1D23EQaoR3A/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1D23EQaoR3A/sddefault.jpg,640.0,480.0,,,,Gemar Caballero,"['#movie 2021', '#AQUAMAN', '#TRAILER']",1,none,"AQUAMAN 2 2021 Teaser Trailer   Jason Momoa, Amber Heard Fan Made","Aquaman has been blinded in a mysterious event. Years have passed and soon he regains his sight. However, damage to his land has been done. Its up to him and Mera to find out what happened. 

Hey guys I would like to make it clear that this trailer is fan made. That means it contains clips from other movies, put together with special effects using Wondershare Filmora video editor and Photopea (Photopea.com) photo editor.

►What is fan made movie trailer?

In a nutshell fan made trailers are created for extreme movie fans. That's why its not for everybody because just like Pro-Wrestling, some hate it some love it. If you are into fan made trailers which means you appreciate bringing new ideas to your favorite movies. But my trailers, are not like any other, one word to describe it, REALISTIC.

►MacamTV's Purpose

If you are new here my name is Jr Macam, I'm the man behind your realistic dream trailers. The purpose of the channel is simple (not to trick people haha) , to create a community that is passionate to bring dream movies to life. If that sounds like you want to become a part of, SUBSCRIBE!!!!

►Support MacamTV

Creating this video take days to produce and publish. I do lots of research and takes a lot of time. Help MacamTV make more dream trailers by supporting in Patreon.
Link here: https://www.patreon.com/macamtv​

►Thanks to my Patrons!
Danielle Moore
Nazzaria Grendanin
Jazmyn
Lynn Queen
James Johnson
----------------------------------
Editing Details:

Creating Aquaman 2 was challenging because I was not into this franchsie. But my DC lover side made me appreciate this film more. I watched this film once and I thought it was decent. The fresh clips are not too hard to find since there are plenty of cosplay to chose from. To avoid making this dream trailer feel low budget I chose clips from the Aquaman movie it self. Such as the Atlantic City.

The music was great, despite the lack of humor the soundtrack by THE EQUALIZER 2 trailer #2 was great because it had lots of trailer fling to it. The main actor himself had lots of movies to chose from since this is the first time I made a project about him. Not the first Aquaman project though, I did one back in 2020 for one of the trailer style of the infinity saga.

The line ""is only a myth"" is great connection to how Aquaman is a mystical character. The film SEE had great lines talking about ""gods"" that perfectly fits this dream trailer. Speaking of perfectly fits, the clip with Aquaman attacks the bad guy we get a transition to a guy getting attacked in the water.

VIDEO CREDITS | AQUAMAN | SEE (2019) | 3 DAYS TO KILL | THE HOLLOW | THE UNDOING | TOGO (2019) | CANDYMAN (2020) | CREATING AQUAMAN'S SUIT | IKON COLLECTIBLES 1:1 BY COSPLAY CHRIS | AQUAMAN COSPLAY BY MIKE KIRTS | AQUAMAN'S MERA COSTUME | DIY AQUAMAN COSPLAY TATTOOS BY THE WOODLAND ELF | MULHER MARAVHILHA VS AQUAMAN BY FRANKLIN FERNANDES
MUSIC CREDITS | THE EQUALIZER 2 TRAILER #2 SOUNDTRACK
---------------------------------------
►Music Credit: YouTube Audio Library and thanks to Feature Presentation YouTube Channel for providing the trailer soundtracks. 

-------------------------------------

If you like this video feel free to hit that NOTIFICATION ICON to become part of the MacamTVFAM. 


►►Subscribe to my Youtube Channel:
youtube.com/c/MacamTV​


►►Twitter @Macamtvofficial

Why you should follow me on TWITTER?

I will be posting what I'm currently working on. This is the ONLY way for you to get an idea of what is coming weeks before! 


►►Instagram @Macamtvofficial 

Why you should follow me on INSTAGRAM?

If you like pictures then this is for you. Basically I will be posting the most recent video's cool posters and FAN ART created by me!


►►Facebook @Macamtvofficial 

Why you should follow me on FACEBOOK?
I will be posting DELETED VIDEOS that never made it to the channel!
------------------------------------------------------------------------

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.
License
Creative Commons Attribution license (reuse allowed)",PT4M18S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,63,18,0,42,en,,,
youtube#video,yu2TfO_fIwydpd8TprHiddqZ4FI,1n3MMYkWAU0,2015-11-13T16:36:01Z,UCb3m41dZfB0gwQMXf4iNmjA,Amber Heard: being a step-mum 'is an honor',Amber Heard is on the cover of Marie Claire magazine for the first time and opens up about her personal lifelike never before. #LocalHeroes,https://i.ytimg.com/vi/1n3MMYkWAU0/default.jpg,120,90,https://i.ytimg.com/vi/1n3MMYkWAU0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/1n3MMYkWAU0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/1n3MMYkWAU0/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/1n3MMYkWAU0/maxresdefault.jpg,1280.0,720.0,Zoomin Local Heroes,"['Amber Heard', 'Divorce', 'Fashion', 'In', 'Johnny Depp', 'Magazine', 'Marie Claire', 'Marriage', 'Mother', 'Photo Shoot', 'Zoom', 'Zoomin']",24,none,Amber Heard: being a step-mum 'is an honor',Amber Heard is on the cover of Marie Claire magazine for the first time and opens up about her personal lifelike never before. #LocalHeroes,PT1M12S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,222,1,0,0,,,,
youtube#video,w5WtnYCtwSzDO-4Chnp0u3oLUSA,6ZpERDlYTL4,2011-06-04T05:17:06Z,UCuFjRWNqDKYaqnm5374RW8w,Amber Heard: A Shot in the Dark,"Number One: All credit and rights go to Tasya Van Ree for doing this awesome video. I had nothing to do with directing this video. 
Number Two: Amber Heard is AWESOME! 
Number Three: I am purely a fan nothing more. I just edit some of the video clips because I thought a remix of Shot in the Dark would be awesome with Tasya Van Ree's videos of Amber Heard.",https://i.ytimg.com/vi/6ZpERDlYTL4/default.jpg,120,90,https://i.ytimg.com/vi/6ZpERDlYTL4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6ZpERDlYTL4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6ZpERDlYTL4/sddefault.jpg,640.0,480.0,,,,Adelina Seymore,"['Amber Heard', 'Tasya Van Ree', 'music video', 'fanmade', 'Pink Panther', 'A Shot in the Dark', 'remix generation']",1,none,Amber Heard: A Shot in the Dark,"Number One: All credit and rights go to Tasya Van Ree for doing this awesome video. I had nothing to do with directing this video. 
Number Two: Amber Heard is AWESOME! 
Number Three: I am purely a fan nothing more. I just edit some of the video clips because I thought a remix of Shot in the Dark would be awesome with Tasya Van Ree's videos of Amber Heard.",PT3M18S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,4673,23,0,0,,,,
youtube#video,19O6EXIXcyXAGx7lonRCqDX57gY,7iV1rUvdOIA,2021-04-15T09:18:17Z,UC78WZfmgblAEbUwTlypxZzw,How does Amber Heard look like with the perfect face mask?,"hi



soz for no music",https://i.ytimg.com/vi/7iV1rUvdOIA/default.jpg,120,90,https://i.ytimg.com/vi/7iV1rUvdOIA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7iV1rUvdOIA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7iV1rUvdOIA/sddefault.jpg,640.0,480.0,,,,salty gay,,22,none,How does Amber Heard look like with the perfect face mask?,"hi



soz for no music",PT10S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,458,12,0,3,,,,
youtube#video,K64qKP8KNtkFgSHiRAOa_-6hpP0,8R_ljaxNbKo,2012-02-28T10:44:58Z,UC1JarwhwSm6EUZ4NYEbIvQA,Vanessa(Amber Heard) & Develine(Mila Kunis), ,https://i.ytimg.com/vi/8R_ljaxNbKo/default.jpg,120,90,https://i.ytimg.com/vi/8R_ljaxNbKo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8R_ljaxNbKo/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8R_ljaxNbKo/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/8R_ljaxNbKo/maxresdefault.jpg,1280.0,720.0,LittleElenaGilbert,"['Vanessa', 'a', 'Develine']",22,none,Vanessa(Amber Heard) & Develine(Mila Kunis), ,PT43S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,493,1,0,0,,,,
youtube#video,J3mYnyZQd1n7U6Yp7-WUF8411lM,9IY_5z-Zxn4,2012-02-06T10:42:03Z,UCFqOSbQ7JvZZX2j1nMYIbDQ,The Ward - L_hôpital de la terreur avec Amber Heard - Bande-annonce (VF),"La bande annonce de The ward, réalisé par John Carpenter et avec la belle Amber Heard. Pour en savoir plus sur le film, visitez http://oblikon.net/",https://i.ytimg.com/vi/9IY_5z-Zxn4/default.jpg,120,90,https://i.ytimg.com/vi/9IY_5z-Zxn4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9IY_5z-Zxn4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9IY_5z-Zxn4/sddefault.jpg,640.0,480.0,,,,RedakOblikon,"['the', 'ward', 'amber', 'heard']",1,none,The Ward - L_hôpital de la terreur avec Amber Heard - Bande-annonce (VF),"La bande annonce de The ward, réalisé par John Carpenter et avec la belle Amber Heard. Pour en savoir plus sur le film, visitez http://oblikon.net/",PT1M49S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,484,0,0,0,,,,
youtube#video,dQK3G5zyo9176r5PkZP_J4wnT_g,AC8b0LdCB2k,2013-08-02T10:31:28Z,UCWM8N6RHSovCyBgl48PpF3A,Amber Heard  'I Don't Want To Be A Celebrity',,https://i.ytimg.com/vi/AC8b0LdCB2k/default.jpg,120,90,https://i.ytimg.com/vi/AC8b0LdCB2k/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AC8b0LdCB2k/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AC8b0LdCB2k/sddefault.jpg,640.0,480.0,,,,Entertain10909,,22,none,Amber Heard  'I Don't Want To Be A Celebrity',,PT1M13S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,80,0,0,0,,,,
youtube#video,uHJV0B2fpp4ceWdrjchWFv7Zums,bf4UormQU_M,2021-05-01T19:50:06Z,UCe4Pf8EY-9pYFnvYebefoUg,😡Nadie cree a Amber Heard😡,"☕Alienada Café: https://www.youtube.com/channel/UCe4P...​
🍩Twitch: https://www.twitch.tv/unaalienada​ 
***************************************************************************************************
▶Hazte miembro en YT!! desde sólo 0,99€ (Botón Unirse/Join) ⬆ https://www.youtube.com/channel/UC-RY...​
💲Patrocíname en Patreon!!: patreon.com/unaalienada
📷Sígueme en Instagram!! - @unaalienada
🐦Sígueme en Twitter!! - @unaalienada
💌 Escríbeme un correo!! - unaalienada@gmail.com
****************************************************************************************************.
Guión VÍDEOS (NO DIRECTOS): 💥Javier Padín💥 -  twitter: @brisbick
****************************************************************************************************.
💥Trabajo con: Audacity, After Effects, Photoshop y Encoder. Directos con: OBS y Streamyard. 
💥Equipo: 
👉🏻PC: Portatil: Asus Rog Strix G17 G712LV-H7007 Intel Core i7-10750H/16GB/1TB SSD/RTX2060/17.3""
👉🏻Micrófono: Blue Yeti
👉🏻Ratón: Logitech G Pro RGB 16000DPI 
👉🏻Cascos: Corsair HS45
👉🏻Cámara (DIRECTOS): Logitech 920",https://i.ytimg.com/vi/bf4UormQU_M/default.jpg,120,90,https://i.ytimg.com/vi/bf4UormQU_M/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bf4UormQU_M/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bf4UormQU_M/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/bf4UormQU_M/maxresdefault.jpg,1280.0,720.0,Alienada Café,,24,none,😡Nadie cree a Amber Heard😡,"☕Alienada Café: https://www.youtube.com/channel/UCe4P...​
🍩Twitch: https://www.twitch.tv/unaalienada​ 
***************************************************************************************************
▶Hazte miembro en YT!! desde sólo 0,99€ (Botón Unirse/Join) ⬆ https://www.youtube.com/channel/UC-RY...​
💲Patrocíname en Patreon!!: patreon.com/unaalienada
📷Sígueme en Instagram!! - @unaalienada
🐦Sígueme en Twitter!! - @unaalienada
💌 Escríbeme un correo!! - unaalienada@gmail.com
****************************************************************************************************.
Guión VÍDEOS (NO DIRECTOS): 💥Javier Padín💥 -  twitter: @brisbick
****************************************************************************************************.
💥Trabajo con: Audacity, After Effects, Photoshop y Encoder. Directos con: OBS y Streamyard. 
💥Equipo: 
👉🏻PC: Portatil: Asus Rog Strix G17 G712LV-H7007 Intel Core i7-10750H/16GB/1TB SSD/RTX2060/17.3""
👉🏻Micrófono: Blue Yeti
👉🏻Ratón: Logitech G Pro RGB 16000DPI 
👉🏻Cascos: Corsair HS45
👉🏻Cámara (DIRECTOS): Logitech 920",PT25M44S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,24095,2185,0,199,,,,
