kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.localized.title,snippet.localized.description,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.favoriteCount,statistics.commentCount,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.defaultAudioLanguage,statistics.likeCount,snippet.defaultLanguage
youtube#video,KqiBUlB6hUavRM9BdYcXRNW3ww0,6fw7wG1_W7Q,2020-07-07T22:08:24Z,UChjDtGelMNkllI5S22oO_aA,Johnny Depp Calls Amber Heard the Real Abuser as They Face Off in Court,"Johnny Depp Calls Amber Heard the Real Abuser as They Face Off in Court..
https://www.youtube.com/channel/UChjDtGelMNkllI5S22oO_aA?sub_confirmation=1
 The 'Pirates of the Caribbean' actor, through his lawyer, attacks the 'Aquaman' actress, suggesting she fabricated the domestic violence story to cover up her own misconduct.   Jul 8, 2020   AceShowbiz - Johnny Depp has accused his ex-wife Amber Heard of inventing allegations of spousal abuse and starting fights during their marriage in evidence at Britain's High Court on Tuesday (07Jul20).    The actor is suing the tabloid's publisher, News Group Newspapers (NGN), and its executive editor, Dan Wootton, over a 2018 article which referred to him as a ""wife-beater"" in relation to domestic violence allegations made by Heard, which Depp has repeatedly denied.         According to The Guardian, an opening statement submitted to the court by the ""Pirates of the Caribbean"" star's barrister, David Sherborne, accused Heard of being ""the abuser"" in the marriage and claimed she orchestrated a May 2016 court appearance in which she appeared bruised and obtained a restraining order against the sta ...",https://i.ytimg.com/vi/6fw7wG1_W7Q/default.jpg,120,90,https://i.ytimg.com/vi/6fw7wG1_W7Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6fw7wG1_W7Q/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6fw7wG1_W7Q/sddefault.jpg,640.0,480.0,Myra Lamb,"['Johnny Depp', 'Amber Heard', 'Libel Suit', 'Domestic Violence']",22,none,Johnny Depp Calls Amber Heard the Real Abuser as They Face Off in Court,"Johnny Depp Calls Amber Heard the Real Abuser as They Face Off in Court..
https://www.youtube.com/channel/UChjDtGelMNkllI5S22oO_aA?sub_confirmation=1
 The 'Pirates of the Caribbean' actor, through his lawyer, attacks the 'Aquaman' actress, suggesting she fabricated the domestic violence story to cover up her own misconduct.   Jul 8, 2020   AceShowbiz - Johnny Depp has accused his ex-wife Amber Heard of inventing allegations of spousal abuse and starting fights during their marriage in evidence at Britain's High Court on Tuesday (07Jul20).    The actor is suing the tabloid's publisher, News Group Newspapers (NGN), and its executive editor, Dan Wootton, over a 2018 article which referred to him as a ""wife-beater"" in relation to domestic violence allegations made by Heard, which Depp has repeatedly denied.         According to The Guardian, an opening statement submitted to the court by the ""Pirates of the Caribbean"" star's barrister, David Sherborne, accused Heard of being ""the abuser"" in the marriage and claimed she orchestrated a May 2016 court appearance in which she appeared bruised and obtained a restraining order against the sta ...",PT5M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,False,False,19,0,0,,,,,,
youtube#video,lOgJi1E-e2tR1HhXsPAHl65EW3s,8lGOlkRPD8U,2020-02-02T16:51:18Z,UCB3q9xxYa_CmwPL4N0njm0g,Amber Heard and Johnny Depp Abuse Audio Leak || The Real ABUSER FINALLY REVEALED!!,"This is a recorded conversation/argument between Johnny Depp and Amber Heard.  This was recorded just months before they filed for divorce in May 2016.

I feel this finally confirms who the real abuser was in this relationship, and the audio speaks for itself.",https://i.ytimg.com/vi/8lGOlkRPD8U/default.jpg,120,90,https://i.ytimg.com/vi/8lGOlkRPD8U/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8lGOlkRPD8U/hqdefault.jpg,480,360,https://i.ytimg.com/vi/8lGOlkRPD8U/sddefault.jpg,640.0,480.0,Erica Dale Caliguia,"['Amber Heard and Johnny Depp Abuse Audio Leak || The Real ABUSER FINALLY REVEALED!!', 'Amber Heard and Johnny Depp Abuse Audio Leak', 'The Real ABUSER FINALLY REVEALED', 'JOHNNY DEPP', 'AMBER HEARDS', 'JUSTICE FOR JOHNNY DEPP', 'JOHNNY DEPP AUDIO TAPE', 'JOHNNY DEPP AMBER HEARDS AUDIO', 'JOHNNY DEPP AND AMBER HEARD FIGHT']",22,none,Amber Heard and Johnny Depp Abuse Audio Leak || The Real ABUSER FINALLY REVEALED!!,"This is a recorded conversation/argument between Johnny Depp and Amber Heard.  This was recorded just months before they filed for divorce in May 2016.

I feel this finally confirms who the real abuser was in this relationship, and the audio speaks for itself.",PT5M1S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,307,0,0,https://i.ytimg.com/vi/8lGOlkRPD8U/maxresdefault.jpg,1280.0,720.0,en-US,2,
youtube#video,j_yG9PDPlSDaL5b_8IXOHXGzAd0,a5R4UzkuA7I,2020-02-02T12:10:31Z,UCUfnH3kyQrWIQATeAubSL5A,Justice ForJohnny Depp - Amber Heard Is An Abuser,"#JusticeForJohnnyDepp
Depp: there can be no physical violence
Heard: I can’t promise I won’t get physical again. 
Then she has the nerve to accuse him...

Situations like this prove that we can’t just believe every abuse claim. There has to be proof. 
#JusticeForJohnnyDepp 
#AmberHeardIsAnAbuser",https://i.ytimg.com/vi/a5R4UzkuA7I/default.jpg,120,90,https://i.ytimg.com/vi/a5R4UzkuA7I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a5R4UzkuA7I/hqdefault.jpg,480,360,https://i.ytimg.com/vi/a5R4UzkuA7I/sddefault.jpg,640.0,480.0,Mr Creator,,22,none,Justice ForJohnny Depp - Amber Heard Is An Abuser,"#JusticeForJohnnyDepp
Depp: there can be no physical violence
Heard: I can’t promise I won’t get physical again. 
Then she has the nerve to accuse him...

Situations like this prove that we can’t just believe every abuse claim. There has to be proof. 
#JusticeForJohnnyDepp 
#AmberHeardIsAnAbuser",PT2M10S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,402,0,2,https://i.ytimg.com/vi/a5R4UzkuA7I/maxresdefault.jpg,1280.0,720.0,,15,
youtube#video,GWKshpRYcSrNyHHLTmsf2iM_KsI,Ap940aAeiIE,2019-07-26T21:06:14Z,UC8nZEEBWm5HU8N1IZdBY0Ug,Johnny Depp accuse désormais Amber Heard de lui avoir écrasé u...,"Accusé de violences par son ex-épouse Amber Heard , la star de Pirates des Caraïbes a décidé de poursuivre en justice pour diffamation le News Group Newspapers, qui possède entre autres les journaux et tabloïds",https://i.ytimg.com/vi/Ap940aAeiIE/default.jpg,120,90,https://i.ytimg.com/vi/Ap940aAeiIE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Ap940aAeiIE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Ap940aAeiIE/sddefault.jpg,640.0,480.0,Closer,"['6064438174001', 'yt', 'teen', 'people', 'tv & télé réalité', 'closer', 'royautés']",22,none,Johnny Depp accuse désormais Amber Heard de lui avoir écrasé u...,"Accusé de violences par son ex-épouse Amber Heard , la star de Pirates des Caraïbes a décidé de poursuivre en justice pour diffamation le News Group Newspapers, qui possède entre autres les journaux et tabloïds",PT1M25S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,2510,0,0,https://i.ytimg.com/vi/Ap940aAeiIE/maxresdefault.jpg,1280.0,720.0,,4,
youtube#video,ijwJRwyj_p9jI3EqE8284cYTbyg,AukwzDrgnMs,2021-10-25T10:47:03Z,UCZn_h4YsrFy1ZjHGK7Z5NKw,"I Made a Plot Twist to fix the Infamous Amber scene, It Worked! - Invincible","All content I own the rights to is entered into the public domain through the CC0 License: https://creativecommons.org/publicdomain/zero/1.0/

Super-Dad Shirts: https://uniquenameostoreus.creator-spring.com/listing/super-dad-1996

Read Airlock Bound: https://tapas.io/series/Airlock-Bound/info

Music:
Kevin Macleod - Late Night Radio
Kevin Macleod - Sincerely",https://i.ytimg.com/vi/AukwzDrgnMs/default.jpg,120,90,https://i.ytimg.com/vi/AukwzDrgnMs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AukwzDrgnMs/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AukwzDrgnMs/sddefault.jpg,640.0,480.0,Uniquenameosaurus,"['invincible', 'amber', 'omni man', 'Studio High Sea', 'amber rant', 'Amber Bad', 'Invincible Comic', 'Invincible episode 7', 'invinc', 'invincible vs omni man', 'invincible episode 8', 'Rewrite']",1,none,"I Made a Plot Twist to fix the Infamous Amber scene, It Worked! - Invincible","All content I own the rights to is entered into the public domain through the CC0 License: https://creativecommons.org/publicdomain/zero/1.0/

Super-Dad Shirts: https://uniquenameostoreus.creator-spring.com/listing/super-dad-1996

Read Airlock Bound: https://tapas.io/series/Airlock-Bound/info

Music:
Kevin Macleod - Late Night Radio
Kevin Macleod - Sincerely",PT11M26S,2d,hd,false,True,rectangular,processed,public,creativeCommon,True,True,False,181449,0,1668,https://i.ytimg.com/vi/AukwzDrgnMs/maxresdefault.jpg,1280.0,720.0,en-GB,17154,en-GB
youtube#video,Az81DKdjIyVz-DBSBSL7O1Cuvr8,bY5ypZS71Ro,2021-04-01T22:58:04Z,UC5iyvTygt1LeRLaf2hZt0nw,Portrait of an abuser-Turd style,This is a breakdown of exactly why some of the things that Amber Heard submitted as evidence do not equate with evidence of Johnny Depp being an abuser.,https://i.ytimg.com/vi/bY5ypZS71Ro/default.jpg,120,90,https://i.ytimg.com/vi/bY5ypZS71Ro/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bY5ypZS71Ro/hqdefault.jpg,480,360,https://i.ytimg.com/vi/bY5ypZS71Ro/sddefault.jpg,640.0,480.0,Tiffany C,,24,none,Portrait of an abuser-Turd style,This is a breakdown of exactly why some of the things that Amber Heard submitted as evidence do not equate with evidence of Johnny Depp being an abuser.,PT14M28S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,336,0,36,https://i.ytimg.com/vi/bY5ypZS71Ro/maxresdefault.jpg,1280.0,720.0,,55,
youtube#video,nNXu149KXiEa81tXHg6WwGUrI_g,CFjLHBOd7cM,2019-03-13T18:21:10Z,UCZSQZtYblsq4jMDcw05mnJg,Amber Heard was the abuser in her relationship with Johnny Depp,,https://i.ytimg.com/vi/CFjLHBOd7cM/default.jpg,120,90,https://i.ytimg.com/vi/CFjLHBOd7cM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CFjLHBOd7cM/hqdefault.jpg,480,360,,,,Manbeast1000,,24,none,Amber Heard was the abuser in her relationship with Johnny Depp,,PT3M34S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,147,0,1,,,,,6,
youtube#video,2jrxHCLbiztxGwxKLAynyJ-X60o,DGod92zWliA,2020-07-15T05:25:59Z,UCqlGgiZ2paUWIMDv8tTttEQ,More proof Amber Heard was the Abuser in her marriage to Johnny Depp,"Amber Heard was the ""abuser"" in her relationship with Johnny Depp, his former personal assistant has claimed.
https://www.bbc.com/news/uk-53393254",https://i.ytimg.com/vi/DGod92zWliA/default.jpg,120,90,https://i.ytimg.com/vi/DGod92zWliA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DGod92zWliA/hqdefault.jpg,480,360,,,,HARD TALK RADIO,,24,none,More proof Amber Heard was the Abuser in her marriage to Johnny Depp,"Amber Heard was the ""abuser"" in her relationship with Johnny Depp, his former personal assistant has claimed.
https://www.bbc.com/news/uk-53393254",PT10M3S,2d,hd,false,False,rectangular,processed,public,youtube,False,True,False,1,0,0,,,,,0,
youtube#video,9-bx_rrowgKTQtqu00xqNv1EmcQ,DPaZtMGYXzU,2020-02-03T16:18:35Z,UCQ_us8c0l7FCk598xpUGo6w,Jonny Depp & Amber Heard Full Leak Audio- The True Abuser of The Relationship,"The truth about the relationship between Jonny Deep and Amber Heard. 
For more videos make sure to subscribe!


#JonnyDeep #AmberHeard #JusticeForJonnyDepp",https://i.ytimg.com/vi/DPaZtMGYXzU/default.jpg,120,90,https://i.ytimg.com/vi/DPaZtMGYXzU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DPaZtMGYXzU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/DPaZtMGYXzU/sddefault.jpg,640.0,480.0,Things VS Things,['iMovie'],24,none,Jonny Depp & Amber Heard Full Leak Audio- The True Abuser of The Relationship,"The truth about the relationship between Jonny Deep and Amber Heard. 
For more videos make sure to subscribe!


#JonnyDeep #AmberHeard #JusticeForJonnyDepp",PT10M9S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,967,0,3,,,,,13,
youtube#video,aWR77DC92cvMc7tYbV2PfCm_-VY,e83-4foDzW4,2021-10-03T19:33:11Z,UCh0_FblW7Gdp0PNC1oGXl8w,Paris dont accept abuser #shorts #amberheard,,https://i.ytimg.com/vi/e83-4foDzW4/default.jpg,120,90,https://i.ytimg.com/vi/e83-4foDzW4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/e83-4foDzW4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/e83-4foDzW4/sddefault.jpg,640.0,480.0,AHOURA,,24,none,Paris dont accept abuser #shorts #amberheard,,PT16S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,63,0,0,https://i.ytimg.com/vi/e83-4foDzW4/maxresdefault.jpg,1280.0,720.0,,4,
