kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.tags,snippet.categoryId,snippet.liveBroadcastContent,snippet.defaultLanguage,snippet.localized.title,snippet.localized.description,snippet.defaultAudioLanguage,contentDetails.duration,contentDetails.dimension,contentDetails.definition,contentDetails.caption,contentDetails.licensedContent,contentDetails.projection,status.uploadStatus,status.privacyStatus,status.license,status.embeddable,status.publicStatsViewable,status.madeForKids,statistics.viewCount,statistics.likeCount,statistics.favoriteCount,statistics.commentCount
youtube#video,iPERRR2R-zJcll4Z28LPrbhWQV8,2kvREbWADyQ,2020-02-17T21:00:10Z,UCgwsTnaz_W7VHxGvdgEdVhg,"URGENTE: Amber Heard se burló de Johnny Depp por querer denunciar violencia ""NADIE TE VA A CREER""","Hoy hablaremos del caso de #AmberHeard y #JohnnyDepp, pero no discutiremos el audio que todos conocen, no. Ha surgido hace poco un nuevo audio, uno en donde podemos ver que Amber se  mofaba de Johnny por querer denunciar violencia domestica, alegando que ""nadie le iba a creer"" por ser un hombre. Un caso más en donde el sistema favorece a la mujer en estos casos y en donde muchas usan su género para aprovecharse de la situación, pero vean más de esto conmigo mientras buscamos #JusticeForJohnnyDepp

Ex de Johnny lo defienden: https://www.abc.es/estilo/gente/abci-johnny-depp-niegan-actor-violento-201605291840_noticia.html?ref=https%3A%2F%2Fwww.google.co.ve%2F

Amber Heard fue violenta con su ex: https://www.telemundo.com/entretenimiento/2016/06/08/arrestaron-amber-heard-en-2009-por-violencia-domestica-contra-su-exnovia-tmna1091508

Si quieres donar o aportar algo al canal, puedes hacerlo aquí y muchas gracias de antemano: https://www.paypal.com/cgi-bin/webscr...",https://i.ytimg.com/vi/2kvREbWADyQ/default.jpg,120,90,https://i.ytimg.com/vi/2kvREbWADyQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2kvREbWADyQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2kvREbWADyQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2kvREbWADyQ/maxresdefault.jpg,1280.0,720.0,elmurodedavid,"['amber heard', 'johnny depp', 'audio johnny depp', 'johnny depp y amber heard', 'justiceforjohnnydepp', 'aquaman 2', 'feminismo', 'violencia de género', 'violencia contra el hombre', 'feminismo moderno', 'metoo']",25,none,es,"URGENTE: Amber Heard se burló de Johnny Depp por querer denunciar violencia ""NADIE TE VA A CREER""","Hoy hablaremos del caso de #AmberHeard y #JohnnyDepp, pero no discutiremos el audio que todos conocen, no. Ha surgido hace poco un nuevo audio, uno en donde podemos ver que Amber se  mofaba de Johnny por querer denunciar violencia domestica, alegando que ""nadie le iba a creer"" por ser un hombre. Un caso más en donde el sistema favorece a la mujer en estos casos y en donde muchas usan su género para aprovecharse de la situación, pero vean más de esto conmigo mientras buscamos #JusticeForJohnnyDepp

Ex de Johnny lo defienden: https://www.abc.es/estilo/gente/abci-johnny-depp-niegan-actor-violento-201605291840_noticia.html?ref=https%3A%2F%2Fwww.google.co.ve%2F

Amber Heard fue violenta con su ex: https://www.telemundo.com/entretenimiento/2016/06/08/arrestaron-amber-heard-en-2009-por-violencia-domestica-contra-su-exnovia-tmna1091508

Si quieres donar o aportar algo al canal, puedes hacerlo aquí y muchas gracias de antemano: https://www.paypal.com/cgi-bin/webscr...",es,PT11M40S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,491,17,0,9
youtube#video,4a9Nz5tblioH26JRnxhZGTtw2iY,2WoJMFwx1Ms,2019-10-02T18:22:21Z,UCmvdHLC-w74pqDfnIprOPPw,"""I'm Not Racist But..."" Amber Guyger's Texts Revealed In Sentencing","#amberguyger #dallaspolice #bothamjean #texts

The Social Media of Amber Guyger Let's Talk About It!

Scott Reisch hosts Crime Talk.  A criminal trial attorney for 24 years discusses, legal issues, the Constitution, and hosts guests regarding trending issues. 
Patreon: https://www.patreon.com/CrimeTalk
Website: www.scottreisch.com
The Reisch Law Firm, LLC:  http://reischlawfirm.com/
Store: https://teespring.com/stores/scottreischcom-3
Podcast:  http://voirdire.libsyn.com/
Facebook: https://www.facebook.com/crimetalkafficianado
Twitter: @scotreischesq
Instagram: CrimeTalkWithScottReisch
                     voirdirepodcast

                   


All clips used for fair use commentary, criticism, and educational purposes.  See Hosseinzadeh v. Klein, 276 F.Supp.3d 34 (S.D.N.Y. 2017) Equals Three, LLC v. Jukin Media, Inc., 139 F. Supp. 3d 1094 (C.D. Cal. 2015). 

Typical legal disclaimer from a lawyer (occupational hazard):  This is not legal advice, nor can I give you legal advice.  Sorry!  Everything here is for informational purposes only and not for the purpose of providing legal advice. You should contact your attorney to obtain advice with respect to any particular issue or problem.  Nothing here should be construed to form an attorney client relationship.  Also, some of the links in this post may be affiliate links, meaning, at no cost to you, I will earn a small commission if you click through and make a purchase.  But if you click, it really helps me make more of these videos!

Where To Send Items:
1490 West 121st Ave., Suite 202
Denver, CO 80234",https://i.ytimg.com/vi/2WoJMFwx1Ms/default.jpg,120,90,https://i.ytimg.com/vi/2WoJMFwx1Ms/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2WoJMFwx1Ms/hqdefault.jpg,480,360,https://i.ytimg.com/vi/2WoJMFwx1Ms/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/2WoJMFwx1Ms/maxresdefault.jpg,1280.0,720.0,Crime Talk,"['ScottReisch', 'ScottReisch.com', 'legal', 'law', 'attorney', 'lawyer', 'criminal law', 'trial attorney', 'CrimeTalk', 'amber guyger', 'botham jean', 'amber guyger trial', 'dallas police', 'amber guyger trial update', 'amber guyger 911 call im sorry', 'botham jean update', 'botham jean shooting', 'where is amber guyger now', 'is amber guyger in jail', 'amber guyger trial live stream', 'amber guyger social media', 'amber guyger texts']",24,none,,"""I'm Not Racist But..."" Amber Guyger's Texts Revealed In Sentencing","#amberguyger #dallaspolice #bothamjean #texts

The Social Media of Amber Guyger Let's Talk About It!

Scott Reisch hosts Crime Talk.  A criminal trial attorney for 24 years discusses, legal issues, the Constitution, and hosts guests regarding trending issues. 
Patreon: https://www.patreon.com/CrimeTalk
Website: www.scottreisch.com
The Reisch Law Firm, LLC:  http://reischlawfirm.com/
Store: https://teespring.com/stores/scottreischcom-3
Podcast:  http://voirdire.libsyn.com/
Facebook: https://www.facebook.com/crimetalkafficianado
Twitter: @scotreischesq
Instagram: CrimeTalkWithScottReisch
                     voirdirepodcast

                   


All clips used for fair use commentary, criticism, and educational purposes.  See Hosseinzadeh v. Klein, 276 F.Supp.3d 34 (S.D.N.Y. 2017) Equals Three, LLC v. Jukin Media, Inc., 139 F. Supp. 3d 1094 (C.D. Cal. 2015). 

Typical legal disclaimer from a lawyer (occupational hazard):  This is not legal advice, nor can I give you legal advice.  Sorry!  Everything here is for informational purposes only and not for the purpose of providing legal advice. You should contact your attorney to obtain advice with respect to any particular issue or problem.  Nothing here should be construed to form an attorney client relationship.  Also, some of the links in this post may be affiliate links, meaning, at no cost to you, I will earn a small commission if you click through and make a purchase.  But if you click, it really helps me make more of these videos!

Where To Send Items:
1490 West 121st Ave., Suite 202
Denver, CO 80234",en,PT11M43S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,80277,1064,0,828
youtube#video,P17cqBCN2h1g28coGJGsKjIQa7o,6T36gA9XWB0,2020-02-28T16:02:49Z,UCeooMl4PFAM9kLPHvavt2KQ,Johnny Depp Texts RAGE Against Amber Heard!? #JusticeForJohnnyDepp,"Johnny Depp Texts RAGE Against Amber Heard!? #JusticeForJohnnyDepp

My Patreon! Starting at $1.00! https://www.patreon.com/user?u=11797644

MY TWITTER: @EnterHacker
MAIL ME: campsmithmedia@gmail.com

https://christhead.bandcamp.com/releases Chirst Head Album Here!

Patreon Channels! CHECK THEM OUT!

Sith Lord Felix : https://www.youtube.com/user/Zthr3E

Tauriel G Channel: https://www.youtube.com/channel/UCBkH5vfQC7suEWY1rikJeKw

Adega Outlaw Channel : https://www.youtube.com/channel/UC5U65v5_MmwUuM8tWHzYtqQ

TitozWorld Channel : https://www.youtube.com/watch?v=2WALmC4JcoA

Teresa Martin : https://www.youtube.com/channel/UCOtslVrAWs_pdhaqqkJ1iyw

TEE SPRING! I have merch. Prices are standard TeeSpring for now.

https://teespring.com/stores/hacker-goods

Page Six Full Article: https://pagesix.com/2020/02/26/court-hears-johnny-depps-texts-threatening-to-burn-ex-wife-amber-heard/",https://i.ytimg.com/vi/6T36gA9XWB0/default.jpg,120,90,https://i.ytimg.com/vi/6T36gA9XWB0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6T36gA9XWB0/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6T36gA9XWB0/sddefault.jpg,640.0,480.0,,,,eHacker,"['johnny depp', 'johnny depp amber heard audio', 'johnny depp amber heard fight', 'justice for johnny depp', 'amber heard audio', 'amber heard johnny depp', 'amber heard johnny depp fight video', 'amber heard comments', 'amber heard deleting comments', 'amber heard deleting comments instagram', 'amber heard vs johnny depp', 'amber heard vs megan fox', 'amber heard', 'amber heard aquaman', 'amber heard aquaman 2 petition', 'amber heard aquaman 2', '#justiceforjohnnydepp']",24,none,,Johnny Depp Texts RAGE Against Amber Heard!? #JusticeForJohnnyDepp,"Johnny Depp Texts RAGE Against Amber Heard!? #JusticeForJohnnyDepp

My Patreon! Starting at $1.00! https://www.patreon.com/user?u=11797644

MY TWITTER: @EnterHacker
MAIL ME: campsmithmedia@gmail.com

https://christhead.bandcamp.com/releases Chirst Head Album Here!

Patreon Channels! CHECK THEM OUT!

Sith Lord Felix : https://www.youtube.com/user/Zthr3E

Tauriel G Channel: https://www.youtube.com/channel/UCBkH5vfQC7suEWY1rikJeKw

Adega Outlaw Channel : https://www.youtube.com/channel/UC5U65v5_MmwUuM8tWHzYtqQ

TitozWorld Channel : https://www.youtube.com/watch?v=2WALmC4JcoA

Teresa Martin : https://www.youtube.com/channel/UCOtslVrAWs_pdhaqqkJ1iyw

TEE SPRING! I have merch. Prices are standard TeeSpring for now.

https://teespring.com/stores/hacker-goods

Page Six Full Article: https://pagesix.com/2020/02/26/court-hears-johnny-depps-texts-threatening-to-burn-ex-wife-amber-heard/",,PT8M46S,2d,sd,false,True,rectangular,processed,public,youtube,True,True,False,2332,109,0,98
youtube#video,Zl0Xqz5goeNCjI8O_W9Vl7mHF0U,6u2aQWSSSM4,2020-07-27T21:24:24Z,UCyDxgBqN7roi53DS5B81vNQ,Johnny Depp trial hears Amber Heard 'lacked physical capability' to attack star,"Johnny Depp's legal battle continued at London's High Court today.  The 57-year-old actor is suing News Group Newspapers for libel over a story published in The Sun in 2018 which branded him a ""wife beater"" - a claim which he strenuously denies.  Closing arguments were made today, with the trial set to conclude tomorrow before a ruling is made in October.  Amber Heard, 34, is back at court today, while Depp won't be making another appearance until tomorrow.  Sasha Wass, QC, for NGN, started her closing statements by telling that court that Depp is a ""hopeless addict who repeatedly lost control"".    She said Depp took ""limited responsibility"" for his behaviour insisting that he ""does kick and punch property but does not kick and punch people"".  Ms Wass added it was only a ""small step"" to transfer that anger to people.  She then said: ""Any distinction between hitting an object and hitting a person are meaningless... he was so intoxicated he would not have known what he was doing.""  Ms Wass then addressed his claims that Heard was the aggressor in the relationship, insisting that Heard at eight stone (115lb) was physically unable to attack him or fight him off.    She told the court: ""Ms Heard lacked the physical capability to be the successful party in any fight...""  Wass said that it would be ridiculous to say that at just ""115lb [Heard] would be able to beat Mr Depp up"".  Ms Wass then claimed Depp tried to portray himself as ""a Southern gentleman,"" adding: ""Far from treating women with respect, the root of his behaviour was a deep misogyny"".   She made reference to text messages previously read out in court in which he called women ""whores and sluts"" while also referred to his former partner Vanessa Paradis, as ""a withering c***"".  Depp previously insisted it was just a joke between the couple.  Wass told the court Depp became annoyed and ""inflamed"" by Heard's criticisms and he created a ""misogynistic persona of her as the stereotype of a nagging woman"".  The court then heard texts between him and actor pal Paul Bettany threatening to burn Heard displayed his attitude.   ""Alcohol and narcotics brought out the monster in Mr Depp' in the form of 'violent explosions','' Ms Wass said and were followed by ""embarrassment"" and ""apologies"".  Depp denied he'd ever been violent towards his ex-wife during the trial and claimed she'd been abusive towards him during their relationship.",https://i.ytimg.com/vi/6u2aQWSSSM4/default.jpg,120,90,https://i.ytimg.com/vi/6u2aQWSSSM4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6u2aQWSSSM4/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6u2aQWSSSM4/sddefault.jpg,640.0,480.0,,,,Entertainment today,"['More OnJohnny Depp', 'Amber Heard']",22,none,,Johnny Depp trial hears Amber Heard 'lacked physical capability' to attack star,"Johnny Depp's legal battle continued at London's High Court today.  The 57-year-old actor is suing News Group Newspapers for libel over a story published in The Sun in 2018 which branded him a ""wife beater"" - a claim which he strenuously denies.  Closing arguments were made today, with the trial set to conclude tomorrow before a ruling is made in October.  Amber Heard, 34, is back at court today, while Depp won't be making another appearance until tomorrow.  Sasha Wass, QC, for NGN, started her closing statements by telling that court that Depp is a ""hopeless addict who repeatedly lost control"".    She said Depp took ""limited responsibility"" for his behaviour insisting that he ""does kick and punch property but does not kick and punch people"".  Ms Wass added it was only a ""small step"" to transfer that anger to people.  She then said: ""Any distinction between hitting an object and hitting a person are meaningless... he was so intoxicated he would not have known what he was doing.""  Ms Wass then addressed his claims that Heard was the aggressor in the relationship, insisting that Heard at eight stone (115lb) was physically unable to attack him or fight him off.    She told the court: ""Ms Heard lacked the physical capability to be the successful party in any fight...""  Wass said that it would be ridiculous to say that at just ""115lb [Heard] would be able to beat Mr Depp up"".  Ms Wass then claimed Depp tried to portray himself as ""a Southern gentleman,"" adding: ""Far from treating women with respect, the root of his behaviour was a deep misogyny"".   She made reference to text messages previously read out in court in which he called women ""whores and sluts"" while also referred to his former partner Vanessa Paradis, as ""a withering c***"".  Depp previously insisted it was just a joke between the couple.  Wass told the court Depp became annoyed and ""inflamed"" by Heard's criticisms and he created a ""misogynistic persona of her as the stereotype of a nagging woman"".  The court then heard texts between him and actor pal Paul Bettany threatening to burn Heard displayed his attitude.   ""Alcohol and narcotics brought out the monster in Mr Depp' in the form of 'violent explosions','' Ms Wass said and were followed by ""embarrassment"" and ""apologies"".  Depp denied he'd ever been violent towards his ex-wife during the trial and claimed she'd been abusive towards him during their relationship.",,PT4M14S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,202,0,0,5
youtube#video,hQP1AL7EC9G6m6UNd6ICAELLNf8,7EawsDmLijA,2021-09-07T12:45:00Z,UCAmaiEYnoTgj-dmjp8DpepQ,Johnny Depp SHOCKED At AMBER HEARD'S AFFAIR With Leonardo DiCaprio | The Gossipy,"Johnny Depp SHOCKED At AMBER HEARD'S AFFAIR With Leonardo DiCaprio | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD #LeonardoDiCaprio
------------------------------------------------------------------------------------------------------------------------------

Welcome toThe Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",https://i.ytimg.com/vi/7EawsDmLijA/default.jpg,120,90,https://i.ytimg.com/vi/7EawsDmLijA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7EawsDmLijA/hqdefault.jpg,480,360,,,,,,,The Gossipy,"['The Gossipy', 'celebrity craze', 'celebrity', 'amber heard interview', 'amber heard', 'johnny depp', 'amber heard johnny depp', 'johnny depp amber heard', 'viral vision', 'celebrity news', 'clevver news', 'this happened', 'informoverload', 'inform overload', 'information overload', 'entertainment news', 'crazed culture', 'that umbrella guy', 'umbrella guy', 'thatumbrellaguy', 'hollywood life', 'justice for johnny depp', ""Johnny Depp SHOCKED At AMBER HEARD'S AFFAIR With Leonardo DiCaprio"", 'the gossipy', 'leonardo dicaprio']",24,none,en-US,Johnny Depp SHOCKED At AMBER HEARD'S AFFAIR With Leonardo DiCaprio | The Gossipy,"Johnny Depp SHOCKED At AMBER HEARD'S AFFAIR With Leonardo DiCaprio | The Gossipy

With the initial court date being pushed back, Johnny Depp and Amber Heard have been given some more time in order to gather more evidence for their individual cases. For quite some time, the two were firing evidence at each other in order to win in court. 

Ever since the recent release of the footage of the LAPD officers from the penthouse night of Amber Heard and Johnny Depp, things have not been looking all too bright for Amber Heard. Her team has been working tirelessly in order to back up her side, however Johnny Depp seems to have made the attempt to strike back.

#JohnnyDepp #AMBERHEARD #LeonardoDiCaprio
------------------------------------------------------------------------------------------------------------------------------

Welcome toThe Gossipy. We make interesting videos about Hollywood in English. We give you a closer look in the lives of celebrities like Kanye West, Ed Sheeran, The Rock, Jay Z, Selena Gomez, Kylie Jenner, Kim Kardashian, Rihanna and 100s more.

We tell you interesting things about these Hollywood celebrities that you may have never heard before.
Subscribe - https://www.youtube.com/channel/UCAmaiEYnoTgj-dmjp8DpepQ?sub_confirmation=1
''THE CHANNEL GOAL IS TO GET ALL THE YOU TUBE PLAY BUTTONS"". So please do subscribe to our channel to be a part of The Gossipy community, It is really important to grow together as a family and "" we promise you, we will not let you down"".

Cheers!",en-US,PT8M2S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,1475,44,0,24
youtube#video,5NzutjEnAKAX2aeBnHWcpOXBhRE,7FFZdD8glts,2019-09-24T15:50:47Z,UCglinz_3LlxLSKgBRzAjGKw,Amber Guyger Murder Trial Day 1: Patrol Partner Testifies About Racy Texts Night Of Deadly Shooting,"Ex-lover of officer who shot neighbor acknowledges racy texts but denies planned rendezvous
https://www.cbsnews.com/news/amber-guyger-trial-ex-lover-of-cop-who-shot-neighbor-acknowledges-racy-texts-denies-planned-rendezvous/

Amber Guyger Patrol Partner Testifies About Racy Texts The Night Of Deadly Shooting
https://dfw.cbslocal.com/2019/09/23/new-details-amber-guyger-shot-botham-jean-door-unlocked/

Dallas DA maintains murder is the appropriate charge in Amber Guyger case
https://www.fox4news.com/video/607847

Former cop Amber Guyger claims self-defense as apartment mix-up murder trial begins
https://abc7.com/former-cop-amber-guyger-claims-self-defense-as-apartment-mix-up-murder-trial-begins/5561665/

Ex-Dallas cop who fatally shot neighbor was distracted by sexting: prosecutors
https://nypost.com/2019/09/24/ex-dallas-cop-who-fatally-shot-neighbor-was-distracted-by-sexting-prosecutors/

Ex-Dallas cop who fatally shot neighbor distracted by sexting police partner, prosecutors say
https://www.foxnews.com/us/ex-dallas-cop-who-fatally-shot-neighbor-distracted-by-sexting-police-partner-prosecutors-say

Amber Guyger was on phone with partner before shooting neighbor, prosecutor reveals
https://www.nbcnews.com/news/us-news/prosecutors-reveal-amber-guyger-was-phone-partner-shooting-neighbor-n1057706

FAIR USE STATEMENT
This video may contain copyrighted material the use of which has not been specifically authorized by the copyright owner. This material is being made available within this transformative or derivative work for the purpose of education, commentary and criticism, is being distributed without profit, and is believed to be ""fair use"" in accordance with Title 17 U.S.C. Section 107. For more information go to: http://www.law.cornell.edu/uscode/17/",https://i.ytimg.com/vi/7FFZdD8glts/default.jpg,120,90,https://i.ytimg.com/vi/7FFZdD8glts/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7FFZdD8glts/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7FFZdD8glts/sddefault.jpg,640.0,480.0,,,,Charlton,"['amber guyger trial', 'amber guyger partner', 'amber guyger botham jean', 'amber guyger', 'botham jean', 'amber guyger texts', 'amber guyger youtube', 'amber guyger murder', 'shooting neighbor', 'botham jean shooting', 'botham jean shooting trial', 'botham jean murder', 'sexting', 'amber guyger sexting', 'amber guyger murder trial', 'dallas cop trial', 'ex dallas cop', 'dallas cop shot neighbor', 'dallas cop shooting neighbor']",25,none,,Amber Guyger Murder Trial Day 1: Patrol Partner Testifies About Racy Texts Night Of Deadly Shooting,"Ex-lover of officer who shot neighbor acknowledges racy texts but denies planned rendezvous
https://www.cbsnews.com/news/amber-guyger-trial-ex-lover-of-cop-who-shot-neighbor-acknowledges-racy-texts-denies-planned-rendezvous/

Amber Guyger Patrol Partner Testifies About Racy Texts The Night Of Deadly Shooting
https://dfw.cbslocal.com/2019/09/23/new-details-amber-guyger-shot-botham-jean-door-unlocked/

Dallas DA maintains murder is the appropriate charge in Amber Guyger case
https://www.fox4news.com/video/607847

Former cop Amber Guyger claims self-defense as apartment mix-up murder trial begins
https://abc7.com/former-cop-amber-guyger-claims-self-defense-as-apartment-mix-up-murder-trial-begins/5561665/

Ex-Dallas cop who fatally shot neighbor was distracted by sexting: prosecutors
https://nypost.com/2019/09/24/ex-dallas-cop-who-fatally-shot-neighbor-was-distracted-by-sexting-prosecutors/

Ex-Dallas cop who fatally shot neighbor distracted by sexting police partner, prosecutors say
https://www.foxnews.com/us/ex-dallas-cop-who-fatally-shot-neighbor-distracted-by-sexting-police-partner-prosecutors-say

Amber Guyger was on phone with partner before shooting neighbor, prosecutor reveals
https://www.nbcnews.com/news/us-news/prosecutors-reveal-amber-guyger-was-phone-partner-shooting-neighbor-n1057706

FAIR USE STATEMENT
This video may contain copyrighted material the use of which has not been specifically authorized by the copyright owner. This material is being made available within this transformative or derivative work for the purpose of education, commentary and criticism, is being distributed without profit, and is believed to be ""fair use"" in accordance with Title 17 U.S.C. Section 107. For more information go to: http://www.law.cornell.edu/uscode/17/",en,PT10M30S,2d,hd,false,True,rectangular,processed,public,youtube,True,True,False,343,22,0,11
youtube#video,ggV47ftzv3Mf1erT3ab2nIz6n2w,81wKKuV4AAg,2019-09-24T03:20:53Z,UCxMXl9L79X1Mq_4iwCOyPFg,Amber Guyger Patrol Partner Martin Rivera Testifies About Racy Texts The Night Of Deadly Shooting,Prosecutors say it’s telling that Guyger and her patrol partner deleted the text messages they exchanged that night on the day after the shooting.,https://i.ytimg.com/vi/81wKKuV4AAg/default.jpg,120,90,https://i.ytimg.com/vi/81wKKuV4AAg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/81wKKuV4AAg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/81wKKuV4AAg/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/81wKKuV4AAg/maxresdefault.jpg,1280.0,720.0,CBSDFW,"['CBS 11 News Evening', 'Amber Guyger trial', 'Botham Jean', 'Martin Rivera', 'Dallas Police', 'deadly shooting', 'murder trial']",25,none,en,Amber Guyger Patrol Partner Martin Rivera Testifies About Racy Texts The Night Of Deadly Shooting,Prosecutors say it’s telling that Guyger and her patrol partner deleted the text messages they exchanged that night on the day after the shooting.,en,PT5M44S,2d,hd,true,True,rectangular,processed,public,youtube,True,True,False,208421,1254,0,843
youtube#video,VoZznSUUlMmiam3UUeoxrYRPyeU,8i5KE_SKnZ4,2018-04-27T06:57:35Z,UCWBQL6o5V4LR93ClfNa-CeQ,"Funny Joke Fred and Mary got married, but can't afford a honeymoon.","funny jokes to tell friends.

Elon Musk is looking for a new girlfriend, after actress Amber Heard broke up with him in August. Musk told Rolling Stone he doesn't think he can be happy .

My Gear Action Shots - Camera - Laptop - Quick Edits - Microphone - Headphones.

Confused about what to text him? Just copy and paste any of these 9 texts - Follow me on Facebook here .",https://i.ytimg.com/vi/8i5KE_SKnZ4/default.jpg,120,90,https://i.ytimg.com/vi/8i5KE_SKnZ4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/8i5KE_SKnZ4/hqdefault.jpg,480,360,,,,,,,DemonNightFox91,"['funny jokes tell friends', 'johnny jokes', 'Little Johnny jokes', 'Dirty jokes', 'Brother got married', 'Honeymoon', 'Wedding night']",1,none,,"Funny Joke Fred and Mary got married, but can't afford a honeymoon.","funny jokes to tell friends.

Elon Musk is looking for a new girlfriend, after actress Amber Heard broke up with him in August. Musk told Rolling Stone he doesn't think he can be happy .

My Gear Action Shots - Camera - Laptop - Quick Edits - Microphone - Headphones.

Confused about what to text him? Just copy and paste any of these 9 texts - Follow me on Facebook here .",,PT6M4S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,1,0,0,0
youtube#video,OTHa6oNnylclPaU4eyS7IpYnUC4,ABYZ56gvQnM,2020-07-24T00:00:51Z,UCZJECgMdK7NLwNAT1T76k6A,Amber Heard Beat Up Johnny Depp Then Admitted it On Audio,Crazy Female's,https://i.ytimg.com/vi/ABYZ56gvQnM/default.jpg,120,90,https://i.ytimg.com/vi/ABYZ56gvQnM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ABYZ56gvQnM/hqdefault.jpg,480,360,,,,,,,ByBaudelaire,,20,none,,Amber Heard Beat Up Johnny Depp Then Admitted it On Audio,Crazy Female's,en-US,PT1M51S,2d,hd,false,False,rectangular,processed,public,youtube,True,True,False,37,2,0,0
youtube#video,SLApOrFiQBtKDWWzkLVMJmgI5es,AHBDF_4V_zQ,2020-02-28T17:09:06Z,UCvNA9MnTeMf4rR0hn54QwbA,Johnny Depp Threatens to Murder Amber Heard In Shocking Texts,,https://i.ytimg.com/vi/AHBDF_4V_zQ/default.jpg,120,90,https://i.ytimg.com/vi/AHBDF_4V_zQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/AHBDF_4V_zQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/AHBDF_4V_zQ/sddefault.jpg,640.0,480.0,,,,Celeb Showbiz,,24,none,,Johnny Depp Threatens to Murder Amber Heard In Shocking Texts,,,PT3M50S,2d,sd,false,False,rectangular,processed,public,youtube,True,True,False,67,0,0,1
