,id,comment,author,likecount,publishedAt
0,UgyUVXAU7iZd7rL34Wt4AaABAg,Hey Thanks For All The Positive Words Everyone!  I Am Totally Fine I Assure You!  Let's Stay Positive & CRUSH That Like Button & Leave A Comment Below!  Be Super Positive!  It Would Also Really Be AWESOME If Today Was The Day You Subscribed.  I Hope I Have Earned It!  Subscribe To Piss Off Ethan Klein!,TheQuartering,148,2020-10-21T23:03:03Z
1,UgycXZxrYmARrFyqbmB4AaABAg,Okay. The algorithm and you have convinced me. I'll sub today. (I've been watching more and more of your vids lately),Bryan Tasker,0,2020-11-24T20:53:17Z
2,Ugy_LGuWhlIlXBsAN_54AaABAg,"A man has to record if a man has no proof he is guilty no matter what 

And I think JD know that amber was sleeping with other guys so gr perpusfuly recorded her AH on the other hand know JD will fill a lawsuit so she tried recording JD and take it out of context like when he was drunk on the floor when he was mad (never explained why he was mad all we got was AH side which I don't believe)",nerf,1,2020-11-17T17:57:48Z
3,Ugzh3KlzoLrLmC3yR7x4AaABAg,Love your coverage thank you,B Red,0,2020-11-10T15:29:21Z
4,Ugz-FqO7lV19LWPAx2B4AaABAg,Don’t be weak and say their names like wtf is this.    Nice channel Q.,Stoney Haze,0,2020-11-09T15:17:17Z
5,Ugy0w404bgcFjdHyz_p4AaABAg,They will get rid of amber heard but keep johnny.,TW RIVERM,0,2020-11-03T18:53:35Z
6,Ugw5L1obHWcomH9o8lB4AaABAg,Shes nuts,ihateyoutube,1,2020-11-03T10:20:34Z
7,Ugzo4bz2f9ZXYR3EnEJ4AaABAg,WB please just film in Australia so we can lock her up for 14 years,Sulueti,1,2020-11-02T11:48:01Z
8,Ugxl_yUBdqz-tGNn5kJ4AaABAg,"I haven't been to a single movie since LotR prequels (and I find LotR movies bad in general because they take a VERY large dump on the books each time and I honestly PREFER books. The movies might be good cinematographically, but as an adaptation they all suck - and don't even get me started on 'modern' adaptation like Eragon, Artemis Fowl, Mulan, Avatar the last Airbender and all the other utter BULLSHITE they now make, it's enough to make a man puke just looking up the cast they go with) and I don't regret it one bit. Feeding people who produce GARBAGE all the time is never a good option. The quality of movies goes down nearly monthly, honestly I'm surprised they're not bankrupt already, with SJWs controlling what can and cannot be filmed these days, and none of the sane people wanting to do anything with it (except for vapid consumers who literally just watch a movie for CGI explosions so nearly every movie is good enough for them).",Allarion,0,2020-10-30T23:00:50Z
9,UgzUqgst5EpwjnOoVhF4AaABAg,There's absolutely no reason that Mera couldn't be played by another actress who has similar looks.  AH is a fairly generic actress in both looks and performance so it wouldn't even be difficult to do.  Marvel and DC movies have made almost a tradition of changing the actors who play several of their characters.,andyman aus,0,2020-10-30T13:38:00Z
10,Ugz_eLPT382uiSNRBwJ4AaABAg,"I won't see the movies anyway as the idiot who plays Aqua Man is very racist and woke supporter of the rioters..
And the Rubbish that Rowland comes out with made me drop her stuff.
Just becsue the Trans groups are after her doesn't stop me caring about the other insanity she pushes...
She silenced many others and cancelled them so she is getting Kama right now..",Mark Wilko,0,2020-10-30T03:52:35Z
11,UgzHv9v7QUj2XtQqxe54AaABAg,"In the UK it far easier to sue for libel etc...
No free speech in the UK..
Only the US is it hard to sue for such a thing..
Look up the news of Tom Cruise sueing UK newspapers for fake news in the past...
He doesnt do it in the US but it's easy in the UK..",Mark Wilko,0,2020-10-30T03:44:03Z
12,Ugz1b_W6AIf0zSVQu1Z4AaABAg,"Why ""can't"" you say her name while you're speaking, but you can get away with putting her full name in the title? 🤔",flak magnet,0,2020-10-29T06:39:10Z
13,UgzGvxeiijMH1UoC8ol4AaABAg,Warner Bros. is pro domestic violence.,Anthony Petniunas,2,2020-10-28T21:53:22Z
14,UgxBXo8XyoJ00-r0zHp4AaABAg,Omg it's so Damn simple A.H. has been only saying danm stupid crazy lies Who in this damn world even wants believe her from all shit she's caused it's crazy as hell how long she has getting away with it from the hiding the phone setting  him up getting him fired from his acting roles  what is she damn thinking I dont6 give a fipping damn about this lying monster just put heard in jail where he lie should stay,Jake Chapman,0,2020-10-28T18:16:42Z
15,UgwTpu1ldevelhGh2714AaABAg,Tbh both Amber and Depp are trash so they pretty much deserve eachother.,Adrián,0,2020-10-28T17:00:24Z
16,Ugy4eeCS2hzem9tShGp4AaABAg,Australia wants to jail her for perjury Britain could probably do the same she's running out of places to go,just rick,3,2020-10-27T19:21:15Z
17,UgwClKqUFN__00LEqLB4AaABAg,"Regardless of what the creature AH appears in, I will NOT be watching it.",Kate Bowman,3,2020-10-27T12:48:47Z
18,UgzrS1pglYl2pBIWYs54AaABAg,"unless they drop and treat her the same way jobs and press treated him, then there is no justice.",Layarion,2,2020-10-27T10:45:35Z
19,UgzUs1tPYXM12ZzzP914AaABAg,But we all were supposed to believe her! She has a vagina. She CANNOT lie!,shmupperfromhell,1,2020-10-26T23:36:06Z
