,id,comment,author,likecount,publishedAt
0,UgxaygSkwNG9Nar5cFp4AaABAg,Ben sana inanıyorum,kaptan jack sparrow,1,2021-09-26T21:44:37Z
1,UgzJdetYhLUHT1iimdF4AaABAg,Johnnyime iftira atıyor bu çok belli!Johnny bir kadına el kaldıracak insan değil.,No Name A.D.J,4,2021-08-31T16:25:15Z
2,UgxtNrJ_q5Azy1QA_kh4AaABAg,Willy Wonkacigim sen bu karida ne buldun da evlendin ya öffff,Mele K,1,2021-08-21T19:32:47Z
3,UgxuGeDefbB8X6rrViB4AaABAg,"21.05.2016 тhe guards of the actor Jerry Judge and Sean Belt said that they were in the hallway of the star couple's house when they heard Amber Heard screaming: ""Stop hitting me."" Just a second later, they were at the scene and saw Johnny Depp in the kitchen, and his wife on the couch in the living room. There were at least seven meters between them.
The bodyguards also emphasize that during the fifteen months of marriage, it was Heard who most often initiated conflicts, it was she who threw various objects, including bottles, at her husband in anger, and sometimes they had to drag her away from Depp by force.
The owners of their house on Broadway claimed that Amber had no signs of violence, two days after the incident, and they even complimented her that she looked good. She was not wearing makeup and there were no signs of violence. The lawyer, who lives in this building, said that two concierge said there were no signs of violence. One saw her on May 23, 2016, the other on May 25, 2016.
Moreover, on May 22, 2016, Amber was at a party with her friend Amanda de Cadenet, smiling and taking pictures with the guests:
Needless to say, this photo, posted by one of the guests in insta, was deleted the next day.",Зоя Бельская,1,2021-08-12T06:58:59Z
4,UgwIJvSsDFfN0bXsdBF4AaABAg,"İlk evlendiklerinde dahi o kadında bir b*kluk olduğunu sezmistim, kimseye inandiramadim johnny'in masum olduğunu 4-5 sene olmuş ya :'( ilk hayran olduğumdan bu zamana ise 9 sene olmuş ve bugünde doğum günü Johnny'imin 💘💘 iyiki doğmuş güzel adam, onun sayesinde kendime hep bir şeyler kattim ve böyle devam edecek...",Kübra Depp,11,2021-06-09T15:25:06Z
5,UgzlpDL8ySVenTnFmL54AaABAg,Gerçekten beyefendi bir adam olduğuna inanıyorum. Aldığı rolleri  yaşayan bizlere yaşatan bir aktör bu incelikli işi yaptığın için minnettarım. Mesleğinin zirvesindeydi hep bu karalamalardan umarım bir an önce aklanırsın. Sen en iyisisin Jonny,Feyza Özcan,26,2021-06-02T11:57:24Z
6,Ugy2K06JAJisYh2ZMrd4AaABAg,Evlendi ünlü oldu jonny en güvendiği kişiden darbe yedi,Elif Mine,6,2021-03-28T10:24:18Z
7,UgwB1DaS5bOKk-Z9FJp4AaABAg,Johnny yanındayız,CANISI,4,2021-03-14T11:09:53Z
8,UgxS7RQLkeE8-hvzew54AaABAg,Johnny Depp çok harika bir adam ben haklı olduğunu düşünüyorum benim şu hayatta en çok sevdiğim 2 ünlü var biri Johnny Depp diğerinde BlackPinkten Lisa o ikisinden birini seçmek sorundasın deseler Johnny Depp i seçerim o kadar çok hayranım o adama inşallah nasip olur bir gün Türkiye'ye gelir amin ve ben onu gorurum,LİLİSA,8,2021-03-11T08:41:03Z
9,UgyzoHY6BNTDicZmSlR4AaABAg,Sonuna kadar inanıyorum Deppe,Fidan Memmedova,5,2021-02-15T07:01:37Z
