,id,comment,author,likecount,publishedAt
0,UgwqheLc8qFYGWYDVQ94AaABAg,Lying B! We have the body cam footage now.,Jess Taylor,0,2021-04-29T03:47:09Z
1,UgwQjrJlqv3Hz7H2dmV4AaABAg,Biggest liar in the world,Crispy Co,0,2021-04-28T13:21:56Z
2,UgzBKJSqGs3GAa5plll4AaABAg,"Hopefully in the US court system and  judge will recognize her deception and will admit all documented evidence from police officers,medical professionals and  previous arrest records and make fair decision..This woman is dangerous and needs to be accountable for her actions before she hurts somebody elese.",Annamaria Candelka,4,2020-12-16T01:35:18Z
3,UgwWWj6OmtohsiMi0Wl4AaABAg,She is a liar and a manipulator ..Narcissist will behave exactly like that..,Annamaria Candelka,0,2020-12-16T01:28:27Z
4,Ugxn6gsCdmoNupL9Y0Z4AaABAg,Amber Heard is an abuser,Nooney Love,0,2020-11-11T03:32:11Z
5,Ugzob032xJQ22VxzQLN4AaABAg,"So, no she didn't tell officers anything & she don't remember which officer asked her or exactly what they told her...if it's the truth it shouldn't be that difficult to answer yes or no to these simple questions.",Ang Lovetree,6,2020-10-13T20:25:12Z
6,UgyyY2EDyg4W20QxPgJ4AaABAg,"She is lying about the coorroboration by gesture or words by the policemans... it was not in their report and on the contrary, they say they did not see any marks on her or injuries of any kind, and after a complete visit of the appartments did not see any damage... They where train officier in domestic abuse case, they saw nothing... Johnny Depp was gone and never came back in the next days... and suddengly there where mass dammage in the appartment.... Phony Balony Allegations...",Guy Mercier,6,2020-07-31T14:51:39Z
7,Ugw6MNq7O-DOugUtDjx4AaABAg,"She was clearly lying and you can see it in her eyes,  that she is not telling the truth.",Izumianne,5,2020-07-31T14:22:54Z
8,UgyOyFnyZeXh6F4RN9J4AaABAg,"Now she doesn't remember exactly what they asked her,  she doesn't know or remember much of what exactly happened that night.",Ang Lovetree,5,2020-07-23T01:55:21Z
9,UgzPXrCBEUZ8OZvmX8d4AaABAg,"A Paralegal on YT broke down Amber Heard’s testimony in depth, with all her lies and inconsistencies! Highly recommend it: https://youtu.be/L13Wr6AGbWU",Lavish Lane,0,2020-07-22T23:14:54Z
10,UgxdYvQXglZn8YkONAd4AaABAg,Most hated women in the world 🤮,Olha,10,2020-07-22T19:21:17Z
11,Ugxdm8QpgNjF8F79LQh4AaABAg,She comes across really manly here,C,1,2020-07-21T17:51:38Z
12,Ugxjs5Deyz839CZeafR4AaABAg,2 weeks ago one of those officers gave testimony to the EXACT OPPOSITE  of what AH just said.  She lies about EVERYTHING. Whew!!!,Gicanda Thomas,18,2020-07-21T16:34:28Z
13,UgzKm54mBtaNuKo7jDp4AaABAg,YOU ARE DISGUSTING LIER AMBER HEARD.,george washington,0,2020-07-21T15:41:24Z
14,Ugy7JllzjUsNKecKUyR4AaABAg,"As many of you might know by now, Amber Heard has a reported history of domestic violence. Including a time when she was arrested for allegedly assaulting her ex wife Tasya Van Ree at Seattle Tacoma International Airport in 2009.",george washington,19,2020-07-21T15:40:53Z
15,UgxihyWbq0EEbxSvbfl4AaABAg,"Her eyes are soulless and empty, scary for real",Greta Bi,29,2020-07-21T14:04:08Z
16,UgyGeomiQoqloExMLg94AaABAg,"What I don’t understand is she filmed, photo’d and recorded sooooo much. Where’s all the evidence of the actual abuse. There’s literally a couple of photos where it could be make up. Where’s all the beatings? What victim also admits to starting physical fights and saying they can’t promise they won’t do it again. Her evidence in court has to be as bad as it is as she cannot accept losing, so she’s gone in....",Emma Platt,21,2020-07-21T13:43:09Z
17,UgyS1iE24B7C_zC9l214AaABAg,One of the worst person on earth.,Berk Ç.,15,2020-07-21T12:44:59Z
