,id,comment,author,likecount,publishedAt
0,UgzTL1JS9X5HM6X13gR4AaABAg,"Well, peeps...  how do Y'ALL think the DC Overlords should handle this?  Second chance, or recast?  Let us know yo thoughtz!!!
- *SUBSCRIBE* and *HIT THAT LIKE BUTTON*  and maybe YOU'LL be cast as the next Mera/Barry Allen!
- And as always, if you enjoy this channel & wanna support + enjoy a boatload of EXCLUSIVE REACTIONS & more, come visit us at https://www.patreon.com/thereelrejects today!!  :)",The Reel Rejects,20,2020-08-13T22:22:48Z
1,Ugx8J7SE6zSKN7IoFgp4AaABAg,"Ezra Miller knows what he did was wrong but celebrities have done way worse stuff it's not like he did it on purpose so let's give him a chance he does need to apologize to the women and she did smile in the video so.😬
Amber Heard on the other hand needs to go because see lied that she's was the victim and made people think that Johnny Depp did all those horrible things took someone's backstory and never give the $7 million to donate to a hospital plus she is an abuser and manipulated alot of people.😡🤬",Joey Quintero,0,2021-03-22T06:33:49Z
2,UgyetQlHqFsVGXRKvaV4AaABAg,"Jezebel Amber Heard, Devil in Disguise",k. _nf,0,2021-02-05T09:06:37Z
3,Ugz1oN1cbzYQwTShkkt4AaABAg,WB rewarded the Abuser and punished her victim.  It’s disgusting.  WB needs to be boycotted,Linda Landry,0,2021-02-04T01:45:50Z
4,UgzQLVeqEEsQJeLjI714AaABAg,Amber should be fired.,Linda Landry,0,2021-01-02T22:44:40Z
5,UgwChe-zLg-8tYckxCp4AaABAg,I wish we could get a explanation on Ezra.,Maddox _,0,2020-12-21T23:55:50Z
6,Ugwp22sK8wptYDsVUsN4AaABAg,"yes everbody makes mistakes but choking a fan is not a mistake. amber heard is not a victim she is the abuser. they should be fired and cancelled. i will not watch anything with them in it. warner bros has not commented on any of this seems to me like they are trying to push under the rug,. coverups is what they do best.  johny depp is the real victim",sandra carson,0,2020-12-21T20:23:38Z
7,UgxROY_nWNLCU7AOCBh4AaABAg,"SIMILIKA JOERGEN SAYS:

Ezra's was just a basic fight, people have had worse. Amber has evidence",Similaka Joërgen,0,2020-12-04T00:48:05Z
8,UgxCHhHHBWmPHzzfnMx4AaABAg,whenever I hear amber heard my brain pipes get tormented,jeremy bullfrog,0,2020-11-24T20:55:51Z
9,UgypZHgiBgUAMR06SAV4AaABAg,"Ezra?  No.  Amber?





...I think you know the answer to that one.",Shadowkey392,0,2020-11-07T19:26:32Z
10,Ugz-S9d33xKyno09lbt4AaABAg,Both recast,Star Wars Communications,0,2020-11-03T19:25:19Z
11,UgwllSqFpO5iaVLSNmx4AaABAg,Some of the DC actors are really problematic. Shame,Ethel,0,2020-09-15T08:38:19Z
12,UgxftvzAHYQCJjZJ2Ex4AaABAg,If that stuff about Amber Heard is true then I think that she should be replaced. Put Blake Lively or Evan Rachel Wood in her place and I think people would be fine.,xmen4ever8290,0,2020-09-13T22:01:09Z
