,id,comment,author,likecount,publishedAt
0,UgzPhs-yOilbGxULbjJ4AaABAg,If wasnt for money. Musk probaly couldn't get layed at a morgue.,Jayson Lee,0,2021-03-08T04:31:42Z
1,UgzSNZAj-qbJ5E06pYl4AaABAg,"Musk is ok, but has bad taste in and is a sucker for women.",Hannes Coetzee,0,2021-03-07T20:34:23Z
2,UgwHDbE0SAD7CBYx8fN4AaABAg,Colonel Kurtz has some great insights I hadn't heard on YouTube before. Thanks YellowFlash 2 for your coverage on this topic! ✨,Lilly Jacob,0,2021-03-06T23:09:45Z
3,Ugw7YRw3ZDBc4M2MkmF4AaABAg,We need a petition to get a Johnny Depp vs. Elon Muck cage match.,Chris Kerr,1,2021-03-06T16:26:57Z
4,Ugy4fb1rYxAO3FYaZDV4AaABAg,Dammmn musk was hitting that even when he had his wife (confirmed) and verrrry likely hitting that while Amber was with depp according to phone calls and that,steve c,0,2021-03-06T03:52:25Z
5,UgyxwWkIMapT8T5wFtR4AaABAg,"well they have removed her , they say she got too fat , that has to be bull , how much weight can a person put on in a few months , jason doe not want to work with her and frankly nor would i",Jita'ame suluma,0,2021-03-05T10:47:59Z
6,UgwApKl7k_DcZPcZTxF4AaABAg,Lets Boycott Elon musks products,Nolan Moura,1,2021-03-04T09:04:28Z
7,UgyQLQDjZjX2-OUdsI54AaABAg,From MERA to MORON.,Jephunneh Palit-ang,0,2021-03-04T05:35:42Z
8,Ugyqs_tauu2lJFKuD-R4AaABAg,She was only in the movie for 3 and half minutes. This is not a Leading role. You do not get top billing for a walk on part.,Salvage Monster,0,2021-03-03T17:13:29Z
9,UgyamtW6BojvyAIJsUh4AaABAg,Does anyone else through Elon Musk’s Fraud?,Salvage Monster,0,2021-03-03T17:11:54Z
10,UgyHTLPBdvHh7u-q4-F4AaABAg,Seems to me She only goes with Men To get their MONEY,Kevin McVann,0,2021-03-02T11:16:48Z
11,Ugzq4ITSsfDtX7xlU154AaABAg,"Did anyone see that Mickey Rourke offered to take Johnny's place in Elon's ""cage fight"" challenge? Oh god I would pay so many dollars to see Rourke smack the ugly right off Elon's face. :):):)",Lydia,0,2021-03-01T16:37:02Z
12,Ugwm0IAiqsH66xn7EXx4AaABAg,"People are still defending her? How much proof you need to see she's not a poor victim? Whatever happens in a relation you resolve it internally. The moment you start ruining your partner publicly you are the abuser. She didn't even donate the money she promised and even tried to get information from Disney to attack Deep.

Women want equality until it doesn't suit them. You reap what you saw.",vitalis,0,2021-03-01T07:07:13Z
13,Ugy1Co4CbUfpwb8nUs94AaABAg,Is she not in the credits so it looks like they listened to fans? Fool people into seeing the film until word spreads?,Ann MacDonald,0,2021-03-01T01:34:22Z
14,UgzfTaAaWdgIAQQe4SV4AaABAg,"This Case with Johnny Depp and Amber Hurd reminds me of a case a long time ago. The case against Errol Flynn with an under age but willing actress. It ruined his life and career. A long ago, quite a few Actors were ruined by wemen lying in court. Johnny went from bad to worse with drugs and alcohol when he got involved with Amber. She gives me bad vibes. Not sincere or likeable in personality.",Janet Elaine DeLoach,0,2021-02-28T15:27:44Z
15,Ugyoduor4XAEza2zkhB4AaABAg,Id put my money on elon in a cage match,adam hoppe,0,2021-02-28T14:25:50Z
16,UgxtEuGb_ksJxgNhR5t4AaABAg,Stuff like this makes me wonder why people put elon musk on such a pedestal. he's just as awful and morally bankrupt as the celebrities and millionaires he likes to call out on twitter if not worse,Andrew Wilson,2,2021-02-28T13:39:09Z
17,Ugyl92RCRDjFuz65Scp4AaABAg,"I don't mind any of them.... but lets be honest ""Force in, is force out"" and both JD and AH are guilty.",TARA ERICSON,0,2021-02-28T10:33:32Z
