,id,comment,author,likecount,publishedAt
0,UgzyfX-Jm-vA5_B7zpF4AaABAg,She's a known liar so anything she says will hold no sway. Go away Amber. Go far far away.,Lin Staley,1,2021-02-16T20:17:47Z
1,UgysPvIr7qG6tSwdVjB4AaABAg,🤣 you guys are so ridiculous!  His team totally contacted you didnt they?,Charissa,0,2021-01-01T03:43:39Z
2,UgwYQ1NaJWvgdRlSw9t4AaABAg,Real life low life AH,Song Henry,1,2020-11-19T05:20:23Z
3,UgwtIQtvIq7gxrjk9ZV4AaABAg,"Show the full video, or let others do it. Stop claiming copywrite.",John,2,2020-08-16T19:59:40Z
4,UgxWRq4c45gnkFLDVMN4AaABAg,TMZ should be scared. You know what you did.,Karen,1,2020-08-14T20:41:11Z
5,UgytAojwTQepIElnse94AaABAg,She was denied spousal support,Lindsey Depp,1,2020-05-30T20:29:52Z
6,UgxhP_0U5qSJ0vw0q0x4AaABAg,She caused all this bullshit,Lindsey Depp,1,2020-05-30T20:28:02Z
7,UgwlafqrbNd2uqGnfZB4AaABAg,"He doesn’t want to settle , don’t give her another cent , destroy her completely , ruin her life , just like she is trying to do to you. , she the one running now , anything to not have to get her deposition done . She’s shitting herself .shes running , he wants it done .shes stalling",Joe Wilkes,1,2020-05-26T11:45:12Z
8,Ugxdpi8sCKCE8VkoR214AaABAg,"So she lied....I'm here in 2020 and it's sad to listen to all the video proof Johnn y has submitted...She doesn't even care
Anyway men can be abused in all sort of manners as women....and i think it's time they all voice out and get justice
Not knocking him off his feet doesn't mean you aren't abusing him,abuse is abuse whether hard or soft...when men voice they're abuses out they should be taken as cowards but rather heroes for being able to speak up",Phyonnah Williamz,1,2020-05-18T11:10:01Z
9,UgxIFsnBMLMAMuJZodt4AaABAg,This is fucking bullshit,Lindsey Depp,1,2020-04-28T14:38:13Z
10,UgzCLg8hKRgmiQU6g1V4AaABAg,Typical overrated and failure of an actress making a lame attempt to get some of Depps hard earned millions.,Perry Johnson,0,2020-04-28T02:07:11Z
11,UgyYU7p-z8B0X2RtGIt4AaABAg,"She couldn't let it go, thought John would be the nice guy for ever an not tell the world what she really is about, but she just kept pushing bullshit for years to destroy his life,he was going to let it go and not stuff her life with the truth. Silly bitch, just nasty.But it's coming back around on her , hope she is exposed and John might redeem some integrity. I'm sure he is no angel and he is just an another actor to me, but I don't like people being set up for money etc, and the real bully is looking like roses. It's not right.",Ben London,0,2020-02-22T05:49:53Z
12,UgxZMZtY8YSdaAICY8R4AaABAg,these two clowns presenting make me laugh. pair of creeps. in fairness i blame the parents. raised by fred and rose west types,sean Burke,0,2020-02-19T13:35:42Z
13,UgzHsGdUpNNmipezyod4AaABAg,If she was abused she would have never jumped right into another relationship. Ask anyone that's been abused.,A _Texan,3,2020-02-17T07:58:23Z
14,UgwvPSvBoSl_VWLl7c94AaABAg,I started my research into this case with you guys TMZ and it's where I got a good deal of info to look into things to research ect in regards to this case I have ask when are you gonna cover the audio of Amber admitting abuse?  Or have you lost your balls?,Blue,0,2020-02-17T02:52:30Z
15,Ugy54k-mel-PYC7c5tZ4AaABAg,She's fucking scared 💩less because she knows she fucking lied throughout all this,Lindsey Depp,0,2020-02-14T01:56:36Z
16,UgxekTEXhdR7dWFqePd4AaABAg,Feb .2020 hahaha Amber go to hell,grace alex,0,2020-02-12T12:36:15Z
17,Ugy5lTfUFkgWLwjxriF4AaABAg,"😡 I wish I knew who she was,  in the begining after I watched drive angry,  omg she was in that movie. 🤢🤢🤢🤢🤢",amazing 22,0,2020-02-09T10:25:55Z
18,UgwSOwrkRIZQd_fVguh4AaABAg,"she hurted Johnny's heart, 😞  Amber never loved him she only cares about his money,  that is not a true love.",amazing 22,4,2020-02-08T23:21:10Z
19,UgxhtTBF5bhnVeJIl094AaABAg,TRASH!!!! FUCK tmz!🖕🖕🖕🖕,me,3,2020-02-06T07:49:54Z
20,UgwL6MMUfXgeegMZRnF4AaABAg,attention whore seeker,amazing 22,3,2020-02-05T06:09:49Z
21,UgzNvamM0c2B9aqQAc14AaABAg,😥 Amber gold digger hooker,amazing 22,2,2020-02-05T06:04:37Z
22,UgyYntsKA_ggsUYk7IV4AaABAg,He's better off without her . She is an abusive person.,Theresa Santucci,1,2019-09-13T16:06:16Z
23,UgwCdCOKJZBgHXdqwhR4AaABAg,Amber lies and has been abusive to Johnny and has tried to set him up! Go Johnny! He is suing her for her lies and psycho behavior!!!!,S S,4,2019-06-23T13:56:10Z
24,UgygH11POUcIt72Mk054AaABAg,Amber is the Abuser.,Lisa Lotwin,2,2019-03-24T23:15:34Z
25,UgwkC8dKCN0GaeuufYB4AaABAg,"She ,he she,he you mean the lawyers said.",Jills Mcfarland,0,2019-01-12T23:22:29Z
26,UgwTDLrr6lhdh50sn0J4AaABAg,Im team johnny all the way. She is such a vicious person and you can tell she is lying,catalina ignat,4,2019-01-01T22:15:38Z
27,UgyHPFcPd78PeOpcERd4AaABAg,"Lie about one thing, all the easier lying about another.  She is not being truthful because in her situation she is not dependent on him to survive and there are no children so why, if she is fearful of his temper, did she marry him....???",Carolyn Diedrich,1,2018-12-31T07:28:19Z
28,UgwxyVXNm58hSbhHssp4AaABAg,"This is all bull shit. Idk who she is I like Jinny’s movies but don’t fallow him in any other way. But let’s be honest they are movie stars and have money, tmz reported that right after they married Jonny was drunk throwing things yelling and acting crazy. But she didn’t leave? I understand people are n love, victims are scared, he might have even apologized after but let’s been honest she has money (her own or his bc they are married) if things were as scary and crazy as she wants us to believe where’s her body guards? Yes I know they say there were two standing outside during a fight but I would think if all this crazy was going on in 15months they were together she would have left or had someone with her. So yes in my opinion I believe he never hit her. That’s a shame on her for saying so. People fight in relationships that’s all there is to it.But for her to say he hit me on different accounts or threw stuff,in my opinion she is lying and she’s wants money.",erika senter,1,2018-12-28T23:59:27Z
29,UgyzteK0EZFEBixjUiN4AaABAg,she is a sociopath.,Sara Sara,1,2018-11-04T08:45:05Z
30,UgwXP1HuYCeM_djHd4Z4AaABAg,if he didnt want it to come to light he wouldnt be fighting so hard i think she was hoping for the settlement and he wants the truth out there because she is ruining his rep with an abuse allegation and i know there are those who reply back that he doesnt have a rep but he does cause anytime he has ever been asked about stuff he did he never lied and said he didnt he answered honestly so my take on this with how vocal he is being about he didnt do it is she lied and he really didnt do it so my response to any reply i might get is go over all his past interviews when he was arrested for trashing the hotel the drugs the alcohol all of it he always been straight up honest about it even the billboard he vandalized which he didnt have to spill but did take it into consideration that the man is honest then look at all of this again in that light and you will see it differently also speaking as someone who has been abused i recognize an abuser and a victim for what they are,Blue,1,2018-11-01T19:05:31Z
31,UgxZlq1HVnpC9jVw-BZ4AaABAg,Fuck you!!  Ambitch!,joanne carreon,1,2018-10-13T13:16:36Z
32,UgzFPq8uxMwaeP7UgeZ4AaABAg,then he's making a point to threaten Trump the president of USA! WTF you know he's got the same PROBLEM as Ben Aflac!,Daniel Vargo,0,2018-09-21T05:48:13Z
33,UgyXa98nLIjoOIsKZzd4AaABAg,"he probably got drunk and Amber is a Texas girl,, that won't tolerate him getting DRUNK ! he shit the bed while he was drunk sleeping WTF 😕?? everyone BECOMES a problem when it comes to too much alcohol!😕😒",Daniel Vargo,0,2018-09-21T05:46:22Z
34,Ugyk1unZ44hH4QFT5yR4AaABAg,I think Johnny is the victum here !! I think she is just after his money and she is a huge liar !,Retha Moore,2,2018-09-17T00:05:53Z
35,UgwCh6L3mVgJahIp9Wt4AaABAg,Wow!!!!!,Tina Gardner,0,2018-09-15T20:26:26Z
36,UgwjXLSa469Ho1KbbgJ4AaABAg,"If the baby mama and girlfriend of almost 20 years is calling BS, then I don’t believe it",RealTakerslady,1,2018-09-02T21:43:33Z
37,Ugwp7TPKRlwDsUbrjCt4AaABAg,"Her was married to Vanessa for many many years,  they are best friends... this bitch ...here. Hope she gets hers!!!",Jojo M,1,2018-08-30T02:21:18Z
