,id,comment,author,likecount,publishedAt
0,Ugy_zXZmnOTjgKb2hsN4AaABAg,Yet Warner Bros keeps rewarding this psychopath.,INGSOC,0,2021-09-12T01:23:00Z
1,UgwWSY4SKz7nXuL9h0l4AaABAg,I'm pretty certain this video title has a typo ie 5 instead of 50000 lol,Alexandra Popovic,0,2021-01-29T22:03:12Z
2,UgysZ7_WNOdtu9CcA194AaABAg,I didn't come here for Kanye West...,Megan Ashley,0,2021-01-28T16:06:35Z
3,UgwU3M0lnbFtKrM0iPh4AaABAg,"More people were killed in the name of God than anything else? The Crusades & Spanish Inquisition along with a few others that I may not know of. The black plaque killed 25 million people. And nothing I know about in history from Christians to Catholic’s. Comes even close. So their you go, that’s not true.",Michael Macatfate,0,2021-01-27T02:50:38Z
4,UgwHIfAipOH2wGgWlGd4AaABAg,"Depp had sued The Sun's publisher News Group Newspapers (NGN) and the author of the article over claims he was violent to ex-wife Amber Heard during their volatile two-year marriage.
During the libel case hearing, Judge Andrew Nichol noted Heard's kind gesture and said that it was far from what a ""gold-digger"" would do.
""Her donation of the $7 million to charity is hardly the act one would expect of a gold-digger,"" the judge said.

Now caught in a new lie, oops... no 7 million donated... just pledged... but you told the world you did Amber... damn...liar.

#JusticeforJohnnyDepp",KC,0,2021-01-14T15:11:37Z
5,Ugw1v9CHZQC23v1gDlR4AaABAg,She's a terrible person AND actress,Zie M.,1,2020-12-01T23:51:48Z
6,UgwtPUQd64ZPxZjnKNd4AaABAg,"Not really sure why this host had to attack religious people and call their God an imaginary friend who lives in the sky??!!?? Not cool, I am so disappointed that this was posted!",Victoria Phillips,0,2020-10-17T16:35:27Z
7,UgxgRKqSa94zXrs1X5x4AaABAg,The issue with the dogs not being issued was bullshit. That’s some stupid shit to get in trouble for.,Yikko,0,2020-10-01T16:29:07Z
8,UgyoE4ggx2TLIbKYa2R4AaABAg,Beauty privilege exists and Amber Heard is proof.,Yikko,0,2020-10-01T16:27:53Z
9,UgyY-2HKpkMPte8CkeV4AaABAg,"I did enjoy this movie a looot. Thx, good job 👍",Kate Vernile,0,2020-09-30T21:03:37Z
10,Ugyl0Qjlki50gwLzY0t4AaABAg,Anyone who's ever broken something or had a black eye knows the amount of swelling that happens in the area of the injury.  3:54  Zero swelling. Makeup can't hide that. 👏👏👏,ENK,1,2020-09-29T22:50:45Z
11,UgwjtovNNQQPBmi0OiR4AaABAg,in sickness and in health kim......,Laura Kennedy,0,2020-09-28T01:38:14Z
12,Ugw_IfHMAQPbOQu2hkF4AaABAg,"Deceitful and evil act
#justiceforjohnnydepp",k. _nf,0,2020-09-27T14:15:05Z
13,UgwcN2vWZLtGtl0lujx4AaABAg,"""Imaginary friend in the sky"".... super disrespectful omg. 
No you cant blame anyone or anything for your actions I 10000000000% agree with you but dont go disrespecting peoples religion in the process of getting that point across. People are so quick to say things like ""sHe IdEnTiFys As A sHe So ItS a ShE"" ""rEsPeCt ThE pRoNoUnS"" yet dont think twice about disrespecting peoples religions. You've mentioned JK Rowling in your picks regarding her tasteless opinion on trans and gender yet look at you disrespecting peoples religion like that with that ""imaginary friend in the sky"" bs",Jessica Richardson,0,2020-09-25T11:18:11Z
14,UgyHiywTSMdit-JVQ-d4AaABAg,3:15 that is def make up!!,Jessica Richardson,0,2020-09-25T11:12:31Z
15,Ugy_mMXKSpVDBhDYpml4AaABAg,"I subscribed , please keep supporting JohnnyDepp",Shashwat Mahindroo,0,2020-09-24T23:18:58Z
16,Ugx1RSm-G8UlwiO2f8F4AaABAg,Maybe we can expect a part 2. LOL,Sky Maceda,0,2020-09-24T21:06:34Z
17,UgyuiL1fgN-BtX7Cjz54AaABAg,mental wealth,Laura Kennedy,0,2020-09-24T13:56:31Z
18,UgyjYSdd__KKdeP5k4l4AaABAg,Eeeww she pooed on bed😩😩🤢🤢🤮🤮🤮,BeyT Draws,0,2020-09-23T09:36:28Z
19,UgyzGhU2veOkYJaE0dd4AaABAg,"She is a scam and liar, but for her all Johnny’s fans are bots... what a idiot",Laura Sequeira,0,2020-09-22T10:56:54Z
20,UgwZTROl43W749zMhLJ4AaABAg,Never heard of this lady before until now,Carlos Venegas,0,2020-09-22T09:59:06Z
21,UgxxmMdEOhVdobxTE-N4AaABAg,I knew she was lying from the gate,Janinia Wilson,0,2020-09-21T21:29:52Z
22,UgzrC-HQbCBDCDpTCBR4AaABAg,"How did we go from Amber Heard to bagging on religious people and religion. ✌️Peace out brother, 5:17 was as far as I made it.",Bearly Country,0,2020-09-20T19:40:03Z
23,UgxY3brEC95e3xeb91N4AaABAg,#justiceforjohnny,unicornzNbeez,1,2020-09-19T14:27:03Z
24,Ugz-PD0aqVup1RoN-k54AaABAg,She even isn't that pretty and it's all perfected by surgery...it's not natural beauty........I don't know why people act like she's a goddess.....,unicornzNbeez,1,2020-09-19T14:23:23Z
