,id,comment,author,likecount,publishedAt
0,UgyFKoWx7iyQDRmYHot4AaABAg,The is a God cause he created Johnny Depp!!!,M Tiny Pape,0,2021-11-05T03:43:30Z
1,UgxgaclFFhP0MLPmL894AaABAg,"amber, stick that in your pipe and smoke it !!!",Michele Vause,1,2021-04-08T02:33:37Z
2,Ugzy3zaioFUopSL4Ff14AaABAg,AH s main aim was to get verbal and physical abuse from JD and peopke around him. She had a very malevolent plan which is obvious to many. So many people are on JD s side... It will be very hard to take in if he loses in court.,Roshi Yousefi,0,2021-02-14T19:32:02Z
3,UgyyClRiL-BVZxbBw0l4AaABAg,"Just dont let her be an active actress anymore,she can go to brazzers or digital playground etc i dont mind",LoC0 Corp.,0,2020-08-17T13:27:16Z
4,UgyKQHW-EZWmbIkfpgR4AaABAg,:Fun Fact: Emanuel Swedenborg was actually born in Sweden. Download his latest book “Heaven & Hell” for free at swedenborg.com. You no it makes NO cents.,Paul Manning,0,2020-08-15T09:45:59Z
5,UgxQgvIpglR23IEuIMl4AaABAg,Amber Heard is a lair and a manipulator!!!💯 And we never liked her anyways!!,Derick spawn,1,2020-08-10T05:12:41Z
6,UgxvZXGmzYeuxAn55hh4AaABAg,I will never watch anything with AMBER HEARD !!!!! She files for divorce 2 days after his other died she’s a gold digger monster,Jaiden TV,1,2020-08-06T20:15:14Z
7,UgzFSqxj7yMtT7q6F5x4AaABAg,Is Johnny Depp gay now? Not that that’s a problem. Course. I just didn’t know,Franz Bazar,0,2020-08-04T05:07:23Z
8,Ugx6dDIwQM_vNL0erbB4AaABAg,Amber Heard tried to steal Johnny Depps fortune and it backfired.,Casey Bettis,1,2020-08-02T21:27:55Z
9,Ugx_H4Weq2en50UoKo14AaABAg,Amber is an example of greedy woman,Alyssa D Morales,1,2020-07-28T09:02:58Z
10,UgzloNeGzoR9L0fdXE94AaABAg,What if it turns out Johnny Depp was never abusive towards anyone but he was responsible for his business partner disappearing lol,Persian fighter,0,2020-07-27T12:59:05Z
11,UgyK0KLw40E-O7em8gh4AaABAg,What the PI found out about JP is probably one of the reasons why this situation happened - JP is a v kind hearted man - which unfortunately for him was to his detriment - other men would have kicked her out at the first sign of her abusive behavior - he didn't and it continued - ( you can hear the concern in his voice for her many times ),Mr Martin,0,2020-07-24T05:57:14Z
12,UgyjWO764GvbfGzA4Nl4AaABAg,Jonny may not be perfect.. but who is. But Amber is the lowest of the low,Josh Jackzone,1,2020-07-23T21:05:03Z
13,Ugy2AABA0psyQ5pnOgl4AaABAg,I think she is jealous of him and his career,Little Eddie,0,2020-07-22T06:43:44Z
14,UgxUK63qHoj2rGKKeKZ4AaABAg,0:26,lightningsmokerXx,0,2020-07-11T07:58:15Z
15,UgxWp9eGOt1AED19U_Z4AaABAg,How does such a evil person still have 3.9 million followers on Instagram...hopefully the trial ends with her serving a jail sentence,Damien,0,2020-07-08T14:24:04Z
16,UgwdYundhEBtaC0Zg2l4AaABAg,"Why is everyone ignoring the dv from the 90s when Johnny, involved in a fight with his then gf Kate Moss, trashed an entire hotel room out of rage?",heather bee,0,2020-07-01T15:48:55Z
17,UgwoH-STwDzWK0ERJLN4AaABAg,I didnt even know who amber heard is 😅now i wished i never did she is a pathetic excuse for a woman shame on her playing the victim of domestic violence while there women who is really being abused everyday by their supposed lover😒😠😠😤,Jasmine Raines,1,2020-07-01T04:58:42Z
