,id,comment,author,likecount,publishedAt
0,UgzX3jvXpq2Uhr87UKF4AaABAg,It's sad she never realizes that he love her for real. She shouldn't do what she did.,Nirmani Wickramanayake,0,2021-10-08T20:48:11Z
1,UgwXa5-bJA1Zl6bjOfh4AaABAg,Johnny Depp treated her like a queen and she paid him back with evil,Judy Salinas,0,2021-04-16T19:04:50Z
2,UgzWe6kDEF4yYsiO0Xd4AaABAg,"She looks so happy and cute... it's crazy when you imagine that this is the same person who apparently abused her husband.
But look at Johnny how happy he is about her happiness. Proof that he genuinely cared about her and loved her, unlike the stuff Amber tells now about him hating her all along in the depth of his heart blah blah blah",Maria,1,2021-04-06T18:11:29Z
3,UgxwvArvLwfquk7iMWx4AaABAg,She’s so fake I can’t,Grace Griffin,0,2021-04-02T01:46:39Z
4,Ugyuj8R_vSzRqqNetCF4AaABAg,Amber : thought Johnny abused you so much that he never let you drive...hmmm...It's like she doesn't even think through her lies at all.,Rock Candy,2,2021-03-28T03:30:48Z
5,UgyN71pjJldvdpqkDP54AaABAg,Poor Johnny. He did everything just to make this b**** happy.,Fangirl Tantrums,0,2021-02-19T13:45:13Z
6,UgzsQcoSbmK3L0yziJp4AaABAg,"What a terrible man JD is, he banned  Amber to drive her car after going above and beyond to get her an amazing upgraded car. Go on Amber, we are all seeing how your lies start falling apart, it's hard to keep one lie but the amount of lies you told is caughting up with you",Natalia Castro,3,2021-01-08T06:23:59Z
7,Ugxcxy1P-REyHr-Dg-B4AaABAg,Aww love her,etuna TV,0,2021-01-06T17:30:15Z
8,UgxcG7d1n97S50cta0d4AaABAg,Shes pretty but ugly on the inside,Noxie Nay,0,2020-11-14T14:28:17Z
9,UgwOy9-PFiV_JQHXlYp4AaABAg,#justoceForJohnny,Helaine du Plessis,1,2020-11-09T23:16:23Z
10,UgxOldQC3Tq9x9yGAM54AaABAg,Don't poop on the seat Amber! :D,gravityhammer25,5,2020-10-23T18:48:30Z
11,UgyV38TZ6H99m_F1CU14AaABAg,Shes going to claim the car hit her!,mashermancan,0,2020-10-15T20:00:39Z
12,UgzwXz7BsjNJHqjOO2t4AaABAg,She got her karma early...the car from Christine.,Elizabeth Lind,0,2020-09-07T04:25:09Z
13,UgyG57oyJjsBPHQhB3R4AaABAg,Crazy ass liar,Mamma Bear,0,2020-07-30T21:58:27Z
14,Ugytp0KcYzHQhgLX3AR4AaABAg,How the fuck did she become an actor,Dio Brando,0,2020-07-28T00:31:23Z
15,UgzZrPUzCxw3pAuwhaV4AaABAg,What a waste of an episode on this bitch. They previously wasted another episode on that douchebag Lance Armstrong. Those builds could have gone to people that were worthy of accepting them.,edwoll77,0,2020-07-23T22:46:53Z
16,Ugwy8uVuxdxk35zS3xZ4AaABAg,"This is how an alien would act after only studying human emotions for a week, but then again this is the typical way NARCISSIST act out emotions, usually over the top and quite awkward and cringeworthy",Annice Brown,3,2020-07-21T17:43:11Z
17,Ugz6BT5U8wqMoyY1l4F4AaABAg,Amber who? 🤷‍♀️ I only know THE💩 girl,Gianina아미,6,2020-07-18T19:41:24Z
18,UgyPHERflySh1azasw14AaABAg,Ignoring everything she did for a moment...I just want to say that she looks beautiful 😍,Roy,2,2020-07-18T14:13:46Z
19,Ugzs1Z7-xEPb_pVqKcl4AaABAg,She’s bad at acting lol,Nicole,6,2020-07-18T08:54:52Z
20,UgwdUkFaH0bI8VktDJh4AaABAg,This dont even deserve the viewing,Donna,1,2020-07-17T14:29:58Z
21,UgzrSydIvOG6_I-cdI54AaABAg,".. and later, she left a little surprise for Johnny..💩",Fred LA MANNA,0,2020-07-17T13:31:46Z
22,UgyZ0CuSdHNv3kNvSmB4AaABAg,Nice looking Turd Mobile.,Nick V,1,2020-07-17T00:44:54Z
23,UgzVl94NJNknNn_qgct4AaABAg,Just hope she never crapped in the car 💩,RexLexus,0,2020-07-16T19:09:29Z
24,UgxWI_4f5u3gTUBVaz14AaABAg,🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,Val flores Valdez,0,2020-07-16T14:20:51Z
25,Ugx9tB7n55gUvXFYA1h4AaABAg,"Abuse or no abuse, Depp must've had some good times in that same poop bed before it all went down - like it does.",Hamza Malik,0,2020-07-16T11:47:51Z
26,UgwOFifTZxeQUJaw2-t4AaABAg,What a liar Amber Turd,Pat B,2,2020-07-15T20:50:32Z
27,Ugy-WNqb50AetzMjcYR4AaABAg,I hope she loses the car too.,Duesal Bladesinger,3,2020-07-14T19:16:26Z
28,UgwifP1i8o-BEEbVoPd4AaABAg,The way Johnny is watching her reaction is adorable. If only he knew the shit she was about to do to him... And the fact that she’s still driving that car says it all. Would you drive a car your abuser customized for you? Johnny doesn’t deserve this.,Ilona Wind,53,2020-07-14T14:25:30Z
29,UgyvpSO7Gqb1aYCsRjl4AaABAg,God this Bitch is SO FAKE!!!! 😒😒😒,Nina Roxx,1,2020-07-14T07:04:26Z
30,UgycUpBNvM6QqKx48S54AaABAg,#Mepoo Movement 💩💩💩💩,robert wilson,1,2020-07-13T06:22:45Z
31,UgzH4xjxG2YwAT9LMKZ4AaABAg,I really dislike her.,Sand Bocs,33,2020-07-13T01:33:45Z
32,UgykWx2Qa1FBqW6tLZR4AaABAg,Even her joy is fake..,John Hooper,2,2020-07-12T08:40:30Z
33,Ugxipd7SYh__GlgAnvF4AaABAg,Her name is Amber Turd now because she likes to poop on beds,Fiora,1,2020-07-12T04:47:54Z
34,UgxKVRyFIaPDJk5rtRt4AaABAg,Can you imagine making out with this beauty in that car x,A Kumar,0,2020-07-11T23:43:55Z
35,UgynOqRVr9rNOh8hvK14AaABAg,It seems like she didn’t liked the color. At home she might have screamed: “You know I HATE red cars!”,Luca Lutgens,64,2020-07-08T14:27:14Z
36,UgxgEoePzrQLBsNSg3N4AaABAg,Amber's nails match her car's paint job.. is the dark hair lady acting jealous of Amber?,Vigilante,0,2020-06-28T14:38:55Z
37,UgwRXPN4eHeuDrdgPIN4AaABAg,"0:15 The girl in the brown blouse couldn't hide her envy...",eddroga,6,2020-06-25T14:53:24Z
38,UgzszT5Bkh-J-WWbPrl4AaABAg,psyco reaction,bayu sasongko,2,2020-06-20T16:29:43Z
39,Ugx3vBHrOanVN2PV7h54AaABAg,I bet Johnny paid for it,Lilly Dunno,8,2020-06-13T16:29:25Z
40,UgwURwP67hGxo3VXPLt4AaABAg,"She never deserved it! Hoax queen , out to destroy the one gentle kind hearted person that did this for her , crazy sick witch, karma comes in many ways ..can't wait to see what is in store for her as pay back!!  # Justice for Johnny!",Tammy Shoemaker,17,2020-05-31T14:33:56Z
41,UgzoC5OMZOjCTR1_sa14AaABAg,"Yea, we've all learned about the ""marks"" in this episode but I can't take away the fact that this is possibly the most goregous Stang I've ever seen. Shocker that Foose is the one behind it.",BOEINGNUT,0,2020-05-31T01:08:17Z
42,UgzWBneVRy440hQup_B4AaABAg,this shows that she's a materialistic bitch who just wants money from Johnny,lilirose,0,2020-05-30T13:18:37Z
43,UgxhBneGA46WGAdHxRZ4AaABAg,She's a rude ugly bitch.,Frank Mata,0,2020-05-29T00:19:13Z
44,UgwJJDbU1oWeIFxjfeV4AaABAg,Look at the way he was smiling at her reaction,Nisrine,9,2020-05-28T17:42:26Z
45,Ugxui3XVpgop2FaDWY94AaABAg,Ark.,Prunelle,0,2020-05-15T00:18:02Z
46,Ugw_HNg1MijsODe8fXt4AaABAg,Amber ❤️❤️❤️❤️,W K,0,2020-05-13T12:10:13Z
47,Ugyie_KK_HeqrWRCoMh4AaABAg,FAKEY AMBEY HEADIEY,Krasivaya Maria,0,2020-04-23T03:47:51Z
48,UgyAfelsNjlNRUgx9OR4AaABAg,Johnny is so happy for her lol... -_-  fuck her,Kate Lin,0,2020-04-11T06:15:48Z
