,id,comment,author,likecount,publishedAt
0,Ugy7IYQDRNFQKaDzi3d4AaABAg,Hilarious that you left her. 🤣,Nancy Gibson,0,2021-10-05T14:58:51Z
1,Ugz9mrS0R0WldyO3tUZ4AaABAg,"Did she lose it like she did here in overhauled? 
https://youtu.be/AP3iXlwzNoo",Silvio.R,1,2021-08-08T10:35:39Z
2,Ugxg4uV8mbRu4ASltk94AaABAg,Hahahahahah,The Court Of Public Opinion,1,2021-07-22T04:46:02Z
3,Ugzl5hGyZPmGkijzI5p4AaABAg,"Can’t believe you really go around mocking a victim like this, seriously. Why would you do this. You’re honestly so rude for the Johnny comments you made. Her girlfriend, Bianca btw is battling cancer. Might be why she looks a little tired. But doesn’t mean she looks like druggie Depp.",Mandy Lively,0,2021-07-06T01:21:04Z
4,Ugw8b1d-NInajL_Ik5Z4AaABAg,😂🤣😂😍,Ghetto Queens & Is,0,2021-07-03T01:23:52Z
5,UgxKe11JIypNmGCxIY14AaABAg,I think raven trolling notoriously horrible celebrities is a solid pitch for a new show.,The Hoarded Grotto,3,2021-07-02T02:14:31Z
6,Ugw1HtI_26cIJWiJH254AaABAg,She was pregnant . Omg 😳 I’m sure you guys didn’t know 😂,Chanelle Gomez,0,2021-07-02T00:13:56Z
7,UgyxB6X7n8faOVkmV9p4AaABAg,I knew she was lesbian but she’s not out bc or her career,Lovely & Untitled,0,2021-07-01T00:40:31Z
8,UgzJo1Rna4aG9vtAchV4AaABAg,"Yeah, I'm sorry. I know you from more shit than I know AH. I only found out who she was by her being Johnny's wife. I actually grew up watching you. I'm 27 and canadian. So you tell me who's more famous. Much love Raven.",Nick Foreman,0,2021-06-23T16:24:39Z
9,UgxOKfxRwi2HQ90zYSx4AaABAg,Awwww ... the pictures are gorgeous!!!!!!!!,Deelifull,0,2021-06-23T13:26:06Z
10,UgyKIQeH_NJNL18AhKR4AaABAg,i had to google the gf and damn she does like look johnny,Fern Fernis Fernie,1,2021-06-21T03:40:21Z
11,Ugwi5VN8yinLSx_BZ1p4AaABAg,So I must be the only one who didn't know who this person was.,Just 1 Me,1,2021-06-19T15:14:58Z
12,UgwyufOMMRtWZqbFBKJ4AaABAg,"Dude, that's so Raven 😁",Daryl Dixon,0,2021-06-17T00:11:21Z
13,UgyFS169GP42OXGXTF54AaABAg,Wow Amber Turd must have been feeling pretty good after she got to take her picture with an Actual Celebrity Raven Symone,HelloItsYou,1,2021-06-12T21:48:07Z
14,Ugyj-mKXJKDLgtnprI54AaABAg,AMBER TURD !,HelloItsYou,1,2021-06-12T21:41:38Z
15,UgydSon1yoIFVf7TbgR4AaABAg,"I didn't know Raven was gay, my mind is blown 💫",Christianna Taylor,0,2021-06-12T21:25:27Z
16,UgxGzo7-bVf0YQxGhhF4AaABAg,Raven is so pretty,Bobbi,0,2021-06-12T19:47:08Z
17,Ugy0fXzhkwHEg89ly9Z4AaABAg,Amber heard is disgusting,Bobbi,2,2021-06-12T19:44:43Z
18,UgyQ8eSQZhBTcCGkv6R4AaABAg,You an your vlog channel is Raven’s Vlogs,Paganini Hyppolite,0,2021-06-10T23:41:56Z
19,UgyGbBPA1dFSq7hzwZZ4AaABAg,Omg this story was hysterical!!!! Love you guys!!!,LunchWithLisa 2000,1,2021-06-10T00:02:09Z
20,UgzFQPkLiwYqu-k8btl4AaABAg,How in THEE world does she NOT know who raven symone in tf?...nah she playin...,Ari Amore,0,2021-06-08T13:56:04Z
21,UgyU-kknvF_eZDLpsOh4AaABAg,How did she not know who Raven was!? I didn’t even know her name until the picture was shown lol Raven is freaking awesome!!! Amber should feel lucky to get a picture!,Shay Lynn,1,2021-06-07T13:27:38Z
22,Ugy2C2T3O-bp0MKpraV4AaABAg,Wow! Gotta give you two a thumbs up! I can't believe that Amber Heard didn't recognize Raven Symone as you are only one of the biggest celebrities ever as you've been on television FOREVER! lol... gotta be kidding. :),Lisa Crowe,0,2021-06-07T06:07:36Z
23,UgxAl-cm0ERVysNJHp14AaABAg,"YOU ARE GIVING ME LIFE, how have I not known about your YT til now. & your wife is 🔥 gorgeous in a bun & hoodie OMFG! YASSS 💁🏼‍♀️🙋🏼‍♀️",Hugh Mad Bro,0,2021-06-03T17:40:25Z
24,UgyzfOy7obG8rQ_SHYJ4AaABAg,"There are so many abuse men in the world and people don’t care. As soon as a women is verbally abuse...omg call the cops. Y’all shut up! I love Amber Heard! I love Raven and Miranda too! If I saw Amber, I would want a picture and an autograph.",Fight Fear,0,2021-06-01T14:22:55Z
25,Ugw08vqW8nq_qa1gy2x4AaABAg,God don’t like ugly ::sips tea:::,V C,0,2021-05-30T14:30:59Z
26,UgzGZzuU6eri_QqCe9p4AaABAg,😩😂😂😂😂,Bri Nacole,0,2021-05-29T03:53:00Z
27,UgxlX9kRyAT6SlIxuE14AaABAg,Amber doesn’t know who raven Simone is really lol I doubt that,dillon cardiel,0,2021-05-26T02:08:11Z
28,UgyqElrMJb1zCwdK2D54AaABAg,Lmfao raven not giving any fucks😹,dillon cardiel,0,2021-05-26T02:05:53Z
29,Ugw5dG_Cc_cDRhhL5m54AaABAg,💯,Valerie Moorer,0,2021-05-23T22:23:11Z
30,UgygvfMQ3Uz0CR-iBGF4AaABAg,"I'm sorry but, this is so funny to me! I might have peed myself a little. Time to change. I of course had to subscribe. Hugs and love to all.",Monica Kraut,0,2021-05-22T17:10:05Z
31,Ugxr3fNth1R510SSCtN4AaABAg,"I'm so shocked that she didnt know who you are, I'm from the UK and would recognise you so how the heck didnt she?!?!?! 🤦🏼‍♀️🤷🏼‍♀️",Kelly Robinson,0,2021-05-21T23:57:27Z
32,UgyU39MsmIrRYnaSygt4AaABAg,Omg yay!!!,LifeEatsWithTMichelle,0,2021-05-19T23:25:39Z
33,UgyQCbNi_4MRooZ2yIV4AaABAg,dead 😂😂 i love you guys OMG my new fav youtube channel 😊,Brittany Star,0,2021-05-19T20:50:06Z
34,UgwlS0k_EVmhwZfug8B4AaABAg,😂😂,Laura Cisneros,0,2021-05-19T19:52:13Z
35,UgzkxrLSkbR_GNBOXFN4AaABAg,P.S need the recipe for the keto ranch please!!,Ba W,0,2021-05-19T14:32:02Z
36,UgxCZvc3JwevnDBcaLF4AaABAg,So hilarious this was everything!,Ba W,0,2021-05-19T14:30:58Z
37,UgzKOw9Y2OXIbmGeIgN4AaABAg,I just saw that you was on Nik channel... I came right on over... 💖💖,Sweet N' Lowe Love,0,2021-05-18T22:21:21Z
38,UgwBh9ANmccspQVJwJJ4AaABAg,raven you are so beautiful!!!!!,The Wanderer 2032,0,2021-05-18T21:31:42Z
39,UgzCol8qy2wBbhz23Cp4AaABAg,Back when you used to play on the Cosby show i would like when you came around and it made me smile so that is the reason i like raven,Cody,0,2021-05-17T22:25:11Z
40,UgyE8x0uCNNmhIDhvXN4AaABAg,Raven is a A list celebrity something Amber wishes to be 🤣,Allison Hunt,2,2021-05-17T18:57:35Z
41,Ugy3S2-qCxLv0JpJjKd4AaABAg,why do they sound like karens?;-;,the_roblox_puppy_ gamer,1,2021-05-17T11:46:29Z
42,UgxKGUVVNmAOM8WVorJ4AaABAg,trash human being. i grew up watching you on the tele and now i regret it. garbage.,Derek The Seagull,0,2021-05-17T00:19:07Z
43,UgxyNKbRpsB6bJymMot4AaABAg,Who is Amber Heard? 😂👌👍❤️🔥,Vivian Hernandez,4,2021-05-15T23:43:23Z
44,UgyuTHBuOFXuslIPVwV4AaABAg,"The whole video I was so confused because I didn't understand any of the references and then when you showed the picture it clicked, I was thinking of Amber Rose the whole time.",RyanVee,0,2021-05-14T10:16:07Z
45,Ugya7Py7MbDRLBoHY2F4AaABAg,The fact that Raven bounced out as fast as she could when AH got locked out of her car is priceless! #amberheardisanabuser,Shaela Williams,6,2021-05-13T05:16:27Z
46,Ugz6nSVecIlYxlmB5cl4AaABAg,Just now discovered you have a YouTube channel with your wife. 🤗,Hannah Phillips,0,2021-05-12T21:02:05Z
47,Ugzo_ktrqmnrA8q10jh4AaABAg,Idk why but for unknown reason my dumb self thought of the girl from that's so raven,thomas the dank engine,0,2021-05-11T03:48:20Z
48,Ugwf3oXu97uAjl0fZQx4AaABAg,So-o-o funny Raven!,Kari Huitt,1,2021-05-10T22:31:30Z
49,UgxZ7JK2bgAdlIoKrSh4AaABAg,Toxic feminity at its best,Vixen,0,2021-05-10T20:59:21Z
50,Ugxe9M3lQrbAcZp5XfV4AaABAg,Lmaoo what is she gonna do? Blast water in your car until you drown? 🤣,Nightmeow on Elm Street,0,2021-05-07T22:15:38Z
51,UgxCksy601t3IyGhRjt4AaABAg,Lollll y’all are shadyyyyyyy I love it!,Niko Walkes,0,2021-05-06T03:17:43Z
52,Ugyty67GEips5YSzJWV4AaABAg,"Raven: You are so mean. You posted a false story about Amber, made her nervous to get locked out a car (without ANY proof of your entire story). Why are you such a horrible person?",Christina Taft,1,2021-05-05T22:20:17Z
53,Ugx-ZUYCxqHAqsdyQVx4AaABAg,"Raven: You are so mean. You posted a false story about Amber, made her nervous to get locked out a car (without ANY proof of your entire story). Why are you such a horrible person?",Christina Taft,1,2021-05-05T22:19:57Z
54,Ugwt_0sp592SOoCnJ2d4AaABAg,"You are so mean. You posted a false story about Amber, made her nervous to get locked out a car (without ANY proof of your entire story). Why are you such a horrible person?

Stop acting like this is high school and get a life. Amber has to deal with people against women's rights. You're just mean, that's it.",Christina Taft,1,2021-05-05T22:19:27Z
55,UgwOx2Hb-jREFB3i_F94AaABAg,"You are so mean. You posted a false story about Amber, made her nervous to get locked out a car (without ANY proof of your entire story). Why are you such a horrible person?",Christina Taft,1,2021-05-05T21:47:56Z
56,Ugwo2UyFZOB30c7vOaN4AaABAg,"+10,000 clout points for Raven Simone.",jason good,0,2021-05-05T21:24:12Z
57,Ugw0xBSFiqtCLyzoKrp4AaABAg,I just watched Nikocado’s mukbang with you again and he linked this video saying it was ya’lls collab but it’s not here?!? Why did he link this video and where is your collab with him?,Laural Fitzpatrick,0,2021-05-05T21:04:40Z
58,UgxskMdpqvVO5YIBJ4N4AaABAg,"Bruh you collabed with Nick, your channel is gonna die so fast",Bam Brenda,1,2021-05-05T10:18:50Z
59,UgzenRUXPDb8I-_BFNt4AaABAg,"Raven, you have always been a star with a big personality. You're the real deal. Amber wishes she was 1/10 the person you are. Beauty (even through surgery) fades. Dumb is forever.",March Reighly,0,2021-05-05T07:15:02Z
60,UgzAtYQSQraQqkAJ9xx4AaABAg,That’s BS. Amber definitely knows who you are! Who doesn’t know Raven???,wondah black,0,2021-05-05T05:45:57Z
61,UgzDMpr1M3-m2KYlzc54AaABAg,"She was probably so excited cause she thought she had a fan, lol. That’s kind of sad but I’m not about to be sympathetic after everything that’s come out about her",Melissa Mikaelson,2,2021-05-05T02:27:27Z
62,UgwlAL0I_6zETSeUyud4AaABAg,Lol,Shannon Speed,1,2021-05-05T01:16:45Z
63,UgzCrP9SK0wjpUN9S6h4AaABAg,I cant stop watching this video 🤣😂😅😅😅,ASMR Daisy,0,2021-05-04T18:00:43Z
64,Ugxv4a0mlHDBgdXAsz14AaABAg,y’all the same age there’s no way she doesn’t know you lol,daysia,0,2021-05-04T07:53:30Z
65,UgzwUivvgFywTMkg1RF4AaABAg,She’s literally the kindest human. And even in my new book how to manifest anything on amazon.,nitish kannan,0,2021-05-04T06:29:13Z
66,Ugx18SY5NToSJwNiSpB4AaABAg,Amber heard is a good friend why you all harassing her,nitish kannan,0,2021-05-04T06:28:48Z
67,UgyV9xLPi6lwcVTr3NB4AaABAg,"I swear I remember her from like 10 years ago, and she didn't smile like that, she didn't smile at all. Also her voice was different, and her style, her personality, her face. I'm very confused.",Katya L,0,2021-05-04T05:26:27Z
