,id,comment,author,likecount,publishedAt
0,UgzmPyLaj6z-uhoHgoJ4AaABAg,">emilia clarke 
[FAN SERVICE INTENSIFIES]",Shoegaze Based Genre,0,2021-03-12T14:24:10Z
1,Ugz6hVyHDvolCjijA_d4AaABAg,such a shame she looks good in aquaman,Shoegaze Based Genre,0,2021-03-12T14:23:34Z
2,UgwdRZSMyNuyrQ3-OvR4AaABAg,"Wtf happened to this world a woman just sayed that her husband  abused her and immediately  he got fired from everything  every role without even  enough evidence and now when the woman is proven guilty  completely  why do they have to think  so much before firing a abuser why women are always treated  like they  are superior to men, there should be equality amber haerd deserves  to be fired if she's  in the movie then I'm  not gonna watch it",Sahil Sahoo,1,2021-03-10T06:20:15Z
3,UgyDcN_YAcYyfo4rcW94AaABAg,"yes
yes",GMD NOOB,0,2021-03-10T05:17:06Z
4,UgxwRlMnLrii7MHivlh4AaABAg,Good...get rid of Heard..shes garbage!!,Myke Buechele,1,2021-03-10T00:04:32Z
5,UgxpK1VxtFXAcoGAtHJ4AaABAg,Clarke is too small to play Mera. Do you know Mera is like 6'2 in the comics? Amber Turd is 5'7 & Clark is 5'2. Clark could play Dolphin 🐬 tho.,Max Riggah,0,2021-03-09T05:59:41Z
6,Ugzj8QncD5IbwEt4WjV4AaABAg,Justice for Johnny,SAMOANSTALLION1,0,2021-03-03T16:27:43Z
7,UgwmirH_y4bp2zLEbFV4AaABAg,Really hoping this is true,Michael Sheldrick,0,2021-03-02T19:49:46Z
8,UgyzkmEj2zn6kt67b4t4AaABAg,good riddence,A N,0,2021-03-01T16:34:34Z
9,UgwJ3p0XPtR6jpJH8Dt4AaABAg,Hell Yeah 💪🏽,IAmCassoo,0,2021-03-01T16:27:10Z
10,UgzJbUJxG5EeBDdPCW54AaABAg,I hope she has been replaced! You know she's a b***** just by looking at her.,Ivan Horvat,2,2021-02-28T17:46:15Z
11,UgyjanbBtygTlf8kd654AaABAg,Emilia Clarke would be the best and justified move,Abhishek Bajaj,0,2021-02-28T16:37:15Z
12,Ugw0S5WC0uqjpUjDaeB4AaABAg,Amber is actually perfect portraying Mera but after what she did to Johnny Depp i feel like i can't forgive her,Rhaïne Heart,2,2021-02-28T14:10:00Z
13,UgyXfL-AwlazbNNeTch4AaABAg,DING DONG THE WITCH IS DEAD!!,PurpleRose,0,2021-02-28T13:09:29Z
14,UgyOgDB2bvAVw83sq6d4AaABAg,Wow so many comments from men here obsessed with Amber Heard if you were Johnny Depp shoe what would you do if Amber was Abusing you,violetgurl80s,0,2021-02-28T12:32:51Z
15,Ugw-8NvRefmO7DYHO414AaABAg,Eh Amber was way hotter than Emilia Clarke so this is kinda disappointing I liked looking at Amber.,Blake,1,2021-02-28T11:07:32Z
16,UgyGkYPc33knnzSxAJd4AaABAg,Oh my Khal Droggo and my Danny sooo 😍😍😍,Rocelyn Limotan,0,2021-02-28T05:06:10Z
17,Ugzo_X2lNe04BB02aah4AaABAg,Ayyy khal and khaleesibback together 😘,CAP- PA,0,2021-02-28T05:04:34Z
18,UgxrCXTR9__6fbK7Fqd4AaABAg,"All of the dislikes are females that abuse their husbands/boyfriends and then call the cops when they finally push back, not even to harm, just so they could try to walk away.",uprizer,1,2021-02-28T03:57:48Z
19,Ugyvr3UOh-6GnqTkMcF4AaABAg,Nothing has been official.,Chadwick_4_Eveh,2,2021-02-27T22:25:22Z
20,UgzP1bWA4qrzJaG5DxZ4AaABAg,Aaa... Good,synonym,0,2021-02-27T19:31:52Z
