,id,comment,author,likecount,publishedAt
0,UgwJddHzoA6xt5fbsRB4AaABAg,"Dessa vez optei por deixar de fora os comentários do dono do video e cortei, no final só tem um pedacinho que eu já tinha legendado. É melhor com ou sem os comentários?",Alicia Scamander,54,2020-02-03T06:43:03Z
1,UgxDN9jEZzI3K4vyfjF4AaABAg,"Ela surta e o agride, ele sai de perto para que a briga não chegue em proporções maiores e para que ela também esfrie a cabeça, ela acha ruim e projeta nele a culpa do relacionamento estar um fracasso, sempre se fazendo vítima e sobrecarregada.
Ela justifica seus ataques dizendo que fica com raiva, que isso é uma atitude totalmente humana (para os desequilibrados emocionalmente, sim)
Ele já foi casado outras 2 vezes antes dela se não me engano, e teve outros relacionamentos no passado e não há relato de nenhuma das ex que ele tenha sido agressivo com elas. 
Por outro lado a Amber tem histórico de agressão a uma ex namorada.
Eu entendo completamente a situação de Johnny, já vivi algo parecido (só não houve violência física, mas psicológica teve e muito) e sei a capacidade de pessoas narcisistas e abusivas como a Amber Heard tem de inverter a culpa de seus atos para o outro e sair como coitadas da relação. 
É uma pessoa que se não reconhecer que precisa de ajuda profissional e buscar isso, vai continuar fazendo inferno na vida de quem quer que se relacione.
Infelizmente por mais que esteja provado que ele quem foi a vítima, muita gente vai insistir acusando- o dos absurdos que ela inventou. 😕",Estela Silva,0,2021-11-12T20:53:12Z
2,UgwXPrZwMQqFdaJYRZJ4AaABAg,Coitadoooo..,Ana Caroliny,0,2021-09-19T12:50:31Z
3,UgxI-IQND-V7v6xX8Pt4AaABAg,Neurótica.,Hope Less,0,2021-08-20T02:26:38Z
4,UgxQt9IYKrulbWk8bEl4AaABAg,"Caramba admiro como o Jhonny é  um bom ouvinte, é calmo e controlado, a mulher com comportamento de adolescente",Álef mr.,1,2021-08-04T18:38:22Z
5,Ugw9g9J2LqeljGNJlGp4AaABAg,Ela queria q enquanto ela batesse nele em ficasse beijando os pés dela,Delicadeza,1,2021-07-28T16:32:55Z
6,UgzxoGSYj65RP1sjdF94AaABAg,"5:28 Essa parte partiu meu coração. Não entendo direito a situação, mas acredito que ele é tão calmo e isso é uma dádiva tão rara nas pessoas. Mesmo depois dela chamar ele de covarde porque ele não quer brigar, ele ainda diz que a ama e que quer ela como esposa.",Thalia Lopes,5,2021-07-19T02:10:36Z
7,UgyXNAqWVFbyB9Oiod94AaABAg,Que mulher chata. Nem deixa ele falar. É mais facil acreditar que foi ela quem bateu nele.,Eduarda Brandt,1,2021-07-18T20:45:19Z
8,UgwsOw0rK2MjUpJDP9x4AaABAg,Nossa johnny depp e super copreensivo caraca adorei coitado se umilhou muito😊😣😥😍😍,Jandira Firmino de Oliveira,0,2021-06-26T23:53:47Z
9,UgzMiqwkeogOAHKzGt94AaABAg,"Esa mulher e loca !!!
E das que busca que o marido de um tapa e tirar proveito disso..ela quería dinheiro quando começou a sair com ele!!ELA E UMA PESSOA MUITO MÁ!!!!",carlitasilva33,1,2021-06-23T16:39:51Z
10,UgxALOTnpzKzNtUinS94AaABAg,"provavelmente a pessoa para quem ela deu boquetes foi presa junto com Harvey Weinstein, com isso ela provavelmente estará desempregada, pois tem um talento igual ao de uma atriz pornô.
com isso, ela quer tirar dinheiro fácil do marido ""que ela ama"", inventando mentiras",walter hank,0,2021-06-15T03:15:41Z
11,UgwGMuzTjHdKF32F-qV4AaABAg,amber lenda deveria ter feito mais com esse dai,yasmin,0,2021-05-29T06:00:26Z
12,UgxH4eBuha32FE97uF54AaABAg,"amber it girl 
johnny it a coisa",yasmin,0,2021-05-29T05:57:32Z
13,UgzHDk5SRNxEUlqtZex4AaABAg,"Depp: - E é como..você sabe..raiva maníaca
Enfim, ela precisa de tratamento",Rayane Oliveira,3,2021-03-13T15:03:44Z
14,UgwP03UT-ZJyA1RhZFJ4AaABAg,"Me parece que ela não tem nada contra ele, e fica procurando algo pra falar mal dele.",Rayane Oliveira,7,2021-03-13T15:01:41Z
15,UgxQgh8N7OT4snnu3sh4AaABAg,"Gente, palavrão  inglês é tão sem graça. O português é muito melhor. Mandava  logo  um fooooodaaa-see pra enfatizar.kk Um foda-se bem mandado  é libertador.😆😆 Johnny quero ter sua paciência, me deu até uma paz interior na sua voz e Amber não para de falar, não respira 🤮",Carol Amaral,1,2021-02-24T08:09:01Z
16,Ugw3GuV1rwDxKBBziR94AaABAg,"Sim ela e bem estressada, mais ele tbm tem que ter uma postura e resolve as coisa não se vesti e ir para rua e fica bebendo, fumando porra ele não é homem para bater nela ???? Cade a porra do homem para resolver os problemas??? Em",Raeneli,0,2021-02-18T23:36:39Z
17,UgyIXk7ly7cqQuXL9wF4AaABAg,"Esse povo tbm mete o a colher onde  não tem que meter né, e briga de casal e deles deixa para lá eles se resolve depois o povo acha que tudo tem um motivo para ser uma polêmica cara eles eram casados deixa briga vai fazer oque",Raeneli,0,2021-02-18T23:34:15Z
18,UgxtcK7hQXncNL4NJ-p4AaABAg,Ela faz toda essa brajerada pra ele e depois vem com um monte de lição de moral kkk,Mila Vanilla,0,2021-02-06T22:56:12Z
19,UgwkP1DhVfZns1qIEbl4AaABAg,Johnny Depp tem meu Respeito!!!! 👏🏼👏🏼👏🏼👏🏼👏🏼,Jéssica,2,2021-01-12T03:03:57Z
20,Ugynaquia0cAMZqmLYZ4AaABAg,Fala igual uma matraca... homens não gostam de gente histérica gritando e falando o tempo todo! Isso irrita muito um homem! Se fosse outro homem já tomava um soco na cara e já calava a boca!,Uendel Barroso,0,2021-01-07T19:29:27Z
21,UgydeeyHJ2CZFL1DIyt4AaABAg,Agora ele não tá sendo aceitado por nenhum estúdio 😪,AKASHI,0,2021-01-04T16:48:13Z
22,UgzMsd5FvN5xShyPSdh4AaABAg,"Só sei que tudo era motivo pra ela brigar com ele, e ela via que ele não revidava as discussões ela ficava pé da vida e partia pra agressão, típico de gente que não tem controle emocional.",Nina Barbosa,6,2020-12-29T00:05:05Z
23,Ugzv4Mp_EKsWErnLV4V4AaABAg,Sao as vozes deles mesmo tipo sem montagem?,Michelle Menezes,1,2020-12-28T22:58:11Z
24,UgyA7qKjy0fBGGbaYCR4AaABAg,"""você nunca se acalma"" 
*Ficando cada vez menos calma*",Rafael Fernandes,16,2020-12-28T12:27:15Z
25,Ugx6SX7zBwILHCUpcCV4AaABAg,"Kkkkk mano, que doida",Monique Maia,1,2020-12-26T18:31:20Z
26,UgzNCqUnA0yLE4BCdr94AaABAg,"Com tudo isso de provas, ainda tem um povo sem noção que quer defender a Amber. Aaaaaahhhh vtmnc",Jamily,1,2020-12-19T00:57:51Z
27,UgzffTCPQIoK7GKoZCd4AaABAg,Pq exatamente eles começaram a discutir,The weekend is here,0,2020-12-18T23:41:31Z
28,UgxlZMc0FsGo-iqpSAV4AaABAg,"Gente as discussões em inglês são tão.....Sei lá bonitas
Só vou discutir em inglês agr",The weekend is here,3,2020-12-18T23:36:46Z
29,UgwHKl3TaUjrnEs16W54AaABAg,"Parem de pensar que td mulher e louca igual a ela, ela se diz feminista mais ela ñ é, feminista e a mulher q respeita e quer respeito, coisa q ñ é o caso dela",maria gamer,1,2020-12-08T04:43:42Z
30,UgwvwfsmjnKylFkegIZ4AaABAg,O cara é tão calmo q a louca fala fala fala e ele ouve...,Cátia,6,2020-12-05T20:18:47Z
31,Ugw7w6vlYaZvkmvCtHF4AaABAg,"Gente pelo amor de Deus   e famoso tem casamento aonde. 
 São tudo corpos caros, e mentes desequilibradas..
   ELE tem um geito que não é  compatível com o dela 
 Foi isto que ocorreu 
 E irá permanecer",Aninha Almeida,5,2020-11-17T02:43:10Z
32,Ugw62W1RZhjJ2I-F-vl4AaABAg,"Não acho q ele deveria revidar as brigas físicas, coisa q ja foi provado q ele fazia, mas essa mulher claramente é doente",Sophia Avila Lima,1,2020-11-08T07:13:32Z
33,Ugx5YZxeGnVe5a9Bqsd4AaABAg,"Realmente, eu não sei o que vocês têm na cabeça. Eu vi uma mulher que estava cansada da forma que o casamento dela estava, vi uma mulher estampar a falta de compromisso do marido com a relação e ele concordar com isso. O mais interessante é que todos ouvem e vêem várias mulheres assim todos os dias, mas por que ela é esposa do Johnny Depp ela não merece nada além de ódio. Não estou dizendo que ela ser agressiva (algo que não resolve nada, mas muitas vezes ninguém percebe) é certo, porém os dois foram violentos. Ela não chegou batendo nele por quê simplesmente quis, então parem de julgar sem saber de exatamente tudo. E não, vocês não entendem relacionamentos assim por quê nunca estiveram em um relacionamento em que você ama uma pessoa e tenta, apesar de ver que não dá certo, fazer dar certo.",Adryelle Rodrigues,2,2020-10-20T21:18:41Z
34,UgzCG9LMOTviqtKD-8x4AaABAg,"Eu sempre soube, Depp é inocente",Cah 🇧🇷,3,2020-09-28T01:39:29Z
35,Ugzi7rvsgaHOpn5LqSR4AaABAg,O Jhonny sempre mantendo a calma e a vadia da Amber gritando,~jůjů~,0,2020-09-23T22:28:43Z
36,UgwxM7R4uKefsycmh3V4AaABAg,"Tem gente nos comentários tipo ""kkkk que mulher maluca kkk se ferrou Depp"", mas se fosse o contrário, um cara tendo batido numa mina n teria ngm rindo ou fazendo piada e ele já estaria preso. Adoro esses direitos iguais '-'",BurroPuto,18,2020-09-19T19:42:07Z
37,UgwVJRnmnxcZYq22nGd4AaABAg,Alguém pode me dizer se o caso deles ainda tá já justiça ?,Karoline Winchester,1,2020-09-08T22:00:42Z
38,UgxK0hI4aOPK88IyiW94AaABAg,Essa mulher é surtada.,Diana Santana,0,2020-09-03T23:07:20Z
