,id,comment,author,likecount,publishedAt
0,UgzxEOYQ3zgw0RbTiYh4AaABAg,Just speaking for myself as a manic paranoid schizophrenic and pyro I absolutely adored Ezra’s portrayal - I get it but I can see how others might not;),wilhelminawonka7,0,2021-08-03T15:40:08Z
1,Ugz83pqNKLqNWjTMOXJ4AaABAg,Who knows maybe he had an accurate portrayal and the director wanted him to pour it on. Idk shit about Hollywood but the director can fix that.,Ben Gaughan,0,2021-07-21T11:19:48Z
2,UgwCNSv0tEEuhsHXboR4AaABAg,Ezra played the perfect Trashcan man. Exactly how he should be portrayed as.,Flezrari,1,2021-07-07T12:34:47Z
3,UgwydCpuFXQAMcMzGLR4AaABAg,"A caracter doesn't meant to represent all thè mental illness and neather all the persons with that illness. For me this is as to say that a actor that portrait a caracter with a story, a personality and a illness for example epilepsia is offending all thè people with neurological problems as  parkinson, corea, Lewis corps illness etc....
It doesn't make any sens to me.
Of cours if you don't show the arc that bring humanity to the caracter, personality, etc you will have just symptomes but this is not the fault of the actor, who did a realistic portrait with the few matérial that he had.The ignorance about the subject is offensive. Thinking that that reality doesn't exist is offensive, cause it exists, I ve seen alot in my job. and can be worst than that. Troubled behaviour, cognitive degradation , sexual deshinibition etc are part of the symptomes of that illness.",B. T.,1,2021-03-31T06:57:22Z
4,UgzyW8-Wry4qL34D-pB4AaABAg,You are an idiot.  Ezra Miller played the part of Trashcan man the way the Trashcan man IS.  I thought he was very good.,Jay Lee,0,2021-03-03T19:54:56Z
5,UgzviS95sgUKruWx-RN4AaABAg,I just loved that fact that AH was playing the bride of Satan. Seems she was born for the role.,Robert Scrimgeour,0,2021-02-17T09:53:57Z
6,UgyIEPYQ5npmUGf6C_V4AaABAg,That's what happens when you hire actors who overact,Nita Shepard,0,2021-02-17T01:50:07Z
7,Ugy4CwB9ri57m9udStJ4AaABAg,"So far, I think Ezra Miller was brilliant.  Don't get all the criticism of his performance.",Dumb Tech,1,2021-02-16T16:55:21Z
8,UgyfRLW7IVQ9p1F2lRN4AaABAg,So it turns out some of these people who use wokeness as a ladder to climb showbiz aren’t actually very talented at their craft?,Tyler Langley,0,2021-02-15T14:03:12Z
9,UgzJ9sT4iqG4m7J-sFZ4AaABAg,The reason a def mute person wasn't cast  is really simple.  In the visions nick can talk and hear.  Soooooo yeah.,Pat Head,0,2021-02-14T05:40:22Z
