,id,comment,author,likecount,publishedAt
0,UgymUd8HW1xr3k73AZ94AaABAg,"It's Going To Be A Day FULL Of Videos, I Think I Have At Least 6 So Check Back Often To The Main Channel As Notifications Are Not Reliable.  Really Appreciate Everyone's Support & If You Enjoyed The Video, Please Leave A Like & Comment On It, If You Can Support The Channel I Would GREATLY Appreciate It!  https://www.subscribestar.com/thequartering",TheQuartering,159,2020-06-15T17:47:25Z
1,UgzgkIul4kA6O9HFXg94AaABAg,"my friend had false abuse charges against him, and the thing he married had at least 3 legal counsels drop her.  my favourite one was the female lawyer who was so desperate for something solid she gloated cause the judge dismissed my friend’s photo evidence since she grasped at the “there’s no date” straw in spite of being pretty clear pics.  this was after that thing he married had made the claim he choked her so hard that her eyes bled out, to which the judge sharply replied that if that were true, he would be presiding over an entirely different kind of court case since she wouldn’t be standing there.  he also pointed out the level of force required would not be possible by a normal human, and it would have crushed her throat.  her eveidence?  a pic of her with bloodshot eyes, because she is insane.  for some reason wokeass trader joe’s still supports her and encourages her to keep going?  she’s ruining her life by listening to woke politics.  poor idiot.",doodoostickstain,0,2021-10-03T12:00:17Z
2,UgzxNc-B8EoOgW7W6R54AaABAg,I didn't even know that there was a petition as I would of signed it and I'm sure that would of others not aware of it at that time xx💞,Michelle Trunks (shelly),0,2021-07-20T06:04:18Z
3,UgyYP1crzir9lNRg_nZ4AaABAg,Justice for Johnny,SAMOANSTALLION1,0,2021-03-06T13:59:51Z
4,UgxzuDjs3qgAmn5LxER4AaABAg,Her legal team quit because they know they are complicit in her perjury. And if they continue down the road she is going  theyll all go down.,Dan Nilsson,0,2021-02-28T08:36:56Z
5,UgyrsyV2ZWol9W0oIEV4AaABAg,You KNOW the protest photo is fake because the uniform doesn't have any identifying marks ANYWHERE on it!! LOL Why can't you zoom in and see what department he is from?? Why didn't she just have the cop step forward and identify himself?,tom thorn,0,2020-10-08T03:15:08Z
6,UgxlvyU8vTspK4Sx0gZ4AaABAg,WINNING FOR JOHNNY,EVA LEE,0,2020-10-01T03:19:10Z
7,UgwPpfcAMtLDJifaQmJ4AaABAg,"Such unbridled glee haha, OK I'm re subscribed. She disgusts me, and furthermore, that poor guy probably fell off the wagon because of her psychopathic behaviour during their relationship. That's truly evil and she really needs there to be consequences.",Sarah Wells,0,2020-10-01T01:10:16Z
8,UgyE3OyTC84RnR8BC194AaABAg,"Johnny gained new fans through this mess,  including myself 😊",Jo Jo,0,2020-09-25T09:22:23Z
9,UgzUGM7WXso12P-HN094AaABAg,"What did the Skunk tell Amber Turd ? ............... "" You Stink!""",musawer gulzar,0,2020-09-03T10:28:28Z
10,UgzauCUW_1lz1cV3jfl4AaABAg,"She physically assaulted him on many occasions, she shat in his bed, she lied and lied,ruined his career  and chopped the tip of his finger off...Johnny Depp has proven to be a gentleman over and over and I can't wait for the sentence in the sun trial which I hope will reflect the reality of the balance of power in that relationship. This should never have happened, Johnny Depp should never have been publicly crucified by that joke of a woman, his only fault has been falling in love with a narcissistic sociopath. I also hope that after next round in January we will never hear that cacophonic name ever again.",Maria Palomba,0,2020-08-30T13:09:58Z
11,UgylzQpsmUfK2KKlbM54AaABAg,I think AH will be in Aquaman 2 no matter what. How big a part she plays is going to depend on the results of the lawsuit. Hopefully they’ll dump her before the next movie because I liked Aquaman but I’ll never give money to any studio that gives her a job,Jayne Davis,0,2020-08-28T03:17:02Z
12,UgxahRpcu4t4w07VnMp4AaABAg,"If Amber Heard was a man, she’d be in jail.",HEXtheRIPPER,1,2020-08-08T19:10:10Z
13,Ugw2cp3wASc5fPt7JDN4AaABAg,"Her team filed a motion to transfer the case from VA to CA and they lost. The case will stay in Virginia. That’s probably why they withdrew. Plus, it’s a LOSER of a case for Amber",roz805,1,2020-08-06T20:00:17Z
14,UgxB5_ytDiKNdsKYyfJ4AaABAg,Good stuff!!!!,Tania Haeussler,0,2020-07-28T18:33:11Z
15,UgxK0rFVbbn6V6kaZRN4AaABAg,"And now the studios are will be kissing Johnny's ass so hard, the first movie to headline JD will smash the box office windows out. I will personally go see that movie 10 times just to show my support to the cause.    F#@K the abuser",Mike Davidson,1,2020-07-24T19:51:47Z
16,UgyYPhY93ICLjqBbrf94AaABAg,"You can't make this stuff up, after she just made it up",Mike Davidson,0,2020-07-24T19:42:05Z
