,id,comment,author,likecount,publishedAt
0,UgwsFtqpBSbk0mGkMQx4AaABAg,amber is a liar  ... if its not clear the fact that all she has as proof is  i said and my friends said ... should say it all . i was assaulted once and i can tell you 1st hand waiting isnt what anyone wants to do after ...nor is taking pictures and waiting for a repeat . and how is it every time someone investigates they find more proof shes the abuser? to all the men tryng to paint her as some saint with all that proof in your face ... i hope someone comes along and lies on you the same way ... then you will understand the situation and to all the girls backing her without looking into it ... go find the men backing her they are cash cows .,Alexis Pryde,0,2021-11-18T06:36:57Z
1,UgzLfIgrqj5LAtdaHnZ4AaABAg,Disney if you read these Comics you better bring Johnny Depp back to the Pirates of the Caribbean there is no Pirates of the Caribbean without Johnny Depp no exceptions hell no I will boycott the movie Disney if you're listening bring him back and I am not watching Aquaman to Jason Momoa I am so sorry,Raeofsun69,0,2021-11-05T16:01:11Z
2,UgyKtdYelLIEBs0Um0J4AaABAg,She desperately needs knocking off her superior pedestal,Lindsey Depp,0,2021-10-30T16:18:57Z
3,UgyBcFYMdSSY81Wvaq14AaABAg,"Booohoo! And what happened to the actors in the film ""Pirates of the Caribbean that were discriminated""  they too need to be compensated !!!!",Sparky Runner,0,2021-10-30T03:28:23Z
4,UgxQhncpV0FvVnxgbnd4AaABAg,At least Jason Momoa has dune cuz aqua man 2 isn't gonna make any money due to amber I hope Jhonny gets the justice he deserves not only is he an amazing beloved actor but also a caring human being like dressing up as jack Sparrow & visiting children's hospitals to make the kids smile. Justice for Jhonny Depp!,Dolton Holman,0,2021-10-30T01:13:05Z
5,Ugw_kCWUl7h8TlQvel14AaABAg,hate to see her,h h,0,2021-10-20T14:10:08Z
6,UgymQ7a5BAy7QRLbHMV4AaABAg,she is out,h h,0,2021-10-20T14:09:56Z
7,Ugx1BBVmvKhlxpQK0jZ4AaABAg,she slept with many to get the job?,h h,0,2021-10-20T14:09:16Z
8,Ugy0QAAjVW_PL4DR6KN4AaABAg,leave Hollywood,h h,0,2021-10-20T14:08:18Z
9,UgzUbZqbAF4osfDPBXx4AaABAg,I won't watch her movies,h h,0,2021-10-20T14:08:03Z
10,UgyR0vwg4b7eHb2uyKN4AaABAg,I’m not going to watch that shit lol 😂 I loved aqua man but fuck that,Franklin Tello,1,2021-10-07T10:26:21Z
11,UgzEaEmNWiOnZ8QTBQV4AaABAg,"She's only capable to play the role of a guilty unemployed poor little borderline creature in jail, crying her heart out for what she has done. She too had used her sex to get rich and famous and must be punished therefor. The truth will always come out. 🙏",Jm Van De Ven,1,2021-10-07T08:21:29Z
12,UgwG8d4PredHWXKyJRF4AaABAg,Amber HEARD the doors shutting all around her. lol,Wooley689,1,2021-10-07T02:11:45Z
13,UgxqchLOf7ABFWytAoh4AaABAg,Her fu*king veneer smile triggers me 😅😡🤣,PunkBeluga aka Chessbette,0,2021-10-04T15:12:13Z
14,UgztbFygOJYLT-HoZ0l4AaABAg,look how fast the fired johhny.... and how LONG it took too fire this monster!! she is a succubuss i tell you!!,Reza Nurmohamed,1,2021-10-03T20:05:01Z
15,UgwoKvnyUozWyDGMWZ94AaABAg,"People actuality give a crap about this junk? Watch a movie is great. Give a crap about the personal lives of millionaires and their relationships is like getting tortured by people that are trying to cover up my innocence and the murder, pedophilia, sexual slavery, marital fraud and 200 felonies  that organised crime are involved with...",Jacob VanStraten,1,2021-10-02T01:02:57Z
16,Ugzl8iqlCABpqWUZtFt4AaABAg,"She insisted on being there to testify in the UK when she didn't have to ""move on with her life"" such a liar #justiceforjohnnydepp",Scryndi SouthFloridaThrifter,1,2021-09-27T22:35:35Z
17,Ugx9aRSc80d1-ygbBm14AaABAg,Oh brother its easy to see right through her self serving.,Andrea Guidebeck,0,2021-09-11T13:01:43Z
18,UgyalMOs461inJkdNXV4AaABAg,Starts at 5:00. I hate filler.,Ruben Flores,0,2021-09-09T09:33:09Z
19,UgxkSZMjeFoLIbHvBZR4AaABAg,False hope,Jane Williams,0,2021-09-04T14:22:57Z
