,id,comment,author,likecount,publishedAt
0,UgztSHiNLke5mXH-xNB4AaABAg,What are your thoughts?,InformOverload,37,2021-05-20T17:38:04Z
1,UgxqlRP1Y2WAIzTvHNh4AaABAg,"Heard set women's causes back hundreds of years!  ACLU was complicit ! I feel very badly that some cheating, greedy woman can do that much damage!  I will still enjoy Johnny's movies and hope that Disney takes a big hit for firing him!!  For now I see her going to jail for her actions and that includes having a surragate pop out a baby for her for sympathy!!",Nancy Duermeier,0,2021-08-24T18:41:34Z
2,UgxNGNszkZzdB8fWBMp4AaABAg,Thanks for the Depp - Heard info. Perjury should be treated as a really serious crime. Seems the proof has been actively withheld... Mr Depp has probably had enough and is willing to pursue all the liars. #justiceforjohnnydepp #amberheardisaliar #saveBabyHeard #ACLUareliars,angela clark,0,2021-07-20T08:51:32Z
3,UgyYCF1-GKHlJ6eLkah4AaABAg,You don’t get that rich without doing some terrible things.,M K,1,2021-05-31T19:17:50Z
4,UgzlZr6pxswidwPOzY94AaABAg,"I'm sorry that johnny depp had to go thru all this but just goes to show u that no one knows someone totally. She was either a very good lier or he didn't see all the flags. Been there, done that.",Lora Morris,1,2021-05-30T18:57:50Z
5,UgwYABtpFPY-730eSgN4AaABAg,"Oooh, what a sneaky, slime bag she is.",Jag Girl,0,2021-05-30T04:34:22Z
6,UgwA1RUMp1dlA971_u54AaABAg,#AmberACLU,FYO PIX,0,2021-05-29T15:08:48Z
7,UgzgIzqMcCy3id-AqtB4AaABAg,"*ACLU Corruption exposed* from Amber Heard/JD case...
#justiceforjohnny",k. _nf,0,2021-05-29T11:43:31Z
8,UgwtOh2tIr6jjUU9C654AaABAg,"Johnny  Depp paid the $100,000 in Amber Heard's name.  Heard complained and demanded more money.",William Reid,0,2021-05-29T00:04:37Z
9,Ugx8iGnjuIOEQnhFTON4AaABAg,oof.. she's  not aging well. must be the lack of inner beauty,Dottie Ndots,0,2021-05-28T19:31:35Z
10,UgyrbzdLDs2Ki50aOXt4AaABAg,As he should!,So Catarina,0,2021-05-27T22:23:26Z
11,UgyqRokSr3S_SIIVhjp4AaABAg,"It’s an order to compel, not a separate lawsuit against the ACLU. Just for accuracy’s sake.",Bex,0,2021-05-27T16:17:45Z
12,UgyWKvoTD_pGorltJgZ4AaABAg,"The ACLU is dead and probably should be buried. Ira Glaser was a LEGEND, the current crop of lawyers in charge of this organization are not worthy to hand wash his dirty sox. I can go case by case, but Matt Taibbi does a pretty good job of pointing out the great illustrious glory of the Ira Glaser ACLU versus the ignomy of the current institution.",Mark Adams,0,2021-05-27T12:22:31Z
13,UgzlWnhIAIAXjTQVKOB4AaABAg,"Honestly she should be jailed for what she's done to him,  it's disgusting what she's done and continues to do.  Johnny is a great guy,  I hope he sues the crap outta everyone involved ...  And wins.",KAT NYC,0,2021-05-27T11:58:32Z
14,UgzTSI3uQN3fw3LrOX14AaABAg,why is this woman still roams free ?????????,Chloe Thong,0,2021-05-27T08:59:44Z
15,UgyI-5rStk_BOCrt3dB4AaABAg,"Okay... They're not suing the ACLU - It's just a Motion to compel made to the judge to force the ACLU to hand over those documents.
That's not a lawsuit. 

When the ACLU decides to ignore the Order to compel then there will be consequences. 
But those consequences are coming from the court and not from JD's lawyers.

You should know that... I mean, your channel is called ""InformOverload.""",Sciss0rman,0,2021-05-27T08:54:21Z
16,Ugw4TKYRFMxBYUR4pXV4AaABAg,I’m here for Johnny to move on with Angelina Jolie ...do with that info as you will 😂,B1H_ Fox,0,2021-05-27T05:49:28Z
17,UgwfmXjszD2sNGy3R-14AaABAg,I think Amber Heard gained great inspiration from her idol (possibly) Robyn Givens. Both shysters are sketchy and shady AF.,Traci Bracken,0,2021-05-27T05:39:28Z
18,Ugzs588qS9LbIZoDGD94AaABAg,This is what happens when you think with one head and not your brain,Jazzy Jaz,0,2021-05-26T17:06:52Z
19,UgxMEvdk-aU32iK1AwV4AaABAg,oi this was shocking,Joel Angel,0,2021-05-26T15:56:02Z
20,Ugx4OwUeZrgjp6k4wT54AaABAg,"Look at the efforts Johnny has to go through to prove what we all know... She lied. If she paid the money he wouldn’t have to sue they’d just produce receipts, but they won’t. ACLU aiding her perjury. What does that tell you.",Bernie McKinley,2,2021-05-26T12:41:19Z
21,UgwgQAOAUpngWmXUMSd4AaABAg,"She wanted Johnny for 2 reasons: The thrill of taking a man from another woman and wanted him to further her own career. If she had never been on the Rum Diaries and never gotten with him, would she have even made the cut for Mira? I don't think so.",Nicole Noffsinger,1,2021-05-26T05:43:41Z
22,UgxsR6OUAha-6iDNgf54AaABAg,Where's Dobre?,Issy B. On Air,0,2021-05-26T02:26:05Z
23,UgwRkOSUNvq1T2vPLx94AaABAg,"I don't understand, why would HOLLYWOOD let a HORRIBLE WOMAN LIKE AMBER HEARD WORK, INSTEAD OF JOHNNY DEPP?! JOHNNY DEPP DESERVES MORE!! JUST TO JOHNNY DEPP!!",Jake R. Blaso,0,2021-05-25T21:29:06Z
24,UgzB5217MLt605lBkPd4AaABAg,"Ah, I love it when a story starts to rap up nicely like this. Justice for Johnny!",Peachy Cream,0,2021-05-25T17:44:40Z
25,Ugz21h9OKIWIaZbmUfl4AaABAg,Blessings Johnny! On your side always!,Katrina Thompson,0,2021-05-25T16:10:25Z
26,Ugyu4fEZFXkffNe1vId4AaABAg,JD is NOT suing ACLU- he just asked the new york court to force them to provide answers and documents to this case. ACLU didn't react to their subpoena. They are playing dead bug 🙈,Zuzuki,0,2021-05-25T04:05:57Z
27,Ugwr_fH8t7zNW5UisCV4AaABAg,"Change the title, JD did not sue the ACLU!",RAMONA MITAR,0,2021-05-25T02:35:49Z
28,UgxA9xJ2MrQy9xKvpaB4AaABAg,Finally justice is coming soon . How I wish he does get justice,afroasia2,0,2021-05-24T21:58:23Z
29,Ugx-2kBnEJKUS5bBynJ4AaABAg,"Please please please..! Slow down!!!! 
You don’t need to speak this fast. 🤯",Vee of the Weald,0,2021-05-24T20:56:16Z
30,UgzGMUetIsLUo5xJ_YN4AaABAg,"Elon Musk has a lot of explaining to do! Especially for his continued involvement and influence with this case behind the scenes.
Suddenly his SNL appearance makes so much more sense! Desperate PR control.",Friv _0,0,2021-05-24T16:10:20Z
31,UgzBXAMRSn6tFILhXup4AaABAg,I’m so sick of amber and her evil little clowns 🤡 period I pray to God she and her evil clown 🤡 friends go to jail she needs to face her karma karma period justice for Johnny Depp he deserves it period,Dunamis Espada,0,2021-05-24T15:40:30Z
