,id,comment,author,likecount,publishedAt
0,UgwjhYQlpEbyvNFJso94AaABAg,"Wait, the the butler did he testify to all the broken glass that he had to clean up off the floor because we obviously see that Johnny Depp smashed bottles of wine himself and that he was a frequent Drinker from the video of him drinking and smazh in mg wine bottles I'm not a f****** idiot why are you guys so dumb?",Sashia Rogers,0,2020-12-10T15:48:23Z
1,Ugxk6NbTg4dUuRYAs9x4AaABAg,The assistant sounds like the manipulative one thats why she was fired! I need solid proof of calls emails and texts,Sashia Rogers,0,2020-12-10T15:45:22Z
2,Ugy4Yr7hK2ECuUvxCw54AaABAg,Nothing surprises me what comes out about her.  CRAZY,Lorri Holder,0,2020-10-14T15:26:07Z
3,UgwivcCGivrrmQudQ6V4AaABAg,"Hey, I'd be MORE than happy to help Mr. Depp clean all that dessert dilemma off the crotch of his Levi's..... Know what I'm sayin? 😉",Gwendolyn Brown,0,2020-08-27T09:24:57Z
4,UgxH6YPTNnjtp_15JYh4AaABAg,......... JOHNNY DEPP........A DROWZEE ICE CREAMER CROTCH FIEND!!!!!.........A FIEND I TELL YA!!!!,Gwendolyn Brown,0,2020-08-27T09:21:55Z
5,UgxBXDSzJYS7NTek6494AaABAg,"Oh NO, falling asleep with ICECREAM MELTING on his CROTCH!!!!!!!!!!!..............That FIEND!!!!",Gwendolyn Brown,0,2020-08-27T09:19:44Z
6,UgwP3X8ZPRZhKOQWrb94AaABAg,"i like the idea of her losing her money and looks at 34 years old. Keep drinking Scamber Turd,,, it good for you.",henry bourdon,0,2020-08-27T02:38:21Z
7,UgyCvm3-cIIVluzg6b14AaABAg,"the big amber turd is circling the drain hehehe
metooispoo  hehehe",josten cline,0,2020-08-26T22:15:09Z
8,UgyecECXJRlPVyoedCR4AaABAg,She’s the absolute worst,Hella Mark Harley,0,2020-08-20T14:26:37Z
9,UgzXWJxHdirF_By8aNx4AaABAg,"NO ONE, not one current actor, will ever be able to replace JD as Captain Jack Sparrow. Disney's biggest mistake would be to let him go. Disney would lose a ton of money if that happened. JD put his soul into that character. He went above and beyond to help sick kids feel just an ounce of happiness by stepping back into character to visit with them. How many actors have done something like that before and made it real? I, for one, will be devastated if JDs career is over behind A.H. If anyone's career should be over, it's Amber's.",Very Zellerly,0,2020-08-12T21:42:49Z
10,UgzdYgRTulT0BNeJDEh4AaABAg,Theres definitely something very suspicious with the media- I cant wait til it all comes to light - theres definitely people in the media bribed or something  to not be showing the true stuff with this case.  Its gonna be found out - I can sense shes got her hands dipped in some multiple areas to try to sway public opinion for her benefit.  She knows someone important involved in the media.  Her character shows she will stop at nothing to make this go her way.,Cherish 9,0,2020-08-11T03:44:29Z
11,UgwLCfR3vZiKTdSqvjZ4AaABAg,I love Johnny Depp ❤️ I wish him all the best.,Della Marie,0,2020-08-10T12:58:07Z
12,UgwwaL_Wy5dDz2gfxrF4AaABAg,Woman or not: I always stand with the truth. And Johnny’s at the truth side. What a bummer for this guy to have always had good luck in love and then to meet a sociopath like that. I guess we can all attract bad luck one way or the other. Doesen’t matter if you’re rich and privileged.,Maria Mena,0,2020-08-10T07:11:27Z
13,Ugzlxq06T6gXGIcP33d4AaABAg,"Love the commentary, but honestly your reading is pretty terrible",Chris Meggs,0,2020-08-09T11:04:00Z
14,UgxwKq0_L6KADfBm_GN4AaABAg,Amber heard cheated on Johnny depp with Elon musk !!! She files for divorce 2 days after his mother died what a monster !!! Gold DIGGER !!! She should go too jail,Jaiden TV,0,2020-08-06T20:18:24Z
15,UgwaKvuqrB7FU2tvJjd4AaABAg,Shes pretty much calypso lol. He needs his jar of dirt for that black heart of hers.,s_ shaddows.,0,2020-08-06T02:50:02Z
