,id,comment,author,likecount,publishedAt
0,UgwohAM8rtQqxJBUbOB4AaABAg,"The got her 
name wrong it's Amber turd",P-Town Stix,0,2021-04-22T18:55:02Z
1,UgySBmTAU5AicZQIwoB4AaABAg,*Psychopath play victim... Not surprised.. *,Bitcoin X2,0,2021-04-08T19:45:32Z
2,UgzfKr4hVcIxCrvt6V54AaABAg,She’s a serial abuser,Nina DaCosta,0,2020-12-24T07:35:42Z
3,Ugw4oARR3UDAjwRKv5d4AaABAg,i would too,Quackity Alt,0,2020-12-19T04:00:09Z
4,UgwWRkUGDoGETSWZ-XR4AaABAg,"The evidence is out there, free too look.. https://www.nickwallis.com/depp-trial here ⬆️ are the transcripts, statements and evidence. The audio is here ⬇️https://www.courttv.com/news/amber-heard-witness-statements-depp-blamed-the-monster-for-physical-verbal-abuse/
SHE is the abuser.",Tanya,0,2020-12-13T13:19:11Z
5,UgwwkUG6NkJ5VOt5O4F4AaABAg,#justiceforjhonnydepp,Стас Попович,0,2020-11-22T09:37:45Z
6,UgwqvzHgXcaL9-2BC8t4AaABAg,"Law's for dummies
https://www.tech4law.co.za/humour/text-funnies/laws-for-dummies/",Barry Varkel,1,2020-08-09T07:58:07Z
7,UgyhUA734hptHM4x7md4AaABAg,"We Support Amber Heard!! - In the July 2020 UK NGN trial's exposures showing strong support for Amber Heard, the statements made that she was abused are supported by seen physical injuries and distress of Amber, damaged property, witnessed abuse, and staff being bystanders by not helping her in the witness statements by Josh Drew, Melanie Inglessis, Whitney Henriquez, Kristina Sexton, IO Tillet-Wright, and other witnesses published.",Christina Taft,1,2020-07-30T05:09:58Z
8,UgzwiNPRjzUohSkFPHF4AaABAg,She is a disturb whack job. He tried so hard to escape her many times. He had enough of her and she knew he would leave her that's why she fabricated stories because no one would ever believe she was the horrific abuser. 🤔 Take care out there. 🕊🌎🕊,Misty Lynn,0,2020-07-29T21:10:00Z
9,UgxI1SjL-K9l2ys0ZQd4AaABAg,She tried to stab him ye know.... And  the so call abuse she faced was proven fake so yeah,MBoeltje41,0,2020-07-27T16:12:34Z
10,UgwM56AHqhzCR5OVxWV4AaABAg,jonny depp wife is a gold digger that wants money form him,Austin miller,0,2020-07-25T11:32:46Z
11,Ugx9t8Ji91rbF30W3gN4AaABAg,Husband beater,11Chef Claire,0,2020-07-24T21:22:45Z
12,UgwofhVukvlm6n10v2Z4AaABAg,I heard Amber is no longer using johnnies (johnnies is British slang for condoms)?🧐🤔,DOCTOR JAMES VONDUTCH,0,2020-07-24T14:06:43Z
13,Ugy8OPBP1WDiWnlVLth4AaABAg,Jonny Depp being attacked by the legally supported Women Victimhood Evil Mentality that has sent numerous innocent men to prison.,Ras Reality Macky,1,2020-07-24T09:09:27Z
14,UgxKWIlNCfeorrn35UJ4AaABAg,F off sky news.,hijous,0,2020-07-24T08:44:05Z
15,Ugz-lv2JYbOmNDEbK7x4AaABAg,Funny how she was there to hear him say she was very loving in the beginning. Then steal HIS story as well and use it for her own against him.,Tera Dactyl,0,2020-07-23T00:56:01Z
16,UgwJu4zaYiCWYXs1MWJ4AaABAg,People need to start reporting these media outlets for lying and misleading information,Blakeley Brock,0,2020-07-22T22:20:28Z
17,UgywhSSH5cFeN1hMxHJ4AaABAg,Flush that Turd down the toilet already. Tired of her BS. Justice for Johnny Depp.,Fiora,0,2020-07-22T19:58:37Z
18,UgxNhzXJY9ZDgJk7hgt4AaABAg,"Checkout johnny depp on an album called deadman, featuring the great neil young on guitar and the awsome poetry of william blake..my name is nobody .  It doesnt get any better than this.",tesoro tesoro,0,2020-07-22T18:13:25Z
19,UgyfqvvcD4deB9aibrx4AaABAg,"Scamber Turd said that he hit her mouth so hard in Australia that it left blood splatter all over the wall. Funny how she managed to take a photo of the kitchen in Australia, but not the blood splatter 😂",Mimi Moo,0,2020-07-22T15:16:55Z
20,Ugxn1iNY9D3SWSdP3nZ4AaABAg,"When will mainstream media learn that people dont by the ""damsel in destress angle"" anymore... we heard the tapes & we've seen the footage all these kinda editorials do is reveal that news outlets are agenda driven & fake news",Lindi Mashinini,0,2020-07-22T14:49:27Z
21,UgyWspBkdeHhc4mnSp54AaABAg,She’s so sly it’s sickening,Mandy Nicholson,1,2020-07-22T14:37:59Z
22,Ugz301fpONKwAOipyeN4AaABAg,"Amber destroyed all credibility the LGBTQ community gained through their hard work and struggle. Amber, IO Tillett Wright, Raquel Pennington, Whitney Heard, Elon, Franco, Carla should all go to jail.",sandeep salvi,0,2020-07-22T14:18:57Z
23,Ugw-ZvSJe4SZh1AGqZh4AaABAg,Sky news is a joke. Fake news.,NotFred,0,2020-07-22T13:39:47Z
24,Ugw41gtkA7TTGx7Xh-d4AaABAg,"Its a he said, she said, nobody else was there and we do not know the truth. I am curious how so many people can be so certain about who is the liar here.",Tom Hanel,0,2020-07-22T13:19:55Z
25,Ugy2tRmmax8foj7f2iN4AaABAg,Ih shut up..,sãkurå z,0,2020-07-22T09:18:21Z
26,UgxIXxV2_Ls68TfBeGx4AaABAg,#JusticeforJohnnyDepp,JIMICED 7,0,2020-07-22T02:57:39Z
27,UgxUf9hP6MFNrZbG93B4AaABAg,"I'm very curious,  why Sky News persistently tries so hard to make Amber Herd looks like a victim. If this is in the 90s, sure people will believe whatever they reported. However, everything can be accessed over the internet. Like this case too. I highly recommend youtube channel ThatUmbrellaGuy for unbiased news.",noormzzz,0,2020-07-22T02:03:39Z
28,UgwTJBk2RkzWXz-mj2J4AaABAg,"Looking at this fiasco over some time since it was briefly suggested that those that endeared to Johnny took the view that he was going down the wrong road some time ago with his drug and alcohol addiction, by no means don't use my words as against him either.    I honestly 
see a man that is broken inside because of his drug abuse and hate to say it this way that when a person has no way out of their problems the only way out according to them is death.   The judge in the trial should see the point of what is really  the problem and i do not consider Ms. Heard as compassionate to his needs even though she has explained how a person reacts to a situation in confrontation.   If the judge would not consider the importance of these people of a monetary value, rather as to see what is necessary, to both parties that the drugs that they are both guilty of are making a circus out  of what would be a life and death situation.   Instead of condemning someone for not being carte blanche of their own faculties only when having taken a dose of whatever is necessary to stand correct to appear to be of normality and yet as soon as the curtain goes down they are a heap of excrement without a hope in hell of anyone seeing the point of saving their lives despite the money.    Save their lives and confine the situation to proper medical attention for the problem far better use of their money than give it to the macabre death by media attention.",Maria,0,2020-07-21T20:19:08Z
29,Ugw_GGkSa_hSY-x7urF4AaABAg,I came here to dislike the video and leave a bad comment... boooooooo!!!!! The news channel and amber turd.,Afshin Nanase,0,2020-07-21T19:28:16Z
30,UgzFUhwobrerTTXNB7h4AaABAg,"For Amber Heard to claim ""I felt death was the only way out"" ... is simply an INSULT to thousands of women living in refuges right now.",Muz Wot,0,2020-07-21T17:35:21Z
31,UgxnqWvhp7o7aBVtfKR4AaABAg,She is the only monster here,Kate Vernile,0,2020-07-21T17:24:39Z
32,UgyNhhK6tiuQBXGg9tF4AaABAg,My opinion.  The way Amber spoke to Johnny does not sound like someone who is terrified of him and thinks he might kill her.,Emily Ashley,0,2020-07-21T16:35:48Z
33,UgwUkPsLiTF8M49caDV4AaABAg,"I am not buying anything that she is saying. Disgusting woman. We, the public, the rest of the world, we are not stupid, We can see she is the manipulative and perverse person.",Ariel Legolas,0,2020-07-21T15:44:27Z
34,UgwaWRdD2BHMGFlMGmZ4AaABAg,AMBER IS ACTING AND A PSYCHO WITH AGRESSION HISTORY AGAINST ALSO HER EX WIFE TASYA VAN REE.,george washington,1,2020-07-21T15:36:57Z
35,UgwyN7bNswRTgaQ8U4R4AaABAg,I do not believe her! There more evidence that she was the aggressive one.,Patrick Lange,0,2020-07-21T14:02:24Z
36,UgxxKBPvpeDkEj4iAPN4AaABAg,Amber needs to get in the bin and get rinsed by Hollywood,Ata Ozdemir,0,2020-07-21T13:40:45Z
37,UgwaPy0Grhgns3muE1F4AaABAg,"Feels like the movie ""Gone girl""...",Mel K,0,2020-07-21T13:03:51Z
38,Ugwq95a_baLp6fVOGNN4AaABAg,Depp lost half of his finger,Jamir Capitulo,0,2020-07-21T12:57:18Z
39,UgywH-acPxma7sfJ9Sl4AaABAg,The public opinion is against her yrt she keeps up with that arrogance and smugness...your not doing yourself any favours darling,Hadi Hassan,0,2020-07-21T12:32:13Z
40,UgxPqm9OJ7Aftl4J37N4AaABAg,Ohhh so this is what Sky news is about.. Pandering to manipulative psychopaths..,Row Row,0,2020-07-21T12:31:03Z
41,UgxXhh5dUpw9ihQ7bE94AaABAg,Wow. Sky News must be getting paid a lot for these headlines. I wonder...,Enrico Lopez,3,2020-07-21T10:26:16Z
42,UgysZr9ftuWiOyHkggp4AaABAg,Johnny depp is a goood person the girl wants clouttttttttt,Jordzi8,0,2020-07-21T09:56:24Z
43,Ugwy_pWem30vPbq8zoR4AaABAg,"Isn't better to inform how she was caught up in so many lies and contradictions not only from her past statements but also by all the photgrapich evidences and witness who saw her being abusive and NO injuries on her. All doctors, nurses, profesionals and nighbors were all wrong or lying but not her she never lied, really?",Mey Schmidt,1,2020-07-21T08:30:49Z
44,Ugz1_JxqGoYODwbJzrB4AaABAg,👑👑Karen vs. Karen sequel to Kramer vs. Kramer‼️‼️,NeckBonë,0,2020-07-21T08:20:19Z
45,UgwzmJh55VQumEhAg014AaABAg,Booed to ambitch turd!!🤮💩😂,Aire Puro,0,2020-07-21T05:53:00Z
46,UgxB3KrG-xrF-Ag_RDp4AaABAg,A bunch of incels gathered in this video :/,FM,1,2020-07-21T04:37:34Z
47,UgxVllYZwOFJKbUeSaZ4AaABAg,Her allies are gone..she is a manipulative betch.,TSeamus828,0,2020-07-21T03:09:33Z
48,Ugx53IkvvgoVzscoQal4AaABAg,What a bunch of f’n nonsense,Jay C,0,2020-07-21T02:11:23Z
49,Ugwvj_g5t0V3zggH8M94AaABAg,JOHNNY BRENDA LOVES U,BRENDA ANDREW,1,2020-07-21T02:08:45Z
50,UgwuSK2hxVQuPsxSAy54AaABAg,listen to the recording? doesn't sound like he was voilent or angry at all. he was more calmer than her in the voice ofcourse .. can tell a lot. she's a lying cow,Kim Lang,0,2020-07-21T01:38:49Z
51,UgzxPvGxLdYtJ1kgf_94AaABAg,Sky News is fake news.,John Datsun,3,2020-07-21T01:29:41Z
52,UgzeMRyzxl4p0xUDKyB4AaABAg,"Liar , she has this happen in the US and lost now she’s escalating it. Why didn’t she say this in the US one?",Gaming 4 Every 1,4,2020-07-21T01:07:53Z
53,UgwfbN8OkXgbP9tsqVV4AaABAg,Davy Jones not surprised at all 🐙,Big Chris 2,1,2020-07-21T00:50:20Z
54,UgzvcbqK7jml0gIOY_R4AaABAg,We KNOW who the psycho was in this relationship and it sure wasn’t Johnny!,Natasha Savage,0,2020-07-21T00:34:06Z
55,UgzXCSXod-IPEOznYhx4AaABAg,We KNOW who the psycho was in this relationship and it sure wasn’t Johnny!,Natasha Savage,3,2020-07-21T00:34:02Z
56,UgyqDYXxWYlHJZQibMt4AaABAg,We KNOW who the psycho was in this relationship and it sure wasn’t Johnny!,Natasha Savage,1,2020-07-21T00:34:00Z
57,UgyhAmG6os4WIkixxBx4AaABAg,Bunch of freakin liars! Where is the objectivity?,French Viking,0,2020-07-21T00:19:50Z
58,UgywZNQOLL1q4Mirnw94AaABAg,Liar liar pants on fire .,All life matters,1,2020-07-21T00:07:41Z
59,UgzRjv1u5WhIFf9BaGd4AaABAg,Problem is that they are both not on the same channel end off,taresy6789pp Pang,0,2020-07-20T23:52:59Z
60,UgzvMxGZDnDzZvibpZJ4AaABAg,"Has Johnny got Michal Jacksons law team, nothing to see here move along",Patrick,0,2020-07-20T23:50:01Z
61,UgzKI5VGGXFS_xgkDf94AaABAg,Johnny is an idiot,Danny P,0,2020-07-20T23:45:55Z
62,UgwGL0g3NcsTszf0IPJ4AaABAg,I believe her.,Octavia,1,2020-07-20T23:31:43Z
63,UgxF2U_Lw1h1EVrAm4Z4AaABAg,Son un asco y una verguenza como periodistas Sky News,Cristina Rodriguez,0,2020-07-20T23:22:32Z
