,id,comment,author,likecount,publishedAt
0,UgwVa55d_7jS2MQMfc14AaABAg,"I always believed in Johnny Depp. Enjoy your life now that you’re rid of Amber turd. With much love, Debra Bader",Debra Bader,2,2021-11-12T23:03:56Z
1,UgxB0OvQzcvn1gxI8gN4AaABAg,"It’s obviously Johnny Depp, who is the victis of a manic, bipolar narcissist, who is screwing her up in Hollywood. Try to ask the producers of WB, how many of them have dipped their privates in her? As well as the editor of THE SUN!!!!!!!!!!!!",Jannie Bates,0,2021-11-10T23:23:40Z
2,UgxqEEalyhrpDsVNbhl4AaABAg,"Go get Vanessas Paradis back Johnny Depp. Bygherre! Do everything for her, because you were so happy with Vanessas. I know it’s difficult, but she is, besides you know who from Scissorhand, you and Vanesssa is ment to be♥️♥️♥️♥️♥️♥️",Jannie Bates,0,2021-11-10T23:12:52Z
3,Ugy8-nrogXSKFcETVzx4AaABAg,THE REAL VICTIM WAS ME.,Ann Ponder,0,2021-08-17T22:55:04Z
4,Ugz9mvexnt-bUvnNZRh4AaABAg,"Give johnny his role back let aa..amm....amm ah i cant say that monster name be banned from movies johnny is amazing 
Justice for johnny🤘🎸",Julia Telfort,2,2021-03-05T16:09:07Z
5,UgzCYYuyVDD9t8AQorB4AaABAg,"I really wish Johnny Depp wins...  Why isn't the woman roles getting cancelled?!  Why is he the only one suffering?  Not fair!  What he said is true "" she really wants to take everything from him "" I just hope he will be okay and knows that there are people who love him and are rooting for him.",Onuh Rita,2,2021-03-05T00:03:12Z
6,UgwfVP3a5wI2x0gOUH14AaABAg,Wasn't Johnny currently exonerated of those charges or accusations?,Amanii X,0,2021-03-04T21:01:12Z
7,Ugzx5JJn3MnT4OVTZX14AaABAg,Jhonny=good. amber=evil,muxcutter chnandlerbong,0,2021-02-14T13:30:14Z
8,UgyMh6hLksOKV8FxbWV4AaABAg,Justice for johnny!!!!!👊🏾💢,king Jay,2,2021-02-12T20:33:06Z
9,Ugy5caWwi7aFAPX-yUl4AaABAg,Justice for Johnny,Neha Chand,2,2020-12-30T20:56:32Z
10,UgxCF9JFg9ytmbheK3Z4AaABAg,I hope Depp wins cause everything I’ve heard in the video sounds to me like little Ms Heard is just trying to gain publicity and money...in other words she is the very definition of a GOLD DIGGER!!!,Derek Miller,3,2020-11-25T08:42:02Z
11,Ugz9sbCv8vVauWZl82J4AaABAg,"Elon is a front man for Glencore South African blood money. His cars contain cobalt mined by children and guarded by child soldiers in Africa
He gets his security from Sir Simon Murray. He gets his private army from 2nd parachute regiment French Foreign Legion after they serve the five years. It's were Amber Heard got her dirty tricks squad from to go after Johnny Depp because she was still sleeping with Elon Musk. Now Ivan glasenberg has shorted Tesla stock it is what Glencore does.. once Glencore losses it's mines in Congo where is Elon going get his cobalt from? Bill Gates? Jeff Bezos? Tesla stock was driven up for a reason.. once it gets on S&P500 what do think that will happen once Elon and Ivan sell worthless shares to people's pensions what will happen? Now once Biden takes office do you think NSA will keep playing with Elon.. Elon only sucked up Trump so he would go after Jeff.. Even Manga is thinking about dropping because of Congo issue.. you have been told.. countries will try and keep their cobalt and nickel supply for themselves.. You can't build cars without metals.. he will never build 20 million cars",Tom Mullaly,0,2020-11-23T03:35:09Z
12,Ugy4LODn9_prihz7Ikx4AaABAg,"And that's the truth, Johnny Depp should win completely.",Natasha Shaw,3,2020-11-20T06:01:46Z
13,UgzxUAFzHxi3QiJp15Z4AaABAg,"If nobody in this business help him
...we need to do for him ..he are a gentleman an a fantastic actor ....he need her fans ...... I love him and I pray for justice",carinne gagnon,3,2020-11-15T09:36:52Z
14,UgxSUOtfNqzr3nyqy754AaABAg,johnny's clearly in the right here,captain flare,2,2020-11-14T20:01:57Z
15,UgwZYXycIhcs-Y4c2hR4AaABAg,And so the abuse and using begins!!!! (From amber),Patsy Roberts,0,2020-11-14T19:24:24Z
16,UgxtSTYlIfB5zt29srZ4AaABAg,What a liar! She got some obsession for Johnny Depp is victim. When i saw her interview it was so so so faked bad acting.,Spyro Curtis,7,2020-11-13T22:37:27Z
17,UgxyexL0LB44C-dwzTB4AaABAg,I think Johnny is the victem and that it is unfair that he loses al of his jobs over ot,Karlijn Tiemersma,5,2020-11-12T18:31:54Z
18,Ugzpx1zQJaOaixsDeSF4AaABAg,As we now know the judge found Johnny guilty even among all the evidence that proved that Amber perjured herself it’s crazy,Virginia House,1,2020-11-12T17:56:17Z
19,Ugx9FZWoFreXxRfRPnR4AaABAg,Johnny is telling the truth,Karlijn Tiemersma,2,2020-11-12T17:18:46Z
20,UgxHVOZjmXniDIeKM414AaABAg,I think Benedict Cumberbatch should  replace Johnny Depp.,Karlijn Tiemersma,1,2020-11-12T17:17:58Z
21,Ugyoa9L1BSe6tIz1uXR4AaABAg,"Johnny Depp is telling the truth. Eyes are mirrors of our souls. Her eyes show false intentions and a will 
to control. I doubt her ability to love.",alison mcwilliams,2,2020-11-12T15:37:04Z
22,UgwCmic2dDK76Ggh7RR4AaABAg,Amber is evil,khathu Madzhege,2,2020-11-12T10:44:28Z
23,Ugw1_JvQxWq9QyNanmZ4AaABAg,"Why this channel does not use subtitle.         Use.       I don't like ,😠",Awesome Status Player,1,2020-11-12T04:46:03Z
24,UgykrYTLYtEge6LHhBN4AaABAg,Johnny is telling the truth,Hhdj Hhdddsjj,2,2020-11-11T19:16:18Z
25,UgxnffZKm4cjJGKJYod4AaABAg,JUSTICE FOR JOHNNY.,Athena B,2,2020-11-11T16:11:13Z
26,UgyKPTF9JHAPMViBMe14AaABAg,I think this was a toxic relationship,Donna Reece,2,2020-11-11T11:42:05Z
27,UgzaeOyDZzI_Fdfo-s54AaABAg,She is the violent one. Anyone can see. She is just trying to ruin him and make her look like the victim since he is a man. The court should side with johnny!,Izzy Halliwell,2,2020-11-11T03:55:02Z
28,UgwdMpCs6faIce4_SjF4AaABAg,No Johnny no watching...,Always Happy,0,2020-11-10T23:52:12Z
29,Ugz1HAH7PwFhFsEClH14AaABAg,She cray cray! 😳,Theresa NM,0,2020-11-10T21:54:57Z
30,Ugw8AZBFsaNsXFO4ffJ4AaABAg,"""I'm now convinced she came into my life to take away everything worth taking....."" 😞😞😞😞She sadly succsieded 😡😠",Maja Tadic,0,2020-11-10T20:25:06Z
