,id,comment,author,likecount,publishedAt
0,Ugz3Zi1CMgThTEOVGC14AaABAg,"Let me know what you think!

💕 Don't Forget to Like & Subscribe! 💕

Lbry Channel:
https://lbry.tv/@NerdettesNewsStand:7

Rumble:
https://referral.rumble.com/dszVtP5hNXYLXqL89

Backup Channel:
https://www.youtube.com/channel/UCt4dtZ67qO3xWQSImQjRnJA

Bitchute Channel:
https://www.bitchute.com/channel/a3WbPaAzRKWN/

Become a member today!!
https://www.youtube.com/channel/UC8AGq7bm-x4teGcvQonvnPw/join

If you want to support my Channel, please check out my patreon And subscribe star below:

Patreon:
https://www.patreon.com/user?u=21542407

Subscribe star:
https://www.subscribestar.com/nerdettesnewsstand",Nerdette's NewsStand,41,2020-12-24T01:13:19Z
1,Ugw4-bgvvRu3mCMqcAR4AaABAg,"Pink villa sounds like a bordello unless it is pinks herself, then and only then could I support it, Maybe",Paula Sciacco,0,2021-04-06T13:14:45Z
2,UgxBuVQT8Ckx08O9-O14AaABAg,THE REASON HER SISTER IS BACKING AMBER IS CAUSE SHE IS SCARED OF HER,EVA LEE,0,2021-03-26T12:58:35Z
3,UgyHt4iomuOw0xUt0UF4AaABAg,CLOSE AMBER HEARD DOWN,EVA LEE,0,2021-03-26T12:53:01Z
4,UgzJQhmBPIWu3XGE6Ad4AaABAg,"I would have put it a different way , not the most hated woman in Hollywood but the most hated woman on the planet , lock her up and order to shut the f*** up , no one wants to hear her B/S any more 🤮🤮🤮🤮👍👍👍👍",Jayne Conlon,0,2021-01-14T02:40:51Z
5,Ugyb7qqjO8VN-D0IQ954AaABAg,"AH really did earn this title.  I wonder how much longer Hollywood will Reward and Enable the Real Abuser when the millions of fans that Johnny Depp has, boycott their movies.",Linda Landry,0,2021-01-04T18:13:32Z
6,Ugz9Pu752U7AzMjyDch4AaABAg,"A normal well adjusted human being would be trying to disappear of the face of the earth, yet she is so addicted to the attention,period, shes very sick",Russianbot__gardenvariety,0,2021-01-04T07:41:47Z
7,UgxpH106OSKFeLrTXUR4AaABAg,"Psycho Jezebel Demon-possessed Amber

Pray for Johnnys justice",k. _nf,0,2021-01-04T05:34:59Z
8,UgyDQS6nfmc6QhNyOrZ4AaABAg,You know what they can do in AM2 is bring in Wonder Woman and she decapitate Mara like in the animated series. Gale and Jason had decent chemistry and I just want to see AH get her ass kicked. Any movie Johnny is in ppl will flock to to show their support,Mini Mew,0,2020-12-30T01:26:35Z
9,UgzhbjcOn4gMg08IEfV4AaABAg,"Cringe worthy and disgusting , made my day without a doubt 👍👍👍👍👍👍",Jayne Conlon,1,2020-12-29T17:55:22Z
10,UgynN4g5bxclzM03qSt4AaABAg,Complete and utter fake. She deserves what she gets.,Evelyn Beevers,0,2020-12-29T07:42:37Z
11,Ugy4Tb3TTLOIrEhygT54AaABAg,AH is the worst.  I will never watch another film she’s in ever again.,George Bryant,0,2020-12-29T05:40:42Z
12,Ugx8C85ThzEDm4eACXl4AaABAg,"If you still have Netflix cancel it, they just removed all Johnny Depp movies.",Peggy Lee,0,2020-12-28T22:06:17Z
13,UgxueRwIPIYZyJAa0uZ4AaABAg,"Rumor has it Tim Burton wants him for his Adams Family protect to play Gomez! Johnnys perfect for that! Justice for Johnny, Blacklist for Amber",Insomniacs PillowFort Army,0,2020-12-28T19:26:22Z
14,Ugx6M1KczVmnh2XjW_54AaABAg,"Is Karma finally catching up, idk.  She is off with her friends for xmas cross country/mid west train and vacation - Social Distancing?  Stay home for the holidays.  I guess no rules appply to her",TheRealLauraB,0,2020-12-28T18:09:02Z
15,Ugwdh_-hpovKG7NCmzN4AaABAg,"I still don't understand why Aquaman was so successful. The only thing that was cool about this movie was Jason Mamoa. Even if you only look at the visual effects, the movie does more look like Bollywood than Hollywood. And Ambers acting (my parents watched it. I only saw clips because I refused to watch this movie. But what can one do if you're on vacation in a little apartment ahaha) was so off that i was confused. It's like she's feeling nothing. Real  sociopath.",Carina Snape,3,2020-12-27T21:05:31Z
16,Ugz-b3Hy19YlMxrht994AaABAg,"Still remember the comment ""Guys please stop hating Amber. I'm tired of liking all the comments"" wich gained *45 k* likes ahaha",Carina Snape,1,2020-12-27T21:00:23Z
17,Ugz2HEpm3dNaSngcPuB4AaABAg,#JusticeforJohnnyDepp 🦋🦋🦋🦋,LK,2,2020-12-27T19:23:00Z
18,UgxG8C8JWKgtDS-Dj4l4AaABAg,I hated seeing so much video footage of her lol,Kanani F.,0,2020-12-27T13:29:33Z
19,UgzY9NT_84tHn5HVcwp4AaABAg,"I do not get how he lost there was so many recordings of her calling him a pussy that does not stand up got him self , that he never fight back. That she would beat him and she would say like you call that a beating all i did was slap hit you. 4 cops did see no mark on her. He is one of toes to sweet for her own good kind of guys.",Michelle L,1,2020-12-27T09:34:18Z
20,UgwBNnZhGHNHCKDOAPh4AaABAg,Well what does she expect,Evelyn Tarawa,0,2020-12-27T08:47:00Z
21,UgygUXClId-C8CQ6Oy14AaABAg,Anyone could play Mera as well as Heard did.,VirginMick,1,2020-12-27T06:33:19Z
22,UgwQIIM39zREgt0UBXJ4AaABAg,"As soon Heard seeks forgiveness, and repents, then I'll 100%, sincerely, forgive and support Amber Heard, if she with Warner Bros., Disney, even Universal and Paramount Studios, and Twitter with these brown-nosing ""journos"" and ""BelieveHeard"" doesn't, let the Heard be silent.",Christopher Lee Jackson,1,2020-12-27T01:58:51Z
23,UgwZkIyv6csDpcV5Esp4AaABAg,Being hated is still publicity (Says every sociopath),*M A R S*,2,2020-12-26T21:26:12Z
24,UgxxH_E_oUgnTnjXcVp4AaABAg,"In Russia, we trust Johnny Depp and support him.  Amber Heard will become persona non grata in Russia.  It's strange that the United States does not require the results of a medical examination.In Russia, the Amber Heard case would not have been considered without documentary medical evidence of the violence.  Words must have confirmation.Moreover, the testimony of witnesses must also be confirmed by facts, and not just ""I swear on the Bible"", since people may well break their oath.Johnny has very strong enemies, and Amber is just a puppet.",VernA True,3,2020-12-26T19:09:45Z
25,UgzEAHvbYXhzpY4jj4d4AaABAg,I don't think anyone in the right mind would watch the Stand with the Turd in it. She is an awful actor and an even worse human being.,Thomas Mcsorley,0,2020-12-26T18:31:03Z
26,Ugz1zt21dShwYf9mgBF4AaABAg,Amber Heard is most hated. PERIOD.,Yuki Hana,0,2020-12-26T06:51:38Z
27,UgwkCQQmJzTpks-B0Zh4AaABAg,"Yikes .I know she's a.waste of skin. But gloating is unseemly when one is a as overbearing study on psudo famea  downside .  This host has the charm of a rabid beaver .  I think this person is hard to take because she's apparently drunk and or stupid with a voice like broken glass and  styrofoam covering a Yoko own song She is unprepared and unapolegetic about that  only Charlie sheen can pull this shit off Her critical remarks on the ex Mrs Depp's.voice are  as ironic as her abusing .am.abuser . Lady, If you wanna help.the victim don't add your two cents   I dunno why this gets sponsors and subscribers but it's probably not because folks take this creature seriously or find her appealing   Sorry but she's making an ass of herself and should see it for he traiin  wreck ahead",Ariel Bonzai,0,2020-12-26T06:17:31Z
28,Ugz56ADqdCT1idmMThN4AaABAg,MAN AMBERS LOOKING OLD,Ian Klingensmith,1,2020-12-26T03:15:23Z
29,Ugwv1Y7cSpq0iiBBX5N4AaABAg,"Can we just burn this witch, I'm talking about Salem witch Hunt. She's obviously possessed by demons, why not get rid of her?",Anonymous Brooks,0,2020-12-25T19:04:23Z
30,UgycNoxneled2CkqTBJ4AaABAg,"Pretty sure they’re all there for Jason, not AH. Lol. Right. It’s not “punishment,” it’s karma and consequences. Nothing more insulting than a perp posing as the victim and the victim being accused of being the perp. Such a perversion and insult to us survivors.",Stephanie Rogers,2,2020-12-25T18:55:04Z
31,UgySxQsGZveKMqlLICd4AaABAg,Opinions are like assholes. Everybody's got one. Lol,Kim Lake,0,2020-12-25T16:59:45Z
32,UgwCiedlPF6qCuAzd1R4AaABAg,Hollywood and the media are tone deaf. They are not listening to their consumers and it’s frustrating. The only thing we can do is respond with our wallets. Boycott AH and stream Johnny Depp movies! I love Edward Scissorhands❤️,Dina Dallman,2,2020-12-25T16:28:27Z
33,Ugx42O1KnCwexAMlVDF4AaABAg,"Don't mistake liberal with woke, there are many woke neoliberals which is the opposite of liberal ideology. An example to this is the Democratic party in the US, most of them are right wing woke neoliberals, including Joe Biden who in the end is also a pervert.",Gorka P,0,2020-12-25T16:21:05Z
34,Ugz5KfvogzwJwg6prwl4AaABAg,When COVID sweeps the nation……… go after the money they said. SMH!!!,AyyoShyGurlTv,0,2020-12-25T14:26:44Z
35,Ugw8zUZVsSG9w7Gi9GV4AaABAg,She’s getting blown the f out! 🤣🤣🤣🤣 Oh happy day!,LPS,0,2020-12-25T14:13:46Z
36,UgwV2X_o364mkPCZY7h4AaABAg,"Hi Tristen, just wanted to wish you, your family, other subscribers & commentators all, a very Merry Xmas & hopefully a much better 2021 !!   I also hope the kitty posse behave for Xmas !! :)",Long-time Sci-Fi Enthusiast,0,2020-12-25T12:54:17Z
37,Ugx_gJJc8GgYm75KsU94AaABAg,"I'm a firm believer of equality for all: men, women, those who are both or neither. And I am a firm believer of justice. And I can proudly say that Heard is not a victim here. As someone who knows real domestic victims, people who have been abused by wives, girlfriends, and mothers, Amber Heard pisses me off so much I swear my blood could melt ice caps.",Your Clairy Godmother,2,2020-12-25T10:59:24Z
38,UgzMN3Lag8X3XYkVTxd4AaABAg,I will say this !! Anything jonny is in I will see and I thought he was the best part of Fantastic Beasts 2 and now I'm sure like many others I couldn't care less about that movie or any Pirates movie in the future I'm done with woke studio's and I may in the future purchase and amber heard dvd if I need to level a table or something but even her image makes me wanna gag,Chris Bowlby,2,2020-12-25T09:45:04Z
39,UgwuV-9MfYbtQs9yb6R4AaABAg,More dislikes than Brie Larson. Wow! Even her parents dislike her. :o) Hopefully Johnny will win his case in the U. S and his appeal in the UK.,Stan Libuda,0,2020-12-25T07:51:20Z
40,Ugz7UMhYWmDW5HG8dzF4AaABAg,"Excellent video, it's been normalized to hate and abuse men today in our society",burgess meredith,0,2020-12-25T07:42:14Z
41,UgyaZkfTZzpZKxuPtgh4AaABAg,"Since a lot of actors are coming to YouTube, maybe Johnny Depp needs to make the same move.",Claudine Gbikpi,0,2020-12-25T06:07:23Z
42,UgxRWSFhtu8a4etPC714AaABAg,"Amber Heard is toxically evil! I'm generally the type of person who who stop and help someone who is stranded on the road, but if I recognized that it was Heard... I'd drive on. Even if it was raining, or snowing... I wouldn't even call for assistance. I'd be worried that the bitch would try to turn the event into some sort of pity-party for her; and that I'd end up defending myself from BS allegations.

Johnny Depp will be alright! It's just a matter of time before someone decided that they want to make a crap-ton of money by signing him on to play va part that only he can tap into.",Mick Psyphon,0,2020-12-25T05:09:44Z
43,UgyrUtZNx7pqDq42b_R4AaABAg,It really really does sound like a Paltrow endorsed vagina product. 😆🤣😂,Stephanie Stogner,0,2020-12-25T02:41:37Z
44,UgyTfUoWGMGy5GyZQgl4AaABAg,Well Amber herd will wish she would never have done what she done. People will not want to watch  what she stars in no matter how good the movie it is. Heck I wouldn't  even watch me if I acted half as bad as she did.,ly pete,4,2020-12-25T01:02:54Z
45,Ugytwk7NH0vEE2ZymQJ4AaABAg,Hatefest!!!,janjan agustin,0,2020-12-25T00:14:54Z
46,UgySMyaeWN-o2bTK9d54AaABAg,"Even with the media falling all over themselves to see who can demonize him the most, it revives a tiny sliver of my faith in the goodness of people to see more and more standing up for Johnny.",Joker's Prince,1,2020-12-24T22:29:02Z
47,Ugzqh4mr9IXajXhHY6p4AaABAg,"If Amber Heard had been a guy and done what she did, she would have faced consequences.",Carlos Munoz,0,2020-12-24T21:42:04Z
48,Ugz3iz4GsMhkRBywJDt4AaABAg,"We aren’t bots, Amber, we are humans who don’t like you because you are a terrible person. Liar, thief, abuser. Gross.",Joann Hess,0,2020-12-24T19:55:37Z
49,Ugy6N3V-l_YXX0T9ldJ4AaABAg,"Jeesus F Christ, this women is so irritating.
_Man, they movies are off the wall, crazy and ridiculously bad...Im not the best person to be the judge of that anyway._
Who else ? Movie critics ? Your opinion at least comes from point of experience and interest. So id say it is better than many others. 
Most definitely better than those of ""pros"". Just look how much their opinions differ from opinions of general public. In general and especially when it comes to ""controversial"" and ""progressive"" narratives.
No, il take you *giggidy* any day of the week over those pretentious assholes.
_I know Nerdettes Newstand isnt a great name._
Whaaa ? Whats wrong with it ? Because it does not adhere to some nebulous standard of perfection ? That is not even defined ? Its a great name.",Simon Grey,0,2020-12-24T19:05:44Z
50,UgyaTy0HAhMfo-wyCQ14AaABAg,"The media better get off the S.S. Amber Heard
That ship is going down ...... and not in the way Ambwr usually does (that’s the only explanation I can think of that the media promotes her lies)",Chee Chalker,2,2020-12-24T18:24:57Z
51,UgzuXkKmFf9EA1UHmoh4AaABAg,Your intro music sucks.,As Pooped By Anakin Skywalker,0,2020-12-24T17:58:56Z
52,UgytH5keq9y7bc8Pawd4AaABAg,i am glad that most people see that she is the abuser and johnny is standing up for what is right  justice for johnny depp and all victims,June Harris,1,2020-12-24T17:43:44Z
53,UgxgaCRmbPLPwtn47r94AaABAg,Unsurprising. Deserved.,The Esperanza Compromise By Jason Daniel Baker,0,2020-12-24T17:39:55Z
54,Ugx_i-V1wMuUvZi_mlJ4AaABAg,Amber wasting so much of Depp's money and they're no longer married because of her ego.,Miles H,2,2020-12-24T17:28:08Z
55,UgzmAWoS170kH6DhXQl4AaABAg,If Amber Heard has to be included in Aquaman 2 (due to contract) she should be in deleted scenes only.,Claire Jones,2,2020-12-24T17:21:03Z
56,Ugw25HCYf5M62nb6Bqx4AaABAg,Shia Labouf and Amber should go out on a date..,Omar RC,1,2020-12-24T17:09:53Z
57,UgzirVzIj3gc0Ru79Kx4AaABAg,You literally liked every comment how about a reply,cabdifataax maxamed,0,2020-12-24T16:51:41Z
58,UgyB-ap2dAb9u8WUvFt4AaABAg,"They race swapped Aquaman, and everyone was happy, so maybe this will be the same. 
Dolphin isn’t a historical character nor does her race seem to matter for the story, so I doubt most people will care. She’s also not iconic (like Lois Lane) so most people probably don’t have specific mental idea as to how she “should” look.",Rebecca Vaughn,1,2020-12-24T15:48:36Z
59,UgylWv473j1vMuMLUW94AaABAg,She's earned the most hated woman in Hollywood. People are getting sick and tired of Hollywood being hypocritical.,Lauren Rhoads,7,2020-12-24T15:18:43Z
60,Ugy_h-5zpfwe0Rw5R3p4AaABAg,LOVE it ! I did my part!,pennypowerbook,0,2020-12-24T15:14:53Z
61,UgzLAOsQzENicvp8f5J4AaABAg,"Wait... Whoopi goldberg and amber heard are in ""the stand"" ? Now I'm really not gonna watch it",BJK,0,2020-12-24T15:13:29Z
62,Ugz7nFvQmt6tL_bzACB4AaABAg,the thing is Johnny is a proven great actor AH cant act who will we be talking about in ten years time?,dage gill,2,2020-12-24T14:57:48Z
63,UgyAzTOMT7Asj1gfjEB4AaABAg,Her own fault. She's the author of her own downfall.,shinkicker 123,2,2020-12-24T14:48:02Z
64,UgzKkLPh-YTr4rb2TFV4AaABAg,Yesterday I found a newborn baby in a dumpster. They police wouldn't let me keep him. I'm still freaked out a little.,Green Leader,0,2020-12-24T14:43:52Z
65,UgwyXLn0KWyjQBj3F854AaABAg,Absolutely love the new intro,Bizzarre studios,0,2020-12-24T14:21:24Z
66,Ugza5cit5ZmJhGpclsN4AaABAg,Yeah I think the reason WB are adding another female character is because they are trying to soften the blow of not getting rid of AH fully while at the same time giving her less time when by rights because of the proof she should have  been fired however the public that know about the case will still not be satisfied JD lost his roles on baseless accusations AH should have suffered the same btw does anyone know what is going on with twitter with Nick Wallis there were a lot of tweets got a bit lost in reading them great video btw (my opinion),PICK&MIX GAMER,2,2020-12-24T13:55:39Z
67,UgzyRegfoOXBOm46fEd4AaABAg,"I think that her name's Amber Hate because it comes so naturally to her. I do think that this role she's has in real life is the reason for her existence, she's showing the world exactly how not to behave highlighting the worst.",Bright White Light,0,2020-12-24T13:26:14Z
68,UgxOJYe4gU8QgGoABJl4AaABAg,"The thing is she is so twisted and in denial that people do not like her and is a huge turnoff if cast in any movie or commercial, no one wants to see an abuser con woman.",DudeAbides,0,2020-12-24T13:05:50Z
69,UgyPKusHoFvPsv2YiWF4AaABAg,"Netflix banned his movies due to people steaming them. Maybe more are less but people did count around 15 removed , People doing vids did checking radom movies from the ban list could not find them so seems true and not a vpn thing.",Michelle L,0,2020-12-24T12:45:24Z
70,UgzPeaCQ-jVmaytcTet4AaABAg,"People are upset she is in The Stand but she plays a woman who takes it up ass by everyone because she is saving her self for Satan , She is the most evil person in the book 2nd to the Devil so its like the perfect role that she was born to play.",Michelle L,0,2020-12-24T12:40:29Z
71,Ugx6YzG519HG-ujZdqx4AaABAg,It' so rewarding that my up-vote registered the 'like' number at 666 lol.,Mary Turpel,0,2020-12-24T12:25:34Z
72,UgxxFx_w0IxTmPWo33p4AaABAg,Serves her right,Dr. Simple Beauty 300,0,2020-12-24T12:21:34Z
73,UgwuY1sjTZD9v_xU40N4AaABAg,"Even if WB get rid of Amber, not gonna watch any of their movies. They clearly support the abuser, they  will only dump her to save losing money.",James Stewart,3,2020-12-24T12:13:45Z
74,Ugy9giOSsduutPZRhpB4AaABAg,Bed-shitter AH is a psychopath. Her mask has fallen and everyone can see what she is. She is not a victim.,Kid Charlemagne,0,2020-12-24T12:06:01Z
75,UgwTK0kQwmByKo4_BMR4AaABAg,"I did think that as far the DC Cinematic Universe goes Wonder Woman, Aquaman and Shazam were good movies. The rest however just didn’t do it for me. Although to be totally fair I haven’t watched Birds of Prey yet and to be honest I don’t care to either. Oh and I also still need to watch the latest Wonder Woman, but I am planning on doing so.",Nidal de Roo,0,2020-12-24T12:00:35Z
76,UgyzERZ0JN4N_FqULyV4AaABAg,Wow I didn't see that coming😄😄😄.,Harry Jones,0,2020-12-24T11:59:39Z
77,UgyXEnRgKHHlXSTiGr54AaABAg,I actually prefer Dolphin with Garth. As for Mera I think she shouldn’t go anywhere. I think it’s a good character with great importance. However Amber Heard isn’t. She can be replaced. There are plenty of other beautiful talented actresses able to fill the part.,Nidal de Roo,1,2020-12-24T11:57:49Z
78,UgxpDJzeKUQoQyTen0Z4AaABAg,"How dare she try to take Johnny away from us!  We know what kind of person he is, we've known for 20+ years.  Now we know what kind of person she is!  Justice for Johnny",Debra Conner,3,2020-12-24T11:30:30Z
79,UgyfuFovQw7dBev5RRR4AaABAg,As Vergil would call AH “SCUM”,Strider Volcain,0,2020-12-24T11:28:48Z
80,UgxRtn39KVyOashH9214AaABAg,I and my family refuse to watch The Stand because of that beast.,Kevin stanley,1,2020-12-24T11:14:02Z
81,UgynsPrzCVn2hIN5ZGZ4AaABAg,i've talked to people who don't even know about this don't believe her.  nobody likes this woman.,chicostephenson,1,2020-12-24T11:06:27Z
82,Ugze1IdfhTJoHgTkXbt4AaABAg,Johnny has more talent in a single gesture than that person has in her reflection in a mirror. That no talent loser will learn her lesson soon enough.,gemqueen1,0,2020-12-24T10:52:49Z
83,UgzqX_neFnOByupiVGp4AaABAg,Amber worse than ebola,CYBER FLEX,0,2020-12-24T10:40:40Z
84,UgzWIwQSrqEHAB4rBCx4AaABAg,"#supportjohnnydepp by #streamjohnnyonly from December 26th 2020 to January 1st 2021 #jdmovieweek 
#share #like #comment 
#justiceforjohnny #support4johnny #johnnydeppmoviemarathon #ilovejohnnydepp #johnnydeppfans #johnnydeppmovies",Leanna Hostetler,0,2020-12-24T10:31:05Z
85,Ugy7EW-Ohwr1yzcmttt4AaABAg,Thanks 👍 for the consistent slams! ;) I used to hang out with Amber btw. I knew her when she 1st came to Hollywood. I agree with your view of her entirely. Go Johnny Go... Go!,Ed Vizenor,1,2020-12-24T10:22:31Z
86,UgxDjER49BMsF5RQfM94AaABAg,"Thanks for the video! ^^
Have a great Christmas Eve Tristen!! 😘",Kamyus GS,0,2020-12-24T10:13:54Z
87,Ugz7ZX4yhOtQn3Z4bB94AaABAg,"WTF its called Pinkvilla because pink is like lady bit's and a villa is a place you can stay in, so the name sounds like they are saying they have a pink place you can stay in lol

It would be like me turning my pants pockets inside out, taking a picture and then using it as the main logo for my new business that I've just called White Elephant 😂",Garrie Catlow,0,2020-12-24T10:03:09Z
88,UgxgE26QJUBFEGlgCDR4AaABAg,"#WBIsTrashDCUniverseSucks
#ATTInTheToiletAndIsBeingFlushed
#HBOMAXSucks
#CBSAllNotAccessed
#ScAmbeberAndtheMyTruths
#WhitneyAndTheFloorSleepers
#AmandaAndTheFlipFlops
#JoshAndTheKnivesOutCrew
#MelanieAndTheMakeupArtists
#RaquelAndTheFreeloaders
#LaurenAndTheBeadMakers
#WBAndTheMediaManipulators",Van A. Johnson,1,2020-12-24T09:56:29Z
89,UgyAbY512lTnIRN4CQ94AaABAg,You talking sounds like you hurt your brain...,Metjammer,0,2020-12-24T09:52:09Z
90,UgxdXf8XNLxHjys4Y-J4AaABAg,"Loretta Thanks Jesus
AH disrepects women who have really been abused.  As a child, we would open the door to our neighbor at all hours of the night, because she was running away from her abuser.  In memory of her, I find AH’s smear campaign despicable. In solidarity with all those who quote AH’s ignorance ... “They won’t believe you because you are a man.”  AH is not a victim.",Loretta Thanks Jesus,3,2020-12-24T09:36:50Z
91,Ugxq47a0QeObfyZhAFV4AaABAg,The tables are turning.johnny will win.she is a little 👽💩,Denise Butler,0,2020-12-24T09:25:51Z
92,UgwCP4npPqtbZErH9UR4AaABAg,Amber Turd is nasty piece of work,Neha Chand,0,2020-12-24T08:57:32Z
93,Ugx_tN2q_uM6i0IG1w54AaABAg,Murdock owns the news that reports stuff? Thats what i think?,Peanut Gallery,2,2020-12-24T08:51:21Z
94,UgxnosANYjXShQGY7b54AaABAg,"As if we didnt her being most hated, we saw that 1.7 million miles away...",Peanut Gallery,0,2020-12-24T08:49:34Z
95,Ugw2ghMZohs-snP5zW94AaABAg,I hope that nasty sheet shitter is seeing & hearing all of this considering we are bots!!!,Renee Hampton,0,2020-12-24T08:43:37Z
96,Ugz3ff3piOyj46hUHGd4AaABAg,They don't have to get rid of Mera just get rid of Amber. People only take issue actor changes if the person is well liked in the original which Amber obviously isn't. You have people all over the internet making suggestions to replace her unless she made a similar deal Johnny Depp did in regards to Fantastic Beasts where got paid for the full movie that he's not going to be in. However I don't believe she had that much clout to make such a deal.,Louise Wilson,6,2020-12-24T08:34:54Z
97,UgyUEnpRh6lQ8MvfqqR4AaABAg,"We're  not bots, we are real and we believe Johnny.",Jordan Stevens,3,2020-12-24T08:24:54Z
98,Ugz36DhR9wLxTWu_A8F4AaABAg,"Meh, I’m ok with saving my money",OneEvil Clown,0,2020-12-24T08:18:48Z
99,UgyCkAfUWZXqMQXfEIl4AaABAg,"Hey Tris, hope you have seen the tweets from Nick Wallis about the docs being submitted for the appeals case. It's a long one",Michael Hatchard,1,2020-12-24T08:04:53Z
100,Ugz4v-9wA_fe7hXWViV4AaABAg,After month of not having a win for #justiceforjohnnydeep movement (I consider it one) we finally get some wins!,Kris Tality,0,2020-12-24T08:01:29Z
101,Ugwmsa7x1OVaN-1yAu14AaABAg,Wb is seem like chalenging JD supporter with still hire AH in A2,smokey 55,0,2020-12-24T07:55:58Z
102,Ugx2vHvHJSIIX5fry1x4AaABAg,I think Johnny is a man who a con like amber took advantage of for money and anyone would be mad at her for what she did except most. Except most men or women would have actually bitch slapped her for her behaviour but it’s clear amber was the abuser and Johnny tried to defend himself ambers was mad he dumped her ass,Julie Hitchcock,12,2020-12-24T07:47:07Z
103,UgxkkdsFpqmc51WSIOF4AaABAg,"I am so happy that so many people get it,  the corporations that employ Amber don't but they are getting backlash for that and they can't be loving it. Then MSM, some of them are being stubborn in not acknowledging what they must know the truth to be. Shame on them, but they answer to us and they will have to listen or be remembered as being on the wrong side.",Kate Gould,1,2020-12-24T07:28:15Z
104,Ugy4QIZAGWXDEYBKRj94AaABAg,"Yep I'm now considering getting some of Johnny's movies, I hope Amber Turd gets what's coming for her in 2021",Joseph Travis,0,2020-12-24T07:18:13Z
