,id,comment,author,likecount,publishedAt
0,UgzwzVLJJkDjDEe3Ll14AaABAg,"If AH looses the VA trail. What becomes of her ""baby daughter""? How long has the infant been in her care. If it's Musk does he take care of the child or sadly go to social services? Any one now? Or can it go back to the surrogate mother? Thats what I've been wondering when she told the world that she is a mom now.",Erica,0,2021-09-17T08:08:53Z
1,Ugz52oTH0IBqD0h8vR14AaABAg,"(Heads up: I have posted this on several videos, hoping that Lost Beyond Pluto might see it. Sorry for the spamming) 

Dear Lost Beyond Pluto, I miss watching your legal analysis and professional translations of all the ""legaleze"" into layman terms for us. 
I get that you are clearly having much more fun with your current format of talk show with someone you care about and feel comfortable with. It clearly shows, and you look like you are having such a good time. And I want that for you. 

I just miss having your unique and sharp and simple breakdowns of a case that has been so complicated and felt so confusing (the AH/JD case). 
As someone who is still living with long-term consequences of prolonged emotional abuse (it's nearly 20 years later and I am still having a hard time trusting anyone or even functioning as an adult), this case really got to me. Hearing those tapes really punched me in the gut, emotionally. 
One of the things that have been so devastating for me, is that no-one believed me, and that's what I see repeated with Depp. 
...and the let-down and despondency so many victims of abuse felt collectively after the UK ruling...! Well I know I'm not the only one who took that really hard. 

I continue to follow this case because I am so personally invested, but I really miss your expert, clear-cut and qualified analysis and take on the developments. 
I would so much like to hear your opinion on the paper that just came out, using the UK ruling as a case study and minutely and systematically assessing the credibility of AH. The paper is called ""Assessment of Credibility of Testimony in Alleged Intimate Partner Violence: A Case Study"" and can be found here https://www.tandfonline.com/doi/full/10.1080/24732850.2021.1945836",damnitalexis,0,2021-08-03T14:37:03Z
2,UgxOMyZczBs5LuvmprB4AaABAg,"Leave me alone Emma!!
You're obsessed with me! Get a life!",Hell Nah,0,2021-06-09T19:40:36Z
3,UgwsXzaDrZV8_nI2Tix4AaABAg,You are the biggest liar in the entire world,#JohnnyDeppIsARapist!! #JohnnyDeppesracista,0,2021-04-15T23:44:12Z
4,UgyuHSD7eHfJATDpbrJ4AaABAg,Sounds like Whitney Heard is a pathological liar just like her sister.  Also sounds like her texts to Jennifer could be viewed as witness tampering.,Kelley Lynch,0,2021-01-16T16:22:50Z
5,UgzQJzYW60CSJS4LuQV4AaABAg,"Regarding Jennifer Howell's evidence being hearsay, Josh Drew had the same amount of people in his chain of hearsay, but the judge gave his evidence a lot of weight.",debiindoors,0,2021-01-12T19:41:47Z
6,UgzkwBxR10HEei53vVF4AaABAg,"i do  not think we will see AH in Aquaman..the VA case is in May, & Aqua starts filming in summer...i think, this time, she's goin down, especially w/jury verdict...cross fingers!! WB would have to pay her, as they did w/ Johnny, but i not betting on Amber in Aquaman 
.",scrupples t,0,2020-11-19T00:17:02Z
7,UgxVboKDPiOds0Uryi94AaABAg,Why have the voice recordings of Johnny and Amber’s arguments never been used as evidence,Esther Marlatt,0,2020-11-05T23:26:56Z
8,UgyWjQ_HcWXlKojKV5x4AaABAg,johnny loses..as I knew the whole friggin time..so many apologies shld come my way,Jedimaster420,0,2020-11-02T12:35:52Z
9,UgwjhgVKegqm09igPYF4AaABAg,enuff...THAT SHE JUST WON THE CASE..LOL,Jedimaster420,0,2020-11-02T12:35:27Z
10,UgwyYW5-iJOctdFNG_Z4AaABAg,I am another justice for Johnny. And i just love how you break things down. I pray every day that this evil woman Amber is held accountable. She gives all women a bad name.,Angel3y3z,0,2020-11-02T00:17:46Z
11,Ugy8NgOigD3uIzGqPPh4AaABAg,"Goodness, AH was actually threatening to throw her sister down the stairs. Who would throw a baby down the stairs?",Rose Harvey,0,2020-10-31T11:37:23Z
12,UgzPBXFBX9zUz5wZ1h54AaABAg,I'm very impressed on your knowledge of law and procedures. Just please say no to defending Amber if she gets arrested in Australia for perjury.,Jeanine Foster,0,2020-10-28T06:39:48Z
13,UgyhcQGIr9Ks5Cub-fF4AaABAg,"why hasnt depps sister ever been called or his kids,or the maids that had to clean up these alledged fights to cooperate their were damages.it seems as apolagetic johnny is to his posse  when amber disrespects them, he would in turn do same to his house staffers.and conversations to what went down would be vital.",Deb Fountain,0,2020-10-27T15:40:41Z
14,UgwOJreHyDHd25cOJe94AaABAg,Honestly if it impeaches sworn testimony of a witness as to their truthfulness it can swing an entire case. Especially the weight that witness testimony brought to that sides case.,Van A. Johnson,0,2020-10-25T10:19:42Z
15,UgxfW6BQd-gPsrh6D-B4AaABAg,My darling husband Johnny is not going to lose that uk trial,Lindsey Depp,0,2020-10-24T22:13:16Z
16,UgwaWb39arZVIovR34x4AaABAg,"Amber is dreadful. Fun fact: Emanuel Swedenborg was actually Swedish. Checkout swedenborg.com to download a free copy of ""Heaven and Hell"". You know it makes NO cents.",Paul Manning,0,2020-09-29T08:35:29Z
17,UgwOT77V4xepfyXhSqJ4AaABAg,Wow you are amazing!  So smart and excellent at explaining this information.  You’d make a great teacher.  Thanks for taking the time to make these videos.  Well done!,Psyche Revival,0,2020-09-27T03:16:12Z
18,UgymO-yiIOXoGG5O4Wl4AaABAg,"One thing I do believe johnny is doing, is he isn't telling people about the amount of abuse he dealt with, because he is only sharing the incidences against AHs claims. If Amber only mentions 14 incidences she can turn on herself as a victim, there would be no reason for johnny to tell the world about the rest of the abuse that happened. Which sounds to me is well over 14.
Such as the door incidence... Which Amber doesn't even acknowledge Anywhere",Laura UK,0,2020-09-21T12:44:54Z
