,id,comment,author,likecount,publishedAt
0,Ugyf39M5nDis-LVaStV4AaABAg,"Yes I think she needs to be Charged and face time.  If she isn’t, she truly needs help via psychological treatment.  Such a shame...she is so Beautiful.",Bernadette Kuhns,0,2021-10-08T03:19:04Z
1,Ugw-brl_S9twvDGANx94AaABAg,"Always wondered about those cheeks, they’re implants.",Janny hawkins,0,2021-10-04T19:44:13Z
2,Ugww37GpUIKd4MbLggF4AaABAg,"Such a clickbait title! No new information's about the case in this video but nothing to do with your title: 
""Celebrities EXPOSING Amber Heard & Her Rise to Fame (Gal Gadot, Jason Mamoa, Emilia Clarke)"" - Where are the ppl from your title? You have a shitty, clickbait channel.",fran zsi,0,2021-09-07T13:01:11Z
3,UgzUEiPOU_RCpG0F_kV4AaABAg,"I can only say a hit without a blackeye is rare. Amber, I am a survivor of domestic violence as well as mental abuse you, my dear are not. I am totally convinced of this!. I do not care what you may claim. Survivors, men as well as women, do not need nor want you crying wolf and lying about being abused. We, the true survivors, have suffered enough. You clearly are suffering from something but I do not believe it to be domestic violence. I pray you may receive the proper help you are so desperately in need of.
Sincerely, 
Wishing you better mental health

P.S.  Not a fan of either of you",Dar-Lynn Spires,0,2021-09-06T06:12:20Z
4,UgyiaDw7jmJDDdNw1mJ4AaABAg,Stop with clickbaits,Valar Morghulis,1,2021-08-10T06:31:17Z
5,UgyyyPlhcPcRa-aeyvp4AaABAg,"If you’re about to watch this. Just know it’s Click Bait. This is basically all the well-known reports. Don’t waste your time; however, We can all agree AH will get her karma 10 fold.",Wolf Lord,0,2021-08-06T03:44:53Z
6,UgwzUtRJHT-M9w8X4794AaABAg,Team Johnny 🧡,rita rabaa,0,2021-08-04T02:58:29Z
7,UgyksPEe5rIdOFXk4cN4AaABAg,Amber Turd needs to be punished for ruining JD’s life and career.,Claire Jones,1,2021-07-29T11:12:51Z
8,Ugyy8WDBXCxsN4pAHIN4AaABAg,#justiceforjhonnydepp,kamal preet saini,1,2021-07-28T16:23:31Z
9,UgypBd76LDlZtsvmgih4AaABAg,“Johnny Made Him Clickbait”,Mister Mr. ᛗ,0,2021-07-27T11:30:25Z
10,UgyvuXgwV42U33JYxqt4AaABAg,"While in the rest of the world.. Economy is dwindling.. Joblessness, covid vaccination, climate change, pornography ..total dependency on machines on the rise🧐",samantha q,0,2021-07-26T12:13:53Z
11,UgzG07bJDmo_WmaTnbN4AaABAg,Amber...forever known as Johnny's psycho ex! Enjoy your fame Ms. Thing.,Kallen868,0,2021-07-26T01:12:11Z
12,Ugxe_M_YEKk6cb2ARZx4AaABAg,The arresting officer in Seattle whom Amber accused of being 'misogynistic and homophobic'.....is actually a lesbian. FAIL!,Trog Lodyte,1,2021-07-24T23:39:47Z
13,UgxHv0vjDIuE3kLyo4t4AaABAg,And that is exactly what a narcissist looks like everybody....Evil witch Amber Heard,Victor Gauzza,0,2021-07-21T20:04:22Z
14,UgwaLx9uAt1gJZeSL2B4AaABAg,She should be jailed for defaming and ruining the career of Jhonny depp. Jhonny told that she had Defeaceated on his bed. What a disgusting and nasty women.,Nik Vik,0,2021-07-19T15:29:00Z
15,Ugz4c3cZ8SmW_TFEESl4AaABAg,"I remember yrs back woman all helped destroy JD career.  Now these same woman are now acting like they weren't part of that. 
They have no shame in destroying a mans life, & are very satisfied by thier actions of that I'm sure. 
Even some of stars that backed AH are now all acting like they never said a bad word about JD.
Gas lighting like innocents & his pals  all of a sudden. 
Like people won't remember harmful lies spread about JD by those same stars. 
Same goes for all the turnabout woman whom left thier remarks for all to see throughout the yrs helping to ruin a mans life based solely on lies. 
I hope all the woman that did this suffer a whirlwind of truth bombs for thier complacency in destroying a innocent mans life, to make a abusive woman look like an angel.",Steve Evans,2,2021-07-14T12:02:06Z
16,UgxhFFSlq1q7nwG2JqV4AaABAg,This channel should be banned from YT.,Muscles from Brussels,1,2021-07-14T05:53:54Z
17,UgxWRiSXWNvyYNyLArN4AaABAg,This FilmStreak is just a click bait agent with misleading titles and same old story that we all know. Reported!!,Pretty Fly,1,2021-07-13T22:54:56Z
18,UgzYak3-qtdJaE7gBTd4AaABAg,"If Amber Heard went missing, I don't think anyone would care.",Dreyden,6,2021-07-13T08:41:36Z
19,Ugz1foDxjSZ0HycnbP94AaABAg,"If he were a violent person it wouldn't have started this late in the game( not that he's old) It's her,she's no good!!",Terry Beter,7,2021-07-12T15:49:06Z
20,UgwTsbylOAjiNzUYAdB4AaABAg,Don't forget one of the office's was a woman who's lesbian so her claim that they were homophobic was unfounded lies. #Justice4JohnnyDepp.,Toothless,1,2021-07-12T14:09:37Z
21,UgyzkRJcXd4GGYeRQ1R4AaABAg,Tarred and feathered. That’s what she deserves!,Brenda Rivera,0,2021-07-12T09:04:44Z
22,Ugwc2SSPJZr4pOpoVEV4AaABAg,I'd venture to say that Amber has a lot of Yes people waiting in the wings for that big payout . They will say and do anything that Amber wants them to with a sizable payday in the end. Her narcissism will continue to ensure the group to hang in there....that BIG payday is almost there. As long as they do and say what she instructs them to do.,Sarah T,3,2021-07-10T02:23:40Z
23,UgyssxQ4xsqaDIp7Qz14AaABAg,#cancelslanderturd,Rose B,0,2021-07-09T16:29:43Z
24,UgwlRobpO_nF0dRWz-t4AaABAg,#justiceforjohnnydepp from தமிழ்நாடு,20 Bala Murugan,1,2021-07-09T06:40:36Z
25,UgwuNZBxwRCAnB5sFJt4AaABAg,I hate her so much she doesn’t deserve him of this points screw her #justiceforjohnnydepp ❤️❤️❤️❤️,Miss Depp,0,2021-07-09T02:27:23Z
26,UgwCozJ27pij-Ugvu8F4AaABAg,The world is not conflicted. She is the abuser.,Tommy Pain,0,2021-07-09T02:05:33Z
27,Ugx7ZrUTIGgeQvTVnsR4AaABAg,Curse thou clickbait,aish pandey,2,2021-07-08T08:19:10Z
28,Ugzy--DeDnyteStIFel4AaABAg,No turds in the ocean please,General Grievous,1,2021-07-08T06:36:59Z
29,UgxcIhnhM2ntEallBY14AaABAg,Jail her,Linda Z,0,2021-07-08T04:08:26Z
30,Ugyivo-_Ui6wHtV_JsB4AaABAg,"Amber is the abuser,  not Johnny.  He has no history of abusive behavior toward anyone.  He's well known by his many friends and co-workers as a gentle, kind and generous soul and I believe it.  Amber, on the other hand, does have a history of violence and unstable behavior.  She's high strung, addicted to some very potent and illegal drugs, as well having a very bad temper.  One day, she'll pick the wrong person to abuse and get the sh!t kicked out of herself.  It will serve her right, too. I wouldn't go pay to see her in any movie after the way she's treated him, and others.  I feel oddly protective of Johnny, even though I can't actually help him.  (I'm his distant cousin, for what it's worth).",Marta Womack,4,2021-07-08T03:08:49Z
31,UgxH0vwVSD-fISCNMVB4AaABAg,Lock her up already and send to maximum security prison,Crystal Gonzalez,0,2021-07-08T02:30:45Z
32,Ugx0MBqB2ACTj9E53a94AaABAg,"Amber Turd is Guilty 👎 

Justice for Johnny Depp ❤️",Venom Neff,6,2021-07-08T00:03:22Z
33,UgwDgnv8f7Gg11E0Gj14AaABAg,"Is a shame she’s a total bitxx 
She could have been the perfect Sharon Stone in a Basic Instinct remake.",M,2,2021-07-07T10:48:59Z
34,UgytU1JtObnHA8HPqa94AaABAg,"The evidence speaks for itself, AH is a perjure and should be jailed.",Andrew Spence,9,2021-07-07T09:06:34Z
35,Ugw-wW4wB305hjx-F114AaABAg,Amber Heard should be jailed for perjury.,Kevin Jang,0,2021-07-07T08:16:43Z
36,UgzoPc9d1ifuIuRzI8l4AaABAg,#justiceforjohnnydepp,Louise Marriott,4,2021-07-06T17:59:18Z
