,id,comment,author,likecount,publishedAt
0,Ugz6lSpyZa5WRzau7FB4AaABAg,This swamp monster disgusts me so much I can hardly bear it it!! Satan’s spawn I’m talking about!!,Christine Lloyd,0,2021-07-03T11:47:41Z
1,UgyQyKpdy4xOQe9Gj0x4AaABAg,"So if A.H. is found 2 b liable 4 either 50 mill. or 57 mill. I would b afraid 4 J.D. because I think A.H. is a very unstable person, and no1 knows how she would react 2 that kind of news...so they better give her hail time 2...",Dana Craig,0,2021-06-17T07:41:36Z
2,Ugxdfkp7dS-tum1-Xsd4AaABAg,"My opinion on this vid is, I believe both the ACLU and A.H. used each other, they just both got caught, so it depends who throws who under bus 1st..and I feel they r both equally guilty so they both should be punished . Because u both said it correctly, A.H. was hoping 4 attention ( media wh""re) and ACLU were depending on political clout 2 b thrown their way and all the while both these parasites were ready willing and able 2 wreck a good person's life and reputation...NASTY...then add E.M. 2 the mix...another user, but I think that he wasn't ready 4 some1 like A.H. just like J.D. A.H. swooped in like a tornado and took over his life 2...but the kicker is that I feel in my heart that she has dirt on E.M. and is using it against him 2 force him 2 do her bidding...and my last observation is that when I heard that audio between J.D. and A.H...J.D. says 2 A.H."" u really don't want 2 take this 2 court "" and I believe that he said this , not 2 threaten her but 2 help her out of making herself look totally evil ( like she really is) and that's y he wanted thr NDA, not 2 save his reputation but 2 save hers...and she didn't listen 2 him and flapped those big lips. So finally after protecting A.H...J.D. realized that he couldn't help her anymore . especially since A.H. and ACLU were trying 2 take his livelyhood and reputation from him....He is so classy and compassionate, while they r evil and trashy...J4JD",Dana Craig,0,2021-06-17T07:13:40Z
3,UgyFXKkzunRygOISd694AaABAg,*does water ever rise above its own level? jd & the west m 3-- kile that guy is his bf or something*  they all deserve what they get..the aclu has been a terrible org  for a few decades  now*,*Vintage-RED-CARPET & Masonic-GOOD OLD DAYS *,1,2021-06-14T19:30:40Z
4,UgxdOq-ltJ2iiSIHpOB4AaABAg,Looks like the ACLU was using this as a hit piece against the Trump administration and trying to lobby for money before the congress was packed (this is just before it was packed with Republicans). Johnny Depp needs to SUE THE ACLU!!!!!!,Dr. Simple Beauty 300,0,2021-05-31T19:29:34Z
5,UgyowqaHp7eoxE81TiB4AaABAg,"Johnny won't let it go that far, he's fed up. As soon as he clears his name, he'll be like ""I'm done"", He'll be back to work!  She will be pissed off because she will fade away as one of the most hated women. She gives women a bad name with all her trickery. No one will hire her because she has no talent as an actress. She plays one role, Victim, but a dog can play that.",Island Girl,0,2021-05-30T21:37:04Z
6,UgxFoFfZkTOHRvedwOJ4AaABAg,"They're really big in Atlanta, from whince I come, always they've been so full of poo. Can't stand them. They've defended many who really were in the wrong but oh they screamed so loud. Drama queens all. They've gotten many criminals off the hook. They have a lot to loose if discovered.",Anne Thompson,1,2021-05-29T19:02:54Z
7,UgxyxeOk2PJYoClXCXF4AaABAg,#AmberACLU,FYO PIX,0,2021-05-29T14:56:50Z
8,UgyZPrAWYACNMNwyFpl4AaABAg,"There was not hundreds of paparazzies and there was no ""wrath"" coming from them. I could actually hear only one voice . And he was  conveniently dropping these questions that force the narrative 😠",Anu Ranttila,2,2021-05-29T12:14:15Z
9,Ugw7wDquDoevwvW9Cul4AaABAg,"I would think that (now that it's becoming known how deeply the ACLU's involvement seems to be) all of this info alone would call in to question any and every case the ACLU ever had anything to do with- going back decades- on domestic violence/abuse/etc.. Amber is complicit with it all, plain & simple, and they'll all go down together like the Titanic.",staci hull,0,2021-05-29T01:03:40Z
10,Ugz9jYEz1n9VpcFU9-94AaABAg,Thank you for keeping up the heat on that wretched liar AH. It is really helping turn the tide in JD's favor.,Luminya M,4,2021-05-29T00:48:17Z
11,Ugwy8EBiTE4NMxZMpWl4AaABAg,"She definitely  rang the press and will have said J.D.s  wife  was filing for a restraining  order, because she doesn't like using the word temporary as she likes everyone to believe she actually got a proper  restraining order, of which she was denied. The press probably wouldn't have turn up if she had given her own name, they'd not know who she was.",Wendy Whitter,10,2021-05-28T22:20:17Z
12,UgzC9ntI4dSC4cmnBjd4AaABAg,I agree who the hell has she said who her did she hire to protect her from the amount of lies and rumors she never got proven them true and she never said any facts against Depp and what actions has she done lies to fired Depp from his movie roles and to destroy his image and she cut off his finger  from this entire fight or fiasco she will just lie her butt off I mean that her entire plan lie after lie she will not stop until Depp gets destroyed  with no money and with no roles while she gets fans base  and gets movie roles who in damn world is protecting a woman like heard ?,Jake Chapman,5,2021-05-28T20:51:42Z
13,Ugw9-jDPa6wa-FxDEep4AaABAg,...and they didn’t say anything like “are you lying”.  She cannot tell the truth to save her soul😡,Stacey Vitale,12,2021-05-28T20:13:24Z
14,UgwORC8iRgbHC640xqh4AaABAg,"Great vídeo Dr soup and dan you are awesome, justice for my beloved hsndsome ángel jd, go jd go, we are with you,not matter what",Carla Castillo,4,2021-05-28T20:13:21Z
15,UgzqeZcKY8cCDagksyN4AaABAg,Hundreds of photographers?  There was maybe a dozen 😂,Stacey Vitale,11,2021-05-28T20:12:18Z
16,UgzAmtO6V7ffu180yh54AaABAg,"Yes, the injury on her face is located at the exact same place then the one she has in zoombiland",Guy Mercier,11,2021-05-28T20:11:36Z
17,UgxBNd--1-A87U5-ngx4AaABAg,Great stream Shelby and Dan.,Sunshine,9,2021-05-28T19:48:51Z
