,id,comment,author,likecount,publishedAt
0,Ugz7szm29LHK1nOIWZV4AaABAg,Amber heard is a complete abusive lier  what in hell do we need her from heard seriously ?,Jake Chapman,0,2021-10-14T16:15:25Z
1,UgwSeLAGoNbdtJhx45t4AaABAg,"I have seen this! Note Dogs had there been glass everywhere! I know for a fact your animals would have got glass in there paws. Plus the animals would be freaking out from said abuse! A Roommate threw a chemistry beaker at her boyfriend it was cleaned up but, my cat. When I got home had walked all over my apartment bloody paw prints everywhere. I got my roommate’s stuff together for her and threw her out!  I am a girl and I have seen how bad a girl can lie against there boyfriend and be malicious and sad pathetic liars! Had it not been for her boyfriend cleaning her mess up from my apartment! My cat would have been worse. The couple who lived upstairs heard it all and told me everything. I had always lived alone through college. Due to stuff like this it took me weeks with a shop Vac going over my hardwood floors to get all the fine pieces of glass out of the cracks in the wood floors. My apartment was huge! She wanted her 75$ for rent back because she did not stay the whole month. I said sorry the cats bill was 580.00$ it’s going towards that! Plus your sweet boyfriend who was not abusing you, stayed and helped me clean it all up. He has been My non-abusive husband for 23 years now! Plus our two children and 2 dogs and 2 cats! You should not lie and get caught. It can mess up your whole life. 25 years please stop stalking him. He is not coming back honey! #justiceforJohnnyDepp",Sandra Frazier,0,2021-10-12T17:38:15Z
2,Ugw48mcz191hMfzfPLd4AaABAg,"Watch the movie ""Gone Girl"" the similarities are astounding! The film was also released one year before Johnny married the psychopath! ugh >>>  https://youtu.be/CdxInrVPUzg",Robin Hood,0,2021-10-01T03:14:35Z
3,Ugwfd-tnAXXaS9Qu7UJ4AaABAg,"Your passion thrills me, thank you so much for supporting  Johnny Depp!",Sabitanath Krishna-Biswas,1,2021-09-12T15:36:44Z
4,UgwWz1w3bmkKnk8W_J94AaABAg,"AH is a certified liar.
justice for Johnny Depp",Rebecca Villarin,0,2021-09-11T14:58:20Z
5,Ugx0hS_NvQhXDlIO9-B4AaABAg,"I have been following you for a while, I'm a sub and am just now seeing this video!?!?!. That's F'd up!",Patty Nielsen,0,2021-09-08T16:29:55Z
6,Ugw_9-gxeVy1j5nJjC54AaABAg,"Yo how is this dude so upset, so often?",luchador1764,0,2021-09-04T22:46:30Z
7,UgxfVZjChJdMuPES-Bp4AaABAg,Go Jonny Depp all the best with your Court Case..Much Love you got this J.D..,Sherilee Rangi,1,2021-08-15T05:42:41Z
8,UgzFSbaCMXrQY_W8EQR4AaABAg,"There was no way that JD was going to win this case, in the UK... The newspapers in Britain all rely on misinformation and gossip...Here, in the US we always considerred those type of papers and magazines as being rag-mags or gossip news...but in Britain this is considerred real, factual news... 

If JD had won his case... thousands of celebrities would have then been able to sue.  He lost before the case even began. Just like our DOJ...FBI, and Congress...the UK is as corrupt.",Kim Smith,0,2021-08-05T12:19:07Z
9,UgzQf1ALRi0NlVEi61x4AaABAg,Justicia para Johhny Depp esa difamadora merece la carcel,Isbel,0,2021-07-31T06:39:22Z
10,UgxHwfTMngs7OceTHN14AaABAg,Crazy!!!,Angelica Pursley,0,2021-07-20T15:22:45Z
11,Ugyu9fjtgAS9oSQyIRJ4AaABAg,The British Justice System Is a Bloody Joke tbh love. #jystic4johnny #johhnydepp sending you love from Scotland ❤🏴󠁧󠁢󠁳󠁣󠁴󠁿,Margo Walker,0,2021-07-18T20:18:41Z
12,UgzqnT1Tvb4CDlMojuh4AaABAg,For million air how is it a glass bottle Broke 2 silver candle stands if there sold silver unless they went to cheap store for silver plated lol I'm from Somerset uk and I #justiceforjohnnydepp 💖,Michelle Trunks (shelly),0,2021-07-13T00:25:05Z
13,Ugy-D9lQQXl2smXWlP54AaABAg,"This is insane I agree. I have noticed this whole world is insane and it is getting worse.
Common sense is dying, everything is upside down. Thank you Popcorn Planet for your videos,
they are important since many people can not think for themselves.",AnnemieM,0,2021-07-07T05:10:39Z
14,UgyKBrfiDrQSBi6lpKN4AaABAg,Amber is so dumb she is crazy all she wants is that money from Johnny,Jessica Jones,0,2021-06-25T05:40:42Z
15,UgyoRaXTh4vf2pfxHRd4AaABAg,Justice for Johnny depp,Jessica Jones,1,2021-06-25T05:27:32Z
16,UgxPI3df52zLpWITOxp4AaABAg,I am from the UK and I was shocked that it went Amber's way. But my husband said that the people who own the paper have alot of say over the justice system so the judge wouldn't go against one of riches people in the world!! I hope she gets what is coming to her,Alisha Clarke,1,2021-06-09T15:49:52Z
17,UgwDTJvWONiomM3rrb94AaABAg,i feel so bad for johnny,NAN_BOOL INC,0,2021-06-08T05:17:04Z
18,Ugzj92mWEB4M-a_gCpF4AaABAg,Hey dude they didn't play a commercial I think they scrubbed you but I agree with you it is infuriating that and YouTube sucks,J ASH,0,2021-06-07T09:15:17Z
19,UgzZGYi0xXNYJ5DEGg54AaABAg,Another suppression tactic is that you can use a hashtag in front of Johnny's name and there is absolutely no page but if you put a hashtag before Amber's name you find all kinds of shit. I guess when your friends with Elon musk you can influence Facebook Twitter youtube and everything else,Myst Silver,0,2021-06-05T16:05:00Z
20,UgwL52BVhhvFixuB2It4AaABAg,"If two cops are called out to THE Johnny Depp's penthouse I'm sure they would remember everything even without taking notes!! 🙄
So hope he wins in Virginia 🙏🙏🙏",Christina DK,0,2021-06-04T08:21:48Z
21,UgzP6Pjo7AN7SumTHc14AaABAg,"Like most men, it's hard to express just how much cases like these anger me (women who make false domestic violence claims against men, knowing that it's an almost guarantee win regardless of evidence, and they will most likely walk away with the house, the kids, and half their husbands pay for the rest of his life). But I can't imagine how frustrating this must be for women who ARE victims of domestic violence, when women like Amber Heard belittle such a serious issue for publicity or money or spite or whatever her particular reason is.",Willy Gonutz,0,2021-06-02T15:39:07Z
22,UgwKiYItNmdOdjCC7K14AaABAg,Johnny's bodyguards two of them were there that night,Doris Ryan,3,2021-05-29T20:30:07Z
23,UgwhPgGIoj6tjtif_PJ4AaABAg,She obviously slept with the judge,Kayla Mcmartin,0,2021-05-26T17:09:31Z
24,Ugwb6xiRmAFcjyAqsGB4AaABAg,No add but don’t stop,Hinana Uzumaki,0,2021-05-26T05:27:40Z
