,id,comment,author,likecount,publishedAt
0,UgztpKgEKM1a_xyIr994AaABAg,#justice4JohnnyDepp,Anabelle Adalin,0,2021-09-30T03:17:16Z
1,Ugw-b20fSADU9Bp3jfB4AaABAg,My first time here and got to say I'm a Potter fan too ....love this video and the amount of work put into it thanks 😊 I pray for JD,Ana Isabel Mayor,0,2021-08-29T18:18:00Z
2,UgygiriFcmXJmvSx61h4AaABAg,"(Heads up: I have posted this on several videos, hoping that Lost Beyond Pluto might see it. Sorry for the spamming) 

Dear Lost Beyond Pluto, I miss watching your legal analysis and professional translations of all the ""legaleze"" into layman terms for us. 
I get that you are clearly having much more fun with your current format of talk show with someone you care about and feel comfortable with. It clearly shows, and you look like you are having such a good time. And I want that for you. 

I just miss having your unique and sharp and simple breakdowns of a case that has been so complicated and felt so confusing (the AH/JD case). 
As someone who is still living with long-term consequences of prolonged emotional abuse (it's nearly 20 years later and I am still having a hard time trusting anyone or even functioning as an adult), this case really got to me. Hearing those tapes really punched me in the gut, emotionally. 
One of the things that have been so devastating for me, is that no-one believed me, and that's what I see repeated with Depp. 
...and the let-down and despondency so many victims of abuse felt collectively after the UK ruling...! Well I know I'm not the only one who took that really hard. 

I continue to follow this case because I am so personally invested, but I really miss your expert, clear-cut and qualified analysis and take on the developments. 
I would so much like to hear your opinion on the paper that just came out, using the UK ruling as a case study and minutely and systematically assessing the credibility of AH. The paper is called ""Assessment of Credibility of Testimony in Alleged Intimate Partner Violence: A Case Study"" and can be found here https://www.tandfonline.com/doi/full/10.1080/24732850.2021.1945836",damnitalexis,1,2021-08-03T14:36:11Z
3,UgxUMkUhmSAmpxQy0rd4AaABAg,"I think I got about half way through this to figure out that Justice Nicol has obviously been paid off here. Lets not forget that The Sun is in a bad way and is owned by one of the richest and  most powerful men in the world, Rupert Murdoch.

I have little legal knowledge but even I am speechless at this stuff. I even ask the question as to why the trial was necessary when Nicol could have made this judgement from a brief internet search. But then, British courts are appalling and judges are as corrupt as you want them to be. Nicol probably only got this position because he was a friend to someone else and not because of his nous.",Noel Whinyates,0,2021-06-17T12:39:17Z
4,UgwIMNmOfyHv1IP32sh4AaABAg,I'm kinda not surprised that a character like Jonathan Pie exists to rant about the idiocy of politics and the system in the UK.,March Reighly,0,2021-05-09T04:18:21Z
5,UgxSOJ9HZOMVaehOoCp4AaABAg,"I usually don’t pay a lot of attention to celebrity “bashing”, however when someone can make an accusation, especially as serious as wife beating. It is my uneducated opinion that if you accuse someone of such an action you should have the burden of proof placed squarely on your shoulders",Brad Peters,0,2021-05-01T05:17:03Z
6,UgzfNQnLheDRMJTt6yZ4AaABAg,"You are great x Well done 

Johnny Depp  is NOT A WIFE BEATER

Judge:
There's a Conflict of Interest
Facts & Evidence

UK Judge is so Useless, 
They might as well talked to a homeless guy down the road, and get the same outcome",SAMOANSTALLION1,2,2021-04-02T11:29:41Z
7,Ugwwz18DQvjQrS5_dml4AaABAg,This judge was bought and paid for,Matilda Project's,2,2021-03-30T17:22:52Z
8,UgzDY8jBYePz26wM0O94AaABAg,"Justice will prevail for Johnny Depp,no judge on a stand in court is higher than our God Almighty that knows  the truth and will protect  and shelter the innocent,and rain down Karma on the wrong,I'm standing behind Johnny even being one in a verbal marriage that I had to walk away  from before it got violent,,but nothing shows me Johnny is guilty of harm to anyone,and only wanted to get away to protect the relationship,that is a strong person,it says so in the Bible to turn the other cheek right.Team Johnny here, and I haVent even watched All his movies,but now I think I will for his support thank you for keeping us up to date,I really just wish I could meet him and give him a BIG HUG!!",bobbie wall,2,2021-03-24T23:59:10Z
9,Ugz7WovNXoDLaB3UEfZ4AaABAg,how come anything is evidence but talks under oath so johnny made his deposition under oath too so how she said and all done and her words were not even fkin reliable,Sirah Turah,0,2021-03-24T11:35:34Z
10,UgweCASlfBGFUMbA4Op4AaABAg,It’s Court 71!!!!,JH,0,2021-03-17T19:23:52Z
11,UgwAngPKX8qaEkyLg8Z4AaABAg,Overused flappy fish market!!! 🤣,alisonleigh100,0,2021-03-17T02:19:41Z
12,UgwNEJMPOw0ZnZF5Kut4AaABAg,tldr: AND HE BELIEVED AMBER. thats not how the law works...,Tehblood,0,2021-03-11T12:25:58Z
13,UgwzteGA2AU1XzJi8SN4AaABAg,"Despite the loss of this case, it was still a win for him. Public opinion turned in his favor. Everyone could see the judge assumed that b/c he was rich, an actor, and used drugs he was most likely a violent a-hole. RUBBISH! Nobody is buying this judgement so Nicol can suck it. I wish JD the best of luck in the appeal",Monica C,3,2021-03-10T06:43:12Z
14,Ugz3aIekVwVySwMQ3Rp4AaABAg,Thank you for pointing out just how absurdly biased this was. You have made it very clear.,AsmrFlow,0,2021-02-27T21:54:04Z
15,UgyVjB6NrAMyvlvGMvd4AaABAg,Thank you for your time and effort to put out this analysis.,Javkhlan Batsaikhan,0,2021-02-23T19:41:28Z
16,UgwOR4ZNCyCK4P-K3JZ4AaABAg,OMG. Was this judge bought? Or just hated Johnny Depp. This ruling is so one sided it makes me sick to my stomach,Josh Jackzone,0,2021-02-22T00:26:05Z
17,Ugz2zmaBMBNhWN9O_XV4AaABAg,"This is pretty much an example of why ""believe all women"" is not a good idea: ""Amber is under oath so I believe her, even though Johnny is also under oath and telling an extremely different story, which has corroborating audio recording evidence, and multiple testimonies.""",Michael Peck,0,2021-02-20T00:48:02Z
18,UgznBpk4ym2qG3yJ6h14AaABAg,Sounds like this judge was bought and paid for.,sharroniw,0,2021-02-19T16:24:20Z
19,UgxEE7Os5SyLIdck03F4AaABAg,"I came searching about Jonny and left in awe, but becasue your are so so good looking!",Germán Camilo Martínez Villate,0,2021-02-17T10:36:35Z
20,UgzkY_G6zE8vcnNh0MR4AaABAg,He absolutely has the right to defend his character.,Maria Wright,0,2021-02-12T05:01:47Z
21,UgyZpvD6NpdgUYbdghV4AaABAg,That judge needs to be investigated for bribery and fraud,Firstname Lastname,0,2021-02-09T08:10:42Z
22,Ugx4-lOPX7vPsn8yykl4AaABAg,"Wonder if this judge is in his right mind. this legal system does not works fairly,  how can we trust the judicial system? So sad for Johnny Depp.",justice1,0,2021-02-07T05:33:21Z
23,UgzKcmH1GbZEOf9hQUl4AaABAg,Thank you.  You are a guardian angel and a voice of reason in a digital world clamoring for scandalous drama.  You should be a judge.  Your level head and clear thinking can be trusted to properly execute the law for the people for which it was created.  Thank you again.,BlueBearOne,0,2021-02-06T22:12:36Z
24,UgzUpG3xZhLqasWRkvt4AaABAg,This judge deserves to be fired he’s a ducking joke,I FAMILYIH,2,2021-02-04T18:22:52Z
25,UgwhzAs1pwRCTgUA4dp4AaABAg,"Great analysis, and i agree with you This judge is a total bias, and is a disgrace to the UK government. Johnny dont give up, the truth will set you free!",Mia B.,0,2021-02-03T08:53:37Z
26,UgwVmP6u3ws1ULNqk154AaABAg,Fired both of them. Work labour jobs both this lawyer and his pet AH lmao,Laupepa Sisters,0,2021-01-30T22:10:18Z
27,Ugw8Zxlm_DEka-e8-o94AaABAg,"IF Johnny was a wife beater, with the massive success of me too movement we've had, his past girlfriends or ""victims"" (since they label him as a wife beater) would have definetly come forward to testify against him i.e like weinstein. Saying things like Johnny is rich and powerful and would have stopped anyone from speaking out is out of the question after a powerful man such as Weinstein was taken down, then so can Johnny. Yet, contrary to that, we have his exes come in full support for him. If a man lays hands on a woman, he wont stop at one. Over the years; he has been in very public relationships and one even lasting to 14 years and yet there has never been even an inkling that he was a wife beater or woman beater and here comes Heard, divorcing him after 3 days after his mother died and filming him whilst in grief really says something. With false promises of donating 7 mil and   selling the press her sob story and destroying his career. I just feel like she was in it for the money and obviously 7 mil wasnt enough. I am from the UK and all I will say is UK did him dirty.",22 44,0,2021-01-30T21:38:21Z
28,UgyoeD2E0y-XiGLw0Yp4AaABAg,"“They won’t believe you, because you’re a man.”

SHE IS NOT A VICTIM.",Raiken Xion,0,2021-01-30T20:29:36Z
29,UgyHKu19nkDmHwtpbYJ4AaABAg,ps  if you have time would you look into #LeonardPeltier case 44 years locked up for being innocent and surviving attack from two unidentified armed fbi agents shooting at all people on their home Rosebud Oglala Sioux reservation and why all write and nations who participated still do nothing to release him?,gaudiness,1,2021-01-30T02:46:54Z
30,UgzOesloF00RP6zp0Wh4AaABAg,"Of course we believe johnny depp, hes johnny depp and we know he would never do this to a woman even so many celebrities are on his side.",Shannon Buckley,0,2021-01-27T12:15:31Z
31,UgzgIJC0k3TN0FrpgAV4AaABAg,"NEVER AGAIN watch any movie that has Amber Heard IN IT!! 
WE SHOULD NEVER make her prosper and have a good life by trampling others. 
There should be no other Johnny Depp case in the future.",Bambang Aribowo,0,2021-01-23T03:14:50Z
32,UgyQPFUwbhfk3CwTNrx4AaABAg,The law is the law even I if its not the right one,Patti C.64,0,2021-01-20T16:02:49Z
33,UgytsWi2UpifCGBGrmt4AaABAg,And kick things to as well,Patti C.64,0,2021-01-20T16:01:12Z
34,UgyqVZAb3IwWbP_LUFV4AaABAg,This happens in regular people's lives we all banged walls pots pans and other things from time to time who hasn't thrown something across the room,Patti C.64,0,2021-01-20T16:00:01Z
35,UgyD6vQanVS0nCFfq114AaABAg,This will always go on for people who care for him even in 2020 \2021 cause justice wasn't done cause excuse what I going to say but his life kind of got screwed,Patti C.64,0,2021-01-20T15:52:10Z
36,UgzQWlozOUSgee5Ic1p4AaABAg,Love you Johnny and things will work it self out you did the right thing by walking away cause its u life that there talking about,Patti C.64,0,2021-01-20T15:40:57Z
37,Ugxa5b-8aAfQ0xT6NF94AaABAg,Cause some one can end up dead,Patti C.64,0,2021-01-20T15:36:45Z
38,UgyC4lNfybp-X85GPe54AaABAg,I want to say something maybe I should but I got in some thing years ago with a man and hit him in the head and I got arrested u gave him 15 stiches in the head,Patti C.64,0,2021-01-20T15:28:57Z
39,UgxbtpFCUsnbBmyLNnx4AaABAg,I know that at times I got crazy with guys to and I had to walk away,Patti C.64,0,2021-01-20T15:25:16Z
40,UgyCeWU3cZF66QhvWBh4AaABAg,The courts will never believe a man can get abused there should be protected laws for men to cause things like this happen all the time,Patti C.64,0,2021-01-20T15:23:03Z
41,UgwX87oGCtB8IKB_zu54AaABAg,It seems like they went in to this with there eyes closed,Patti C.64,0,2021-01-20T15:18:14Z
42,Ugwq91muVWAxMycx2CR4AaABAg,I would appeal.,Jodi Rambo,0,2021-01-19T18:12:21Z
43,Ugz-aX8yU8-MOr-uUAZ4AaABAg,"Judge, likes sum blond and has no justice.  The judge is injustice.  Probably paid off.",Jodi Rambo,0,2021-01-19T18:12:00Z
44,Ugx0UfZCNSGixKl7n594AaABAg,"Did Judge Nichols also serve on criminal trials? You wonder how many of those decisions were mainly based on his assumptions. Regarding the Sun case why am I picturing Amber Herd sitting on the judges lap and him asking her""...and then what did the bad man do?""",Arsenio Solis,0,2021-01-17T03:42:00Z
45,UgxSU8RD2ejI7Iow1PN4AaABAg,Only here in the uk can you have a mountain of witness and be told thay don’t count because she all ways tells the truth and men only tell lies. So now you know why men never fight there corner against women because of judges who believes every word that comes out her mouth because she flickers her eyelids,terry H,1,2021-01-16T20:12:48Z
46,UgzTbNT_x3iKpN_K_5x4AaABAg,The judge jus tryna smash,Danielle Milner,0,2021-01-13T22:19:11Z
47,Ugw0qZE2r7975dmJkyF4AaABAg,"Such B.S. - why haven't there been medical records for Amber? Ans: because she wasn't abused. This is so awful. Makes me so angry, so frustrated. I believe that these people (judges) need to educate themselves on the definition of domestic violence, abuser, abuse.",Linda Douglass,0,2021-01-12T21:38:11Z
48,Ugw462DOpwdrf3Oe-d94AaABAg,This has aged beautifully as more evidence comes out showing her to be a huge manipulator and a liar,Vesstig,0,2021-01-12T20:54:34Z
49,UgxPj15uQKyWeFVkvy14AaABAg,Amber Heard has something over the judge....I can’t think of any reasonable explanation for his verdict.,Yuki Hana,0,2021-01-09T23:31:28Z
50,UgxdabgJV49MAciIwI14AaABAg,Welcome to U.K. family court.,Neil McCracken,0,2021-01-09T11:59:41Z
51,UgwVjKN_FFpG4dqwoH94AaABAg,"34:12 The judge concluded that AH is NOT a golddigger because she donated US $ 7 millions to charity. - As an unbiased civil judge he would file TODAY a criminal case against AH, as she LIED about the donations in the courtroom. I don't know, if she lied under oath or not, but both is a crime (under oath it's the more severe crime).",Lara,0,2021-01-09T06:14:28Z
52,UgwdZPXMJuT9nDAOEC94AaABAg,"I.m.o. the judge's verdict is not ""only"" biased (as he took what JD called libel as evidence). He also pushed the trial forward in a way that more ""shady"" details about JD were exposed in a way that the media could write about them and harm JD even more. During the whole trial (BEFORE the verdict) I already had the impression: Why is this necessary? It seemed to me that JD was being paraded for sensation. Usually judges stop the parties to go on pathes which have nothing to do with the actual subject of dispute. In the JD trial is was opposite.",Lara,0,2021-01-09T06:00:22Z
53,Ugz0cMp0UWSWpQtNLmx4AaABAg,That hair on the floor literally looks like the exact thing you would pull out of a hair brush.,Avery Wallace,0,2021-01-05T21:18:15Z
54,UgxK9GrbDEz_L0aZokB4AaABAg,:'(,Sabi,0,2021-01-05T16:29:05Z
55,Ugx8svkV3ZZ9x69OFV14AaABAg,i dont know what i would do if i was johnny. I would be so beat,Mighty iller,0,2021-01-03T16:21:54Z
56,Ugz2g58v7ISSnOQKmjt4AaABAg,I keep saying: I knew JD wouldn't win against the Sun but not like this.,Bern baby Bern,0,2021-01-03T13:13:50Z
57,UgxBsYlhh2QjpYUURwd4AaABAg,I am not surprised anymore i wish i can end my life right now but i am too scared and worried about family and friends,EggMan,1,2021-01-03T00:07:46Z
58,UgwBkTCPnkBeu2aGuJ94AaABAg,CORRUPTION,toobaaaapi,2,2021-01-02T09:16:10Z
59,UgyoEF0-j2OipBJSYJF4AaABAg,This judge seems to be super judgmental towards people who do drugs to me. Like the times she talks about his drug and alcohol use and he just assumes that he must go violent at that point,whatever_ImAGirl,2,2021-01-01T12:22:53Z
60,Ugz5ogk_ga8ifJ0UsqF4AaABAg,The judge has ties to Amber Heard. Corruption!!!,Isaiah Bangura,2,2020-12-31T02:48:42Z
61,UgwtPGuCqPzPGFZuve14AaABAg,isn't the fact that the judge know amber in a personnal way a complete discedibility to his verdict?,admin otaku,2,2020-12-30T19:56:32Z
