,id,comment,author,likecount,publishedAt
0,UgwgDGCj0-zVNTodHOp4AaABAg,😡😠,Rocky sl Gaming,0,2021-11-10T22:26:19Z
1,Ugz4culG8D9gR7Gv_sV4AaABAg,Dai kuspoo sunny ya yeda potiga?,Scimitar Image,0,2021-08-21T21:07:08Z
2,Ugw6dCGHsJdX2XGnaRl4AaABAg,Don't tell him jhonny depp he is captain jack sparrow,TN CJS GAMING,0,2021-08-09T12:22:52Z
3,UgwsYYt5feuI9_IyoOd4AaABAg,Ungala fb news la Avan otunathu thape ilada😂,420 Gang Creations,0,2021-08-01T16:39:32Z
4,UgyBCAT8NADjYNE3qQ54AaABAg,Avara drug addict la solatinga avaroda chinna vayasula avorada eduthula neenga irunda therinjirukum avaroda nelama enmanu,Sam Sk,1,2021-07-25T06:43:52Z
5,Ugw8ynyUw7G1RoidJAl4AaABAg,Ipo antha problem mudinjitha sis😉,Meena Meena,0,2021-07-21T15:31:01Z
6,Ugz2x0k9gR4jbF59eHx4AaABAg,Enna Jony depp wife nu kusupu va kaatringa,Marvel Dc,0,2021-07-07T19:44:52Z
7,UgwjhCo7va_711Ob-Nl4AaABAg,"Forever jonny's fan ,aana explain Panra Akka Voda pechukku siripuvaruthu🤣🥺🥺",G.E 😎,1,2021-06-29T03:20:33Z
8,UgyTaFwsgfk25rIbTl14AaABAg,Pirates of the Caribbean 6le johny depp illena Enna Kilikka porange intha padam,Raz Editz,0,2021-05-15T06:14:54Z
9,UgzbHSQJMAcRKpvTykx4AaABAg,Kushbu sema katta,Sridhar Dilli208,0,2021-04-24T03:57:14Z
10,Ugwm5f0KM6vuRkflmsN4AaABAg,No.. jonny is not a drug addict...love U jack sparrow😙😙neenga epdi eruntha lum. ..,Cloudy moon Sasikumar,0,2021-03-11T06:25:32Z
11,UgxjxpNGjYJ28ekady94AaABAg,Captain JackSparrow,Captain JackSparrow,3,2021-02-06T15:25:46Z
12,UgxtCjV8XP07ZuNmZvJ4AaABAg,Forever my hero...,Aravinth,4,2021-01-26T19:09:40Z
13,UgxGxIjKVWF4SEJZO5d4AaABAg,Johnny depp is my idol he not her fault 😭😢❤️❤️❤️💗💕 love from France 🇫🇷,Anjali Sritharan,6,2021-01-18T15:29:41Z
14,Ugx5AnT3bjDJFcceX7N4AaABAg,I miss you my hero Johnny Depp😭😭😭,Gold VIp,3,2021-01-12T16:56:50Z
15,Ugyt41Vbpej__vylssl4AaABAg,😭😭😭😭😭,kamal suba,1,2021-01-02T04:57:12Z
16,Ugw7MDTwh_Lk36z6k0p4AaABAg,Fake news da . Johnny Depp fan thaan da eppavum 😎❤,JAY Kk,6,2020-12-30T15:09:50Z
17,UgyQJV-DKA8acacOJxp4AaABAg,1000 sollunga jhonny Depp is true innocent and hero,PUNK BOMB,15,2020-11-25T14:00:08Z
