,id,comment,author,likecount,publishedAt
0,UgwvytbCl_y20CkVh8Z4AaABAg,"Can't see other theN
Amber .. 🤷‍♂️ if she will be replaced, Aquaman 2 is off my list for movies next year ..",Anders B,0,2021-11-16T23:11:59Z
1,UgywDKSohHbrTbegp7h4AaABAg,Or hailee steinfeld,Kendrick Viera-Ramos,0,2021-08-22T23:34:22Z
2,UgzFEfgG1SFvFi7niQl4AaABAg,aquaman 2 more like aqaman 3,Adiel Daily,0,2021-08-16T02:19:27Z
3,Ugw6B7B51YMGWadgxkR4AaABAg,Shes so beautiful replacement amber heard,Cburke502,0,2021-05-17T02:14:10Z
4,Ugx49nORtyQ1ksR7P2V4AaABAg,Aquaman 2 is Gonna bomb big time!! 👎🏼. #Amberturdsucks,P-Town Stix,0,2020-12-02T08:57:19Z
5,UgyAn4UuL5boUda5B5p4AaABAg,Remember to keep telling people to sign the petitions!,Mega Lucario,0,2020-11-12T18:40:05Z
6,UgzfezgDvoFXAJKf1514AaABAg,Danny de Vito is an option,E,0,2020-11-12T06:01:46Z
7,Ugy_XpRsTjayEvqoLC94AaABAg,#AmberTurd,EricVierthaler92,0,2020-11-10T13:17:17Z
8,Ugy40mM8qpNBdJpKRcN4AaABAg,"I don’t care who her replacement is, just get her lying ass off the movie!",Temi,0,2020-10-06T09:56:32Z
9,UgwqGtfLNeS5dUK_Kwd4AaABAg,I think Blake Lively would fit best,Amy Seaton,0,2020-10-02T12:29:14Z
10,UgxQ0GfL4ifrW_V0MmZ4AaABAg,Or we can just not have a Mera it's not going to be the end of the world or the franchise,Chlo Chlo,0,2020-10-02T04:42:01Z
11,Ugzz4EYsPq5AiOKLu0p4AaABAg,I think blake lively should take the part,Alexis Ra,0,2020-09-29T19:55:00Z
12,UgwiriGOVSm5hnPlnGx4AaABAg,#amberturd I mean she's really just a huge human shaped turd.,Ana Amore,0,2020-09-29T19:02:27Z
13,Ugw6O7mv-tUIcg4x5BJ4AaABAg,"It doesn’t matter, what she is like in person, it shouldn’t be what defines her work.
It wouldn’t if it was a man, as in Batman’s Christopher ... what’s he face... just a mean dude, Sean Connery... Wife basher😔🤔🧐need I continue.",Carol Hope,0,2020-09-29T07:26:24Z
14,UgwRc5V1Lm_xux0kNpl4AaABAg,I was waiting for Charlotte to be a choice. Must be in the wrong video...😂,Søuth Dakøta,0,2020-09-27T23:31:59Z
15,UgyNyChgyXNeo1vWT_l4AaABAg,"Amber Turd is a great name! I always called her Cow Heard. Maybe combine them, Cow Turd??",Mandy B,0,2020-09-27T17:15:14Z
16,Ugw1EeiOrw40FGi_OGh4AaABAg,Please please no Emily BLAND! She will ruin the franchise !,ands ands,0,2020-09-27T16:25:02Z
17,UgzoUa60RZIDRbzJ34F4AaABAg,i don't want bad ads at the movie,gennies snip,0,2020-09-27T03:24:12Z
