,id,comment,author,likecount,publishedAt
0,Ugx4fv5wIOC3KLqdDcR4AaABAg,"She hasn't lost anything but her mind, her scruples and her reputation (not that she had any good one to begin with) sometime way before we even knew who she was. And she caused him to lose his jobs btw and hasn't apologized for NOTHING. stop using clickbait and spreading lies about Johnny Depp. He and his family have had enough! Your whole video seemed two sided!",Ren'e Nunya,0,2021-08-04T00:54:49Z
1,Ugw6GpAUFbiZVw3vyHd4AaABAg,Amber is a trouble maker.  She used Johnny and abused Johnny.,Mr FLK,0,2021-08-03T17:04:53Z
2,UgyfMXT-IyvVmWeygPF4AaABAg,"You can’t even say the word subpoena right. 
You should be in summer school, not making videos.",lisa richards,2,2021-08-02T04:33:04Z
3,Ugyo28OGD256qUSxij94AaABAg,"Jesus. You can’t even say the word subpoena right. Y
ou should be in summer school, not making videos",lisa richards,1,2021-08-02T04:32:40Z
4,UgwvEuKF-F5EcTGLHMV4AaABAg,If I was Johnny Depp I would never take her apologies what you did to him she destroyed him and I'm happy he's winning his cases never give up Johnny keep it going your fans  are there for you,Deborah Thurston,3,2021-08-02T03:44:43Z
5,Ugw0nsqH14B7SpK-0I94AaABAg,I don’t believe amber is sorry I don’t even this is true period justice for Johnny Depp amen 🙏,Dunamis Espada,3,2021-08-01T05:28:55Z
6,UgxXagOdZRThlw9_JYp4AaABAg,Nah!!.. she lied.,Stormer the misfits,1,2021-08-01T01:46:14Z
7,UgwwEcGhSZDcJLX_c8F4AaABAg,She hasnt lost anything  except her morals and her mind,Francine Arcieri,4,2021-07-31T12:57:45Z
8,UgzvhceiAxiZymgbc1J4AaABAg,I dont believe her. She will not fullfill her pledge. The judge will see this.,jjd jj,1,2021-07-31T01:59:07Z
9,UgyqeQiNk2RfeBzpNQZ4AaABAg,Shes a very manipulring awful person. Why does she need anything from disney? Her counter sue will be thrown out of court....its obvious shes trying to ruin him. And amber didnt use drugs and alcohol? Yeah right!!,jjd jj,0,2021-07-31T01:55:06Z
10,UgweUIjJwmkPNvccgrV4AaABAg,False stop your click bait,Tia A,1,2021-07-30T20:28:19Z
11,Ugw8ElafqWSrv2G75L14AaABAg,"I'm so sick of seeing her face... 
#JusticeforJohnnyDepp 
#AmberHeardisanAbuser",stinabo,0,2021-07-30T19:13:43Z
12,Ugw1xcyziI8rZm1kWzt4AaABAg,What does Amber Herd actually gain by being a mean person?,Angela Davis,2,2021-07-30T18:43:10Z
13,UgxG62JvRhuxs9KKIQR4AaABAg,Why do you lie? Hate your channel,Debbie Michailides,0,2021-07-30T18:21:02Z
14,UgyA1yOSOCwtoP4YBAF4AaABAg,"She did not lose any jobs, she did not tell him sorry. U need to do research b4 u tell these lies",SandySay,4,2021-07-30T15:33:39Z
15,Ugzsry_Rv6UJZixrOdR4AaABAg,"The UK has to pay at least 200 mil £ and 500 mil £ from the Murdocs og a outside killteam might have to step in and execute the Murdocs after a Giant Robbert og All what they Own og value All what the news organisations have, buildings, everything, with legal ownership by new people, Johnny Will get payed in secret, Theres is allready hidden cave-bunkersvall over the World, secret bases, Apache longbow choppers, B-21 drones, Pegasus drones, Survailence and Hellfire/Stinger.....    To tomahawk high explocives drones, reverce engineering using the same materials and a airforce of 400 drones, 64 Apache, 96 armed 20 man transport choppers, a new secret World Army is needed to enter any country survailence, execution and getaway, not a trace, a 104 man space command, with rockers going into space destroying the secret survailence sattlites, most important, a Complete trace and following mapping of All sattelites, hidden radars Knowing og any low flying drones og planes are spying, instant destruction....     Theres is so many money, groups of 50 superrich can be one time players and then the Army is getting huge amounts of money to keep Up the high-tech Army ongoing forever...   Protection of the first time billion payers,    we All know Musk cheated om Deep, 500 mil$ from this bastard He is guilty in 80% of All, but the movie companies is going broke...   We Will Find out who made MGM trash Johnny Depp after its proven He is innocent",Christian Jakobsen,0,2021-07-30T15:22:26Z
16,Ugwod26KYpYlZojif-94AaABAg,Enough of this f#%king crap! Virginia send her to jail..,Daniel Castillo,0,2021-07-30T15:12:41Z
17,UgwFBVjbdP6ChlKS6Ud4AaABAg,"Nice, but I wouldn't believe it
She lies and could do something later",Elizabeth Carter,9,2021-07-30T14:31:49Z
18,UgzLZG0c8zZ2yenLYPh4AaABAg,"Why don't  show in your film the end of the cene that Amber filmed Johnny nervous because of his mother been about to die  . Ah the end he  noticed she was filming him and te took the cellphone from ter hands Ang trowed it on the table. Sayd good bye and left , Amber then revólveres the cellphone and saw it was still recordings she then smiled sacasticaly .  Show the complete video! Cause the way you are showeing it seems that Johnny is a man capable to hit someone . Há is not . Because if he das a violent man , há would have trown the cell  fone  on ter but he didn't.  He just left .  That is not the caracteristic of a man who beats peaple . An abuser would not ever leave the room like he did saying good bye  . Vou are making peaple confusa and trying to make peaple believe Johnny is able to hit Simeone with this video . That is incomplete. That's a bad behaviour of  you. Sorry to say but in   my opinion you know what you have done when showed just part of the kitchen  film .   That makes you a not  trustable person .",Lilia Mendes,2,2021-07-30T14:17:01Z
19,UgzO8a2FmzhPv6j2dKB4AaABAg,Gone girl.,Katherine Lange,6,2021-07-30T13:01:14Z
20,Ugym2kKr8fumxQGp_uB4AaABAg,"Hello my beautiful great fans, thanks for your support, how are you doing, I hope everything is fine, you can speak With me or write me, in the hangout app with my email  thanks. 
🙏.💖💖
Johnnydepp6578@gmail.com",Johnny Depp,0,2021-07-30T12:41:06Z
21,Ugxnb5lKI3wVmTu7DsJ4AaABAg,"Come on girl stop digging a hole what is Disney extra gonna do black mail actors/actress make up fake stories about johnny would not surprise me, please just stop being her pupet and let the courts do thier jobs true fully on oath adeing and abetting is only makeing it look bad on any one doing this she's the one giving you a bad reputation and mud sticks but you still have a chance to redeem yourselfs #justiceforjohnnydepp 🥇💖💖💞💞🤗🤗👈😇😇😇",Michelle Trunks (shelly),1,2021-07-30T12:38:44Z
22,Ugw-XAx2T-XPD-p8otV4AaABAg,"No one forgives this lying barn witch , she's not human enough to apologise , lock her up and have done with her , justice for Johnny",Jayne Conlon,1,2021-07-30T12:34:15Z
